 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  Hp  
 -3.4316 -3.3706 -3.5635 -3.5151 -3.3528 -3.1224 -2.8600 -2.6867 -2.5290 -2.3644
 -2.2087 -2.0639 -1.9280 -1.8012 -1.6826 -1.4258 -1.1853 -0.9575 -0.8173
 -3.4200 -3.2329 -3.0786 -2.9752 -2.9195 -2.8324 -2.6830 -2.5144 -2.3550 -2.2020
 -2.0553 -1.9173 -1.7892 -1.6707 -1.5604 -1.3148 -1.1060 -0.9369 -0.8077 -0.7084
 -3.2328 -3.0482 -2.8767 -2.7275 -2.6064 -2.5269 -2.4652 -2.3644 -2.2293 -2.0838
 -1.9453 -1.8145 -1.6929 -1.5808 -1.4776 -1.2530 -1.0677 -0.9180 -0.8023 -0.7123
 -0.6398
 -3.0773 -2.9108 -2.7451 -2.5903 -2.4517 -2.3308 -2.2321 -2.1602 -2.0858 -1.9827
 -1.8605 -1.7379 -1.6228 -1.5162 -1.4181 -1.2078 -1.0394 -0.9061 -0.8016 -0.7199
 -0.6532 -0.5968
 -2.9356 -2.7922 -2.6424 -2.4943 -2.3553 -2.2287 -2.1150 -2.0140 -1.9319 -1.8567
 -1.7734 -1.6745 -1.5701 -1.4694 -1.3761 -1.1760 -1.0189 -0.8973 -0.8031 -0.7291
 -0.6682 -0.6162 -0.5705 -0.5300
 -2.8046 -2.6795 -2.5501 -2.4153 -2.2830 -2.1583 -2.0436 -1.9389 -1.8441 -1.7582
 -1.6804 -1.6038 -1.5205 -1.4324 -1.3453 -1.1541 -1.0042 -0.8902 -0.8039 -0.7375
 -0.6827 -0.6357 -0.5940 -0.5562 -0.5199 -0.4866 -0.4587 -0.4377 -0.4250 -0.4214
 -2.6861 -2.5732 -2.4601 -2.3414 -2.2200 -2.1016 -1.9895 -1.8857 -1.7912 -1.7037
 -1.6218 -1.5446 -1.4703 -1.3956 -1.3191 -1.1387 -0.9935 -0.8831 -0.8023 -0.7423
 -0.6942 -0.6530 -0.6163 -0.5826 -0.5513 -0.5209 -0.4931 -0.4702 -0.4539 -0.4461
 -0.4491
 -2.5819 -2.4763 -2.3726 -2.2670 -2.1589 -2.0496 -1.9431 -1.8421 -1.7490 -1.6632
 -1.5832 -1.5071 -1.4337 -1.3629 -1.2935 -1.1275 -0.9861 -0.8776 -0.7986 -0.7424
 -0.7002 -0.6655 -0.6348 -0.6064 -0.5796 -0.5538 -0.5279 -0.5043 -0.4861 -0.4756
 -0.4742
 -2.4936 -2.3913 -2.2917 -2.1909 -2.0944 -1.9960 -1.8974 -1.8012 -1.7104 -1.6263
 -1.5484 -1.4754 -1.4052 -1.3371 -1.2705 -1.1146 -0.9796 -0.8726 -0.7933 -0.7382
 -0.6998 -0.6710 -0.6469 -0.6250 -0.6039 -0.5831 -0.5629 -0.5436 -0.5272 -0.5140
 -0.5036
 -2.4230 -2.3211 -2.2221 -2.1259 -2.0322 -1.9410 -1.8515 -1.7622 -1.6755 -1.5935
 -1.5173 -1.4465 -1.3797 -1.3148 -1.2518 -1.1039 -0.9742 -0.8692 -0.7897 -0.7336
 -0.6958 -0.6703 -0.6519 -0.6367 -0.6223 -0.6078 -0.5932 -0.5784 -0.5640 -0.5510
 -0.5391
 -2.3676 -2.2623 -2.1618 -2.0659 -1.9740 -1.8861 -1.8017 -1.7201 -1.6394 -1.5610
 -1.4868 -1.4176 -1.3532 -1.2922 -1.2334 -1.0932 -0.9683 -0.8654 -0.7863 -0.7290
 -0.6903 -0.6655 -0.6502 -0.6403 -0.6326 -0.6252 -0.6172 -0.6084 -0.5990 -0.5897
 -0.5813
 -2.3116 -2.1924 -2.0876 -1.9938 -1.9078 -1.8270 -1.7491 -1.6727 -1.5980 -1.5254
 -1.4553 -1.3883 -1.3256 -1.2670 -1.2114 -1.0808 -0.9614 -0.8609 -0.7825
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  Hp  
 -3.7706 -3.7060 -3.5975 -3.3825 -3.1335 -2.8929 -2.6882 -2.5165 -2.3593 -2.2094
 -2.0666 -1.9328 -1.8084 -1.6931 -1.5860 -1.3526 -1.1458 -0.9584 -0.8179
 -3.4847 -3.3085 -3.2104 -3.1514 -2.9985 -2.7850 -2.5764 -2.3983 -2.2420 -2.0951
 -1.9558 -1.8255 -1.7054 -1.5952 -1.4941 -1.2741 -1.0883 -0.9310 -0.8039 -0.7038
