 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F350LP
 -3.4758 -2.3167 -1.0083 -0.7822 -2.0193 -4.3530 -3.5756 -2.2411 -1.4444 -1.4004
 -1.3208 -1.3337 -1.7235 -2.2070 -2.4478 -2.2532
 -3.4234 -2.9236 -2.3000 -2.1377 -2.5755 -3.6209 -3.3003 -2.7148 -2.2800 -2.1211
 -1.9942 -1.9577 -2.1037 -2.3011 -2.3901 -2.2225 -2.1018 -2.0271 -2.0359
 -3.2388 -3.1063 -2.9008 -2.7877 -2.7959 -3.0479 -2.9737 -2.8229 -2.6516 -2.4977
 -2.3850 -2.3296 -2.3313 -2.3504 -2.3415 -2.2010 -2.1037 -2.0358 -2.0096 -1.9903
 -1.9436
 -2.9220 -2.8648 -2.8107 -2.7322 -2.6806 -2.6341 -2.5958 -2.5656 -2.5594 -2.5301
 -2.4932 -2.4495 -2.4065 -2.3548 -2.3020 -2.1887 -2.1000 -2.0405 -2.0019 -1.9781
 -1.9625 -1.9521 -1.9449
 -2.7216 -2.6960 -2.6678 -2.6260 -2.5886 -2.5504 -2.5143 -2.4819 -2.4538 -2.4282
 -2.4011 -2.3694 -2.3358 -2.2987 -2.2583 -2.1667 -2.0977 -2.0496 -2.0171 -1.9955
 -1.9812 -1.9716 -1.9651 -1.9615 -1.9611
 -2.5336 -2.5324 -2.5255 -2.5113 -2.4902 -2.4643 -2.4358 -2.4071 -2.3796 -2.3538
 -2.3295 -2.3053 -2.2786 -2.2516 -2.2208 -2.1469 -2.0918 -2.0536 -2.0277 -2.0099
 -1.9980 -1.9901 -1.9849 -1.9817 -1.9804 -1.9816
 -2.3581 -2.3740 -2.3838 -2.3881 -2.3854 -2.3758 -2.3603 -2.3412 -2.3201 -2.2983
 -2.2767 -2.2555 -2.2343 -2.2133 -2.1895 -2.1293 -2.0823 -2.0525 -2.0337 -2.0213
 -2.0129 -2.0076 -2.0044 -2.0025 -2.0018 -2.0026 -2.0054 -2.0130 -2.0274 -2.0480
 -2.1950 -2.2208 -2.2427 -2.2611 -2.2744 -2.2813 -2.2813 -2.2752 -2.2643 -2.2502
 -2.2341 -2.2169 -2.1992 -2.1814 -2.1630 -2.1136 -2.0721 -2.0462 -2.0331 -2.0269
 -2.0237 -2.0222 -2.0221 -2.0227 -2.0237 -2.0253 -2.0273 -2.0323 -2.0432 -2.0615
 -2.0863
 -2.0531 -2.0817 -2.1098 -2.1373 -2.1619 -2.1823 -2.1969 -2.2049 -2.2063 -2.2023
 -2.1939 -2.1826 -2.1695 -2.1552 -2.1398 -2.0994 -2.0622 -2.0376 -2.0267 -2.0251
 -2.0277 -2.0316 -2.0359 -2.0402 -2.0442 -2.0480 -2.0523 -2.0566 -2.0639 -2.0774
 -2.0994
 -1.9292 -1.9601 -1.9918 -2.0242 -2.0556 -2.0849 -2.1103 -2.1305 -2.1443 -2.1511
 -2.1520 -2.1481 -2.1407 -2.1308 -2.1189 -2.0850 -2.0522 -2.0282 -2.0173 -2.0173
 -2.0242 -2.0339 -2.0439 -2.0531 -2.0615 -2.0688 -2.0757 -2.0825 -2.0902 -2.1011
 -2.1155
 -1.8252 -1.8570 -1.8896 -1.9229 -1.9573 -1.9911 -2.0233 -2.0523 -2.0766 -2.0944
 -2.1053 -2.1101 -2.1100 -2.1058 -2.0983 -2.0715 -2.0424 -2.0196 -2.0078 -2.0069
 -2.0149 -2.0284 -2.0438 -2.0589 -2.0727 -2.0849 -2.0959 -2.1059 -2.1156 -2.1259
 -2.1370
 -1.7442 -1.7724 -1.8030 -1.8356 -1.8703 -1.9054 -1.9408 -1.9748 -2.0059 -2.0316
 -2.0514 -2.0655 -2.0742 -2.0776 -2.0761 -2.0583 -2.0330 -2.0113 -1.9988 -1.9969
 -2.0039 -2.0181 -2.0368 -2.0570 -2.0765 -2.0944 -2.1106 -2.1252 -2.1384 -2.1512
 -2.1644
 -1.6861 -1.7064 -1.7320 -1.7623 -1.7946 -1.8278 -1.8655 -1.9015 -1.9360 -1.9666
 -1.9930 -2.0155 -2.0344 -2.0462 -2.0522 -2.0454 -2.0240 -2.0033 -1.9903
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value =F350LP
 -2.8728 -2.7837 -2.7340 -2.7342 -2.7912 -3.0313 -2.9193 -2.8014 -2.7107 -2.6415
 -2.5349 -2.4323 -2.4099 -2.4267 -2.4092 -2.2317
 -2.8930 -2.8013 -2.7373 -2.7089 -2.7221 -2.8410 -2.7921 -2.7329 -2.6779 -2.6264
 -2.5574 -2.4870 -2.4441 -2.4151 -2.3719 -2.2140 -2.1007 -2.0253 -1.9765
 -2.8893 -2.8003 -2.7292 -2.6816 -2.6625 -2.6948 -2.6814 -2.6590 -2.6288 -2.5920
 -2.5496 -2.5024 -2.4511 -2.3966 -2.3392 -2.1986 -2.0989 -2.0321 -1.9886 -1.9607
 -1.9426
 -2.8617 -2.7807 -2.7097 -2.6523 -2.6125 -2.5927 -2.5872 -2.5796 -2.5634 -2.5384
 -2.5116 -2.4784 -2.4310 -2.3712 -2.3111 -2.1855 -2.0973 -2.0387 -2.0004 -1.9754
 -1.9590 -1.9483 -1.9408
 -2.8102 -2.7425 -2.6788 -2.6210 -2.5721 -2.5347 -2.5095 -2.4947 -2.4816 -2.4655
 -2.4434 -2.4151 -2.3837 -2.3390 -2.2876 -2.1747 -2.0959 -2.0451 -2.0119 -1.9899
 -1.9754 -1.9658 -1.9597 -1.9566 -1.9567
 -2.7348 -2.6857 -2.6365 -2.5877 -2.5413 -2.5001 -2.4663 -2.4400 -2.4196 -2.4021
 -2.3822 -2.3573 -2.3322 -2.3021 -2.2630 -2.1646 -2.0929 -2.0489 -2.0216 -2.0034
 -1.9913 -1.9834 -1.9785 -1.9758 -1.9751 -1.9767
 -2.6371 -2.6069 -2.5753 -2.5409 -2.5042 -2.4672 -2.4325 -2.4023 -2.3767 -2.3542
 -2.3322 -2.3091 -2.2841 -2.2618 -2.2321 -2.1525 -2.0877 -2.0484 -2.0271 -2.0140
 -2.0055 -2.0002 -1.9972 -1.9959 -1.9958 -1.9973 -2.0008 -2.0090 -2.0238 -2.0445
 -2.5246 -2.5100 -2.4945 -2.4762 -2.4532 -2.4261 -2.3967 -2.3678 -2.3413 -2.3174
 -2.2950 -2.2723 -2.2482 -2.2260 -2.2018 -2.1363 -2.0798 -2.0436 -2.0265 -2.0192
 -2.0157 -2.0143 -2.0144 -2.0155 -2.0172 -2.0195 -2.0232 -2.0287 -2.0394 -2.0579
 -2.0829
 -2.4220 -2.4087 -2.3998 -2.3950 -2.3860 -2.3717 -2.3520 -2.3291 -2.3055 -2.2829
 -2.2615 -2.2407 -2.2192 -2.1973 -2.1760 -2.1188 -2.0696 -2.0357 -2.0198 -2.0174
 -2.0169 -2.0235 -2.0280 -2.0327 -2.0374 -2.0418 -2.0468 -2.0547 -2.0657 -2.0796
 -2.0960
 -2.2851 -2.2988 -2.3046 -2.3033 -2.3052 -2.3029 -2.2950 -2.2817 -2.2645 -2.2457
 -2.2270 -2.2088 -2.1904 -2.1715 -2.1528 -2.1019 -2.0577 -2.0265 -2.0114 -2.0099
 -2.0163 -2.0259 -2.0360 -2.0456 -2.0545 -2.0624 -2.0700 -2.0774 -2.0857 -2.0962
 -2.1120
 -2.1702 -2.1904 -2.2023 -2.2067 -2.2166 -2.2231 -2.2259 -2.2232 -2.2155 -2.2037
 -2.1897 -2.1751 -2.1603 -2.1453 -2.1298 -2.0867 -2.0464 -2.0172 -2.0020 -1.9997
 -2.0074 -2.0208 -2.0363 -2.0516 -2.0658 -2.0785 -2.0901 -2.1007 -2.1109 -2.1217
 -2.1334
 -2.0604 -2.0833 -2.1027 -2.1189 -2.1352 -2.1500 -2.1613 -2.1545 -2.1565 -2.1537
 -2.1470 -2.1377 -2.1272 -2.1162 -2.1045 -2.0716 -2.0353 -2.0081 -1.9929 -1.9897
 -1.9966 -2.0109 -2.0297 -2.0500 -2.0699 -2.0882 -2.1049 -2.1200 -2.1337 -2.1470
 -2.1607
 -1.9556 -1.9777 -2.0060 -2.0399 -2.0609 -2.0836 -2.0790 -2.0925 -2.1018 -2.0954
 -2.0970 -2.0950 -2.0902 -2.0838 -2.0769 -2.0566 -2.0244 -1.9992 -1.9841
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F350LP
 -2.9312 -2.9826 -3.0882 -3.1019 -2.9904 -2.8733 -2.8621 -2.9106 -2.9174 -2.8486
 -2.7502 -2.6400 -2.5441 -2.4674 -2.3920 -2.2244
 -2.9119 -2.8879 -2.9036 -2.8901 -2.8335 -2.7792 -2.7669 -2.7761 -2.7666 -2.7238
 -2.6622 -2.5864 -2.5071 -2.4325 -2.3613 -2.2090 -2.0982 -2.0226 -1.9662
 -2.8965 -2.8228 -2.7766 -2.7397 -2.7108 -2.6909 -2.6773 -2.6645 -2.6469 -2.6211
 -2.5843 -2.5341 -2.4709 -2.4020 -2.3358 -2.1968 -2.0965 -2.0289 -1.9826 -1.9532
 -1.9384
 -2.8850 -2.7873 -2.7072 -2.6507 -2.6223 -2.6084 -2.5933 -2.5758 -2.5583 -2.5405
