 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = BX   
 -8.1004 -7.8885 -8.0508 -7.9722 -7.7488 -7.3903 -6.9302 -6.6481 -6.3698 -6.0808
 -5.8062 -5.5517 -5.3159 -5.0916 -4.8747 -4.3859 -3.8792 -3.4084 -3.0686
 -7.9312 -7.5714 -7.2882 -7.0951 -6.9752 -6.8198 -6.5777 -6.2935 -6.0092 -5.7299
 -5.4628 -5.2141 -4.9843 -4.7704 -4.5684 -4.0998 -3.6714 -3.3055 -3.0219 -2.8040
 -7.5939 -7.2362 -6.9242 -6.6649 -6.4540 -6.3012 -6.1713 -5.9840 -5.7401 -5.4743
 -5.2151 -4.9710 -4.7470 -4.5415 -4.3519 -3.9298 -3.5576 -3.2355 -2.9812 -2.7849
 -2.6274
 -7.3163 -6.9888 -6.6828 -6.4124 -6.1751 -5.9625 -5.7766 -5.6246 -5.4640 -5.2577
 -5.0245 -4.7927 -4.5748 -4.3751 -4.1933 -3.8026 -3.4727 -3.1893 -2.9575 -2.7783
 -2.6343 -2.5125
 -7.0645 -6.7782 -6.4966 -6.2335 -5.9956 -5.7766 -5.5697 -5.3748 -5.2026 -5.0371
 -4.8586 -4.6591 -4.4564 -4.2637 -4.0867 -3.7149 -3.4134 -3.1573 -2.9464 -2.7806
 -2.6476 -2.5349 -2.4356 -2.3463
 -6.8302 -6.5808 -6.3334 -6.0892 -5.8598 -5.6464 -5.4436 -5.2465 -5.0563 -4.8755
 -4.7078 -4.5433 -4.3704 -4.1940 -4.0235 -3.6606 -3.3761 -3.1388 -2.9432 -2.7878
 -2.6638 -2.5595 -2.4676 -2.3841 -2.3033 -2.2269 -2.1582 -2.0995 -2.0527 -2.0189
 -6.6140 -6.3947 -6.1783 -5.9601 -5.7451 -5.5415 -5.3476 -5.1595 -4.9751 -4.7934
 -4.6187 -4.4544 -4.2978 -4.1429 -3.9882 -3.6343 -3.3561 -3.1314 -2.9451 -2.7967
 -2.6798 -2.5833 -2.4988 -2.4220 -2.3507 -2.2837 -2.2213 -2.1638 -2.1118 -2.0682
 -2.0437
 -6.4163 -6.2213 -6.0290 -5.8359 -5.6414 -5.4491 -5.2645 -5.0873 -4.9140 -4.7416
 -4.5714 -4.4067 -4.2504 -4.1026 -3.9603 -3.6279 -3.3505 -3.1311 -2.9507 -2.8058
