 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  B   
 -6.7300 -6.4895 -6.2634 -6.0377 -5.8131 -5.5953 -5.3919 -5.2039 -5.0261 -4.8515
 -4.6774 -4.5053 -4.3403 -4.1861 -4.0411 -3.7002 -3.4044 -3.1741 -2.9924 -2.8434
 -2.7233 -2.6288 -2.5528 -2.4880 -2.4295 -2.3748 -2.3235 -2.2761 -2.2325 -2.1923
 -2.1552
 -6.6263 -6.3929 -6.1784 -5.9733 -5.7655 -5.5588 -5.3577 -5.1685 -4.9932 -4.8267
 -4.6634 -4.5003 -4.3384 -4.1824 -4.0357 -3.7069 -3.4200 -3.1845 -3.0007 -2.8528
 -2.7335 -2.6402 -2.5680 -2.5095 -2.4585 -2.4116 -2.3676 -2.3257 -2.2861 -2.2493
 -2.2155
 -6.5399 -6.3042 -6.0953 -5.9028 -5.7107 -5.5203 -5.3299 -5.1436 -4.9668 -4.8017
 -4.6451 -4.4922 -4.3398 -4.1885 -4.0420 -3.7128 -3.4332 -3.1985 -3.0108 -2.8622
 -2.7428 -2.6491 -2.5780 -2.5235 -2.4791 -2.4401 -2.4041 -2.3698 -2.3370 -2.3058
 -2.2769
 -6.4648 -6.2233 -6.0139 -5.8240 -5.6453 -5.4702 -5.2948 -5.1200 -4.9480 -4.7824
 -4.6265 -4.4786 -4.3351 -4.1930 -4.0521 -3.7235 -3.4445 -3.2119 -3.0219
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  B   
 -8.6187 -8.3255 -7.8893 -7.4342 -6.9922 -6.6076 -6.3059 -6.0373 -5.7838 -5.5476
 -5.3237 -5.1140 -4.9205 -4.7424 -4.5773 -4.2006 -3.8465 -3.5037 -3.1908
 -7.9499 -7.7820 -7.6086 -7.2596 -6.8608 -6.4714 -6.1359 -5.8539 -5.5946 -5.3544
 -5.1268 -4.9143 -4.7191 -4.5415 -4.3789 -4.0193 -3.6966 -3.3956 -3.1201 -2.8839
 -7.6613 -7.3150 -7.1150 -7.0017 -6.7446 -6.3946 -6.0466 -5.7416 -5.4755 -5.2319
 -5.0019 -4.7864 -4.5879 -4.4079 -4.2447 -3.8925 -3.5895 -3.3174 -3.0716 -2.8574
 -2.6800
 -7.5124 -7.1284 -6.8181 -6.5918 -6.4541 -6.2913 -6.0042 -5.6934 -5.4120 -5.1629
 -4.9314 -4.7131 -4.5109 -4.3270 -4.1609 -3.8090 -3.5171 -3.2641 -3.0402 -2.8438
 -2.6791 -2.5423
 -7.4111 -7.0318 -6.6977 -6.4134 -6.1808 -5.9961 -5.8532 -5.6570 -5.3928 -5.1339
 -4.9003 -4.6803 -4.4744 -4.2857 -4.1152 -3.7581 -3.4708 -3.2297 -3.0213 -2.8394
 -2.6853 -2.5572 -2.4482 -2.3531
 -7.3338 -6.9701 -6.6321 -6.3322 -6.0710 -5.8434 -5.6443 -5.4719 -5.3161 -5.1195
 -4.8940 -4.6754 -4.4676 -4.2743 -4.0983 -3.7317 -3.4436 -3.2089 -3.0111 -2.8406
 -2.6959 -2.5754 -2.4736 -2.3845 -2.3048 -2.2323 -2.1651 -2.1017 -2.0454 -2.0106
 -7.2708 -6.9262 -6.5956 -6.2907 -6.0198 -5.7823 -5.5671 -5.3651 -5.1788 -5.0137
 -4.8534 -4.6721 -4.4763 -4.2837 -4.1034 -3.7241 -3.4307 -3.1980 -3.0067 -2.8448
 -2.7079 -2.5943 -2.4993 -2.4168 -2.3426 -2.2747 -2.2125 -2.1553 -2.1029 -2.0582
 -2.0334
 -7.2125 -6.8909 -6.5733 -6.2709 -5.9933 -5.7463 -5.5268 -5.3243 -5.1307 -4.9457
 -4.7744 -4.6163 -4.4588 -4.2918 -4.1202 -3.7322 -3.4295 -3.1948 -3.0064 -2.8502
 -2.7196 -2.6119 -2.5230 -2.4473 -2.3797 -2.3177 -2.2594 -2.2058 -2.1580 -2.1172
 -2.0839
 -7.1601 -6.8540 -6.5539 -6.2601 -5.9815 -5.7272 -5.5003 -5.2964 -5.1064 -4.9227
 -4.7448 -4.5755 -4.4160 -4.2654 -4.1171 -3.7495 -3.4361 -3.1957 -3.0075 -2.8545
 -2.7281 -2.6250 -2.5417 -2.4725 -2.4120 -2.3569 -2.3060 -2.2593 -2.2167 -2.1777
 -2.1420
 -7.1175 -6.8228 -6.5367 -6.2579 -5.9856 -5.7283 -5.4933 -5.2826 -5.0921 -4.9136
 -4.7406 -4.5716 -4.4075 -4.2511 -4.1048 -3.7671 -3.4579 -3.2071 -3.0148 -2.8620
 -2.7376 -2.6369 -2.5570 -2.4932 -2.4395 -2.3917 -2.3480 -2.3069 -2.2686 -2.2334
 -2.2019
 -7.0868 -6.7813 -6.5099 -6.2487 -5.9915 -5.7397 -5.5013 -5.2825 -5.0854 -4.9060
 -4.7380 -4.5753 -4.4152 -4.2583 -4.1079 -3.7742 -3.4810 -3.2266 -3.0264 -2.8709
 -2.7465 -2.6464 -2.5681 -2.5076 -2.4596 -2.4190 -2.3829 -2.3492 -2.3175 -2.2878
 -2.2606
 -7.0716 -6.7482 -6.4749 -6.2264 -5.9842 -5.7469 -5.5162 -5.2951 -5.0906 -4.9047
 -4.7351 -4.5765 -4.4233 -4.2725 -4.1240 -3.7842 -3.4974 -3.2489 -3.0429
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  B   
 -8.6318 -8.2177 -7.7226 -7.2572 -6.8276 -6.4581 -6.1630 -5.9045 -5.6647 -5.4382
 -5.2253 -5.0257 -4.8409 -4.6712 -4.5146 -4.1617 -3.8349 -3.5179 -3.2167
 -8.0243 -7.8950 -7.5729 -7.1496 -6.7339 -6.3457 -6.0240 -5.7512 -5.5039 -5.2735
 -5.0567 -4.8539 -4.6668 -4.4960 -4.3400 -3.9983 -3.6943 -3.4099 -3.1450 -2.9090
 -7.6587 -7.3739 -7.2636 -7.0452 -6.6817 -6.3072 -5.9579 -5.6640 -5.4083 -5.1737
 -4.9542 -4.7481 -4.5574 -4.3834 -4.2254 -3.8862 -3.5956 -3.3331 -3.0941 -2.8800
 -2.6976
 -7.5292 -7.1418 -6.8626 -6.7104 -6.5756 -6.2860 -5.9502 -5.6338 -5.3625 -5.1218
 -4.8998 -4.6909 -4.4963 -4.3179 -4.1560 -3.8135 -3.5292 -3.2808 -3.0601 -2.8636
 -2.6941 -2.5519
 -7.4627 -7.0600 -6.7170 -6.4484 -6.2517 -6.1171 -5.9286 -5.6452 -5.3594 -5.1059
 -4.8802 -4.6690 -4.4707 -4.2875 -4.1206 -3.7700 -3.4868 -3.2467 -3.0387 -2.8560
 -2.6976 -2.5640 -2.4511 -2.3533
 -7.4246 -7.0263 -6.6666 -6.3578 -6.1032 -5.8903 -5.7160 -5.5662 -5.3668 -5.1198
 -4.8856 -4.6722 -4.4709 -4.2831 -4.1106 -3.7484 -3.4618 -3.2258 -3.0264 -2.8541
 -2.7055 -2.5797 -2.4737 -2.3820 -2.3006 -2.2266 -2.1581 -2.0960 -2.0427 -2.0045
 -7.4036 -7.0164 -6.6542 -6.3290 -6.0483 -5.8088 -5.5978 -5.4067 -5.2397 -5.0821
 -4.8946 -4.6898 -4.4892 -4.2984 -4.1206 -3.7442 -3.4504 -3.2147 -3.0202 -2.8558
 -2.7153 -2.5965 -2.4971 -2.4118 -2.3363 -2.2679 -2.2060 -2.1489 -2.0959 -2.0509
 -2.0258
 -7.3879 -7.0194 -6.6623 -6.3308 -6.0344 -5.7775 -5.5538 -5.3510 -5.1612 -4.9847
 -4.8248 -4.6696 -4.5009 -4.3219 -4.1449 -3.7549 -3.4505 -3.2113 -3.0190 -2.8595
 -2.7253 -2.6126 -2.5191 -2.4402 -2.3711 -2.3087 -2.2506 -2.1974 -2.1500 -2.1092
 -2.0754
 -7.3754 -7.0215 -6.6768 -6.3466 -6.0421 -5.7709 -5.5341 -5.3249 -5.1327 -4.9497
 -4.7757 -4.6137 -4.4618 -4.3124 -4.1576 -3.7755 -3.4585 -3.2126 -3.0195 -2.8626
 -2.7327 -2.6251 -2.5368 -2.4641 -2.4017 -2.3459 -2.2951 -2.2482 -2.2052 -2.1669
 -2.1332
 -7.3666 -7.0242 -6.6967 -6.3762 -6.0704 -5.7896 -5.5395 -5.3194 -5.1232 -4.9415
 -4.7676 -4.6003 -4.4409 -4.2897 -4.1463 -3.8010 -3.4814 -3.2249 -3.0271 -2.8698
 -2.7417 -2.6368 -2.5522 -2.4843 -2.4283 -2.3795 -2.3356 -2.2949 -2.2573 -2.2230
 -2.1924
 -7.3643 -7.0187 -6.7066 -6.4028 -6.1064 -5.8238 -5.5639 -5.3313 -5.1253 -4.9402
 -4.7685 -4.6040 -4.4445 -4.2900 -4.1422 -3.8104 -3.5094 -3.2461 -3.0397 -2.8791
 -2.7505 -2.6466 -2.5637 -2.4991 -2.4481 -2.4060 -2.3694 -2.3359 -2.3048 -2.2760
 -2.2492
 -7.3770 -7.0108 -6.7017 -6.4152 -6.1353 -5.8619 -5.6011 -5.3598 -5.1423 -4.9480
 -4.7728 -4.6103 -4.4549 -4.3033 -4.1552 -3.8172 -3.5288 -3.2728 -3.0584
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  B   
 -8.5828 -8.0654 -7.5495 -7.0951 -6.6978 -6.3449 -6.0542 -5.7962 -5.5637 -5.3474
 -5.1443 -4.9540 -4.7772 -4.6144 -4.4646 -4.1306 -3.8261 -3.5314 -3.2432
 -8.1625 -7.9148 -7.4837 -7.0306 -6.6194 -6.2493 -5.9380 -5.6702 -5.4278 -5.2077
 -5.0008 -4.8071 -4.6276 -4.4631 -4.3126 -3.9852 -3.6967 -3.4263 -3.1712 -2.9380
 -7.6769 -7.5147 -7.3609 -7.0034 -6.6001 -6.2228 -5.8864 -5.6018 -5.3516 -5.1260
 -4.9161 -4.7192 -4.5362 -4.3682 -4.2149 -3.8867 -3.6067 -3.3524 -3.1186 -2.9062
 -2.7199
 -7.5333 -7.1655 -6.9657 -6.8623 -6.5919 -6.2359 -5.8911 -5.5825 -5.3192 -5.0866
 -4.8738 -4.6739 -4.4871 -4.3147 -4.1572 -3.8230 -3.5458 -3.3016 -3.0827 -2.8865
 -2.7134 -2.5658
 -7.4954 -7.0746 -6.7406 -6.5130 -6.3840 -6.2160 -5.9198 -5.6078 -5.3241 -5.0795
 -4.8619 -4.6592 -4.4689 -4.2920 -4.1293 -3.7852 -3.5066 -3.2680 -3.0592 -2.8755
 -2.7138 -2.5749 -2.4570 -2.3557
 -7.4947 -7.0630 -6.6862 -6.3797 -6.1442 -5.9686 -5.8296 -5.6286 -5.3615 -5.1013
 -4.8727 -4.6668 -4.4734 -4.2922 -4.1243 -3.7675 -3.4836 -3.2470 -3.0451 -2.8705
 -2.7186 -2.5876 -2.4765 -2.3812 -2.2974 -2.2222 -2.1536 -2.0898 -2.0336 -1.9981
 -7.5171 -7.0850 -6.6925 -6.3523 -6.0687 -5.8379 -5.6423 -5.4765 -5.3229 -5.1294
 -4.9028 -4.6908 -4.4948 -4.3100 -4.1371 -3.7660 -3.4735 -3.2358 -3.0376 -2.8697
 -2.7257 -2.6020 -2.4973 -2.4081 -2.3303 -2.2609 -2.1979 -2.1405 -2.0879 -2.0429
 -2.0172
 -7.5470 -7.1261 -6.7291 -6.3702 -6.0591 -5.7975 -5.5768 -5.3805 -5.2018 -5.0408
 -4.8854 -4.7105 -4.5246 -4.3405 -4.1645 -3.7791 -3.4748 -3.2326 -3.0356 -2.8718
 -2.7337 -2.6162 -2.5174 -2.4342 -2.3626 -2.2990 -2.2419 -2.1902 -2.1428 -2.1000
 -2.0657
 -7.5795 -7.1677 -6.7777 -6.4116 -6.0829 -5.7977 -5.5554 -5.3460 -5.1564 -4.9787
 -4.8131 -4.6600 -4.5113 -4.3553 -4.1923 -3.8020 -3.4843 -3.2345 -3.0360 -2.8741
 -2.7398 -2.6274 -2.5338 -2.4564 -2.3911 -2.3340 -2.2829 -2.2363 -2.1940 -2.1560
 -2.1230
 -7.6114 -7.2151 -6.8364 -6.4728 -6.1348 -5.8322 -5.5691 -5.3427 -5.1447 -4.9636
 -4.7923 -4.6299 -4.4776 -4.3333 -4.1922 -3.8352 -3.5085 -3.2480 -3.0442 -2.8813
