 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = BX   
 -6.4157 -5.9060 -5.6250 -5.5291 -5.5621 -5.6102 -5.4060 -5.2286 -5.0451 -4.8408
 -4.6120 -4.3696 -4.1311 -3.8819 -3.6370 -3.0296 -2.4535 -2.0161 -1.6225
 -6.1996 -5.8238 -5.5401 -5.3393 -5.1974 -5.0625 -4.9125 -4.7496 -4.5779 -4.3966
 -4.1918 -3.9596 -3.7139 -3.4735 -3.2444 -2.7085 -2.2411 -1.8617 -1.5762 -1.3569
 -5.9511 -5.5828 -5.2696 -5.0065 -4.7922 -4.6281 -4.5029 -4.3728 -4.2134 -4.0306
 -3.8418 -3.6407 -3.4212 -3.2030 -2.9976 -2.5340 -2.1259 -1.7891 -1.5337 -1.3375
 -1.1790
 -5.7530 -5.4061 -5.0970 -4.8210 -4.5762 -4.3627 -4.1803 -4.0279 -3.8916 -3.7392
 -3.5617 -3.3787 -3.1871 -2.9908 -2.8046 -2.3936 -2.0387 -1.7395 -1.5086 -1.3309
 -1.1868 -1.0639
 -5.5570 -5.2440 -4.9554 -4.6872 -4.4386 -4.2102 -4.0031 -3.8175 -3.6515 -3.5002
 -3.3488 -3.1854 -3.0140 -2.8360 -2.6643 -2.2912 -1.9763 -1.7080 -1.4964 -1.3333
 -1.2012 -1.0879 -0.9872 -0.8958
 -5.3523 -5.0781 -4.8196 -4.5718 -4.3336 -4.1074 -3.8945 -3.6971 -3.5160 -3.3493
 -3.1937 -3.0433 -2.8923 -2.7346 -2.5761 -2.2233 -1.9357 -1.6904 -1.4928 -1.3405
 -1.2184 -1.1141 -1.0210 -0.9359 -0.8532 -0.7749 -0.7040 -0.6432 -0.5944 -0.5587
 -5.1480 -4.9061 -4.6800 -4.4591 -4.2409 -4.0268 -3.8195 -3.6216 -3.4355 -3.2626
 -3.1016 -2.9502 -2.8055 -2.6627 -2.5205 -2.1875 -1.9129 -1.6836 -1.4949 -1.3493
 -1.2350 -1.1390 -1.0538 -0.9756 -0.9026 -0.8339 -0.7697 -0.7104 -0.6563 -0.6105
 -0.5843
 -4.9473 -4.7362 -4.5372 -4.3426 -4.1489 -3.9541 -3.7593 -3.5687 -3.3853 -3.2108
 -3.0475 -2.8949 -2.7512 -2.6133 -2.4804 -2.1708 -1.9044 -1.6844 -1.5015 -1.3584
 -1.2487 -1.1597 -1.0825 -1.0120 -0.9459 -0.8832 -0.8227 -0.7661 -0.7154 -0.6724
 -0.6380
 -4.7563 -4.5714 -4.3929 -4.2204 -4.0495 -3.8759 -3.6993 -3.5216 -3.3460 -3.1755
 -3.0126 -2.8592 -2.7154 -2.5794 -2.4500 -2.1566 -1.9012 -1.6873 -1.5093 -1.3667
 -1.2581 -1.1737 -1.1036 -1.0412 -0.9831 -0.9277 -0.8748 -0.8255 -0.7797 -0.7373
 -0.6979
 -4.5751 -4.4117 -4.2557 -4.0996 -3.9464 -3.7930 -3.6362 -3.4756 -3.3130 -3.1511
 -2.9927 -2.8407 -2.6967 -2.5612 -2.4335 -2.1479 -1.9025 -1.6934 -1.5194 -1.3777
 -1.2678 -1.1844 -1.1187 -1.0634 -1.0135 -0.9664 -0.9211 -0.8775 -0.8385 -0.7986
 -0.7602
