 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = UX   
 -9.5200 -8.9441 -8.5288 -8.2396 -8.0265 -7.8487 -7.7514 -7.5753 -7.3817 -7.1513
 -6.8788 -6.4287 -6.1353 -5.8188 -5.4942 -4.5490 -3.5016 -2.8725 -2.2219
 -8.7837 -8.3301 -7.9820 -7.7289 -7.5465 -7.3822 -7.2098 -7.0219 -6.8175 -6.5890
 -6.3156 -5.9891 -5.6324 -5.2733 -4.9154 -3.9870 -3.1369 -2.4848 -2.0315 -1.7125
 -8.5304 -8.0379 -7.6074 -7.2426 -6.9476 -6.7255 -6.5641 -6.4165 -6.2451 -6.0319
 -5.7843 -5.4916 -5.1534 -4.8097 -4.4741 -3.6497 -2.8772 -2.2791 -1.8698 -1.5882
 -1.3892
 -8.3799 -7.8601 -7.3906 -6.9728 -6.6078 -6.2960 -6.0366 -5.8287 -5.6578 -5.4825
 -5.2702 -5.0218 -4.7280 -4.4083 -4.0961 -3.3572 -2.6715 -2.1191 -1.7418 -1.4884
 -1.3125 -1.1867
 -8.2829 -7.7519 -7.2628 -6.8170 -6.4154 -6.0572 -5.7412 -5.4650 -5.2255 -5.0175
 -4.8214 -4.6084 -4.3641 -4.0857 -3.7999 -3.1329 -2.5227 -2.0080 -1.6467 -1.4097
 -1.2494 -1.1367 -1.0554 -0.9951
 -8.2220 -7.6932 -7.1981 -6.7380 -6.3155 -5.9315 -5.5838 -5.2705 -4.9896 -4.7375
 -4.5096 -4.2969 -4.0829 -3.8452 -3.5911 -2.9771 -2.4277 -1.9454 -1.5870 -1.3512
 -1.1975 -1.0926 -1.0183 -0.9651 -0.9250 -0.8935 -0.8672 -0.8437 -0.8208 -0.7970
 -8.1983 -7.6733 -7.1813 -6.7180 -6.2853 -5.8856 -5.5187 -5.1828 -4.8763 -4.5977
 -4.3440 -4.1115 -3.8943 -3.6772 -3.4524 -2.8833 -2.3749 -1.9232 -1.5628 -1.3158
 -1.1565 -1.0526 -0.9821 -0.9330 -0.8987 -0.8736 -0.8544 -0.8390 -0.8254 -0.8122
 -0.7986
 -8.2134 -7.6958 -7.2071 -6.7453 -6.3108 -5.9033 -5.5231 -5.1720 -4.8486 -4.5503
 -4.2774 -4.0277 -3.7975 -3.5788 -3.3650 -2.8388 -2.3502 -1.9262 -1.5682 -1.3054
 -1.1303 -1.0180 -0.9459 -0.8982 -0.8667 -0.8461 -0.8318 -0.8217 -0.8147 -0.8098
 -0.8063
 -8.2702 -7.7550 -7.2689 -6.8095 -6.3756 -5.9651 -5.5778 -5.2156 -4.8787 -4.5661
 -4.2769 -4.0106 -3.7657 -3.5374 -3.3200 -2.8153 -2.3459 -1.9357 -1.5873 -1.3138
 -1.1199 -0.9918 -0.9109 -0.8606 -0.8295 -0.8111 -0.8014 -0.7959 -0.7934 -0.7937
 -0.7964
 -8.3687 -7.8509 -7.3760 -6.9163 -6.4823 -6.0716 -5.6813 -5.3117 -4.9638 -4.6385
 -4.3349 -4.0530 -3.7919 -3.5503 -3.3236 -2.8160 -2.3621 -1.9580 -1.6156 -1.3384
 -1.1294 -0.9823 -0.8855 -0.8256 -0.7903 -0.7708 -0.7621 -0.7605 -0.7623 -0.7668
 -0.7739
 -8.5090 -7.9835 -7.5284 -7.0474 -6.6150 -6.2026 -5.8119 -5.4390 -5.0841 -4.7480
 -4.4316 -4.1350 -3.8582 -3.6009 -3.3611 -2.8340 -2.3841 -1.9861 -1.6457 -1.3664
 -1.1488 -0.9872 -0.8733 -0.7985 -0.7533 -0.7286 -0.7179 -0.7163 -0.7210 -0.7296
 -0.7402
 -8.6910 -8.1528 -7.7261 -7.1973 -6.7627 -6.3480 -5.9552 -5.5814 -5.2232 -4.8804
 -4.5540 -4.2448 -3.9535 -3.6808 -3.4325 -2.8693 -2.4119 -2.0200 -1.6776
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = UX   
 -8.4552 -8.1414 -7.9213 -7.7703 -7.6583 -7.5593 -7.4782 -7.3528 -7.1933 -6.9820
 -6.7093 -6.3373 -6.0002 -5.6642 -5.3358 -4.4865 -3.5966 -2.9160 -2.2928
 -8.0756 -7.7870 -7.5769 -7.3921 -7.2211 -7.0648 -6.9189 -6.7726 -6.6070 -6.4026
 -6.1460 -5.8338 -5.4908 -5.1502 -4.8206 -4.0200 -3.2397 -2.5788 -2.1004 -1.7576
 -7.8667 -7.4688 -7.1444 -6.8928 -6.7144 -6.5726 -6.4236 -6.2557 -6.0711 -5.8686
 -5.6314 -5.3471 -5.0223 -4.6923 -4.3774 -3.6426 -2.9571 -2.3683 -1.9361 -1.6378
 -1.4278
 -7.8100 -7.3534 -6.9576 -6.6193 -6.3366 -6.1059 -5.9286 -5.7836 -5.6196 -5.4148
 -5.1853 -4.9305 -4.6377 -4.3248 -4.0253 -3.3462 -2.7368 -2.2075 -1.8093 -1.5367
 -1.3488 -1.2149
 -7.8520 -7.3511 -6.9072 -6.5153 -6.1723 -5.8746 -5.6175 -5.3961 -5.2109 -5.0400
 -4.8384 -4.6044 -4.3441 -4.0587 -3.7724 -3.1354 -2.5814 -2.0963 -1.7182 -1.4591
 -1.2844 -1.1628 -1.0752 -1.0096
 -7.9778 -7.4393 -6.9538 -6.5186 -6.1314 -5.7879 -5.4835 -5.2132 -4.9707 -4.7536
 -4.5583 -4.3610 -4.1391 -3.8846 -3.6169 -3.0049 -2.4868 -2.0324 -1.6630 -1.4034
 -1.2326 -1.1174 -1.0366 -0.9783 -0.9350 -0.9013 -0.8730 -0.8467 -0.8207 -0.7951
 -8.1692 -7.6024 -7.0824 -6.6086 -6.1814 -5.7990 -5.4576 -5.1520 -4.8760 -4.6242
 -4.3932 -4.1813 -3.9816 -3.7681 -3.5326 -2.9425 -2.4426 -2.0081 -1.6423 -1.3716
 -1.1929 -1.0772 -0.9993 -0.9452 -0.9069 -0.8794 -0.8588 -0.8414 -0.8254 -0.8107
 -0.7958
 -8.4067 -7.8201 -7.2755 -6.7708 -6.3077 -5.8888 -5.5129 -5.1753 -4.8709 -4.5938
 -4.3387 -4.1034 -3.8870 -3.6800 -3.4718 -2.9309 -2.4356 -2.0129 -1.6496 -1.3649
 -1.1690 -1.0434 -0.9630 -0.9100 -0.8745 -0.8508 -0.8354 -0.8246 -0.8157 -0.8087
 -0.8040
 -8.6705 -8.0683 -7.5051 -6.9796 -6.4899 -6.0395 -5.6303 -5.2615 -4.9291 -4.6277
 -4.3518 -4.0974 -3.8620 -3.6415 -3.4313 -2.9285 -2.4485 -2.0305 -1.6714 -1.3765
 -1.1613 -1.0184 -0.9284 -0.8723 -0.8372 -0.8159 -0.8040 -0.7981 -0.7954 -0.7941
 -0.7943
 -8.9620 -8.3514 -7.7737 -7.2318 -6.7233 -6.2495 -5.8119 -5.4124 -5.0506 -4.7235
 -4.4254 -4.1516 -3.8982 -3.6619 -3.4397 -2.9380 -2.4780 -2.0616 -1.7050 -1.4059
 -1.1745 -1.0114 -0.9044 -0.8380 -0.7983 -0.7759 -0.7650 -0.7618 -0.7633 -0.7674
 -0.7720
 -9.2469 -8.6403 -8.0562 -7.5039 -6.9832 -6.4941 -6.0368 -5.6126 -5.2232 -4.8683
 -4.5454 -4.2499 -3.9776 -3.7245 -3.4877 -2.9632 -2.5104 -2.0998 -1.7412 -1.4400
 -1.1989 -1.0194 -0.8940 -0.8119 -0.7618 -0.7339 -0.7210 -0.7179 -0.7213 -0.7290
 -0.7387
 -9.5094 -8.9137 -8.3382 -7.7834 -7.2553 -6.7564 -6.2872 -5.8467 -5.4364 -5.0568
 -4.7079 -4.3880 -4.0812 -3.8074 -3.5753 -3.0041 -2.5457 -2.1451 -1.7800
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value = UX   
 -7.7278 -7.5977 -7.5114 -7.4528 -7.4057 -7.3545 -7.2860 -7.1886 -7.0492 -6.8544
 -6.5958 -6.2821 -5.9405 -5.6066 -5.2850 -4.5078 -3.7322 -3.0366 -2.4319
 -7.3992 -7.2021 -7.0530 -6.9455 -6.8648 -6.7928 -6.7114 -6.6065 -6.4662 -6.2796
 -6.0367 -5.7383 -5.4077 -5.0800 -4.7674 -4.0378 -3.3492 -2.7208 -2.2171 -1.8535
 -7.1455 -6.8915 -6.7118 -6.5643 -6.4321 -6.3162 -6.2075 -6.0891 -5.9462 -5.7693
 -5.5492 -5.2792 -4.9690 -4.6523 -4.3505 -3.6662 -3.0497 -2.4986 -2.0495 -1.7222
 -1.4921
 -7.1275 -6.7723 -6.4829 -6.2550 -6.0851 -5.9595 -5.8333 -5.6898 -5.5320 -5.3545
 -5.1500 -4.9108 -4.6306 -4.3300 -4.0390 -3.3913 -2.8284 -2.3324 -1.9232 -1.6203
 -1.4098 -1.2611
 -7.2487 -6.8284 -6.4672 -6.1600 -5.9014 -5.6901 -5.5220 -5.3811 -5.2427 -5.0682
 -4.8641 -4.6394 -4.3897 -4.1111 -3.8298 -3.2053 -2.6776 -2.2175 -1.8338 -1.5443
 -1.3439 -1.2061 -1.1079 -1.0349
 -7.4827 -6.9963 -6.5746 -6.2070 -5.8874 -5.6118 -5.3737 -5.1664 -4.9865 -4.8312
 -4.6675 -4.4661 -4.2335 -3.9792 -3.7111 -3.0965 -2.5873 -2.1485 -1.7783 -1.4920
 -1.2929 -1.1590 -1.0670 -1.0013 -0.9521 -0.9134 -0.8808 -0.8508 -0.8212 -0.7925
 -7.8363 -7.2762 -6.7858 -6.3566 -5.9800 -5.6493 -5.3592 -5.1037 -4.8757 -4.6693
 -4.4838 -4.3127 -4.1272 -3.9060 -3.6586 -3.0519 -2.5466 -2.1182 -1.7533 -1.4629
 -1.2561 -1.1193 -1.0286 -0.9665 -0.9225 -0.8902 -0.8654 -0.8447 -0.8259 -0.8084
 -0.7909
 -8.2903 -7.6622 -7.1011 -6.6035 -6.1642 -5.7775 -5.4371 -5.1362 -4.8685 -4.6269
 -4.4054 -4.2018 -4.0161 -3.8316 -3.6264 -3.0575 -2.5458 -2.1188 -1.7546 -1.4570
 -1.2358 -1.0878 -0.9927 -0.9307 -0.8892 -0.8609 -0.8415 -0.8274 -0.8161 -0.8070
 -0.8001
 -8.7910 -8.1127 -7.4941 -6.9332 -6.4300 -5.9830 -5.5884 -5.2406 -4.9325 -4.6568
