 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = UX   
 -6.8184 -6.6230 -6.4035 -6.1520 -5.8872 -5.2822 -4.7702 -4.3208 -3.9555 -3.6982
 -3.5273 -3.4100 -3.3259 -3.2637 -3.2159 -3.1776 -3.1449 -3.1145 -3.0848 -3.0568
-10.4152 -9.8522 -9.3352 -8.8637 -8.4385 -8.0577 -7.7175 -7.4129 -7.1379 -6.8870
 -6.6574 -6.4470 -6.2492 -6.0382 -5.8058 -5.2229 -4.7287 -4.2989 -3.9375 -3.6700
 -3.4925 -3.3758 -3.2956 -3.2383 -3.1962 -3.1647 -3.1399 -3.1187 -3.0991 -3.0816
 -3.0648
-10.6578-10.0749 -9.5332 -9.0308 -8.5695 -8.1522 -7.7775 -7.4408 -7.1371 -6.8609
 -6.6067 -6.3725 -6.1576 -5.9524 -5.7465 -5.2126 -4.7233 -4.3053 -3.9463 -3.6655
 -3.4719 -3.3467 -3.2651 -3.2100 -3.1716 -3.1446 -3.1257 -3.1113 -3.0990 -3.0891
 -3.0823
-10.9270-10.3287 -9.7683 -9.2450 -8.7570 -8.3079 -7.8997 -7.5317 -7.1999 -6.8990
 -6.6237 -6.3700 -6.1356 -5.9163 -5.7077 -5.2107 -4.7369 -4.3239 -3.9690 -3.6781
 -3.4661 -3.3249 -3.2350 -3.1778 -3.1409 -3.1172 -3.1026 -3.0937 -3.0881 -3.0840
 -3.0819
-11.2231-10.6169-10.0424 -9.5029 -8.9959 -8.5233 -8.0864 -7.6875 -7.3261 -6.9993
 -6.7015 -6.4281 -6.1752 -5.9395 -5.7184 -5.2210 -4.7665 -4.3553 -4.0030 -3.7079
 -3.4800 -3.3194 -3.2138 -3.1476 -3.1073 -3.0835 -3.0708 -3.0654 -3.0647 -3.0664
 -3.0687
-11.5110-10.9100-10.3300 -9.7806 -9.2617 -8.7737 -8.3170 -7.8931 -7.5039 -7.1490
 -6.8260 -6.5305 -6.2584 -6.0055 -5.7692 -5.2474 -4.7992 -4.3936 -4.0394 -3.7421
 -3.5046 -3.3280 -3.2047 -3.1239 -3.0744 -3.0463 -3.0326 -3.0282 -3.0302 -3.0361
 -3.0442
-11.7740-11.1854-10.6155-10.0648 -9.5395 -9.0421 -8.5737 -8.1334 -7.7230 -7.3431
 -6.9938 -6.6736 -6.3661 -6.0921 -5.8601 -5.2899 -4.8350 -4.4388 -4.0782
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value = UX   
 -9.9564 -9.8279 -9.7429 -9.6853 -9.6389 -9.5883 -9.5204 -9.4236 -9.2850 -9.0913
 -8.8343 -8.5229 -8.1840 -7.8530 -7.5341 -6.7635 -5.9930 -5.3000 -4.6955
 -9.6300 -9.4346 -9.2871 -9.1807 -9.1010 -9.0297 -8.9489 -8.8447 -8.7053 -8.5200
 -8.2789 -7.9829 -7.6552 -7.3306 -7.0210 -6.2985 -5.6154 -4.9899 -4.4871 -4.1228
 -9.3807 -9.1283 -8.9499 -8.8034 -8.6722 -8.5571 -8.4492 -8.3317 -8.1899 -8.0144
 -7.7962 -7.5286 -7.2214 -6.9079 -6.6093 -5.9325 -5.3216 -4.7737 -4.3260 -3.9984
 -3.7660
 -9.3666 -9.0136 -8.7259 -8.4994 -8.3306 -8.2058 -8.0804 -7.9379 -7.7814 -7.6055
 -7.4030 -7.1661 -6.8886 -6.5911 -6.3033 -5.6631 -5.1059 -4.6133 -4.2057 -3.9030
 -3.6908 -3.5388
 -9.4911 -9.0734 -8.7143 -8.4089 -8.1518 -7.9415 -7.7744 -7.6345 -7.4975 -7.3249
 -7.1230 -6.9006 -6.6534 -6.3775 -6.0992 -5.4819 -4.9599 -4.5034 -4.1217 -3.8329
 -3.6316 -3.4910 -3.3890 -3.3114
 -9.7284 -9.2447 -8.8253 -8.4596 -8.1416 -7.8674 -7.6304 -7.4242 -7.2455 -7.0916
 -6.9300 -6.7315 -6.5019 -6.2503 -5.9848 -5.3768 -4.8732 -4.4383 -4.0704 -3.7856
 -3.5863 -3.4506 -3.3555 -3.2859 -3.2324 -3.1893 -3.1524 -3.1183 -3.0852 -3.0542
-10.0854 -9.5281 -9.0401 -8.6129 -8.2380 -7.9086 -7.6198 -7.3653 -7.1383 -6.9331
 -6.7491 -6.5800 -6.3972 -6.1794 -5.9352 -5.3348 -4.8350 -4.4106 -4.0485 -3.7602
 -3.5543 -3.4167 -3.3239 -3.2588 -3.2111 -3.1749 -3.1461 -3.1216 -3.0994 -3.0791
 -3.0598
-10.5426 -9.9178 -9.3592 -8.8636 -8.4259 -8.0406 -7.7014 -7.4015 -7.1347 -6.8940
 -6.6736 -6.4714 -6.2875 -6.1053 -5.9033 -5.3421 -4.8357 -4.4129 -4.0519 -3.7567
 -3.5374 -3.3900 -3.2938 -3.2298 -3.1855 -3.1539 -3.1311 -3.1136 -3.0990 -3.0872
 -3.0783
-11.0461-10.3717 -9.7560 -9.1972 -8.6957 -8.2500 -7.8565 -7.5097 -7.2023 -6.9274
 -6.6778 -6.4486 -6.2373 -6.0412 -5.8519 -5.3590 -4.8622 -4.4342 -4.0715 -3.7693
 -3.5354 -3.3717 -3.2657 -3.1982 -3.1546 -3.1260 -3.1076 -3.0957 -3.0878 -3.0823
 -3.0787
-11.5773-10.8707-10.2134 -9.6041 -9.0468 -8.5426 -8.0921 -7.6938 -7.3421 -7.0299
 -6.7496 -6.4945 -6.2595 -6.0414 -5.8369 -5.3675 -4.9067 -4.4774 -4.1104 -3.8017
 -3.5538 -3.3711 -3.2479 -3.1699 -3.1217 -3.0926 -3.0761 -3.0677 -3.0647 -3.0648
 -3.0660
-12.0865-11.3675-10.6872-10.0469 -9.4489 -8.8972 -8.3950 -7.9449 -7.5449 -7.1912
 -6.8762 -6.5925 -6.3335 -6.0937 -5.8710 -5.3783 -4.9432 -4.5282 -4.1575 -3.8435
 -3.5853 -3.3856 -3.2433 -3.1490 -3.0905 -3.0563 -3.0383 -3.0309 -3.0306 -3.0350
 -3.0418
-12.5421-11.8298-11.1475-10.4944 -9.8743 -9.2904 -8.7489 -8.2544 -7.8082 -7.4096
 -7.0550 -6.7386 -6.4451 -6.1826 -5.9542 -5.3914 -4.9717 -4.5866 -4.2128
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value = UX   
 -9.5720 -9.5476 -9.5343 -9.5225 -9.5046 -9.4708 -9.4121 -9.3207 -9.1884 -9.0087
 -8.7802 -8.5070 -8.2029 -7.8954 -7.5942 -6.8723 -6.1735 -5.5017 -4.9062
 -9.1100 -9.0490 -9.0124 -8.9867 -8.9600 -8.9221 -8.8638 -8.7765 -8.6522 -8.4837
 -8.2651 -7.9986 -7.7017 -7.3990 -7.1042 -6.4160 -5.7795 -5.1946 -4.6840 -4.2789
 -8.8359 -8.6976 -8.6034 -8.5405 -8.4923 -8.4431 -8.3800 -8.2942 -8.1782 -8.0252
 -7.8285 -7.5851 -7.3050 -7.0131 -6.7282 -6.0740 -5.4890 -4.9648 -4.5124 -4.1481
 -3.8788
 -8.7538 -8.5333 -8.3768 -8.2546 -8.1539 -8.0722 -7.9945 -7.9041 -7.7920 -7.6519
 -7.4774 -7.2627 -7.0083 -6.7321 -6.4571 -5.8297 -5.2821 -4.7986 -4.3845 -4.0484
 -3.7982 -3.6190
