 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = BX   
 -8.1208 -7.6416 -7.3888 -7.3188 -7.3723 -7.4323 -7.2128 -7.0343 -6.8509 -6.6488
 -6.4226 -6.1865 -5.9514 -5.7062 -5.4655 -4.8780 -4.3239 -3.9043 -3.5280
 -7.9938 -7.6220 -7.3416 -7.1435 -7.0038 -6.8708 -6.7226 -6.5619 -6.3925 -6.2140
 -6.0127 -5.7849 -5.5443 -5.3096 -5.0867 -4.5688 -4.1200 -3.7566 -3.4831 -3.2728
 -7.7472 -7.3838 -7.0754 -6.8170 -6.6068 -6.4462 -6.3236 -6.1955 -6.0384 -5.8583
 -5.6729 -5.4760 -5.2616 -5.0488 -4.8490 -4.4013 -4.0102 -3.6884 -3.4439 -3.2557
 -3.1035
 -7.5496 -7.2085 -6.9053 -6.6352 -6.3961 -6.1878 -6.0098 -5.8611 -5.7277 -5.5778
 -5.4033 -5.2239 -5.0368 -4.8454 -4.6643 -4.2671 -3.9271 -3.6417 -3.4211 -3.2507
 -3.1122 -2.9939
 -7.3533 -7.0467 -6.7647 -6.5033 -6.2613 -6.0392 -5.8379 -5.6574 -5.4956 -5.3478
 -5.1994 -5.0391 -4.8716 -4.6979 -4.5307 -4.1694 -3.8675 -3.6118 -3.4101 -3.2540
 -3.1270 -3.0179 -2.9207 -2.8323
 -7.1476 -6.8801 -6.6287 -6.3881 -6.1572 -5.9380 -5.7318 -5.5404 -5.3645 -5.2023
 -5.0505 -4.9034 -4.7558 -4.6018 -4.4474 -4.1049 -3.8285 -3.5948 -3.4069 -3.2614
 -3.1443 -3.0439 -2.9540 -2.8717 -2.7917 -2.7158 -2.6474 -2.5889 -2.5422 -2.5085
 -6.9418 -6.7069 -6.4880 -6.2744 -6.0638 -5.8572 -5.6571 -5.4659 -5.2858 -5.1182
 -4.9617 -4.8142 -4.6729 -4.5336 -4.3949 -4.0714 -3.8066 -3.5876 -3.4084 -3.2699
 -3.1606 -3.0684 -2.9863 -2.9107 -2.8400 -2.7733 -2.7109 -2.6535 -2.6014 -2.5578
 -2.5334
 -6.7390 -6.5349 -6.3432 -6.1559 -5.9698 -5.7827 -5.5954 -5.4119 -5.2351 -5.0666
 -4.9085 -4.7605 -4.6207 -4.4865 -4.3569 -4.0560 -3.7987 -3.5879 -3.4140 -3.2782
 -3.1737 -3.0885 -3.0143 -2.9463 -2.8824 -2.8217 -2.7629 -2.7078 -2.6586 -2.6172
 -2.5846
 -6.5457 -6.3676 -6.1962 -6.0310 -5.8676 -5.7016 -5.5326 -5.3622 -5.1937 -5.0297
 -4.8728 -4.7246 -4.5853 -4.4534 -4.3277 -4.0426 -3.7957 -3.5903 -3.4206 -3.2853
 -3.1822 -3.1018 -3.0348 -2.9748 -2.9188 -2.8652 -2.8138 -2.7659 -2.7215 -2.6803
 -2.6421
 -6.3618 -6.2050 -6.0558 -5.9067 -5.7608 -5.6148 -5.4655 -5.3123 -5.1570 -5.0021
 -4.8503 -4.7041 -4.5654 -4.4347 -4.3110 -4.0340 -3.7968 -3.5958 -3.4297 -3.2949
 -3.1907 -3.1115 -3.0491 -2.9963 -2.9485 -2.9030 -2.8592 -2.8168 -2.7790 -2.7402
 -2.7025
 -6.1874 -6.0471 -5.9220 -5.7814 -5.6485 -5.5172 -5.3854 -5.2503 -5.1115 -4.9700
 -4.8278 -4.6875 -4.5517 -4.4221 -4.2996 -4.0267 -3.7962 -3.6001 -3.4369 -3.3035
 -3.1987 -3.1187 -3.0577 -3.0096 -2.9688 -2.9316 -2.8962 -2.8616 -2.8278 -2.7954
 -2.7650
 -6.0224 -5.8939 -5.7948 -5.6540 -5.5295 -5.4089 -5.2902 -5.1708 -5.0488 -4.9235
 -4.7953 -4.6656 -4.5367 -4.4110 -4.2935 -4.0207 -3.7939 -3.6032 -3.4422
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = BX   
 -8.2700 -7.8396 -7.5402 -7.3469 -7.2294 -7.1368 -6.9638 -6.8054 -6.6287 -6.4271
 -6.1992 -5.9569 -5.7148 -5.4816 -5.2617 -4.7541 -4.2872 -3.8988 -3.5551
 -7.8885 -7.5397 -7.2867 -7.0676 -6.8697 -6.6946 -6.5361 -6.3829 -6.2225 -6.0455
 -5.8460 -5.6243 -5.3938 -5.1736 -4.9695 -4.5178 -4.1194 -3.7739 -3.4977 -3.2797
 -7.6301 -7.2327 -6.9206 -6.6837 -6.5163 -6.3783 -6.2275 -6.0647 -5.8996 -5.7338
 -5.5578 -5.3646 -5.1549 -4.9484 -4.7582 -4.3500 -4.0040 -3.7031 -3.4570 -3.2638
 -3.1080
 -7.4976 -7.0994 -6.7700 -6.4984 -6.2759 -6.0952 -5.9547 -5.8323 -5.6853 -5.5131
 -5.3388 -5.1641 -4.9786 -4.7867 -4.6081 -4.2283 -3.9194 -3.6542 -3.4330 -3.2572
 -3.1147 -2.9938
 -7.4050 -7.0226 -6.6970 -6.4175 -6.1762 -5.9676 -5.7865 -5.6284 -5.4923 -5.3582
 -5.1979 -5.0258 -4.8527 -4.6765 -4.5059 -4.1461 -3.8615 -3.6223 -3.4212 -3.2591
 -3.1276 -3.0159 -2.9173 -2.8281
 -7.3169 -6.9610 -6.6501 -6.3755 -6.1303 -5.9102 -5.7122 -5.5335 -5.3703 -5.2206
 -5.0804 -4.9338 -4.7755 -4.6086 -4.4443 -4.0952 -3.8250 -3.6032 -3.4170 -3.2657
 -3.1435 -3.0402 -2.9489 -2.8659 -2.7892 -2.7181 -2.6527 -2.5916 -2.5366 -2.5011
 -7.2203 -6.8956 -6.6073 -6.3458 -6.1056 -5.8838 -5.6790 -5.4903 -5.3156 -5.1526
 -4.9995 -4.8546 -4.7144 -4.5680 -4.4159 -4.0691 -3.8049 -3.5934 -3.4173 -3.2738
 -3.1589 -3.0634 -2.9797 -2.9034 -2.8325 -2.7661 -2.7045 -2.6475 -2.5952 -2.5516
 -2.5275
 -7.1155 -6.8210 -6.5578 -6.3151 -6.0864 -5.8700 -5.6654 -5.4727 -5.2922 -5.1230
 -4.9631 -4.8121 -4.6696 -4.5317 -4.3949 -4.0665 -3.7983 -3.5908 -3.4208 -3.2817
 -3.1717 -3.0829 -3.0067 -2.9379 -2.8737 -2.8131 -2.7562 -2.7028 -2.6532 -2.6107
 -2.5781
 -7.0049 -6.7355 -6.4946 -6.2722 -6.0599 -5.8545 -5.6556 -5.4645 -5.2825 -5.1101
 -4.9471 -4.7928 -4.6467 -4.5076 -4.3744 -4.0658 -3.8012 -3.5921 -3.4249 -3.2881
 -3.1802 -3.0959 -3.0266 -2.9656 -2.9092 -2.8556 -2.8047 -2.7564 -2.7111 -2.6701
 -2.6356
 -6.9021 -6.6520 -6.4276 -6.2214 -6.0257 -5.8350 -5.6470 -5.4624 -5.2832 -5.1111
 -4.9469 -4.7910 -4.6429 -4.5022 -4.3685 -4.0673 -3.8104 -3.6000 -3.4326 -3.2967
 -3.1887 -3.1057 -3.0408 -2.9868 -2.9383 -2.8928 -2.8493 -2.8075 -2.7675 -2.7302
 -2.6957
 -6.8028 -6.5686 -6.3548 -6.1603 -5.9774 -5.8013 -5.6272 -5.4539 -5.2823 -5.1144
 -4.9518 -4.7960 -4.6472 -4.5055 -4.3711 -4.0699 -3.8179 -3.6090 -3.4404 -3.3048
 -3.1964 -3.1128 -3.0495 -3.0000 -2.9585 -2.9211 -2.8859 -2.8518 -2.8187 -2.7871
 -2.7574
 -6.7061 -6.4835 -6.2793 -6.0915 -5.9170 -5.7515 -5.5905 -5.4305 -5.2707 -5.1117
 -4.9548 -4.8020 -4.6550 -4.5125 -4.3822 -4.0736 -3.8237 -3.6191 -3.4483
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value = BX   
 -8.5346 -8.1690 -7.8643 -7.6068 -7.3820 -7.1720 -6.9610 -6.7393 -6.5111 -6.2755
 -6.0298 -5.7793 -5.5350 -5.3112 -5.1068 -4.6576 -4.2581 -3.9024 -3.5868
 -8.1415 -7.7517 -7.4222 -7.1493 -6.9208 -6.7203 -6.5310 -6.3399 -6.1449 -5.9427
 -5.7281 -5.5011 -5.2724 -5.0589 -4.8653 -4.4526 -4.1029 -3.7914 -3.5215 -3.3013
 -7.7451 -7.3610 -7.0688 -6.8175 -6.5894 -6.3880 -6.2062 -6.0321 -5.8588 -5.6820
 -5.4961 -5.2960 -5.0850 -4.8806 -4.6943 -4.3054 -3.9898 -3.7165 -3.4780 -3.2795
 -3.1177
 -7.5762 -7.1388 -6.7897 -6.5174 -6.3117 -6.1530 -5.9938 -5.8242 -5.6548 -5.4877
 -5.3193 -5.1439 -4.9548 -4.7614 -4.5807 -4.2059 -3.9121 -3.6652 -3.4512 -3.2701
 -3.1213 -2.9962
 -7.5278 -7.0745 -6.7021 -6.3994 -6.1528 -5.9554 -5.7994 -5.6663 -5.5329 -5.3729
 -5.2030 -5.0346 -4.8640 -4.6852 -4.5101 -4.1429 -3.8618 -3.6323 -3.4363 -3.2695
 -3.1314 -3.0152 -2.9140 -2.8235
 -7.5306 -7.0735 -6.6931 -6.3772 -6.1135 -5.8917 -5.7029 -5.5394 -5.3967 -5.2707
 -5.1345 -4.9748 -4.8065 -4.6379 -4.4703 -4.1068 -3.8315 -3.6125 -3.4293 -3.2739
 -3.1448 -3.0367 -2.9429 -2.8586 -2.7814 -2.7110 -2.6458 -2.5840 -2.5289 -2.4951
 -7.5495 -7.0985 -6.7173 -6.3962 -6.1228 -5.8868 -5.6808 -5.4989 -5.3354 -5.1853
 -5.0475 -4.9162 -4.7740 -4.6160 -4.4528 -4.0903 -3.8153 -3.6019 -3.4269 -3.2801
 -3.1586 -3.0579 -2.9713 -2.8938 -2.8224 -2.7562 -2.6951 -2.6387 -2.5866 -2.5426
 -2.5185
 -7.5602 -7.1261 -6.7531 -6.4329 -6.1554 -5.9113 -5.6942 -5.4988 -5.3215 -5.1584
 -5.0056 -4.8618 -4.7273 -4.5927 -4.4483 -4.0902 -3.8101 -3.5978 -3.4274 -3.2864
 -3.1705 -3.0761 -2.9966 -2.9263 -2.8617 -2.8012 -2.7450 -2.6924 -2.6436 -2.6015
 -2.5686
 -7.5440 -7.1358 -6.7798 -6.4685 -6.1932 -5.9464 -5.7228 -5.5185 -5.3309 -5.1576
 -4.9957 -4.8431 -4.6991 -4.5629 -4.4303 -4.1002 -3.8128 -3.5968 -3.4283 -3.2908
 -3.1786 -3.0887 -3.0156 -2.9527 -2.8956 -2.8421 -2.7918 -2.7443 -2.7001 -2.6607
 -2.6261
 -7.5123 -7.1341 -6.7983 -6.5003 -6.2331 -5.9889 -5.7634 -5.5541 -5.3597 -5.1787
 -5.0096 -4.8506 -4.7002 -4.5577 -4.4224 -4.1097 -3.8300 -3.6049 -3.4339 -3.2973
 -3.1866 -3.0987 -3.0297 -2.9732 -2.9237 -2.8780 -2.8350 -2.7939 -2.7550 -2.7189
 -2.6856
 -7.4653 -7.1137 -6.7985 -6.5163 -6.2604 -6.0242 -5.8026 -5.5933 -5.3957 -5.2100
 -5.0355 -4.8715 -4.7164 -4.5691 -4.4298 -4.1159 -3.8460 -3.6193 -3.4422 -3.3043
 -3.1938 -3.1061 -3.0386 -2.9863 -2.9434 -2.9055 -2.8705 -2.8371 -2.8049 -2.7744
 -2.7460
 -7.4093 -7.0801 -6.7830 -6.5148 -6.2706 -6.0440 -5.8305 -5.6265 -5.4311 -5.2444
 -5.0671 -4.8996 -4.7388 -4.5881 -4.4525 -4.1188 -3.8608 -3.6400 -3.4532
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value = BX   
 -8.9145 -8.6297 -8.3613 -8.0984 -7.8301 -7.5379 -7.2044 -6.8360 -6.4981 -6.1940
 -5.9144 -5.6537 -5.4120 -5.1951 -5.0008 -4.5886 -4.2366 -3.9150 -3.6230
 -8.4809 -8.1568 -7.8609 -7.5858 -7.3221 -7.0566 -6.7688 -6.4687 -6.1870 -5.9252
 -5.6757 -5.4342 -5.2049 -4.9947 -4.8058 -4.4122 -4.0904 -3.8080 -3.5542 -3.3324
 -8.1743 -7.8159 -7.4918 -7.2003 -6.9357 -6.6885 -6.4413 -6.1894 -5.9488 -5.7214
 -5.5010 -5.2818 -5.0654 -4.8612 -4.6757 -4.2924 -3.9895 -3.7328 -3.5061 -3.3062
 -3.1367
 -7.8779 -7.5023 -7.1936 -6.9150 -6.6537 -6.4142 -6.1910 -5.9730 -5.7629 -5.5625
 -5.3678 -5.1725 -4.9731 -4.7768 -4.5940 -4.2151 -3.9228 -3.6824 -3.4747 -3.2921
 -3.1356 -3.0035
 -7.7595 -7.3088 -6.9347 -6.6295 -6.3869 -6.1929 -6.0094 -5.8188 -5.6280 -5.4436
 -5.2656 -5.0898 -4.9099 -4.7254 -4.5464 -4.1682 -3.8805 -3.6501 -3.4554 -3.2864
 -3.1409 -3.0178 -2.9121 -2.8190
 -7.7647 -7.2675 -6.8496 -6.5058 -6.2269 -6.0005 -5.8151 -5.6611 -5.5234 -5.3705
 -5.2022 -5.0322 -4.8645 -4.6942 -4.5221 -4.1432 -3.8554 -3.6305 -3.4445 -3.2860
 -3.1500 -3.0348 -2.9364 -2.8498 -2.7715 -2.7003 -2.6351 -2.5738 -2.5191 -2.4849
 -7.8454 -7.3139 -6.8657 -6.4945 -6.1894 -5.9379 -5.7286 -5.5513 -5.3983 -5.2657
 -5.1412 -5.0003 -4.8407 -4.6763 -4.5125 -4.1345 -3.8429 -3.6197 -3.4393 -3.2883
 -3.1602 -3.0523 -2.9609 -2.8809 -2.8087 -2.7425 -2.6820 -2.6264 -2.5748 -2.5307
 -2.5059
 -7.9685 -7.4124 -6.9392 -6.5450 -6.2186 -5.9472 -5.7187 -5.5236 -5.3532 -5.2013
 -5.0628 -4.9355 -4.8093 -4.6678 -4.5133 -4.1388 -3.8405 -3.6154 -3.4377 -3.2917
 -3.1699 -3.0682 -2.9833 -2.9101 -2.8446 -2.7842 -2.7287 -2.6775 -2.6307 -2.5884
 -2.5549
 -8.0863 -7.5254 -7.0387 -6.6279 -6.2842 -5.9958 -5.7502 -5.5379 -5.3516 -5.1853
 -5.0333 -4.8921 -4.7596 -4.6329 -4.5027 -4.1511 -3.8447 -3.6144 -3.4369 -3.2939
 -3.1763 -3.0797 -3.0005 -2.9341 -2.8757 -2.8222 -2.7728 -2.7266 -2.6840 -2.6459
 -2.6123
 -8.1757 -7.6354 -7.1509 -6.7345 -6.3791 -6.0760 -5.8154 -5.5878 -5.3862 -5.2053
 -5.0407 -4.8886 -4.7461 -4.6114 -4.4830 -4.1675 -3.8636 -3.6228 -3.4418 -3.2991
 -3.1836 -3.0898 -3.0145 -2.9537 -2.9021 -2.8560 -2.8136 -2.7738 -2.7365 -2.7023
 -2.6715
 -8.2143 -7.7091 -7.2460 -6.8379 -6.4808 -6.1705 -5.8988 -5.6583 -5.4433 -5.2492
 -5.0722 -4.9093 -4.7577 -4.6153 -4.4806 -4.1727 -3.8881 -3.6400 -3.4507 -3.3056
 -3.1901 -3.0974 -3.0242 -2.9671 -2.9213 -2.8824 -2.8475 -2.8150 -2.7843 -2.7555
 -2.7291
 -8.2083 -7.7412 -7.3103 -6.9208 -6.5731 -6.2641 -5.9882 -5.7397 -5.5146 -5.3095
 -5.1215 -4.9485 -4.7879 -4.6380 -4.4955 -4.1667 -3.9182 -3.6660 -3.4636
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value = BX   
 -9.1477 -8.9093 -8.6746 -8.4311 -8.1650 -7.8449 -7.4402 -6.9632 -6.5358 -6.1797
 -5.8768 -5.6104 -5.3718 -5.1574 -4.9661 -4.5644 -4.2287 -3.9247 -3.6428
 -8.6850 -8.4139 -8.1551 -7.9000 -7.6369 -7.3462 -6.9967 -6.6110 -6.2549 -5.9447
 -5.6697 -5.4197 -5.1901 -4.9816 -4.7940 -4.4052 -4.0914 -3.8174 -3.5728 -3.3532
 -8.3512 -8.0430 -7.7560 -7.4845 -7.2221 -6.9562 -6.6627 -6.3453 -6.0434 -5.7707
 -5.5224 -5.2903 -5.0709 -4.8671 -4.6818 -4.2986 -3.9980 -3.7452 -3.5227 -3.3242
 -3.1515
 -8.0977 -7.7711 -7.4629 -7.1745 -6.9051 -6.6506 -6.3974 -6.1319 -5.8735 -5.6338
 -5.4112 -5.1994 -4.9935 -4.7961 -4.6128 -4.2307 -3.9364 -3.6960 -3.4892 -3.3071
 -3.1477 -3.0114
 -7.9421 -7.5365 -7.1663 -6.8930 -6.6521 -6.4184 -6.1887 -5.9599 -5.7351 -5.5223
 -5.3223 -5.1306 -4.9413 -4.7536 -4.5735 -4.1902 -3.8973 -3.6643 -3.4682 -3.2983
 -3.1501 -3.0228 -2.9137 -2.8183
 -7.8922 -7.4005 -6.9974 -6.6640 -6.3902 -6.1657 -5.9807 -5.8096 -5.6284 -5.4395
 -5.2545 -5.0766 -4.9028 -4.7282 -4.5543 -4.1695 -3.8744 -3.6448 -3.4559 -3.2950
 -3.1564 -3.0372 -2.9352 -2.8462 -2.7669 -2.6952 -2.6293 -2.5676 -2.5131 -2.4788
 -7.9480 -7.4214 -6.9715 -6.5950 -6.2845 -6.0286 -5.8158 -5.6361 -5.4834 -5.3471
 -5.2040 -5.0438 -4.8772 -4.7123 -4.5475 -4.1636 -3.8635 -3.6339 -3.4495 -3.2953
 -3.1642 -3.0523 -2.9572 -2.8747 -2.8014 -2.7348 -2.6743 -2.6189 -2.5673 -2.5233
 -2.4981
 -8.0955 -7.5233 -7.0323 -6.6207 -6.2796 -5.9980 -5.7639 -5.5662 -5.3957 -5.2459
 -5.1127 -4.9884 -4.8556 -4.7056 -4.5480 -4.1699 -3.8626 -3.6299 -3.4473 -3.2974
 -3.1721 -3.0665 -2.9776 -2.9018 -2.8349 -2.7742 -2.7188 -2.6682 -2.6219 -2.5800
 -2.5462
 -8.2747 -7.6707 -7.1466 -6.7031 -6.3342 -6.0287 -5.7735 -5.5574 -5.3715 -5.2080
 -5.0607 -4.9254 -4.7992 -4.6755 -4.5428 -4.1829 -3.8685 -3.6297 -3.4463 -3.2989
 -3.1776 -3.0770 -2.9937 -2.9242 -2.8641 -2.8102 -2.7610 -2.7154 -2.6736 -2.6360
 -2.6032
 -8.4434 -7.8413 -7.2980 -6.8321 -6.4385 -6.1096 -5.8333 -5.5980 -5.3945 -5.2155
 -5.0552 -4.9085 -4.7717 -4.6427 -4.5189 -4.2015 -3.8879 -3.6394 -3.4516 -3.3040
 -3.1844 -3.0868 -3.0075 -2.9431 -2.8895 -2.8425 -2.8001 -2.7608 -2.7244 -2.6911
 -2.6613
 -8.5548 -7.9777 -7.4480 -6.9749 -6.5680 -6.2209 -5.9255 -5.6716 -5.4505 -5.2552
 -5.0802 -4.9212 -4.7745 -4.6372 -4.5072 -4.2064 -3.9148 -3.6573 -3.4614 -3.3107
 -3.1910 -3.0945 -3.0174 -2.9566 -2.9083 -2.8680 -2.8328 -2.8006 -2.7706 -2.7428
 -2.7175
 -8.6041 -8.0667 -7.5636 -7.1051 -6.6997 -6.3452 -6.0371 -5.7679 -5.5309 -5.3200
 -5.1304 -4.9584 -4.8006 -4.6543 -4.5077 -4.1976 -3.9492 -3.6834 -3.4757
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value = BX   
 -9.3831 -9.1870 -8.9891 -8.7756 -8.5325 -8.2054 -7.7394 -7.1452 -6.6082 -6.1878
 -5.8593 -5.5849 -5.3466 -5.1351 -4.9464 -4.5512 -4.2269 -3.9358 -3.6656
 -8.8976 -8.6753 -8.4577 -8.2348 -7.9904 -7.6931 -7.2933 -6.8112 -6.3594 -5.9857
 -5.6799 -5.4195 -5.1888 -4.9818 -4.7956 -4.4091 -4.0998 -3.8330 -3.5933 -3.3765
 -8.5267 -8.2738 -8.0316 -7.7942 -7.5511 -7.2823 -6.9506 -6.5578 -6.1753 -5.8412
 -5.5573 -5.3098 -5.0870 -4.8836 -4.6988 -4.3147 -4.0139 -3.7625 -3.5419 -3.3448
 -3.1702
 -8.2732 -7.9819 -7.7091 -7.4501 -7.1988 -6.9457 -6.6681 -6.3470 -6.0232 -5.7277
 -5.4672 -5.2348 -5.0214 -4.8230 -4.6397 -4.2547 -3.9570 -3.7148 -3.5072 -3.3246
 -3.1631 -3.0228
 -8.0562 -7.7323 -7.4524 -7.1876 -6.9295 -6.6784 -6.4299 -6.1635 -5.8895 -5.6301
