 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  i   
 -2.8134 -1.6533 -0.3463 -0.0857 -1.2284 -3.5263 -2.7126 -1.3685 -0.5624 -0.4990
 -0.4156 -0.4300 -0.8262 -1.3243 -1.5756 -1.4277
 -2.7669 -2.2544 -1.6015 -1.3886 -1.7511 -2.7576 -2.3995 -1.7985 -1.3584 -1.1974
 -1.0752 -1.0447 -1.1967 -1.4051 -1.5082 -1.3909 -1.3144 -1.2785 -1.3290
 -2.5229 -2.3724 -2.1327 -1.9771 -1.9394 -2.1632 -2.0628 -1.8994 -1.7267 -1.5777
 -1.4722 -1.4243 -1.4325 -1.4611 -1.4665 -1.3751 -1.3305 -1.3028 -1.3147 -1.3320
 -1.3249
 -2.0814 -2.0073 -1.9399 -1.8512 -1.7931 -1.7430 -1.7025 -1.6711 -1.6672 -1.6398
 -1.6067 -1.5688 -1.5337 -1.4922 -1.4505 -1.3803 -1.3349 -1.3170 -1.3166 -1.3286
 -1.3473 -1.3709 -1.3987
 -1.8529 -1.8181 -1.7832 -1.7371 -1.6975 -1.6591 -1.6244 -1.5944 -1.5696 -1.5483
 -1.5267 -1.5024 -1.4779 -1.4517 -1.4237 -1.3711 -1.3448 -1.3360 -1.3386 -1.3495
 -1.3664 -1.3879 -1.4132 -1.4426 -1.4770
 -1.6430 -1.6385 -1.6301 -1.6162 -1.5967 -1.5737 -1.5495 -1.5260 -1.5043 -1.4848
 -1.4674 -1.4511 -1.4338 -1.4178 -1.3993 -1.3611 -1.3469 -1.3465 -1.3538 -1.3662
 -1.3831 -1.4038 -1.4277 -1.4548 -1.4852 -1.5197
 -1.4517 -1.4685 -1.4806 -1.4885 -1.4907 -1.4868 -1.4778 -1.4659 -1.4526 -1.4387
 -1.4251 -1.4123 -1.4002 -1.3895 -1.3773 -1.3503 -1.3412 -1.3485 -1.3622 -1.3787
 -1.3974 -1.4186 -1.4423 -1.4681 -1.4963 -1.5274 -1.5620 -1.6028 -1.6507 -1.7014
 -1.2791 -1.3081 -1.3347 -1.3591 -1.3795 -1.3941 -1.4022 -1.4047 -1.4026 -1.3975
 -1.3904 -1.3821 -1.3735 -1.3652 -1.3573 -1.3384 -1.3316 -1.3418 -1.3616 -1.3842
 -1.4072 -1.4309 -1.4557 -1.4818 -1.5092 -1.5384 -1.5694 -1.6046 -1.6464 -1.6955
 -1.7479
 -1.1319 -1.1659 -1.2004 -1.2352 -1.2680 -1.2971 -1.3209 -1.3382 -1.3490 -1.3545
 -1.3557 -1.3538 -1.3500 -1.3450 -1.3393 -1.3263 -1.3209 -1.3302 -1.3525 -1.3807
 -1.4098 -1.4381 -1.4659 -1.4939 -1.5222 -1.5512 -1.5816 -1.6134 -1.6491 -1.6912
 -1.7413
 -1.0081 -1.0450 -1.0837 -1.1240 -1.1640 -1.2024 -1.2373 -1.2671 -1.2905 -1.3070
 -1.3176 -1.3233 -1.3254 -1.3249 -1.3224 -1.3135 -1.3100 -1.3177 -1.3390 -1.3696
 -1.4040 -1.4384 -1.4714 -1.5031 -1.5339 -1.5643 -1.5949 -1.6264 -1.6596 -1.6968
 -1.7382
 -0.9093 -0.9461 -0.9852 -1.0263 -1.0690 -1.1118 -1.1533 -1.1918 -1.2256 -1.2530
 -1.2735 -1.2879 -1.2973 -1.3025 -1.3044 -1.3016 -1.2991 -1.3061 -1.3249 -1.3541
 -1.3905 -1.4297 -1.4685 -1.5055 -1.5406 -1.5740 -1.6066 -1.6389 -1.6715 -1.7055
 -1.7418
 -0.8373 -0.8692 -0.9051 -0.9444 -0.9868 -1.0303 -1.0745 -1.1175 -1.1578 -1.1928
 -1.2220 -1.2455 -1.2635 -1.2761 -1.2838 -1.2893 -1.2892 -1.2954 -1.3122 -1.3393
 -1.3745 -1.4151 -1.4580 -1.5004 -1.5408 -1.5788 -1.6150 -1.6498 -1.6837 -1.7177
 -1.7527
 -0.7921 -0.8144 -0.8434 -0.8783 -0.9174 -0.9579 -1.0037 -1.0482 -1.0914 -1.1308
 -1.1661 -1.1976 -1.2256 -1.2457 -1.2605 -1.2766 -1.2803 -1.2856 -1.3009
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value =  i   
 -2.0098 -1.9004 -1.8381 -1.8268 -1.8744 -2.1212 -2.0086 -1.8870 -1.7911 -1.7174
 -1.6114 -1.5120 -1.4942 -1.5171 -1.5093 -1.3673
 -2.0222 -1.9146 -1.8416 -1.8063 -1.8142 -1.9365 -1.8876 -1.8277 -1.7718 -1.7202
 -1.6537 -1.5878 -1.5508 -1.5293 -1.4962 -1.3726 -1.3025 -1.2731 -1.2684
 -2.0111 -1.9100 -1.8330 -1.7823 -1.7616 -1.7957 -1.7834 -1.7626 -1.7349 -1.7014
 -1.6635 -1.6221 -1.5782 -1.5324 -1.4854 -1.3778 -1.3192 -1.2954 -1.2926 -1.3035
 -1.3231
 -1.9765 -1.8866 -1.8123 -1.7548 -1.7164 -1.6988 -1.6960 -1.6920 -1.6804 -1.6611
 -1.6407 -1.6150 -1.5763 -1.5263 -1.4769 -1.3829 -1.3331 -1.3145 -1.3139 -1.3243
 -1.3422 -1.3658 -1.3943
 -1.9184 -1.8444 -1.7795 -1.7238 -1.6787 -1.6458 -1.6254 -1.6156 -1.6084 -1.5992
