 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F480M
 -0.5280 -0.6003 -0.6732 -0.7463 -0.8197 -1.0015 -1.1756 -1.3384 -1.4916 -1.6396
 -1.7883 -1.9350 -2.0752 -2.2087 -2.3363 -2.4586 -2.5762 -2.6896 -2.7992 -2.9052
 -3.0079
 -0.0443 -0.0818 -0.1155 -0.1505 -0.1885 -0.2329 -0.2835 -0.3404 -0.4028 -0.4691
 -0.5372 -0.6064 -0.6762 -0.7462 -0.8163 -0.9923 -1.1656 -1.3306 -1.4858 -1.6347
 -1.7837 -1.9319 -2.0739 -2.2088 -2.3372 -2.4600 -2.5778 -2.6912 -2.8005 -2.9061
 -3.0102
 -0.0968 -0.1400 -0.1767 -0.2110 -0.2445 -0.2828 -0.3263 -0.3749 -0.4293 -0.4896
 -0.5532 -0.6187 -0.6852 -0.7522 -0.8195 -0.9882 -1.1571 -1.3217 -1.4786 -1.6283
 -1.7767 -1.9255 -2.0696 -2.2066 -2.3365 -2.4603 -2.5789 -2.6927 -2.8021 -2.9077
 -3.0097
 -0.1464 -0.2000 -0.2429 -0.2783 -0.3102 -0.3429 -0.3803 -0.4224 -0.4687 -0.5207
 -0.5780 -0.6385 -0.7010 -0.7645 -0.8287 -0.9901 -1.1526 -1.3141 -1.4709
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F480M
  0.1667  0.1046  0.0490 -0.0143 -0.0786 -0.1456 -0.2182 -0.2899 -0.3543 -0.4304
 -0.5124 -0.5927 -0.6706 -0.7460 -0.8188 -0.9901 -1.1467 -1.2888 -1.4228
  0.2231  0.1332  0.0531 -0.0121 -0.0845 -0.1588 -0.2343 -0.3098 -0.3791 -0.4589
 -0.5418 -0.6232 -0.7024 -0.7791 -0.8533 -1.0275 -1.1854 -1.3256 -1.4545 -1.5860
  0.2322  0.1689  0.0876 -0.0052 -0.0804 -0.1576 -0.2374 -0.3161 -0.3907 -0.4681
 -0.5508 -0.6326 -0.7126 -0.7904 -0.8657 -1.0428 -1.2033 -1.3453 -1.4751 -1.6072
 -1.7487
  0.2260  0.1690  0.1044  0.0276 -0.0638 -0.1529 -0.2330 -0.3141 -0.3932 -0.4686
 -0.5500 -0.6317 -0.7120 -0.7904 -0.8665 -1.0462 -1.2099 -1.3559 -1.4893 -1.6221
 -1.7619 -1.9041
  0.2136  0.1587  0.0993  0.0325 -0.0440 -0.1295 -0.2217 -0.3085 -0.3895 -0.4673
 -0.5450 -0.6259 -0.7062 -0.7848 -0.8615 -1.0433 -1.2102 -1.3610 -1.4987 -1.6328
 -1.7713 -1.9126 -2.0504 -2.1833
  0.1946  0.1433  0.0865  0.0246 -0.0449 -0.1213 -0.2033 -0.2898 -0.3785 -0.4626
 -0.5401 -0.6189 -0.6983 -0.7768 -0.8537 -1.0370 -1.2067 -1.3620 -1.5043 -1.6403
 -1.7781 -1.9187 -2.0563 -2.1888 -2.3166 -2.4402 -2.5598 -2.6757 -2.7881 -2.8973
  0.1678  0.1219  0.0693  0.0108 -0.0536 -0.1244 -0.2006 -0.2803 -0.3623 -0.4463
 -0.5296 -0.6108 -0.6904 -0.7683 -0.8449 -1.0291 -1.2010 -1.3601 -1.5067 -1.6451
 -1.7829 -1.9229 -2.0605 -2.1930 -2.3203 -2.4432 -2.5620 -2.6769 -2.7883 -2.8964
 -3.0021
  0.1336  0.0925  0.0458 -0.0078 -0.0680 -0.1342 -0.2055 -0.2806 -0.3581 -0.4369
 -0.5162 -0.5963 -0.6774 -0.7575 -0.8354 -1.0205 -1.1940 -1.3559 -1.5062 -1.6474
 -1.7857 -1.9255 -2.0632 -2.1961 -2.3234 -2.4459 -2.5641 -2.6783 -2.7889 -2.8962
 -3.0004
  0.0940  0.0548  0.0133 -0.0342 -0.0888 -0.1502 -0.2170 -0.2878 -0.3616 -0.4370
 -0.5130 -0.5894 -0.6668 -0.7450 -0.8231 -1.0122 -1.1881 -1.3523 -1.5055 -1.6494
 -1.7889 -1.9288 -2.0671 -2.2006 -2.3284 -2.4511 -2.5694 -2.6835 -2.7938 -2.9004
 -3.0036
  0.0513  0.0127 -0.0270 -0.0688 -0.1170 -0.1721 -0.2332 -0.2991 -0.3686 -0.4405
 -0.5136 -0.5873 -0.6614 -0.7362 -0.8112 -0.9978 -1.1774 -1.3445 -1.5000 -1.6461
 -1.7867 -1.9268 -2.0658 -2.2002 -2.3288 -2.4520 -2.5704 -2.6844 -2.7944 -2.9007
 -3.0035
  0.0084 -0.0357 -0.0740 -0.1124 -0.1547 -0.2031 -0.2576 -0.3175 -0.3819 -0.4496
 -0.5194 -0.5903 -0.6617 -0.7336 -0.8058 -0.9861 -1.1640 -1.3343 -1.4927 -1.6407
 -1.7822 -1.9225 -2.0623 -2.1980 -2.3278 -2.4519 -2.5710 -2.6853 -2.7954 -2.9017
 -3.0044
 -0.0331 -0.0829 -0.1244 -0.1621 -0.2013 -0.2441 -0.2918 -0.3450 -0.4030 -0.4655
 -0.5312 -0.5988 -0.6673 -0.7365 -0.8060 -0.9798 -1.1527 -1.3221 -1.4832
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = F480M
  0.1454  0.0954  0.0409 -0.0204 -0.0827 -0.1483 -0.2199 -0.2921 -0.3574 -0.4327
 -0.5155 -0.5965 -0.6752 -0.7513 -0.8249 -0.9977 -1.1556 -1.2991 -1.4315
  0.2010  0.1115  0.0509 -0.0156 -0.0886 -0.1615 -0.2371 -0.3128 -0.3822 -0.4620
 -0.5455 -0.6276 -0.7076 -0.7852 -0.8603 -1.0365 -1.1963 -1.3383 -1.4665 -1.5929
  0.2301  0.1607  0.0675 -0.0073 -0.0807 -0.1605 -0.2402 -0.3192 -0.3944 -0.4712
 -0.5545 -0.6369 -0.7176 -0.7961 -0.8723 -1.0514 -1.2139 -1.3578 -1.4871 -1.6143
 -1.7488
  0.2283  0.1722  0.1041  0.0171 -0.0732 -0.1518 -0.2341 -0.3167 -0.3962 -0.4712
 -0.5532 -0.6354 -0.7164 -0.7955 -0.8724 -1.0541 -1.2195 -1.3671 -1.5002 -1.6293
 -1.7627 -1.9013
  0.2190  0.1648  0.1058  0.0361 -0.0458 -0.1382 -0.2263 -0.3087 -0.3913 -0.4694
 -0.5474 -0.6289 -0.7097 -0.7891 -0.8665 -1.0502 -1.2185 -1.3705 -1.5084 -1.6398
 -1.7726 -1.9099 -2.0468 -2.1796
  0.2050  0.1521  0.0954  0.0330 -0.0388 -0.1190 -0.2057 -0.2965 -0.3831 -0.4645
 -0.5414 -0.6206 -0.7008 -0.7800 -0.8577 -1.0428 -1.2139 -1.3701 -1.5128 -1.6469
 -1.7798 -1.9161 -2.0524 -2.1848 -2.3125 -2.4362 -2.5563 -2.6728 -2.7856 -2.8948
  0.1851  0.1355  0.0807  0.0213 -0.0444 -0.1176 -0.1964 -0.2790 -0.3648 -0.4518
 -0.5354 -0.6130 -0.6917 -0.7703 -0.8478 -1.0340 -1.2072 -1.3670 -1.5141 -1.6512
 -1.7849 -1.9204 -2.0564 -2.1886 -2.3160 -2.4390 -2.5581 -2.6736 -2.7855 -2.8939
 -2.9972
  0.1587  0.1134  0.0625  0.0060 -0.0562 -0.1242 -0.1975 -0.2748 -0.3548 -0.4362
 -0.5187 -0.6004 -0.6812 -0.7606 -0.8381 -1.0245 -1.1993 -1.3620 -1.5128 -1.6530
