 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F350LP
 -3.1980 -2.0107 -0.6915 -0.4734 -1.7616 -4.1576 -3.3621 -2.0144 -1.2177 -1.1708
 -1.0916 -1.0813 -1.4754 -1.9623 -2.2041 -1.9875
 -3.1780 -2.6669 -2.0386 -1.8791 -2.3365 -3.4097 -3.0826 -2.4908 -2.0527 -1.8898
 -1.7596 -1.7129 -1.8580 -2.0551 -2.1430 -1.9593 -1.8326 -1.7491 -1.7466
 -3.0122 -2.8767 -2.6690 -2.5552 -2.5650 -2.8233 -2.7477 -2.5943 -2.4192 -2.2615
 -2.1446 -2.0859 -2.0843 -2.1009 -2.0895 -1.9370 -1.8293 -1.7534 -1.7196 -1.6937
 -1.6423
 -2.7006 -2.6401 -2.5827 -2.5017 -2.4470 -2.3983 -2.3574 -2.3250 -2.3173 -2.2859
 -2.2467 -2.2003 -2.1544 -2.0997 -2.0436 -1.9206 -1.8232 -1.7563 -1.7110 -1.6816
 -1.6607 -1.6456 -1.6337
 -2.4972 -2.4687 -2.4375 -2.3930 -2.3526 -2.3117 -2.2729 -2.2380 -2.2076 -2.1798
 -2.1503 -2.1162 -2.0798 -2.0399 -1.9964 -1.8964 -1.8191 -1.7638 -1.7251 -1.6981
 -1.6789 -1.6648 -1.6540 -1.6463 -1.6418
 -2.3060 -2.3022 -2.2926 -2.2757 -2.2518 -2.2230 -2.1918 -2.1604 -2.1303 -2.1021
 -2.0755 -2.0488 -2.0196 -1.9899 -1.9562 -1.8748 -1.8119 -1.7667 -1.7349 -1.7119
 -1.6954 -1.6832 -1.6740 -1.6669 -1.6618 -1.6593
 -2.1270 -2.1406 -2.1480 -2.1498 -2.1445 -2.1322 -2.1141 -2.0922 -2.0686 -2.0442
 -2.0202 -1.9966 -1.9730 -1.9495 -1.9230 -1.8558 -1.8016 -1.7650 -1.7404 -1.7230
 -1.7102 -1.7008 -1.6938 -1.6882 -1.6839 -1.6812 -1.6806 -1.6847 -1.6955 -1.7130
 -1.9601 -1.9839 -2.0037 -2.0199 -2.0310 -2.0355 -2.0330 -2.0243 -2.0109 -1.9943
 -1.9757 -1.9561 -1.9361 -1.9159 -1.8951 -1.8393 -1.7911 -1.7586 -1.7397 -1.7284
 -1.7210 -1.7156 -1.7118 -1.7089 -1.7065 -1.7048 -1.7036 -1.7055 -1.7130 -1.7279
 -1.7500
 -1.8142 -1.8414 -1.8677 -1.8933 -1.9159 -1.9342 -1.9467 -1.9523 -1.9513 -1.9449
 -1.9341 -1.9205 -1.9051 -1.8885 -1.8709 -1.8246 -1.7811 -1.7502 -1.7335 -1.7268
 -1.7251 -1.7252 -1.7259 -1.7268 -1.7276 -1.7283 -1.7294 -1.7306 -1.7349 -1.7455
 -1.7645
 -1.6868 -1.7163 -1.7465 -1.7773 -1.8070 -1.8345 -1.8581 -1.8763 -1.8879 -1.8925
 -1.8912 -1.8850 -1.8753 -1.8632 -1.8492 -1.8097 -1.7710 -1.7412 -1.7246 -1.7195
 -1.7218 -1.7275 -1.7340 -1.7400 -1.7453 -1.7496 -1.7536 -1.7576 -1.7624 -1.7705
 -1.7821
 -1.5794 -1.6098 -1.6411 -1.6732 -1.7061 -1.7385 -1.7690 -1.7963 -1.8188 -1.8346
 -1.8434 -1.8461 -1.8438 -1.8375 -1.8280 -1.7959 -1.7614 -1.7329 -1.7157 -1.7097
 -1.7131 -1.7224 -1.7342 -1.7461 -1.7569 -1.7662 -1.7744 -1.7818 -1.7888 -1.7965
 -1.8050
 -1.4946 -1.5219 -1.5514 -1.5830 -1.6166 -1.6505 -1.6846 -1.7171 -1.7466 -1.7705
 -1.7885 -1.8007 -1.8074 -1.8088 -1.8053 -1.7824 -1.7519 -1.7249 -1.7072 -1.7003
 -1.7027 -1.7127 -1.7276 -1.7444 -1.7610 -1.7761 -1.7896 -1.8016 -1.8125 -1.8228
 -1.8336
 -1.4324 -1.4525 -1.4774 -1.5067 -1.5385 -1.5705 -1.6073 -1.6421 -1.6752 -1.7043
 -1.7291 -1.7499 -1.7670 -1.7771 -1.7812 -1.7692 -1.7425 -1.7172 -1.6991
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value =F350LP
 -2.6592 -2.5652 -2.5131 -2.5109 -2.5661 -2.8093 -2.6925 -2.5718 -2.4793 -2.4078
 -2.2989 -2.1921 -2.1671 -2.1825 -2.1614 -1.9739
 -2.6770 -2.5802 -2.5128 -2.4813 -2.4920 -2.6114 -2.5593 -2.4977 -2.4406 -2.3868
 -2.3154 -2.2420 -2.1964 -2.1651 -2.1188 -1.9520 -1.8295 -1.7459 -1.6896
 -2.6711 -2.5769 -2.5017 -2.4505 -2.4284 -2.4593 -2.4436 -2.4190 -2.3865 -2.3474
 -2.3026 -2.2530 -2.1991 -2.1418 -2.0815 -1.9329 -1.8248 -1.7502 -1.6996 -1.6654
 -1.6417
 -2.6415 -2.5553 -2.4798 -2.4185 -2.3754 -2.3530 -2.3454 -2.3356 -2.3171 -2.2898
 -2.2606 -2.2251 -2.1751 -2.1124 -2.0495 -1.9166 -1.8207 -1.7547 -1.7098 -1.6790
 -1.6573 -1.6418 -1.6297
 -2.5882 -2.5154 -2.4471 -2.3853 -2.3329 -2.2925 -2.2647 -2.2476 -2.2323 -2.2139
 -2.1893 -2.1584 -2.1244 -2.0770 -2.0228 -1.9031 -1.8172 -1.7594 -1.7201 -1.6927
 -1.6732 -1.6591 -1.6487 -1.6414 -1.6374
 -2.5112 -2.4572 -2.4036 -2.3509 -2.3009 -2.2565 -2.2198 -2.1910 -2.1681 -2.1483
