 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F1000W
 -1.1588 -1.2806 -1.3950 -1.4912 -1.5667 -1.6264 -1.6780 -1.7273 -1.7828 -1.8509
 -1.9138 -1.9775 -2.0489 -2.1182 -2.1916 -2.3788 -2.5660 -2.7461 -2.9151
 -1.1400 -1.2563 -1.3697 -1.4769 -1.5764 -1.6670 -1.7480 -1.8191 -1.8822 -1.9379
 -1.9864 -2.0321 -2.0864 -2.1543 -2.2284 -2.4155 -2.5992 -2.7775 -2.9471 -3.1080
 -1.1277 -1.2396 -1.3502 -1.4600 -1.5685 -1.6729 -1.7699 -1.8568 -1.9316 -1.9916
 -2.0405 -2.0803 -2.1228 -2.1842 -2.2567 -2.4432 -2.6249 -2.8016 -2.9713 -3.1328
 -3.2860
 -1.1219 -1.2305 -1.3365 -1.4405 -1.5430 -1.6441 -1.7437 -1.8404 -1.9310 -2.0120
 -2.0761 -2.1221 -2.1581 -2.2079 -2.2765 -2.4619 -2.6431 -2.8184 -2.9877 -3.1493
 -3.3028 -3.4488
 -1.1221 -1.2276 -1.3303 -1.4300 -1.5274 -1.6228 -1.7163 -1.8075 -1.8969 -1.9842
 -2.0674 -2.1384 -2.1866 -2.2304 -2.2924 -2.4746 -2.6556 -2.8301 -2.9988 -3.1604
 -3.3140 -3.4602 -3.5995 -3.7328
 -1.1293 -1.2307 -1.3298 -1.4261 -1.5197 -1.6111 -1.7003 -1.7874 -1.8720 -1.9541
 -2.0352 -2.1157 -2.1856 -2.2375 -2.3015 -2.4830 -2.6638 -2.8378 -3.0062 -3.1678
 -3.3217 -3.4681 -3.6075 -3.7408 -3.8685 -3.9912 -4.1101 -4.2255 -4.3375 -4.4473
 -1.1475 -1.2418 -1.3356 -1.4277 -1.5179 -1.6059 -1.6921 -1.7763 -1.8585 -1.9382
 -2.0156 -2.0919 -2.1685 -2.2297 -2.2930 -2.4851 -2.6681 -2.8424 -3.0105 -3.1724
 -3.3266 -3.4734 -3.6132 -3.7466 -3.8743 -3.9967 -4.1149 -4.2292 -4.3401 -4.4481
 -4.5545
 -1.1816 -1.2661 -1.3515 -1.4369 -1.5220 -1.6062 -1.6892 -1.7709 -1.8511 -1.9297
 -2.0060 -2.0805 -2.1542 -2.2235 -2.2832 -2.4752 -2.6658 -2.8431 -3.0120 -3.1744
 -3.3293 -3.4767 -3.6170 -3.7508 -3.8788 -4.0013 -4.1190 -4.2327 -4.3427 -4.4495
 -4.5538
 -1.2327 -1.3079 -1.3835 -1.4594 -1.5366 -1.6147 -1.6933 -1.7718 -1.8498 -1.9269
 -2.0026 -2.0768 -2.1496 -2.2204 -2.2817 -2.4661 -2.6580 -2.8401 -3.0123 -3.1766
 -3.3327 -3.4811 -3.6221 -3.7566 -3.8851 -4.0079 -4.1259 -4.2393 -4.3488 -4.4550
 -4.5582
 -1.2921 -1.3621 -1.4301 -1.4965 -1.5639 -1.6334 -1.7049 -1.7782 -1.8526 -1.9271
 -2.0013 -2.0747 -2.1470 -2.2178 -2.2839 -2.4587 -2.6461 -2.8295 -3.0044 -3.1718
