 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F850LP
 -0.4720 -0.4971 -0.5626 -0.6146 -0.6378 -0.6592 -0.7053 -0.7596 -0.7929 -0.7935
 -0.7755 -0.7440 -0.7073 -0.6741 -0.6442 -0.5961 -0.5907 -0.6149 -0.6459
 -0.5214 -0.5183 -0.5386 -0.5666 -0.6001 -0.6385 -0.6784 -0.7143 -0.7416 -0.7577
 -0.7607 -0.7496 -0.7260 -0.6970 -0.6701 -0.6270 -0.6213 -0.6445 -0.6796 -0.7220
 -0.5551 -0.5408 -0.5380 -0.5491 -0.5776 -0.6145 -0.6482 -0.6774 -0.7037 -0.7268
 -0.7412 -0.7445 -0.7341 -0.7126 -0.6899 -0.6522 -0.6468 -0.6691 -0.7063 -0.7493
 -0.7944
 -0.5731 -0.5646 -0.5608 -0.5621 -0.5703 -0.5872 -0.6147 -0.6489 -0.6792 -0.7008
 -0.7170 -0.7287 -0.7316 -0.7209 -0.7036 -0.6717 -0.6672 -0.6887 -0.7259 -0.7690
 -0.8141 -0.8599
 -0.5647 -0.5670 -0.5696 -0.5723 -0.5764 -0.5838 -0.5961 -0.6137 -0.6371 -0.6634
 -0.6854 -0.7016 -0.7147 -0.7180 -0.7091 -0.6846 -0.6815 -0.7026 -0.7405 -0.7845
 -0.8305 -0.8770 -0.9235 -0.9696
 -0.5291 -0.5446 -0.5577 -0.5672 -0.5740 -0.5800 -0.5874 -0.5973 -0.6102 -0.6256
 -0.6433 -0.6611 -0.6776 -0.6926 -0.6986 -0.6897 -0.6892 -0.7101 -0.7493 -0.7956
 -0.8433 -0.8914 -0.9393 -0.9869 -1.0336 -1.0798 -1.1260 -1.1747 -1.2275 -1.2820
 -0.4688 -0.4982 -0.5235 -0.5431 -0.5571 -0.5671 -0.5751 -0.5830 -0.5922 -0.6027
 -0.6142 -0.6264 -0.6390 -0.6545 -0.6675 -0.6823 -0.6897 -0.7113 -0.7512 -0.8007
 -0.8519 -0.9024 -0.9524 -1.0017 -1.0503 -1.0980 -1.1454 -1.1927 -1.2430 -1.2982
 -1.3556
 -0.3896 -0.4309 -0.4680 -0.4991 -0.5229 -0.5406 -0.5534 -0.5636 -0.5729 -0.5824
 -0.5923 -0.6023 -0.6123 -0.6232 -0.6362 -0.6605 -0.6811 -0.7063 -0.7466 -0.7987
 -0.8542 -0.9087 -0.9617 -1.0136 -1.0644 -1.1142 -1.1632 -1.2119 -1.2612 -1.3130
 -1.3705
 -0.2996 -0.3494 -0.3958 -0.4370 -0.4712 -0.4983 -0.5189 -0.5347 -0.5477 -0.5592
 -0.5701 -0.5808 -0.5909 -0.6008 -0.6123 -0.6378 -0.6651 -0.6962 -0.7376 -0.7911
 -0.8503 -0.9096 -0.9670 -1.0224 -1.0761 -1.1284 -1.1797 -1.2302 -1.2805 -1.3316
 -1.3856
 -0.2055 -0.2600 -0.3124 -0.3608 -0.4038 -0.4401 -0.4699 -0.4937 -0.5129 -0.5290
 -0.5432 -0.5564 -0.5686 -0.5803 -0.5919 -0.6189 -0.6479 -0.6828 -0.7255 -0.7786
 -0.8394 -0.9024 -0.9644 -1.0241 -1.0817 -1.1372 -1.1913 -1.2441 -1.2960 -1.3478
 -1.4005
 -0.1085 -0.1669 -0.2233 -0.2761 -0.3249 -0.3690 -0.4072 -0.4396 -0.4667 -0.4895
 -0.5091 -0.5266 -0.5425 -0.5572 -0.5711 -0.6027 -0.6328 -0.6693 -0.7131 -0.7654
 -0.8255 -0.8900 -0.9553 -1.0194 -1.0811 -1.1404 -1.1979 -1.2536 -1.3079 -1.3614
 -1.4149
 -0.0087 -0.0701 -0.1320 -0.1871 -0.2397 -0.2887 -0.3336 -0.3738 -0.4089 -0.4394
 -0.4659 -0.4893 -0.5104 -0.5295 -0.5499 -0.5892 -0.6198 -0.6557 -0.7004
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =F850LP
 -0.5766 -0.5852 -0.6084 -0.6411 -0.6789 -0.7168 -0.7504 -0.7762 -0.7918 -0.7955
 -0.7856 -0.7632 -0.7322 -0.6995 -0.6693 -0.6164 -0.5984 -0.6139 -0.6488
 -0.5225 -0.5207 -0.5387 -0.5708 -0.6110 -0.6539 -0.6950 -0.7303 -0.7572 -0.7737
 -0.7777 -0.7680 -0.7463 -0.7190 -0.6930 -0.6466 -0.6306 -0.6441 -0.6775 -0.7194
 -0.5218 -0.5010 -0.5053 -0.5288 -0.5618 -0.6017 -0.6440 -0.6838 -0.7177 -0.7437
 -0.7595 -0.7632 -0.7532 -0.7327 -0.7107 -0.6706 -0.6569 -0.6691 -0.7012 -0.7427
 -0.7870
 -0.5473 -0.5161 -0.5071 -0.5173 -0.5413 -0.5739 -0.6108 -0.6480 -0.6815 -0.7107
 -0.7332 -0.7474 -0.7503 -0.7396 -0.7224 -0.6884 -0.6773 -0.6889 -0.7199 -0.7613
 -0.8062 -0.8521
 -0.5689 -0.5466 -0.5338 -0.5332 -0.5433 -0.5618 -0.5865 -0.6159 -0.6484 -0.6809
 -0.7058 -0.7243 -0.7360 -0.7375 -0.7273 -0.7001 -0.6916 -0.7036 -0.7339 -0.7757
 -0.8215 -0.8684 -0.9154 -0.9620
 -0.5690 -0.5557 -0.5490 -0.5469 -0.5488 -0.5555 -0.5675 -0.5847 -0.6069 -0.6350
 -0.6647 -0.6901 -0.7104 -0.7227 -0.7236 -0.7055 -0.7001 -0.7128 -0.7431 -0.7859
 -0.8334 -0.8819 -0.9304 -0.9785 -1.0260 -1.0730 -1.1201 -1.1697 -1.2229 -1.2771
 -0.5445 -0.5432 -0.5454 -0.5497 -0.5543 -0.5596 -0.5665 -0.5763 -0.5891 -0.6043
 -0.6221 -0.6429 -0.6650 -0.6862 -0.7013 -0.7044 -0.7028 -0.7166 -0.7471 -0.7911
 -0.8412 -0.8922 -0.9428 -0.9928 -1.0421 -1.0906 -1.1389 -1.1872 -1.2382 -1.2936
 -1.3509
 -0.4955 -0.5078 -0.5212 -0.5342 -0.5455 -0.5545 -0.5619 -0.5691 -0.5775 -0.5876
 -0.5988 -0.6111 -0.6251 -0.6423 -0.6609 -0.6895 -0.6995 -0.7153 -0.7459 -0.7907
 -0.8436 -0.8981 -0.9516 -1.0041 -1.0556 -1.1061 -1.1561 -1.2058 -1.2559 -1.3084
 -1.3661
 -0.4235 -0.4491 -0.4751 -0.4990 -0.5191 -0.5351 -0.5472 -0.5564 -0.5645 -0.5728
 -0.5817 -0.5912 -0.6010 -0.6120 -0.6262 -0.6599 -0.6866 -0.7092 -0.7408 -0.7858
 -0.8407 -0.8990 -0.9565 -1.0125 -1.0668 -1.1199 -1.1721 -1.2235 -1.2748 -1.3267
 -1.3813
 -0.3356 -0.3726 -0.4093 -0.4436 -0.4736 -0.4985 -0.5180 -0.5328 -0.5443 -0.5542
 -0.5634 -0.5728 -0.5822 -0.5917 -0.6023 -0.6327 -0.6648 -0.6966 -0.7314 -0.7762
 -0.8315 -0.8924 -0.9540 -1.0140 -1.0720 -1.1282 -1.1831 -1.2368 -1.2897 -1.3425
 -1.3960
 -0.2387 -0.2832 -0.3286 -0.3714 -0.4103 -0.4443 -0.4725 -0.4951 -0.5130 -0.5274
 -0.5397 -0.5512 -0.5621 -0.5728 -0.5835 -0.6119 -0.6437 -0.6800 -0.7193 -0.7647
 -0.8193 -0.8810 -0.9453 -1.0093 -1.0714 -1.1313 -1.1894 -1.2459 -1.3011 -1.3556
 -1.4098
 -0.1342 -0.1868 -0.2377 -0.2867 -0.3327 -0.3745 -0.4111 -0.4421 -0.4679 -0.4892
 -0.5070 -0.5227 -0.5372 -0.5508 -0.5698 -0.5975 -0.6233 -0.6594 -0.7045
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =F850LP
 -0.7485 -0.7419 -0.7463 -0.7573 -0.7725 -0.7875 -0.7982 -0.8032 -0.8070 -0.8056
 -0.7945 -0.7729 -0.7444 -0.7147 -0.6874 -0.6366 -0.6122 -0.6152 -0.6428
 -0.6565 -0.6465 -0.6516 -0.6673 -0.6898 -0.7152 -0.7389 -0.7584 -0.7754 -0.7865
 -0.7877 -0.7769 -0.7558 -0.7308 -0.7068 -0.6627 -0.6425 -0.6465 -0.6722 -0.7109
 -0.5947 -0.5764 -0.5771 -0.5924 -0.6178 -0.6489 -0.6813 -0.7107 -0.7371 -0.7583
 -0.7708 -0.7720 -0.7606 -0.7411 -0.7205 -0.6823 -0.6659 -0.6709 -0.6953 -0.7331
 -0.7767
 -0.5749 -0.5404 -0.5252 -0.5358 -0.5587 -0.5907 -0.6267 -0.6619 -0.6946 -0.7229
 -0.7445 -0.7568 -0.7571 -0.7456 -0.7291 -0.6961 -0.6832 -0.6895 -0.7132 -0.7504
 -0.7943 -0.8403
 -0.5837 -0.5377 -0.5121 -0.5051 -0.5154 -0.5417 -0.5801 -0.6192 -0.6549 -0.6864
 -0.7126 -0.7323 -0.7434 -0.7427 -0.7323 -0.7050 -0.6952 -0.7029 -0.7268 -0.7637
 -0.8083 -0.8555 -0.9029 -0.9503
 -0.5995 -0.5569 -0.5276 -0.5109 -0.5072 -0.5158 -0.5374 -0.5711 -0.6105 -0.6488
 -0.6808 -0.7045 -0.7212 -0.7304 -0.7289 -0.7093 -0.7024 -0.7118 -0.7363 -0.7734
 -0.8190 -0.8677 -0.9169 -0.9658 -1.0143 -1.0625 -1.1109 -1.1618 -1.2159 -1.2698
 -0.6020 -0.5655 -0.5408 -0.5260 -0.5194 -0.5212 -0.5310 -0.5478 -0.5705 -0.5985
 -0.6310 -0.6631 -0.6893 -0.7075 -0.7165 -0.7091 -0.7055 -0.7166 -0.7418 -0.7794
 -0.8260 -0.8768 -0.9281 -0.9791 -1.0294 -1.0791 -1.1287 -1.1788 -1.2308 -1.2864
 -1.3433
 -0.5875 -0.5594 -0.5412 -0.5313 -0.5277 -0.5287 -0.5339 -0.5434 -0.5572 -0.5741
 -0.5932 -0.6148 -0.6393 -0.6639 -0.6846 -0.7035 -0.7045 -0.7174 -0.7433 -0.7813
 -0.8270 -0.8820 -0.9360 -0.9894 -1.0419 -1.0937 -1.1450 -1.1956 -1.2470 -1.3011
 -1.3589
 -0.5486 -0.5348 -0.5253 -0.5228 -0.5245 -0.5289 -0.5347 -0.5418 -0.5508 -0.5619
 -0.5747 -0.5885 -0.6034 -0.6205 -0.6400 -0.6808 -0.6988 -0.7145 -0.7414 -0.7797
 -0.8281 -0.8832 -0.9403 -0.9969 -1.0523 -1.1066 -1.1601 -1.2129 -1.2656 -1.3189
 -1.3743
 -0.4856 -0.4867 -0.4894 -0.4966 -0.5060 -0.5162 -0.5260 -0.5349 -0.5432 -0.5518
 -0.5613 -0.5716 -0.5825 -0.5941 -0.6073 -0.6459 -0.6810 -0.7070 -0.7356 -0.7737
 -0.8218 -0.8780 -0.9379 -0.9981 -1.0569 -1.1142 -1.1703 -1.2253 -1.2796 -1.3338
 -1.3886
 -0.4018 -0.4168 -0.4331 -0.4506 -0.4691 -0.4871 -0.5034 -0.5171 -0.5284 -0.5382
 -0.5473 -0.5564 -0.5660 -0.5759 -0.5864 -0.6174 -0.6544 -0.6913 -0.7261 -0.7650
 -0.8126 -0.8686 -0.9302 -0.9936 -1.0560 -1.1168 -1.1760 -1.2337 -1.2902 -1.3460
 -1.4016
 -0.2997 -0.3277 -0.3562 -0.3849 -0.4130 -0.4396 -0.4637 -0.4843 -0.5015 -0.5156
 -0.5274 -0.5381 -0.5484 -0.5587 -0.5773 -0.5953 -0.6190 -0.6674 -0.7129
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =F850LP
 -1.0478 -1.0350 -1.0247 -1.0118 -0.9928 -0.9627 -0.9168 -0.8600 -0.8217 -0.8008
 -0.7844 -0.7650 -0.7419 -0.7176 -0.6945 -0.6498 -0.6239 -0.6197 -0.6368
 -0.9059 -0.8916 -0.8854 -0.8820 -0.8770 -0.8661 -0.8444 -0.8143 -0.7956 -0.7872
 -0.7804 -0.7685 -0.7506 -0.7297 -0.7093 -0.6701 -0.6501 -0.6490 -0.6667 -0.6995
 -0.7963 -0.7753 -0.7676 -0.7686 -0.7734 -0.7776 -0.7761 -0.7668 -0.7626 -0.7647
 -0.7671 -0.7641 -0.7532 -0.7367 -0.7189 -0.6843 -0.6684 -0.6702 -0.6887 -0.7208
 -0.7618
 -0.7195 -0.6884 -0.6741 -0.6732 -0.6814 -0.6946 -0.7078 -0.7152 -0.7231 -0.7341
 -0.7451 -0.7513 -0.7490 -0.7387 -0.7243 -0.6942 -0.6815 -0.6857 -0.7053 -0.7373
 -0.7783 -0.8235
 -0.6651 -0.6235 -0.6029 -0.5974 -0.6040 -0.6196 -0.6405 -0.6605 -0.6785 -0.6972
 -0.7155 -0.7300 -0.7370 -0.7348 -0.7255 -0.7003 -0.6905 -0.6968 -0.7175 -0.7498
 -0.7910 -0.8372 -0.8849 -0.9330
 -0.6587 -0.5997 -0.5589 -0.5374 -0.5352 -0.5499 -0.5756 -0.6055 -0.6326 -0.6576
 -0.6811 -0.7017 -0.7169 -0.7238 -0.7217 -0.7033 -0.6961 -0.7043 -0.7261 -0.7590
 -0.8006 -0.8477 -0.8971 -0.9470 -0.9967 -1.0464 -1.0970 -1.1496 -1.2052 -1.2596
 -0.6631 -0.6037 -0.5581 -0.5264 -0.5093 -0.5066 -0.5176 -0.5419 -0.5758 -0.6118
 -0.6442 -0.6707 -0.6909 -0.7048 -0.7113 -0.7030 -0.6987 -0.7087 -0.7315 -0.7651
 -0.8072 -0.8554 -0.9066 -0.9585 -1.0102 -1.0616 -1.1129 -1.1650 -1.2191 -1.2761
 -1.3326
 -0.6619 -0.6054 -0.5620 -0.5307 -0.5104 -0.5010 -0.5023 -0.5134 -0.5332 -0.5598
 -0.5910 -0.6240 -0.6540 -0.6773 -0.6922 -0.6990 -0.6984 -0.7101 -0.7338 -0.7679
 -0.8106 -0.8598 -0.9130 -0.9672 -1.0213 -1.0747 -1.1279 -1.1809 -1.2349 -1.2900
 -1.3487
 -0.6523 -0.5994 -0.5600 -0.5319 -0.5138 -0.5041 -0.5021 -0.5073 -0.5193 -0.5368
 -0.5577 -0.5808 -0.6055 -0.6309 -0.6542 -0.6883 -0.6948 -0.7087 -0.7336 -0.7682
 -0.8114 -0.8616 -0.9166 -0.9735 -1.0303 -1.0863 -1.1416 -1.1964 -1.2511 -1.3065
 -1.3635
 -0.6269 -0.5836 -0.5493 -0.5257 -0.5111 -0.5041 -0.5029 -0.5064 -0.5141 -0.5258
 -0.5407 -0.5574 -0.5748 -0.5927 -0.6114 -0.6577 -0.6863 -0.7038 -0.7300 -0.7649
 -0.8082 -0.8588 -0.9151 -0.9744 -1.0340 -1.0928 -1.1506 -1.2075 -1.2637 -1.3200
 -1.3768
 -0.5775 -0.5477 -0.5245 -0.5077 -0.4982 -0.4954 -0.4973 -0.5023 -0.5096 -0.5187
 -0.5297 -0.5423 -0.5559 -0.5697 -0.5836 -0.6218 -0.6622 -0.6946 -0.7233 -0.7589
 -0.8021 -0.8527 -0.9095 -0.9705 -1.0329 -1.0946 -1.1553 -1.2147 -1.2731 -1.3309
 -1.3884
 -0.5000 -0.4873 -0.4778 -0.4721 -0.4705 -0.4736 -0.4804 -0.4892 -0.4988 -0.5087
