 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  w   
 -1.9801 -1.7498 -1.5428 -1.3742 -1.2408 -1.1350 -1.0504 -0.9817 -0.9243 -0.8717
 -0.8137 -0.7572 -0.7032 -0.6458 -0.5796 -0.4243 -0.3059 -0.2203 -0.1605 -0.1183
 -0.0863 -0.0606 -0.0393 -0.0215
 -1.9637 -1.7362 -1.5279 -1.3466 -1.1944 -1.0706 -0.9724 -0.8966 -0.8395 -0.7978
 -0.7607 -0.7168 -0.6688 -0.6187 -0.5630 -0.4181 -0.3037 -0.2212 -0.1650 -0.1273
 -0.0998 -0.0777 -0.0591 -0.0431 -0.0293 -0.0178 -0.0092 -0.0056 -0.0089 -0.0198
 -1.9307 -1.7178 -1.5180 -1.3409 -1.1891 -1.0614 -0.9559 -0.8704 -0.8020 -0.7468
 -0.7015 -0.6631 -0.6252 -0.5851 -0.5402 -0.4112 -0.3005 -0.2201 -0.1662 -0.1324
 -0.1099 -0.0925 -0.0777 -0.0647 -0.0530 -0.0426 -0.0343 -0.0283 -0.0277 -0.0354
 -0.0515
 -1.8731 -1.6795 -1.4955 -1.3297 -1.1847 -1.0603 -0.9539 -0.8635 -0.7878 -0.7248
 -0.6713 -0.6246 -0.5826 -0.5444 -0.5074 -0.3988 -0.2954 -0.2167 -0.1639 -0.1323
 -0.1144 -0.1026 -0.0929 -0.0841 -0.0759 -0.0680 -0.0612 -0.0558 -0.0530 -0.0553
 -0.0676
 -1.7879 -1.6145 -1.4500 -1.2997 -1.1670 -1.0512 -0.9498 -0.8604 -0.7819 -0.7136
 -0.6545 -0.6029 -0.5562 -0.5133 -0.4748 -0.3783 -0.2856 -0.2104 -0.1583 -0.1275
 -0.1127 -0.1061 -0.1023 -0.0991 -0.0956 -0.0917 -0.0879 -0.0844 -0.0820 -0.0823
 -0.0880
 -1.6863 -1.5353 -1.3900 -1.2555 -1.1358 -1.0307 -0.9375 -0.8535 -0.7771 -0.7077
