 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = G_BP 
 -4.6879 -3.9719 -3.6057 -3.5794 -3.9188 -4.3970 -4.9141 -4.7767 -4.6447 -4.5056
 -4.3595 -4.2541 -4.0924 -3.9324 -3.7811 -3.4623 -3.1962 -2.9990 -2.8452
 -5.5944 -5.2594 -5.0170 -4.8579 -4.7551 -4.6615 -4.5619 -4.4608 -4.3607 -4.2597
 -4.1476 -4.0196 -3.8820 -3.7471 -3.6210 -3.3460 -3.1266 -2.9600 -2.8381 -2.7467
 -5.3903 -5.0765 -4.8304 -4.6406 -4.5000 -4.4036 -4.3382 -4.2691 -4.1814 -4.0808
 -3.9801 -3.8752 -3.7581 -3.6380 -3.5250 -3.2832 -3.0915 -2.9447 -2.8357 -2.7529
 -2.6874
 -5.2330 -4.9517 -4.7217 -4.5330 -4.3796 -4.2573 -4.1613 -4.0871 -4.0232 -3.9476
 -3.8550 -3.7604 -3.6614 -3.5563 -3.4543 -3.2354 -3.0651 -2.9352 -2.8375 -2.7621
 -2.7017 -2.6513
 -5.0829 -4.8386 -4.6324 -4.4560 -4.3044 -4.1755 -4.0672 -3.9757 -3.8966 -3.8251
 -3.7519 -3.6702 -3.5850 -3.4933 -3.4018 -3.2008 -3.0451 -2.9282 -2.8407 -2.7726
 -2.7172 -2.6705 -2.6301 -2.5934
 -4.9319 -4.7224 -4.5428 -4.3843 -4.2425 -4.1160 -4.0045 -3.9073 -3.8215 -3.7430
 -3.6685 -3.5946 -3.5211 -3.4428 -3.3617 -3.1759 -3.0300 -2.9215 -2.8424 -2.7815
 -2.7318 -2.6896 -2.6526 -2.6195 -2.5880 -2.5597 -2.5366 -2.5204 -2.5123 -2.5131
 -4.7874 -4.6035 -4.4478 -4.3085 -4.1805 -4.0622 -3.9537 -3.8556 -3.7678 -3.6881
 -3.6131 -3.5404 -3.4697 -3.3997 -3.3282 -3.1582 -3.0188 -2.9148 -2.8407 -2.7864
 -2.7431 -2.7062 -2.6737 -2.6442 -2.6170 -2.5905 -2.5666 -2.5478 -2.5362 -2.5333
 -2.5401
 -4.6519 -4.4886 -4.3503 -4.2271 -4.1136 -4.0064 -3.9046 -3.8098 -3.7230 -3.6435
 -3.5700 -3.5000 -3.4321 -3.3657 -3.2997 -3.1436 -3.0112 -2.9089 -2.8364 -2.7859
 -2.7485 -2.7177 -2.6908 -2.6663 -2.6432 -2.6213 -2.5991 -2.5791 -2.5645 -2.5578
 -2.5605
 -4.5291 -4.3828 -4.2544 -4.1422 -4.0404 -3.9438 -3.8510 -3.7621 -3.6786 -3.6012
 -3.5295 -3.4624 -3.3983 -3.3360 -3.2743 -3.1283 -3.0029 -2.9035 -2.8307 -2.7810
 -2.7470 -2.7221 -2.7016 -2.6831 -2.6655 -2.6481 -2.6313 -2.6166 -2.6041 -2.5936
 -2.5850
 -4.4190 -4.2861 -4.1690 -4.0617 -3.9662 -3.8783 -3.7941 -3.7126 -3.6344 -3.5604
 -3.4914 -3.4271 -3.3664 -3.3084 -3.2516 -3.1151 -2.9958 -2.8992 -2.8265 -2.7755
 -2.7419 -2.7202 -2.7051 -2.6930 -2.6817 -2.6703 -2.6587 -2.6470 -2.6398 -2.6290
 -2.6162
 -4.3215 -4.1985 -4.0941 -3.9900 -3.8956 -3.8112 -3.7332 -3.6586 -3.5866 -3.5175
 -3.4519 -3.3906 -3.3332 -3.2789 -3.2266 -3.1013 -2.9877 -2.8941 -2.8222 -2.7703
 -2.7356 -2.7142 -2.7020 -2.6950 -2.6901 -2.6853 -2.6800 -2.6739 -2.6671 -2.6604
 -2.6546
 -4.2368 -4.1200 -4.0297 -3.9277 -3.8326 -3.7478 -3.6716 -3.6013 -3.5347 -3.4710
 -3.4099 -3.3522 -3.2980 -3.2471 -3.1993 -3.0869 -2.9786 -2.8882 -2.8178
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = G_BP 
 -6.3923 -5.7298 -5.2519 -4.9508 -4.8305 -4.8079 -4.8424 -4.6902 -4.5445 -4.3991
 -4.2503 -4.1144 -3.9621 -3.8181 -3.6850 -3.4019 -3.1690 -2.9868 -2.8435
 -6.0823 -5.6652 -5.3647 -5.1127 -4.8965 -4.7165 -4.5663 -4.4362 -4.3164 -4.1991
 -4.0779 -3.9486 -3.8148 -3.6862 -3.5675 -3.3156 -3.1140 -2.9547 -2.8338 -2.7407
 -5.7686 -5.3317 -5.0056 -4.7715 -4.6162 -4.4986 -4.3810 -4.2631 -4.1519 -4.0475
 -3.9450 -3.8375 -3.7201 -3.6017 -3.4912 -3.2596 -3.0797 -2.9386 -2.8304 -2.7473
 -2.6813
 -5.6030 -5.1846 -4.8610 -4.6138 -4.4280 -4.2913 -4.1978 -4.1271 -4.0452 -3.9473
 -3.8474 -3.7508 -3.6505 -3.5435 -3.4411 -3.2219 -3.0560 -2.9285 -2.8310 -2.7553
 -2.6945 -2.6438
 -5.4889 -5.0998 -4.7921 -4.5491 -4.3572 -4.2064 -4.0880 -3.9948 -3.9236 -3.8591
 -3.7793 -3.6889 -3.5965 -3.5009 -3.4051 -3.1973 -3.0400 -2.9219 -2.8331 -2.7644
 -2.7087 -2.6619 -2.6214 -2.5860
 -5.3855 -5.0311 -4.7455 -4.5144 -4.3252 -4.1696 -4.0415 -3.9356 -3.8461 -3.7690
 -3.7006 -3.6298 -3.5519 -3.4667 -3.3786 -3.1807 -3.0290 -2.9165 -2.8342 -2.7721
 -2.7221 -2.6798 -2.6429 -2.6101 -2.5805 -2.5541 -2.5317 -2.5144 -2.5060 -2.5070
 -5.2827 -4.9619 -4.7007 -4.4850 -4.3037 -4.1494 -4.0174 -3.9046 -3.8075 -3.7219
 -3.6439 -3.5712 -3.5023 -3.4310 -3.3541 -3.1684 -3.0208 -2.9112 -2.8327 -2.7761
 -2.7322 -2.6953 -2.6630 -2.6339 -2.6072 -2.5826 -2.5608 -2.5424 -2.5295 -2.5268
 -2.5339
 -5.1829 -4.8921 -4.6532 -4.4529 -4.2816 -4.1323 -4.0010 -3.8849 -3.7830 -3.6930
 -3.6113 -3.5353 -3.4640 -3.3953 -3.3270 -3.1578 -3.0143 -2.9060 -2.8289 -2.7755
 -2.7370 -2.7062 -2.6794 -2.6552 -2.6326 -2.6112 -2.5915 -2.5738 -2.5589 -2.5511
 -2.5542
 -5.0885 -4.8231 -4.6018 -4.4151 -4.2540 -4.1112 -3.9829 -3.8670 -3.7629 -3.6697
 -3.5860 -3.5092 -3.4370 -3.3683 -3.3019 -3.1443 -3.0076 -2.9005 -2.8231 -2.7705
 -2.7354 -2.7101 -2.6896 -2.6713 -2.6541 -2.6373 -2.6213 -2.6061 -2.5926 -2.5823
 -2.5785
