 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  w   
 -2.6636 -2.6246 -2.8126 -2.7872 -2.6629 -2.4779 -2.2648 -2.1238 -1.9983 -1.8662
 -1.7407 -1.6225 -1.5124 -1.4116 -1.3201 -1.1266 -0.9763 -0.8575 -0.7850
 -2.6560 -2.5231 -2.4130 -2.3430 -2.3126 -2.2537 -2.1397 -2.0081 -1.8834 -1.7635
 -1.6480 -1.5389 -1.4381 -1.3460 -1.2622 -1.0863 -0.9522 -0.8553 -0.7880 -0.7408
 -2.5002 -2.3726 -2.2505 -2.1424 -2.0555 -2.0039 -1.9681 -1.8993 -1.7994 -1.6886
 -1.5822 -1.4811 -1.3871 -1.3012 -1.2236 -1.0621 -0.9415 -0.8554 -0.7956 -0.7530
 -0.7218
 -2.3658 -2.2562 -2.1419 -2.0310 -1.9302 -1.8428 -1.7744 -1.7299 -1.6846 -1.6154
 -1.5274 -1.4360 -1.3492 -1.2690 -1.1962 -1.0453 -0.9342 -0.8571 -0.8039 -0.7657
 -0.7371 -0.7153
 -2.2370 -2.1495 -2.0518 -1.9497 -1.8503 -1.7586 -1.6771 -1.6063 -1.5521 -1.5053
 -1.4534 -1.3879 -1.3151 -1.2426 -1.1750 -1.0329 -0.9285 -0.8580 -0.8109 -0.7777
 -0.7524 -0.7326 -0.7171 -0.7054
 -2.1124 -2.0419 -1.9643 -1.8771 -1.7865 -1.6979 -1.6158 -1.5417 -1.4758 -1.4179
 -1.3677 -1.3201 -1.2679 -1.2109 -1.1530 -1.0222 -0.9228 -0.8566 -0.8145 -0.7870
 -0.7661 -0.7495 -0.7362 -0.7255 -0.7161 -0.7093 -0.7066 -0.7095 -0.7187 -0.7349
 -1.9948 -1.9355 -1.8738 -1.8025 -1.7251 -1.6450 -1.5666 -1.4936 -1.4278 -1.3682
 -1.3135 -1.2633 -1.2166 -1.1706 -1.1233 -1.0093 -0.9159 -0.8510 -0.8131 -0.7912
 -0.7761 -0.7640 -0.7542 -0.7460 -0.7392 -0.7325 -0.7279 -0.7277 -0.7338 -0.7474
 -0.7681
 -1.8873 -1.8343 -1.7813 -1.7229 -1.6590 -1.5908 -1.5204 -1.4513 -1.3872 -1.3291
 -1.2760 -1.2265 -1.1795 -1.1354 -1.0928 -0.9924 -0.9069 -0.8442 -0.8072 -0.7892
 -0.7800 -0.7739 -0.7688 -0.7645 -0.7609 -0.7575 -0.7535 -0.7513 -0.7538 -0.7632
 -0.7809
 -1.7930 -1.7427 -1.6927 -1.6395 -1.5866 -1.5297 -1.4697 -1.4081 -1.3479 -1.2917
 -1.2408 -1.1941 -1.1500 -1.1077 -1.0669 -0.9736 -0.8952 -0.8359 -0.7984 -0.7817
 -0.7769 -0.7769 -0.7780 -0.7791 -0.7798 -0.7800 -0.7802 -0.7808 -0.7838 -0.7894
 -0.7974
 -1.7149 -1.6646 -1.6144 -1.5642 -1.5141 -1.4642 -1.4139 -1.3614 -1.3081 -1.2557
 -1.2068 -1.1625 -1.1216 -1.0824 -1.0446 -0.9575 -0.8834 -0.8269 -0.7896 -0.7719
 -0.7684 -0.7725 -0.7796 -0.7870 -0.7935 -0.7987 -0.8032 -0.8069 -0.8106 -0.8151
 -0.8207
 -1.6531 -1.5981 -1.5453 -1.4945 -1.4456 -1.3985 -1.3530 -1.3085 -1.2630 -1.2170
 -1.1718 -1.1297 -1.0912 -1.0558 -1.0221 -0.9423 -0.8719 -0.8177 -0.7814 -0.7621
 -0.7578 -0.7632 -0.7741 -0.7871 -0.7999 -0.8113 -0.8212 -0.8296 -0.8370 -0.8440
 -0.8516
 -1.5987 -1.5216 -1.4601 -1.4099 -1.3669 -1.3279 -1.2900 -1.2514 -1.2122 -1.1728
 -1.1336 -1.0952 -1.0591 -1.0261 -0.9956 -0.9253 -0.8605 -0.8083 -0.7727
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  w   
 -2.9791 -2.9474 -2.8748 -2.7072 -2.5086 -2.3159 -2.1526 -2.0171 -1.8938 -1.7761
 -1.6636 -1.5572 -1.4577 -1.3652 -1.2799 -1.0990 -0.9579 -0.8492 -0.7757
 -2.7461 -2.6203 -2.5573 -2.5263 -2.4131 -2.2456 -2.0807 -1.9411 -1.8199 -1.7065
 -1.5986 -1.4969 -1.4022 -1.3150 -1.2354 -1.0686 -0.9409 -0.8462 -0.7789 -0.7313
 -2.6105 -2.4667 -2.3411 -2.2477 -2.2061 -2.1508 -2.0279 -1.8888 -1.7664 -1.6571
 -1.5539 -1.4566 -1.3660 -1.2828 -1.2071 -1.0501 -0.9317 -0.8454 -0.7849 -0.7420
 -0.7106
 -2.5046 -2.3698 -2.2376 -2.1132 -2.0099 -1.9403 -1.8993 -1.8322 -1.7259 -1.6198
 -1.5210 -1.4281 -1.3414 -1.2616 -1.1890 -1.0389 -0.9269 -0.8464 -0.7913 -0.7527
 -0.7243 -0.7026
 -2.4087 -2.2898 -2.1665 -2.0454 -1.9325 -1.8303 -1.7465 -1.6858 -1.6408 -1.5761
 -1.4924 -1.4052 -1.3225 -1.2461 -1.1763 -1.0317 -0.9241 -0.8477 -0.7967 -0.7626
 -0.7376 -0.7183 -0.7033 -0.6927
 -2.3199 -2.2134 -2.1039 -1.9914 -1.8811 -1.7774 -1.6819 -1.5969 -1.5276 -1.4768
 -1.4301 -1.3715 -1.3026 -1.2318 -1.1652 -1.0257 -0.9214 -0.8476 -0.7998 -0.7700
 -0.7493 -0.7334 -0.7208 -0.7110 -0.7028 -0.6973 -0.6959 -0.7000 -0.7102 -0.7268
 -2.2293 -2.1357 -2.0400 -1.9401 -1.8381 -1.7384 -1.6441 -1.5569 -1.4778 -1.4093
 -1.3525 -1.3055 -1.2584 -1.2059 -1.1498 -1.0189 -0.9176 -0.8454 -0.7994 -0.7733
 -0.7576 -0.7463 -0.7373 -0.7301 -0.7244 -0.7191 -0.7160 -0.7173 -0.7246 -0.7390
 -0.7601
 -2.1448 -2.0561 -1.9737 -1.8852 -1.7944 -1.7022 -1.6126 -1.5275 -1.4488 -1.3769
 -1.3129 -1.2570 -1.2083 -1.1641 -1.1198 -1.0080 -0.9118 -0.8409 -0.7956 -0.7716
 -0.7607 -0.7548 -0.7506 -0.7474 -0.7447 -0.7409 -0.7378 -0.7378 -0.7428 -0.7541
 -0.7727
 -2.0731 -1.9829 -1.9045 -1.8257 -1.7446 -1.6621 -1.5796 -1.4990 -1.4227 -1.3518
 -1.2874 -1.2295 -1.1772 -1.1302 -1.0874 -0.9891 -0.9019 -0.8338 -0.7887 -0.7653
 -0.7576 -0.7571 -0.7588 -0.7608 -0.7625 -0.7640 -0.7657 -0.7690 -0.7740 -0.7806
 -0.7886
 -2.0224 -1.9246 -1.8421 -1.7658 -1.6927 -1.6184 -1.5440 -1.4700 -1.3980 -1.3296
 -1.2664 -1.2091 -1.1571 -1.1095 -1.0658 -0.9708 -0.8902 -0.8257 -0.7810 -0.7567
 -0.7496 -0.7527 -0.7599 -0.7679 -0.7753 -0.7817 -0.7875 -0.7926 -0.7978 -0.8039
 -0.8110
 -2.0025 -1.8830 -1.7892 -1.7101 -1.6408 -1.5717 -1.5038 -1.4364 -1.3703 -1.3061
 -1.2451 -1.1889 -1.1379 -1.0916 -1.0488 -0.9552 -0.8778 -0.8165 -0.7729 -0.7475
 -0.7392 -0.7433 -0.7542 -0.7677 -0.7812 -0.7936 -0.8047 -0.8145 -0.8232 -0.8317
 -0.8407
 -2.0100 -1.8580 -1.7458 -1.6596 -1.5890 -1.5244 -1.4615 -1.3994 -1.3384 -1.2791
 -1.2218 -1.1677 -1.1178 -1.0725 -1.0313 -0.9415 -0.8664 -0.8069 -0.7643
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  w   
 -3.1774 -3.0631 -2.8433 -2.6112 -2.3857 -2.1923 -2.0470 -1.9235 -1.8088 -1.7007
 -1.5981 -1.5010 -1.4098 -1.3245 -1.2452 -1.0746 -0.9403 -0.8375 -0.7628
 -2.8444 -2.8054 -2.7477 -2.5670 -2.3594 -2.1630 -2.0008 -1.8716 -1.7565 -1.6504
 -1.5504 -1.4561 -1.3677 -1.2856 -1.2098 -1.0495 -0.9261 -0.8333 -0.7659 -0.7177
 -2.7034 -2.5566 -2.4800 -2.4526 -2.3289 -2.1500 -1.9793 -1.8382 -1.7212 -1.6166
 -1.5192 -1.4276 -1.3418 -1.2623 -1.1892 -1.0354 -0.9187 -0.8322 -0.7701 -0.7263
 -0.6947
