 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  o   
 -1.9585 -1.9491 -2.1330 -2.1376 -2.0579 -1.9207 -1.7494 -1.6405 -1.5416 -1.4362
 -1.3354 -1.2404 -1.1515 -1.0699 -0.9974 -0.8460 -0.7425 -0.6751 -0.6335
 -1.9639 -1.8835 -1.8171 -1.7808 -1.7761 -1.7452 -1.6644 -1.5646 -1.4670 -1.3719
 -1.2796 -1.1920 -1.1108 -1.0370 -0.9706 -0.8358 -0.7407 -0.6786 -0.6394 -0.6149
 -1.8402 -1.7642 -1.6877 -1.6190 -1.5650 -1.5391 -1.5259 -1.4831 -1.4099 -1.3241
 -1.2399 -1.1587 -1.0830 -1.0140 -0.9522 -0.8275 -0.7407 -0.6852 -0.6510 -0.6295
 -0.6161
 -1.7278 -1.6673 -1.5975 -1.5267 -1.4610 -1.4037 -1.3607 -1.3376 -1.3133 -1.2670
 -1.2017 -1.1304 -1.0610 -0.9968 -0.9388 -0.8219 -0.7412 -0.6913 -0.6617 -0.6434
 -0.6319 -0.6251
 -1.6144 -1.5735 -1.5187 -1.4558 -1.3918 -1.3314 -1.2769 -1.2297 -1.1956 -1.1676
 -1.1354 -1.0903 -1.0364 -0.9802 -0.9269 -0.8172 -0.7410 -0.6955 -0.6703 -0.6559
 -0.6471 -0.6420 -0.6397 -0.6400
 -1.4988 -1.4743 -1.4378 -1.3890 -1.3334 -1.2765 -1.2223 -1.1725 -1.1274 -1.0881
 -1.0553 -1.0253 -0.9910 -0.9516 -0.9097 -0.8112 -0.7389 -0.6963 -0.6748 -0.6653
 -0.6603 -0.6579 -0.6577 -0.6590 -0.6608 -0.6644 -0.6712 -0.6825 -0.6991 -0.7216
 -1.3835 -1.3713 -1.3501 -1.3168 -1.2741 -1.2258 -1.1760 -1.1281 -1.0839 -1.0429
 -1.0051 -0.9711 -0.9404 -0.9104 -0.8790 -0.8002 -0.7339 -0.6920 -0.6740 -0.6695
 -0.6697 -0.6715 -0.6743 -0.6780 -0.6823 -0.6861 -0.6912 -0.7000 -0.7141 -0.7347
 -0.7613
 -1.2712 -1.2677 -1.2569 -1.2366 -1.2075 -1.1712 -1.1299 -1.0869 -1.0455 -1.0068
 -0.9706 -0.9366 -0.9046 -0.8752 -0.8473 -0.7818 -0.7252 -0.6856 -0.6683 -0.6674
 -0.6732 -0.6804 -0.6877 -0.6949 -0.7021 -0.7091 -0.7150 -0.7221 -0.7331 -0.7501
 -0.7744
 -1.1642 -1.1666 -1.1623 -1.1499 -1.1326 -1.1079 -1.0774 -1.0427 -1.0065 -0.9710
 -0.9377 -0.9066 -0.8769 -0.8486 -0.8216 -0.7615 -0.7122 -0.6769 -0.6593 -0.6598
 -0.6699 -0.6829 -0.6960 -0.7082 -0.7195 -0.7298 -0.7396 -0.7494 -0.7610 -0.7748
 -0.7904
 -1.0651 -1.0712 -1.0709 -1.0649 -1.0537 -1.0379 -1.0176 -0.9925 -0.9643 -0.9341
 -0.9044 -0.8765 -0.8502 -0.8248 -0.8002 -0.7444 -0.6989 -0.6667 -0.6497 -0.6493
 -0.6608 -0.6780 -0.6967 -0.7148 -0.7314 -0.7464 -0.7602 -0.7729 -0.7853 -0.7981
 -0.8119
 -0.9750 -0.9816 -0.9833 -0.9807 -0.9742 -0.9642 -0.9510 -0.9347 -0.9149 -0.8923
 -0.8680 -0.8439 -0.8210 -0.7993 -0.7785 -0.7290 -0.6863 -0.6563 -0.6405 -0.6387
 -0.6495 -0.6681 -0.6905 -0.7140 -0.7365 -0.7571 -0.7760 -0.7931 -0.8089 -0.8240
 -0.8395
 -0.8903 -0.8880 -0.8879 -0.8884 -0.8881 -0.8856 -0.8801 -0.8709 -0.8584 -0.8433
 -0.8261 -0.8074 -0.7886 -0.7704 -0.7532 -0.7124 -0.6745 -0.6460 -0.6309
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  o   
 -2.2473 -2.2498 -2.2149 -2.0973 -1.9503 -1.8040 -1.6783 -1.5730 -1.4762 -1.3832
 -1.2941 -1.2094 -1.1297 -1.0552 -0.9867 -0.8427 -0.7375 -0.6657 -0.6224
 -2.0658 -1.9887 -1.9602 -1.9571 -1.8831 -1.7599 -1.6345 -1.5266 -1.4314 -1.3418
 -1.2564 -1.1754 -1.0993 -1.0290 -0.9648 -0.8321 -0.7359 -0.6715 -0.6311 -0.6060
 -1.9557 -1.8637 -1.7816 -1.7242 -1.7100 -1.6834 -1.5972 -1.4924 -1.3974 -1.3114
 -1.2298 -1.1523 -1.0797 -1.0126 -0.9516 -0.8266 -0.7369 -0.6774 -0.6412 -0.6192
 -0.6056
 -1.8632 -1.7806 -1.6934 -1.6092 -1.5410 -1.5004 -1.4837 -1.4440 -1.3674 -1.2860
 -1.2086 -1.1350 -1.0657 -1.0016 -0.9432 -0.8240 -0.7390 -0.6830 -0.6502 -0.6313
 -0.6198 -0.6132
 -1.7719 -1.7064 -1.6288 -1.5480 -1.4714 -1.4021 -1.3468 -1.3105 -1.2877 -1.2465
 -1.1857 -1.1188 -1.0536 -0.9926 -0.9366 -0.8223 -0.7408 -0.6874 -0.6573 -0.6417
 -0.6331 -0.6285 -0.6267 -0.6281
 -1.6790 -1.6289 -1.5673 -1.4959 -1.4223 -1.3518 -1.2864 -1.2281 -1.1820 -1.1512
 -1.1238 -1.0854 -1.0359 -0.9818 -0.9293 -0.8196 -0.7410 -0.6895 -0.6614 -0.6493
 -0.6445 -0.6428 -0.6432 -0.6454 -0.6483 -0.6531 -0.6611 -0.6735 -0.6910 -0.7139
 -1.5786 -1.5444 -1.4994 -1.4427 -1.3782 -1.3122 -1.2484 -1.1885 -1.1337 -1.0863
 -1.0481 -1.0183 -0.9887 -0.9538 -0.9140 -0.8148 -0.7389 -0.6887 -0.6619 -0.6527
 -0.6523 -0.6548 -0.6585 -0.6631 -0.6684 -0.6735 -0.6801 -0.6902 -0.7054 -0.7267
 -0.7537
 -1.4769 -1.4530 -1.4233 -1.3813 -1.3303 -1.2730 -1.2144 -1.1574 -1.1036 -1.0537
 -1.0089 -0.9699 -0.9372 -0.9085 -0.8799 -0.8036 -0.7340 -0.6850 -0.6586 -0.6512
 -0.6551 -0.6625 -0.6706 -0.6788 -0.6870 -0.6937 -0.7005 -0.7097 -0.7229 -0.7416
 -0.7666
 -1.3788 -1.3606 -1.3399 -1.3108 -1.2726 -1.2273 -1.1773 -1.1256 -1.0752 -1.0274
 -0.9830 -0.9424 -0.9058 -0.8735 -0.8450 -0.7813 -0.7236 -0.6782 -0.6521 -0.6451
 -0.6519 -0.6644 -0.6780 -0.6910 -0.7032 -0.7147 -0.7259 -0.7382 -0.7517 -0.7663
 -0.7820
 -1.2893 -1.2732 -1.2565 -1.2346 -1.2076 -1.1736 -1.1342 -1.0909 -1.0461 -1.0019
 -0.9599 -0.9210 -0.8851 -0.8521 -0.8221 -0.7599 -0.7091 -0.6692 -0.6440 -0.6363
 -0.6436 -0.6595 -0.6783 -0.6970 -0.7144 -0.7304 -0.7454 -0.7595 -0.7732 -0.7876
 -0.8027
