 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F350LP
 -2.2664 -2.2017 -2.1324 -2.0641 -2.0020 -1.9581 -2.0083 -1.9779 -1.9365 -1.8766
 -1.8009 -1.7342 -1.6447 -1.5492 -1.4591 -1.2691 -1.1264 -1.0253 -0.9468
 -2.2016 -2.0834 -2.0037 -1.9586 -1.9401 -1.9203 -1.8903 -1.8541 -1.8142 -1.7700
 -1.7137 -1.6419 -1.5595 -1.4768 -1.3994 -1.2350 -1.1091 -1.0167 -0.9503 -0.9016
 -2.1353 -2.0317 -1.9413 -1.8675 -1.8142 -1.7847 -1.7738 -1.7586 -1.7272 -1.6820
 -1.6329 -1.5771 -1.5082 -1.4338 -1.3628 -1.2125 -1.0990 -1.0159 -0.9559 -0.9116
 -0.8779
 -2.0743 -1.9843 -1.9005 -1.8246 -1.7595 -1.7078 -1.6703 -1.6464 -1.6296 -1.6037
 -1.5629 -1.5168 -1.4623 -1.3984 -1.3339 -1.1949 -1.0910 -1.0164 -0.9625 -0.9225
 -0.8919 -0.8676
 -1.9957 -1.9243 -1.8545 -1.7867 -1.7226 -1.6650 -1.6165 -1.5770 -1.5449 -1.5179
 -1.4893 -1.4534 -1.4129 -1.3630 -1.3082 -1.1805 -1.0838 -1.0161 -0.9686 -0.9334
 -0.9061 -0.8844 -0.8666 -0.8510
 -1.8995 -1.8471 -1.7944 -1.7400 -1.6843 -1.6295 -1.5784 -1.5333 -1.4944 -1.4594
 -1.4263 -1.3930 -1.3597 -1.3212 -1.2776 -1.1671 -1.0765 -1.0136 -0.9720 -0.9421
 -0.9191 -0.9007 -0.8855 -0.8728 -0.8608 -0.8508 -0.8444 -0.8431 -0.8478 -0.8592
 -1.7935 -1.7552 -1.7186 -1.6793 -1.6362 -1.5898 -1.5426 -1.4972 -1.4560 -1.4189
 -1.3839 -1.3494 -1.3154 -1.2814 -1.2447 -1.1508 -1.0683 -1.0086 -0.9709 -0.9464
 -0.9286 -0.9145 -0.9030 -0.8932 -0.8846 -0.8760 -0.8691 -0.8660 -0.8682 -0.8771
 -0.8936
 -1.6799 -1.6548 -1.6308 -1.6047 -1.5750 -1.5404 -1.5013 -1.4605 -1.4209 -1.3836
 -1.3491 -1.3159 -1.2829 -1.2502 -1.2164 -1.1329 -1.0587 -1.0017 -0.9658 -0.9451
 -0.9326 -0.9237 -0.9169 -0.9112 -0.9060 -0.9012 -0.8956 -0.8915 -0.8914 -0.8976
 -0.9113
 -1.5667 -1.5518 -1.5362 -1.5200 -1.5015 -1.4783 -1.4500 -1.4173 -1.3825 -1.3479
 -1.3149 -1.2837 -1.2534 -1.2232 -1.1922 -1.1150 -1.0471 -0.9937 -0.9582 -0.9389
