 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = G_BP 
 -3.5580 -3.4852 -3.6859 -3.6143 -3.4164 -3.1538 -2.8625 -2.6644 -2.4853 -2.3005
 -2.1262 -1.9654 -1.8167 -1.6774 -1.5464 -1.2604 -0.9782 -0.7074 -0.5396
 -3.5466 -3.3120 -3.1240 -2.9974 -2.9250 -2.8195 -2.6477 -2.4566 -2.2768 -2.1055
 -1.9426 -1.7903 -1.6492 -1.5183 -1.3959 -1.1194 -0.8787 -0.6791 -0.5247 -0.4055
 -3.3291 -3.0966 -2.8896 -2.7143 -2.5728 -2.4772 -2.4005 -2.2816 -2.1277 -1.9647
 -1.8110 -1.6668 -1.5329 -1.4093 -1.2948 -1.0426 -0.8288 -0.6509 -0.5114 -0.4028
 -0.3158
 -3.1563 -2.9419 -2.7393 -2.5572 -2.3975 -2.2588 -2.1442 -2.0581 -1.9690 -1.8498
 -1.7122 -1.5762 -1.4491 -1.3312 -1.2222 -0.9858 -0.7914 -0.6320 -0.5044 -0.4048
 -0.3245 -0.2573
 -3.0085 -2.8157 -2.6271 -2.4496 -2.2887 -2.1445 -2.0150 -1.8994 -1.8040 -1.7157
 -1.6187 -1.5056 -1.3882 -1.2759 -1.1716 -0.9460 -0.7643 -0.6179 -0.5013 -0.4096
 -0.3355 -0.2732 -0.2193 -0.1718
 -2.8806 -2.7041 -2.5333 -2.3661 -2.2094 -2.0662 -1.9363 -1.8177 -1.7096 -1.6113
 -1.5214 -1.4325 -1.3364 -1.2356 -1.1366 -0.9193 -0.7456 -0.6077 -0.4993 -0.4147
 -0.3466 -0.2895 -0.2398 -0.1955 -0.1533 -0.1146 -0.0815 -0.0556 -0.0381 -0.0298
 -2.7725 -2.6064 -2.4484 -2.2947 -2.1453 -2.0058 -1.8775 -1.7602 -1.6531 -1.5535
 -1.4598 -1.3710 -1.2851 -1.1986 -1.1103 -0.9022 -0.7333 -0.6003 -0.4971 -0.4179
