 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F322W2
 -3.5558 -3.6299 -3.6908 -3.7206 -3.7203 -3.7029 -3.6769 -3.6493 -3.6328 -3.6399
 -3.6577 -3.6960 -3.7523 -3.8112 -3.8781 -4.0540 -4.2289 -4.4004 -4.5650
 -3.4999 -3.5674 -3.6322 -3.6867 -3.7283 -3.7551 -3.7667 -3.7654 -3.7559 -3.7431
 -3.7336 -3.7391 -3.7721 -3.8299 -3.8977 -4.0737 -4.2474 -4.4179 -4.5822 -4.7398
 -3.4658 -3.5266 -3.5900 -3.6539 -3.7147 -3.7652 -3.8013 -3.8219 -3.8268 -3.8170
 -3.8021 -3.7916 -3.8042 -3.8516 -3.9161 -4.0901 -4.2626 -4.4320 -4.5959 -4.7527
 -4.9029
 -3.4535 -3.5075 -3.5642 -3.6222 -3.6795 -3.7332 -3.7807 -3.8188 -3.8455 -3.8616
 -3.8632 -3.8535 -3.8486 -3.8763 -3.9333 -4.1032 -4.2745 -4.4427 -4.6062 -4.7625
 -4.9119 -5.0553
 -3.4614 -3.5079 -3.5573 -3.6086 -3.6608 -3.7117 -3.7588 -3.7993 -3.8332 -3.8611
 -3.8844 -3.8998 -3.9006 -3.9111 -3.9537 -4.1145 -4.2838 -4.4504 -4.6135 -4.7699
 -4.9191 -5.0617 -5.1987 -5.3308
 -3.4907 -3.5281 -3.5688 -3.6122 -3.6577 -3.7041 -3.7499 -3.7921 -3.8287 -3.8599
 -3.8883 -3.9163 -3.9380 -3.9505 -3.9829 -4.1263 -4.2919 -4.4562 -4.6181 -4.7749
 -4.9244 -5.0669 -5.2033 -5.3345 -5.4610 -5.5837 -5.7030 -5.8190 -5.9320 -6.0417
 -3.5425 -3.5701 -3.6006 -3.6343 -3.6712 -3.7110 -3.7526 -3.7940 -3.8333 -3.8683
 -3.8996 -3.9301 -3.9622 -3.9845 -4.0140 -4.1430 -4.3003 -4.4611 -4.6207 -4.7772
 -4.9276 -5.0706 -5.2070 -5.3377 -5.4635 -5.5850 -5.7028 -5.8172 -5.9286 -6.0373
 -6.1434
 -3.6148 -3.6345 -3.6550 -3.6776 -3.7041 -3.7347 -3.7692 -3.8063 -3.8445 -3.8817
 -3.9164 -3.9493 -3.9827 -4.0150 -4.0435 -4.1644 -4.3115 -4.4668 -4.6226 -4.7773
 -4.9282 -5.0725 -5.2096 -5.3404 -5.4659 -5.5867 -5.7035 -5.8166 -5.9265 -6.0337
 -6.1384
 -3.7009 -3.7170 -3.7311 -3.7439 -3.7593 -3.7789 -3.8038 -3.8335 -3.8670 -3.9025
 -3.9382 -3.9732 -4.0077 -4.0426 -4.0735 -4.1876 -4.3271 -4.4763 -4.6276 -4.7790
 -4.9288 -5.0743 -5.2129 -5.3448 -5.4707 -5.5914 -5.7078 -5.8202 -5.9291 -6.0350
 -6.1382
 -3.7921 -3.8091 -3.8216 -3.8293 -3.8357 -3.8451 -3.8588 -3.8786 -3.9039 -3.9338
 -3.9668 -4.0011 -4.0359 -4.0710 -4.1050 -4.2103 -4.3416 -4.4846 -4.6315 -4.7787
 -4.9256 -5.0704 -5.2102 -5.3437 -5.4707 -5.5919 -5.7084 -5.8205 -5.9287 -6.0336
 -6.1376
 -3.8865 -3.9055 -3.9186 -3.9268 -3.9305 -3.9321 -3.9363 -3.9455 -3.9605 -3.9816
 -4.0078 -4.0380 -4.0705 -4.1043 -4.1386 -4.2363 -4.3585 -4.4942 -4.6364 -4.7799
 -4.9233 -5.0656 -5.2051 -5.3399 -5.4686 -5.5911 -5.7083 -5.8208 -5.9290 -6.0335
 -6.1348
 -3.9841 -4.0062 -4.0183 -4.0301 -4.0345 -4.0346 -4.0334 -4.0337 -4.0388 -4.0496
 -4.0663 -4.0887 -4.1155 -4.1456 -4.1743 -4.2656 -4.3778 -4.5051 -4.6423
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =F322W2
 -3.5359 -3.5692 -3.5947 -3.6124 -3.6232 -3.6302 -3.6362 -3.6433 -3.6514 -3.6598
 -3.6743 -3.7037 -3.7527 -3.8157 -3.8876 -4.0603 -4.2305 -4.3984 -4.5633
 -3.5469 -3.5958 -3.6352 -3.6659 -3.6884 -3.7036 -3.7138 -3.7216 -3.7267 -3.7280
 -3.7303 -3.7442 -3.7813 -3.8397 -3.9071 -4.0809 -4.2506 -4.4167 -4.5801 -4.7376
 -3.5097 -3.5681 -3.6229 -3.6847 -3.7271 -3.7576 -3.7771 -3.7891 -3.7954 -3.7954
 -3.7911 -3.7907 -3.8100 -3.8589 -3.9235 -4.0967 -4.2664 -4.4314 -4.5936 -4.7500
 -4.9002
 -3.4650 -3.5248 -3.5872 -3.6510 -3.7116 -3.7643 -3.8054 -3.8330 -3.8491 -3.8554
 -3.8536 -3.8470 -3.8479 -3.8789 -3.9368 -4.1077 -4.2779 -4.4425 -4.6038 -4.7596
 -4.9090 -5.0524
 -3.4486 -3.5019 -3.5590 -3.6190 -3.6787 -3.7352 -3.7859 -3.8288 -3.8623 -3.8853
 -3.8977 -3.9005 -3.8982 -3.9076 -3.9512 -4.1155 -4.2857 -4.4504 -4.6112 -4.7668
 -4.9158 -5.0585 -5.1956 -5.3279
 -3.4503 -3.4974 -3.5483 -3.6025 -3.6586 -3.7144 -3.7664 -3.8117 -3.8496 -3.8815
 -3.9080 -3.9287 -3.9393 -3.9472 -3.9730 -4.1218 -4.2910 -4.4557 -4.6159 -4.7716
 -4.9208 -5.0633 -5.1999 -5.3313 -5.4581 -5.5811 -5.7007 -5.8170 -5.9300 -6.0396
 -3.4677 -3.5087 -3.5531 -3.6008 -3.6511 -3.7027 -3.7537 -3.8012 -3.8428 -3.8775
 -3.9077 -3.9363 -3.9622 -3.9795 -4.0017 -4.1295 -4.2949 -4.4590 -4.6185 -4.7740
 -4.9238 -5.0668 -5.2033 -5.3342 -5.4602 -5.5820 -5.7002 -5.8150 -5.9266 -6.0352
 -6.1412
 -3.5042 -3.5368 -3.5736 -3.6140 -3.6572 -3.7027 -3.7495 -3.7960 -3.8401 -3.8795
 -3.9136 -3.9447 -3.9760 -4.0043 -4.0289 -4.1439 -4.2993 -4.4614 -4.6197 -4.7743
