	ID	log(g)	[Fe/H]	Teff	E(B-V)	BC_1	BC_2	BC_3	BC_4	BC_5
205893214	3.0197	0.26774077	4824.86	0	2.031	-0.052	0.6	-0.014	0.269	
205905204	2.5453	0.030019641	4641.7	0	2.144	-0.113	0.57	-0.085	0.24	
205906794	1.9752	-0.47952047	4439.25	0	2.272	-0.202	0.519	-0.197	0.195	
205910729	2.3163	0.11863124	4532.23	0	2.216	-0.151	0.558	-0.122	0.229	
205912715	2.953	0.37769009	4596.46	0	2.177	-0.126	0.578	-0.091	0.249	
205914038	2.2949	-1.4207495	5025.88	0	1.88	-0.052	0.538	-0.056	0.211	
205916760	2.424	-0.69095032	4740.06	0	2.069	-0.102	0.549	-0.096	0.223	
205917319	2.3412	-1.1963373	4937.74	0	1.937	-0.065	0.542	-0.067	0.215	
205917986	2.5344	-0.96720291	4763.5	0	2.049	-0.103	0.538	-0.103	0.212	
205918432	2.6752	-0.69565395	4883.64	0	1.977	-0.065	0.556	-0.058	0.228	
205918843	2.4665	-0.51612944	4698.28	0	2.099	-0.11	0.552	-0.1	0.226	
205919444	2.3776	-0.35852368	5002.57	0	1.912	-0.026	0.581	-0.008	0.252	
205921032	2.6375	-0.38850526	4780.47	0	2.048	-0.083	0.564	-0.068	0.237	
205921511	2.4577	0.14709839	4651.83	0	2.139	-0.107	0.578	-0.073	0.247	
205923900	2.6781	-0.061242744	4607.17	0	2.165	-0.129	0.56	-0.105	0.232	
205925176	3.0777	-0.20168782	4853.91	0	2.005	-0.059	0.576	-0.038	0.248	
205927592	2.5913	-0.5611329	4745.44	0	2.067	-0.097	0.553	-0.088	0.227	
205927877	2.7825	0.38675662	4669.74	0	2.13	-0.098	0.59	-0.058	0.259	
205928834	2.4344	0.22176702	4423.29	0	2.289	-0.197	0.541	-0.172	0.213	
205929054	2.7711	-0.39363663	4909.53	0	1.967	-0.05	0.571	-0.035	0.243	
205930631	2.4161	-1.0475406	4921.08	0	1.949	-0.065	0.545	-0.065	0.218	
205930855	2.9513	-0.44780358	4955.67	0	1.937	-0.042	0.569	-0.029	0.24	
205931354	2.3585	-0.18713724	4923.81	0	1.963	-0.037	0.588	-0.013	0.258	
205931805	2.3314	-0.35632373	4598.73	0	2.166	-0.138	0.548	-0.125	0.222	
205933248	2.6831	-0.49918517	4831.72	0	2.014	-0.072	0.562	-0.061	0.235	
205934139	2.3795	-0.44920835	4984.91	0	1.921	-0.033	0.575	-0.018	0.247	
205935513	2.7879	-0.3778754	4941.63	0	1.947	-0.042	0.573	-0.026	0.245	
205935967	2.488	-0.80543026	4845.67	0	2	-0.077	0.551	-0.072	0.224	
