 ID                  log(g) [Fe/H] Teff  E(B-V)  BC_1     BC_2    BC_3    BC_4   BC_5
205905204            2.5449 0.10300000000000001 4628   0      2.153   -0.117  0.571   -0.086  0.242  
205913955            2.5146 -0.092 4546   0      2.204   -0.152  0.550   -0.131  0.222  
205916760            2.4214 -0.42100000000000004 4610   0      2.158   -0.136  0.546   -0.125  0.220  
205919444            2.3779 -0.371 4905   0      1.972   -0.048  0.576   -0.031  0.248  
205921032            2.6367 -0.262 4671   0      2.120   -0.112  0.559   -0.095  0.232  
205925176            3.0742 -0.11699999999999999 4797   0      2.042   -0.072  0.576   -0.048  0.248  
205927592            2.5860000000000003 -0.284 4632   0      2.145   -0.126  0.554   -0.110  0.227  
205927877            2.7866 0.158  4690   0      2.114   -0.096  0.581   -0.062  0.251  
205929054            2.77   -0.36200000000000004 4858   0      2.000   -0.062  0.570   -0.046  0.242  
205931354            2.3587 -0.23800000000000002 4849   0      2.009   -0.058  0.580   -0.036  0.252  
205931805            2.3231 -0.203 4504   0      2.231   -0.170  0.539   -0.154  0.213  
205941372            2.5208 -0.027000000000000003 4531   0      2.215   -0.156  0.550   -0.133  0.222  
205944548            1.9597 -0.519 4579   0      2.179   -0.148  0.542   -0.139  0.217  
205945695            2.3609999999999998 -0.37  4597   0      2.167   -0.139  0.547   -0.127  0.221  
205947539            2.6469 -0.44799999999999995 4769   0      2.054   -0.088  0.560   -0.075  0.233  
205952605            2.3976 -0.14800000000000002 4792   0      2.046   -0.070  0.580   -0.046  0.251  
205953136            2.5255 -0.024 4606   0      2.166   -0.127  0.562   -0.102  0.234  
205953480            2.6054 -0.237 4682   0      2.114   -0.108  0.562   -0.089  0.235  
205954223            2.7402 -0.16699999999999998 4686   0      2.112   -0.105  0.565   -0.084  0.237  
205960995            2.7656 0.122  4630   0      2.152   -0.117  0.571   -0.087  0.242  
205965538            2.8772 -0.133 4700   0      2.103   -0.100  0.567   -0.078  0.239  
205970868            2.9148 -0.49200000000000005 4822   0      2.019   -0.076  0.560   -0.064  0.233  
205972576            2.3646 -0.15  4760   0      2.066   -0.080  0.577   -0.055  0.248  
205973739            3.074  -0.17300000000000001 4789   0      2.046   -0.076  0.573   -0.054  0.245  
205974551            2.8456 -0.064 4742   0      2.078   -0.085  0.575   -0.059  0.246  
205977024            3.0363 -0.134 4913   0      1.970   -0.041  0.584   -0.017  0.254  
205977740            2.6346 -0.35600000000000004 4643   0      2.137   -0.124  0.551   -0.111  0.225  
205983689            2.9568 -0.268 4844   0      2.010   -0.063  0.573   -0.044  0.245  
205985250            2.572  0.008  4596   0      2.173   -0.130  0.562   -0.104  0.233  
205993475            2.5685 0.11900000000000001 4517   0      2.226   -0.159  0.554   -0.132  0.225  
205994591            2.8081 0.273  4653   0      2.139   -0.106  0.582   -0.070  0.252  
205995590            3.2598 -0.24600000000000002 5077   0      1.868   -0.011  0.581   0.009   0.251  
205996255            2.5494 -0.19899999999999998 4692   0      2.108   -0.103  0.565   -0.083  0.238  
205997248            2.5228 -0.361 4730   0      2.081   -0.096  0.562   -0.081  0.235  
205997718            2.4611 -0.5589999999999999 4756   0      2.061   -0.094  0.556   -0.084  0.229  
205997746            2.6173 -0.929 4907   0      1.959   -0.067  0.547   -0.065  0.220  
205999925            2.375  -0.262 4815   0      2.030   -0.068  0.576   -0.047  0.248  
206000140            2.5646 -0.436 4721   0      2.085   -0.101  0.557   -0.088  0.230  
206001422            2.7118 0.305  4551   0      2.205   -0.144  0.568   -0.111  0.239  
206001934            2.4618 -0.344 4608   0      2.160   -0.135  0.549   -0.122  0.223  
206002435            2.3946 -0.7390000000000001 4730   0      2.075   -0.106  0.546   -0.101  0.220  
206002508            2.6231 0.06   4560   0      2.197   -0.143  0.558   -0.117  0.230  
206005223            2.5972 0.069  4644   0      2.143   -0.112  0.572   -0.082  0.242  
206007828            2.9476 -0.419 4891   0      1.978   -0.056  0.568   -0.042  0.240  
206008070            2.5336 -0.65  4834   0      2.010   -0.076  0.557   -0.068  0.230  
206010346            2.5037 -0.33  4561   0      2.191   -0.152  0.542   -0.140  0.216  
206012087            2.6679 -0.213 4759   0      2.065   -0.083  0.571   -0.063  0.243  
206013104            2.9987 -0.098 4853   0      2.008   -0.055  0.582   -0.030  0.253  
206013596            3.0236 -0.222 4939   0      1.952   -0.038  0.580   -0.017  0.251  
206018092            2.8585 -0.475 4856   0      1.998   -0.066  0.563   -0.054  0.236  
206018246            2.9815 0.006999999999999999 4810   0      2.036   -0.063  0.585   -0.034  0.255  
