 ID                  log(g) [Fe/H] Teff  E(B-V)  BC_1     BC_2    BC_3    BC_4   BC_5
205905204            2.5449 0.00300000000000001 4628   0      2.152   -0.119  0.567   -0.092  0.237  
205913955            2.5146 -0.192 4546   0      2.203   -0.154  0.546   -0.137  0.219  
205919444            2.3779 -0.471 4905   0      1.970   -0.052  0.571   -0.037  0.243  
205921032            2.6367 -0.362 4671   0      2.119   -0.115  0.555   -0.101  0.228  
205925176            3.0742 -0.21699999999999999 4797   0      2.040   -0.075  0.571   -0.055  0.243  
