 ID                  log(g) [Fe/H] Teff  E(B-V)  BC_1     BC_2    BC_3    BC_4   BC_5
205905204            2.5449 0.10300000000000001 4528   0      2.218   -0.155  0.555   -0.128  0.227  
205913955            2.5146 -0.092 4446   0      2.270   -0.193  0.532   -0.176  0.205  
205919444            2.3779 -0.371 4805   0      2.034   -0.074  0.570   -0.057  0.242  
205921032            2.6367 -0.262 4571   0      2.185   -0.147  0.546   -0.133  0.220  
205925176            3.0742 -0.11699999999999999 4697   0      2.106   -0.102  0.567   -0.080  0.239  
