 ID                  log(g) [Fe/H] Teff  E(B-V)  BC_1     BC_2    BC_3    BC_4   BC_5
205905204            2.5449 0.00300000000000001 4528   0      2.217   -0.157  0.551   -0.133  0.222  
205913955            2.5146 -0.192 4646   0      2.138   -0.118  0.560   -0.098  0.233  
205919444            2.3779 -0.471 4805   0      2.032   -0.077  0.565   -0.064  0.238  
205921032            2.6367 -0.362 4571   0      2.184   -0.150  0.541   -0.138  0.216  
205925176            3.0742 -0.21699999999999999 4697   0      2.104   -0.105  0.562   -0.086  0.234  
