 ID                  log(g) [Fe/H] Teff  E(B-V)  BC_1     BC_2    BC_3    BC_4   BC_5
205905204            2.5449 0.20300000000000001 4628   0      2.154   -0.115  0.576   -0.081  0.246  
205913955            2.5146 0.008  4546   0      2.205   -0.149  0.554   -0.124  0.226  
205919444            2.3779 -0.271 4905   0      1.973   -0.045  0.582   -0.024  0.253  
205921032            2.6367 -0.162 4671   0      2.122   -0.109  0.564   -0.088  0.236  
205925176            3.0742 -0.01699999999999999 4797   0      2.044   -0.068  0.582   -0.041  0.252  
