 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F547M
 -4.9609 -4.8704 -5.1035 -5.0257 -4.7912 -4.4950 -4.1814 -3.9605 -3.7574 -3.5540
 -3.3705 -3.2023 -3.0458 -2.8981 -2.7582 -2.4655 -2.1811 -1.9378 -1.7912
 -4.9188 -4.6640 -4.4597 -4.3203 -4.2373 -4.1178 -3.9263 -3.7145 -3.5160 -3.3300
 -3.1572 -2.9979 -2.8515 -2.7167 -2.5919 -2.3167 -2.0899 -1.9143 -1.7866 -1.6924
 -4.6556 -4.4082 -4.1890 -4.0024 -3.8491 -3.7417 -3.6521 -3.5165 -3.3459 -3.1702
 -3.0095 -2.8618 -2.7260 -2.6016 -2.4878 -2.2434 -2.0480 -1.8968 -1.7849 -1.7005
 -1.6340
 -4.4420 -4.2174 -4.0087 -3.8207 -3.6534 -3.5049 -3.3793 -3.2826 -3.1818 -3.0509
 -2.9058 -2.7672 -2.6406 -2.5244 -2.4180 -2.1930 -2.0186 -1.8866 -1.7871 -1.7111
 -1.6498 -1.5988
 -4.2616 -4.0582 -3.8679 -3.6906 -3.5282 -3.3794 -3.2428 -3.1197 -3.0172 -2.9220
 -2.8186 -2.7013 -2.5831 -2.4730 -2.3725 -2.1599 -1.9982 -1.8789 -1.7903 -1.7222
 -1.6663 -1.6189 -1.5777 -1.5422
 -4.1107 -3.9212 -3.7475 -3.5843 -3.4320 -3.2902 -3.1583 -3.0358 -2.9236 -2.8216
 -2.7288 -2.6374 -2.5399 -2.4396 -2.3432 -2.1389 -1.9842 -1.8721 -1.7914 -1.7312
 -1.6814 -1.6385 -1.6007 -1.5669 -1.5354 -1.5077 -1.4860 -1.4718 -1.4664 -1.4704
 -3.9896 -3.8071 -3.6416 -3.4910 -3.3492 -3.2166 -3.0921 -2.9752 -2.8668 -2.7657
 -2.6711 -2.5820 -2.4962 -2.4102 -2.3237 -2.1262 -1.9746 -1.8647 -1.7890 -1.7354
 -1.6926 -1.6555 -1.6223 -1.5919 -1.5639 -1.5362 -1.5115 -1.4933 -1.4843 -1.4857
 -1.4956
 -3.8987 -3.7171 -3.5537 -3.4078 -3.2746 -3.1502 -3.0335 -2.9234 -2.8202 -2.7235
 -2.6326 -2.5461 -2.4628 -2.3825 -2.3039 -2.1199 -1.9694 -1.8592 -1.7839 -1.7339
 -1.6975 -1.6672 -1.6399 -1.6144 -1.5905 -1.5676 -1.5442 -1.5235 -1.5092 -1.5043
 -1.5106
 -3.8385 -3.6527 -3.4864 -3.3351 -3.2057 -3.0868 -2.9765 -2.8730 -2.7758 -2.6838
 -2.5968 -2.5146 -2.4357 -2.3591 -2.2844 -2.1112 -1.9657 -1.8551 -1.7775 -1.7277
 -1.6952 -1.6712 -1.6508 -1.6318 -1.6133 -1.5949 -1.5769 -1.5598 -1.5461 -1.5361
 -1.5294
 -3.8094 -3.6150 -3.4418 -3.2878 -3.1513 -3.0307 -2.9236 -2.8249 -2.7329 -2.6462
 -2.5639 -2.4856 -2.4109 -2.3383 -2.2677 -2.1038 -1.9630 -1.8529 -1.7733 -1.7210
 -1.6887 -1.6684 -1.6541 -1.6421 -1.6303 -1.6179 -1.6051 -1.5920 -1.5792 -1.5678
 -1.5573
 -3.8085 -3.6028 -3.4197 -3.2571 -3.1133 -2.9865 -2.8753 -2.7775 -2.6886 -2.6062
 -2.5288 -2.4551 -2.3844 -2.3166 -2.2511 -2.0957 -1.9593 -1.8502 -1.7699 -1.7149
 -1.6808 -1.6610 -1.6502 -1.6440 -1.6391 -1.6337 -1.6274 -1.6199 -1.6115 -1.6031
 -1.5957
 -3.8233 -3.6064 -3.4130 -3.2409 -3.0886 -2.9545 -2.8370 -2.7346 -2.6445 -2.5636
 -2.4898 -2.4208 -2.3549 -2.2914 -2.2299 -2.0851 -1.9544 -1.8468 -1.7660
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F547M
 -5.2991 -5.1861 -5.0282 -4.7526 -4.4487 -4.1651 -3.9229 -3.7123 -3.5159 -3.3299
 -3.1580 -3.0022 -2.8612 -2.7325 -2.6137 -2.3589 -2.1292 -1.9308 -1.7873
 -4.9130 -4.6761 -4.5388 -4.4492 -4.2535 -3.9963 -3.7519 -3.5409 -3.3507 -3.1722
 -3.0081 -2.8599 -2.7266 -2.6063 -2.4969 -2.2604 -2.0637 -1.9023 -1.7777 -1.6838
 -4.6923 -4.4325 -4.2171 -4.0528 -3.9572 -3.8410 -3.6394 -3.4260 -3.2380 -3.0677
 -2.9105 -2.7685 -2.6408 -2.5258 -2.4220 -2.2018 -2.0249 -1.8833 -1.7739 -1.6900
 -1.6237
 -4.5344 -4.2826 -4.0594 -3.8595 -3.6919 -3.5672 -3.4742 -3.3426 -3.1664 -2.9995
 -2.8478 -2.7113 -2.5881 -2.4771 -2.3767 -2.1657 -2.0004 -1.8718 -1.7737 -1.6983
 -1.6375 -1.5867
 -4.4136 -4.1722 -3.9546 -3.7598 -3.5849 -3.4254 -3.2870 -3.1740 -3.0763 -2.9518
 -2.8104 -2.6759 -2.5559 -2.4483 -2.3505 -2.1447 -1.9856 -1.8648 -1.7750 -1.7068
 -1.6517 -1.6049 -1.5643 -1.5300
 -4.3342 -4.0881 -3.8755 -3.6842 -3.5123 -3.3552 -3.2086 -3.0731 -2.9548 -2.8576
 -2.7622 -2.6527 -2.5384 -2.4313 -2.3353 -2.1330 -1.9766 -1.8599 -1.7753 -1.7136
 -1.6645 -1.6225 -1.5855 -1.5526 -1.5218 -1.4949 -1.4741 -1.4612 -1.4572 -1.4619
 -4.2757 -4.0278 -3.8160 -3.6259 -3.4558 -3.3027 -3.1615 -3.0288 -2.9045 -2.7923
 -2.6934 -2.6053 -2.5161 -2.4217 -2.3279 -2.1267 -1.9712 -1.8556 -1.7736 -1.7166
 -1.6737 -1.6376 -1.6053 -1.5760 -1.5492 -1.5231 -1.5002 -1.4833 -1.4749 -1.4763
