 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  Hp  
 -4.0367 -3.9794 -4.1724 -4.1263 -3.9689 -3.7444 -3.4893 -3.3208 -3.1677 -3.0092
 -2.8586 -2.7179 -2.5866 -2.4648 -2.3511 -2.1069 -1.8829 -1.6753 -1.5470
 -4.0274 -3.8479 -3.6995 -3.6005 -3.5482 -3.4648 -3.3202 -3.1572 -3.0034 -2.8561
 -2.7149 -2.5821 -2.4590 -2.3454 -2.2401 -2.0075 -1.8130 -1.6580 -1.5411 -1.4520
 -3.8454 -3.6689 -3.5040 -3.3604 -3.2438 -3.1683 -3.1102 -3.0141 -2.8846 -2.7450
 -2.6123 -2.4871 -2.3708 -2.2637 -2.1654 -1.9529 -1.7801 -1.6430 -1.5385 -1.4579
 -1.3935
 -3.6938 -3.5354 -3.3767 -3.2278 -3.0943 -2.9781 -2.8839 -2.8162 -2.7465 -2.6491
 -2.5329 -2.4161 -2.3065 -2.2051 -2.1120 -1.9132 -1.7560 -1.6339 -1.5398 -1.4667
 -1.4075 -1.3577
 -3.5550 -3.4195 -3.2768 -3.1349 -3.0012 -2.8795 -2.7705 -2.6744 -2.5970 -2.5267
 -2.4489 -2.3559 -2.2574 -2.1622 -2.0740 -1.8853 -1.7384 -1.6271 -1.5425 -1.4767
 -1.4227 -1.3768 -1.3368 -1.3018
 -3.4261 -3.3087 -3.1864 -3.0580 -2.9313 -2.8114 -2.7014 -2.6015 -2.5115 -2.4307
 -2.3580 -2.2866 -2.2090 -2.1266 -2.0450 -1.8656 -1.7255 -1.6211 -1.5438 -1.4853
 -1.4372 -1.3959 -1.3596 -1.3268 -1.2954 -1.2671 -1.2439 -1.2274 -1.2189 -1.2191
 -3.3090 -3.2037 -3.0976 -2.9854 -2.8698 -2.7564 -2.6489 -2.5496 -2.4598 -2.3773
 -2.3005 -2.2284 -2.1592 -2.0898 -2.0187 -1.8508 -1.7156 -1.6142 -1.5422 -1.4899
 -1.4484 -1.4127 -1.3810 -1.3521 -1.3252 -1.2989 -1.2753 -1.2565 -1.2446 -1.2411
 -1.2474
 -3.2056 -3.1075 -3.0108 -2.9116 -2.8093 -2.7054 -2.6036 -2.5070 -2.4183 -2.3373
 -2.2623 -2.1912 -2.1228 -2.0570 -1.9926 -1.8387 -1.7080 -1.6083 -1.5378 -1.4894
 -1.4539 -1.4247 -1.3988 -1.3748 -1.3523 -1.3306 -1.3086 -1.2889 -1.2744 -1.2676
 -1.2699
 -3.1179 -3.0230 -2.9302 -2.8357 -2.7451 -2.6521 -2.5585 -2.4669 -2.3805 -2.3007
 -2.2275 -2.1593 -2.0942 -2.0309 -1.9692 -1.8249 -1.7005 -1.6027 -1.5317 -1.4844
 -1.4528 -1.4296 -1.4103 -1.3927 -1.3756 -1.3586 -1.3420 -1.3262 -1.3133 -1.3034
 -1.2964
