 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = BX   
 -7.2239 -7.0096 -7.1688 -7.0880 -6.8671 -6.5076 -6.0411 -5.7559 -5.4745 -5.1821
 -4.9047 -4.6473 -4.4091 -4.1816 -3.9608 -3.4643 -2.9483 -2.4627 -2.1169
 -7.0504 -6.6869 -6.4010 -6.2062 -6.0852 -5.9286 -5.6849 -5.3980 -5.1103 -4.8279
 -4.5574 -4.3055 -4.0724 -3.8551 -3.6497 -3.1722 -2.7344 -2.3599 -2.0697 -1.8469
 -6.7099 -6.3482 -6.0330 -5.7714 -5.5586 -5.4043 -5.2730 -5.0841 -4.8379 -4.5691
 -4.3065 -4.0589 -3.8312 -3.6222 -3.4291 -2.9985 -2.6178 -2.2877 -2.0273 -1.8265
 -1.6657
 -6.4299 -6.0983 -5.7888 -5.5156 -5.2760 -5.0612 -4.8731 -4.7192 -4.5568 -4.3484
 -4.1125 -3.8775 -3.6559 -3.4525 -3.2671 -2.8683 -2.5308 -2.2402 -2.0026 -1.8193
 -1.6721 -1.5479
 -6.1762 -5.8858 -5.6005 -5.3343 -5.0938 -4.8724 -4.6630 -4.4655 -4.2909 -4.1233
 -3.9426 -3.7406 -3.5349 -3.3387 -3.1583 -2.7786 -2.4702 -2.2075 -1.9909 -1.8212
 -1.6852 -1.5703 -1.4692 -1.3781
 -5.9406 -5.6870 -5.4360 -5.1883 -4.9560 -4.7402 -4.5348 -4.3351 -4.1420 -3.9585
 -3.7883 -3.6215 -3.4462 -3.2670 -3.0936 -2.7232 -2.4321 -2.1887 -1.9877 -1.8283
 -1.7014 -1.5950 -1.5014 -1.4163 -1.3340 -1.2564 -1.1864 -1.1266 -1.0788 -1.0440
 -5.7234 -5.5000 -5.2800 -5.0583 -4.8401 -4.6338 -4.4373 -4.2467 -4.0595 -3.8750
 -3.6974 -3.5304 -3.3714 -3.2140 -3.0568 -2.6963 -2.4120 -2.1815 -1.9900 -1.8374
 -1.7176 -1.6190 -1.5329 -1.4546 -1.3821 -1.3141 -1.2508 -1.1924 -1.1393 -1.0945
 -1.0691
