 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  V   
 -4.1120 -4.0329 -4.2498 -4.1729 -3.9541 -3.6682 -3.3603 -3.1460 -2.9546 -2.7611
 -2.5829 -2.4188 -2.2663 -2.1235 -1.9888 -1.7036 -1.4304 -1.1959 -1.0567
 -4.0998 -3.8442 -3.6416 -3.5045 -3.4240 -3.3085 -3.1236 -2.9195 -2.7294 -2.5508
 -2.3834 -2.2283 -2.0857 -1.9546 -1.8332 -1.5659 -1.3456 -1.1751 -1.0511 -0.9594
 -3.8623 -3.6090 -3.3879 -3.2022 -3.0515 -2.9478 -2.8629 -2.7341 -2.5711 -2.4020
 -2.2458 -2.1012 -1.9681 -1.8463 -1.7349 -1.4964 -1.3059 -1.1587 -1.0498 -0.9677
 -0.9031
 -3.6771 -3.4419 -3.2257 -3.0345 -2.8674 -2.7215 -2.6001 -2.5082 -2.4132 -2.2886
 -2.1484 -2.0128 -1.8880 -1.7735 -1.6689 -1.4484 -1.2779 -1.1491 -1.0523 -0.9783
 -0.9188 -0.8692
 -3.5229 -3.3095 -3.1066 -2.9204 -2.7538 -2.6046 -2.4703 -2.3507 -2.2522 -2.1615
 -2.0626 -1.9492 -1.8337 -1.7251 -1.6259 -1.4168 -1.2584 -1.1419 -1.0556 -0.9894
 -0.9352 -0.8891 -0.8493 -0.8148
 -3.3942 -3.1970 -3.0110 -2.8340 -2.6719 -2.5252 -2.3923 -2.2712 -2.1616 -2.0627
 -1.9729 -1.8847 -1.7901 -1.6924 -1.5978 -1.3966 -1.2448 -1.1353 -1.0568 -0.9984
 -0.9502 -0.9086 -0.8721 -0.8394 -0.8090 -0.7824 -0.7616 -0.7482 -0.7433 -0.7476
 -3.2912 -3.1034 -2.9293 -2.7641 -2.6078 -2.4648 -2.3347 -2.2160 -2.1082 -2.0088
 -1.9163 -1.8293 -1.7456 -1.6620 -1.5776 -1.3842 -1.2353 -1.1280 -1.0544 -1.0026
 -0.9614 -0.9255 -0.8935 -0.8643 -0.8374 -0.8108 -0.7873 -0.7700 -0.7615 -0.7632
 -0.7735
 -3.2138 -3.0298 -2.8608 -2.7035 -2.5554 -2.4163 -2.2887 -2.1724 -2.0667 -1.9697
 -1.8796 -1.7944 -1.7126 -1.6339 -1.5570 -1.3771 -1.2299 -1.1222 -1.0492 -1.0011
 -0.9662 -0.9372 -0.9110 -0.8866 -0.8638 -0.8420 -0.8197 -0.8000 -0.7865 -0.7822
 -0.7889
 -3.1620 -2.9771 -2.8080 -2.6491 -2.5079 -2.3744 -2.2494 -2.1344 -2.0302 -1.9349
 -1.8470 -1.7649 -1.6867 -1.6111 -1.5376 -1.3678 -1.2256 -1.1178 -1.0425 -0.9947
 -0.9638 -0.9412 -0.9219 -0.9039 -0.8865 -0.8691 -0.8521 -0.8360 -0.8232 -0.8140
 -0.8081
 -3.1359 -2.9465 -2.7735 -2.6154 -2.4710 -2.3390 -2.2178 -2.1045 -2.0003 -1.9058
 -1.8193 -1.7392 -1.6641 -1.5916 -1.5217 -1.3601 -1.2223 -1.1151 -1.0380 -0.9878
 -0.9572 -0.9383 -0.9252 -0.9142 -0.9033 -0.8920 -0.8801 -0.8680 -0.8561 -0.8457
 -0.8362
 -3.1313 -2.9346 -2.7558 -2.5932 -2.4454 -2.3111 -2.1893 -2.0782 -1.9749 -1.8799
 -1.7936 -1.7147 -1.6414 -1.5724 -1.5066 -1.3523 -1.2182 -1.1120 -1.0343 -0.9815
 -0.9492 -0.9308 -0.9212 -0.9160 -0.9121 -0.9077 -0.9023 -0.8957 -0.8883 -0.8809
 -0.8744
 -3.1319 -2.9254 -2.7404 -2.5743 -2.4245 -2.2888 -2.1655 -2.0530 -1.9502 -1.8561
 -1.7699 -1.6910 -1.6188 -1.5516 -1.4883 -1.3427 -1.2133 -1.1083 -1.0300
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  V   
 -4.4902 -4.3782 -4.2228 -3.9521 -3.6514 -3.3675 -3.1249 -2.9175 -2.7276 -2.5497
 -2.3843 -2.2331 -2.0956 -1.9698 -1.8539 -1.6045 -1.3819 -1.1898 -1.0515
 -4.1203 -3.8821 -3.7459 -3.6584 -3.4671 -3.2130 -2.9693 -2.7602 -2.5752 -2.4035
 -2.2447 -2.1001 -1.9694 -1.8512 -1.7439 -1.5125 -1.3205 -1.1633 -1.0420 -0.9506
 -3.9188 -3.6520 -3.4342 -3.2708 -3.1770 -3.0640 -2.8664 -2.6560 -2.4715 -2.3066
 -2.1540 -2.0150 -1.8891 -1.7756 -1.6732 -1.4569 -1.2837 -1.1454 -1.0387 -0.9570
 -0.8924
 -3.7843 -3.5203 -3.2885 -3.0850 -2.9173 -2.7944 -2.7041 -2.5772 -2.4058 -2.2436
 -2.0960 -1.9620 -1.8402 -1.7300 -1.6306 -1.4227 -1.2605 -1.1347 -1.0389 -0.9654
 -0.9063 -0.8570
 -3.6878 -3.4329 -3.2013 -2.9970 -2.8176 -2.6572 -2.5202 -2.4101 -2.3166 -2.1974
 -2.0610 -1.9296 -1.8109 -1.7037 -1.6064 -1.4028 -1.2465 -1.1282 -1.0404 -0.9740
 -0.9204 -0.8750 -0.8357 -0.8025
 -3.6276 -3.3723 -3.1445 -2.9385 -2.7564 -2.5941 -2.4461 -2.3118 -2.1962 -2.1025
 -2.0115 -1.9062 -1.7947 -1.6888 -1.5930 -1.3918 -1.2379 -1.1235 -1.0409 -0.9808
 -0.9332 -0.8926 -0.8568 -0.8250 -0.7953 -0.7695 -0.7496 -0.7374 -0.7339 -0.7390
 -3.5837 -3.3319 -3.1080 -2.9020 -2.7169 -2.5532 -2.4063 -2.2718 -2.1482 -2.0380
 -1.9419 -1.8568 -1.7704 -1.6785 -1.5863 -1.3863 -1.2326 -1.1193 -1.0392 -0.9838
 -0.9424 -0.9075 -0.8765 -0.8483 -0.8225 -0.7975 -0.7756 -0.7597 -0.7520 -0.7539
 -0.7649
 -3.5615 -3.3090 -3.0878 -2.8823 -2.6948 -2.5269 -2.3786 -2.2455 -2.1238 -2.0117
 -1.9098 -1.8178 -1.7346 -1.6558 -1.5763 -1.3842 -1.2295 -1.1154 -1.0355 -0.9824
 -0.9462 -0.9177 -0.8925 -0.8693 -0.8475 -0.8246 -0.8029 -0.7855 -0.7747 -0.7726
 -0.7802
 -3.5656 -3.3056 -3.0803 -2.8747 -2.6853 -2.5132 -2.3602 -2.2247 -2.1036 -1.9932
 -1.8917 -1.7984 -1.7124 -1.6328 -1.5579 -1.3807 -1.2271 -1.1111 -1.0298 -0.9767
 -0.9435 -0.9209 -0.9024 -0.8854 -0.8689 -0.8527 -0.8371 -0.8239 -0.8132 -0.8049
 -0.7987
 -3.5988 -3.3242 -3.0911 -2.8841 -2.6925 -2.5168 -2.3576 -2.2162 -2.0917 -1.9806
 -1.8798 -1.7874 -1.7017 -1.6218 -1.5468 -1.3765 -1.2281 -1.1100 -1.0259 -0.9704
 -0.9371 -0.9177 -0.9051 -0.8948 -0.8849 -0.8746 -0.8641 -0.8532 -0.8428 -0.8339
 -0.8258
 -3.6542 -3.3652 -3.1218 -2.9086 -2.7132 -2.5336 -2.3694 -2.2207 -2.0891 -1.9733
 -1.8705 -1.7779 -1.6929 -1.6139 -1.5397 -1.3719 -1.2276 -1.1102 -1.0233 -0.9647
 -0.9291 -0.9101 -0.9008 -0.8963 -0.8931 -0.8896 -0.8854 -0.8801 -0.8740 -0.8679
 -0.8629
 -3.7266 -3.4287 -3.1726 -2.9474 -2.7461 -2.5624 -2.3936 -2.2393 -2.0995 -1.9755
 -1.8670 -1.7711 -1.6849 -1.6062 -1.5329 -1.3684 -1.2265 -1.1100 -1.0214
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  V   
 -4.6741 -4.4447 -4.0902 -3.7424 -3.4209 -3.1457 -2.9280 -2.7350 -2.5551 -2.3887
 -2.2337 -2.0918 -1.9637 -1.8484 -1.7441 -1.5210 -1.3338 -1.1725 -1.0399
 -4.1749 -4.0606 -3.9279 -3.6406 -3.3355 -3.0569 -2.8233 -2.6281 -2.4505 -2.2874
 -2.1360 -1.9978 -1.8736 -1.7625 -1.6630 -1.4547 -1.2857 -1.1443 -1.0285 -0.9374
 -3.9751 -3.7165 -3.5675 -3.4852 -3.2776 -3.0118 -2.7674 -2.5624 -2.3859 -2.2263
 -2.0786 -1.9435 -1.8218 -1.7130 -1.6158 -1.4149 -1.2559 -1.1269 -1.0230 -0.9414
 -0.8767
 -3.8848 -3.5934 -3.3570 -3.1822 -3.0800 -2.9598 -2.7472 -2.5320 -2.3487 -2.1907
 -2.0464 -1.9141 -1.7944 -1.6870 -1.5909 -1.3929 -1.2391 -1.1173 -1.0214 -0.9470
 -0.8880 -0.8390
 -3.8392 -3.5405 -3.2829 -3.0650 -2.8853 -2.7468 -2.6483 -2.5149 -2.3365 -2.1716
 -2.0295 -1.8997 -1.7817 -1.6754 -1.5799 -1.3824 -1.2304 -1.1125 -1.0219 -0.9530
 -0.8992 -0.8544 -0.8159 -0.7815
 -3.8275 -3.5217 -3.2536 -3.0215 -2.8200 -2.6468 -2.5005 -2.3817 -2.2834 -2.1615
 -2.0236 -1.8946 -1.7775 -1.6722 -1.5771 -1.3790 -1.2266 -1.1101 -1.0226 -0.9579
 -0.9090 -0.8691 -0.8343 -0.8036 -0.7754 -0.7513 -0.7334 -0.7233 -0.7214 -0.7261
 -3.8468 -3.5318 -3.2526 -3.0095 -2.7993 -2.6175 -2.4566 -2.3121 -2.1864 -2.0829
 -1.9901 -1.8887 -1.7793 -1.6741 -1.5789 -1.3801 -1.2257 -1.1087 -1.0225 -0.9606
 -0.9160 -0.8812 -0.8512 -0.8244 -0.8001 -0.7770 -0.7573 -0.7435 -0.7377 -0.7408
 -0.7515
 -3.8895 -3.5685 -3.2776 -3.0214 -2.7995 -2.6081 -2.4418 -2.2934 -2.1590 -2.0381
 -1.9330 -1.8439 -1.7602 -1.6730 -1.5834 -1.3837 -1.2269 -1.1078 -1.0211 -0.9604
 -0.9190 -0.8893 -0.8648 -0.8430 -0.8227 -0.8039 -0.7853 -0.7696 -0.7597 -0.7582
 -0.7665
 -3.9566 -3.6239 -3.3248 -3.0555 -2.8189 -2.6153 -2.4401 -2.2872 -2.1508 -2.0268
 -1.9146 -1.8150 -1.7276 -1.6490 -1.5735 -1.3868 -1.2282 -1.1062 -1.0178 -0.9567
 -0.9169 -0.8914 -0.8728 -0.8569 -0.8420 -0.8276 -0.8142 -0.8032 -0.7947 -0.7885
 -0.7843
 -4.0498 -3.7057 -3.3962 -3.1177 -2.8670 -2.6471 -2.4583 -2.2960 -2.1547 -2.0286
 -1.9145 -1.8112 -1.7184 -1.6350 -1.5595 -1.3885 -1.2328 -1.1075 -1.0158 -0.9526
 -0.9121 -0.8885 -0.8747 -0.8650 -0.8564 -0.8477 -0.8392 -0.8305 -0.8224 -0.8158
 -0.8124
 -4.1643 -3.7983 -3.4828 -3.1986 -2.9395 -2.7049 -2.4991 -2.3220 -2.1702 -2.0379
 -1.9208 -1.8154 -1.7200 -1.6336 -1.5550 -1.3853 -1.2373 -1.1107 -1.0150 -0.9485
 -0.9058 -0.8819 -0.8706 -0.8660 -0.8637 -0.8615 -0.8590 -0.8556 -0.8517 -0.8479
 -0.8451
 -4.2997 -3.9100 -3.5815 -3.2921 -3.0270 -2.7845 -2.5655 -2.3711 -2.2034 -2.0595
 -1.9347 -1.8249 -1.7267 -1.6380 -1.5573 -1.3838 -1.2390 -1.1149 -1.0161
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  V   
 -4.6932 -4.3734 -3.9843 -3.6417 -3.3328 -3.0644 -2.8484 -2.6610 -2.4893 -2.3271
 -2.1764 -2.0378 -1.9123 -1.7998 -1.6986 -1.4851 -1.3099 -1.1597 -1.0317
 -4.2644 -4.1759 -3.9066 -3.5711 -3.2660 -2.9913 -2.7650 -2.5739 -2.4024 -2.2428
 -2.0948 -1.9591 -1.8366 -1.7272 -1.6296 -1.4277 -1.2667 -1.1323 -1.0201 -0.9294
 -3.9974 -3.7837 -3.7066 -3.5260 -3.2366 -2.9637 -2.7226 -2.5233 -2.3512 -2.1941
 -2.0490 -1.9157 -1.7951 -1.6873 -1.5913 -1.3945 -1.2409 -1.1160 -1.0139 -0.9320
 -0.8670
 -3.9182 -3.6210 -3.4052 -3.2885 -3.1848 -2.9576 -2.7146 -2.5013 -2.3236 -2.1675
 -2.0251 -1.8941 -1.7749 -1.6680 -1.5724 -1.3771 -1.2269 -1.1073 -1.0118 -0.9363
 -0.8767 -0.8278
 -3.8958 -3.5764 -3.3104 -3.1000 -2.9458 -2.8463 -2.7086 -2.5062 -2.3156 -2.1550
 -2.0144 -1.8854 -1.7676 -1.6613 -1.5659 -1.3699 -1.2203 -1.1033 -1.0119 -0.9412
 -0.8864 -0.8416 -0.8033 -0.7695
 -3.9121 -3.5756 -3.2893 -3.0483 -2.8491 -2.6839 -2.5547 -2.4522 -2.3192 -2.1569
 -2.0119 -1.8844 -1.7678 -1.6620 -1.5667 -1.3693 -1.2183 -1.1018 -1.0128 -0.9454
 -0.8947 -0.8544 -0.8200 -0.7898 -0.7635 -0.7414 -0.7243 -0.7139 -0.7116 -0.7176
 -3.9645 -3.6095 -3.3037 -3.0440 -2.8248 -2.6389 -2.4784 -2.3390 -2.2249 -2.1254
 -2.0108 -1.8888 -1.7726 -1.6670 -1.5718 -1.3729 -1.2193 -1.1016 -1.0132 -0.9481
 -0.9008 -0.8650 -0.8352 -0.8089 -0.7854 -0.7648 -0.7474 -0.7345 -0.7281 -0.7317
 -0.7434
 -4.0432 -3.6764 -3.3499 -3.0698 -2.8328 -2.6327 -2.4609 -2.3097 -2.1747 -2.0562
 -1.9558 -1.8660 -1.7724 -1.6743 -1.5795 -1.3791 -1.2226 -1.1023 -1.0131 -0.9486
 -0.9035 -0.8718 -0.8472 -0.8258 -0.8064 -0.7887 -0.7716 -0.7575 -0.7490 -0.7485
 -0.7572
 -4.1455 -3.7649 -3.4239 -3.1228 -2.8652 -2.6480 -2.4641 -2.3053 -2.1647 -2.0378
 -1.9243 -1.8252 -1.7394 -1.6595 -1.5792 -1.3849 -1.2262 -1.1025 -1.0112 -0.9462
 -0.9023 -0.8737 -0.8541 -0.8384 -0.8243 -0.8110 -0.7988 -0.7877 -0.7788 -0.7744
 -0.7745
 -4.2701 -3.8768 -3.5267 -3.2103 -2.9309 -2.6922 -2.4911 -2.3204 -2.1727 -2.0418
 -1.9239 -1.8180 -1.7240 -1.6408 -1.5656 -1.3914 -1.2329 -1.1058 -1.0108 -0.9436
 -0.8989 -0.8716 -0.8558 -0.8457 -0.8376 -0.8299 -0.8224 -0.8151 -0.8084 -0.8035
 -0.8015
 -4.4138 -4.0026 -3.6449 -3.3206 -3.0271 -2.7670 -2.5440 -2.3556 -2.1954 -2.0568
 -1.9345 -1.8249 -1.7265 -1.6384 -1.5591 -1.3900 -1.2400 -1.1108 -1.0117 -0.9411
 -0.8942 -0.8662 -0.8523 -0.8466 -0.8443 -0.8428 -0.8412 -0.8390 -0.8364 -0.8341
 -0.8324
 -4.5772 -4.1405 -3.7726 -3.4439 -3.1436 -2.8703 -2.6271 -2.4169 -2.2385 -2.0864
 -1.9552 -1.8400 -1.7376 -1.6457 -1.5629 -1.3885 -1.2439 -1.1174 -1.0146
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  V   
 -4.6955 -4.2720 -3.8822 -3.5553 -3.2693 -3.0087 -2.7926 -2.6030 -2.4346 -2.2772
 -2.1304 -1.9948 -1.8714 -1.7605 -1.6611 -1.4531 -1.2861 -1.1441 -1.0219
 -4.4048 -4.2011 -3.8448 -3.5025 -3.2085 -2.9457 -2.7234 -2.5330 -2.3624 -2.2069
 -2.0620 -1.9286 -1.8074 -1.6988 -1.6020 -1.4035 -1.2479 -1.1192 -1.0106 -0.9206
 -4.0330 -3.9170 -3.7932 -3.4947 -3.1888 -2.9217 -2.6892 -2.4932 -2.3219 -2.1675
 -2.0250 -1.8935 -1.7738 -1.6663 -1.5705 -1.3756 -1.2257 -1.1043 -1.0040 -0.9219
 -0.8561
 -3.9379 -3.6536 -3.4998 -3.4207 -3.1963 -2.9253 -2.6842 -2.4769 -2.3016 -2.1475
 -2.0071 -1.8774 -1.7588 -1.6519 -1.5563 -1.3617 -1.2139 -1.0965 -1.0016 -0.9251
 -0.8644 -0.8151
 -3.9330 -3.5986 -3.3377 -3.1573 -3.0569 -2.9253 -2.7005 -2.4835 -2.2974 -2.1399
 -2.0006 -1.8727 -1.7552 -1.6487 -1.5530 -1.3570 -1.2089 -1.0931 -1.0014 -0.9290
 -0.8725 -0.8272 -0.7890 -0.7560
 -3.9752 -3.6107 -3.3112 -3.0704 -2.8835 -2.7456 -2.6428 -2.4979 -2.3122 -2.1435
 -2.0012 -1.8747 -1.7583 -1.6522 -1.5563 -1.3584 -1.2083 -1.0923 -1.0023 -0.9328
 -0.8796 -0.8382 -0.8038 -0.7740 -0.7476 -0.7259 -0.7105 -0.7026 -0.7023 -0.7077
 -4.0612 -3.6660 -3.3361 -3.0645 -2.8427 -2.6614 -2.5101 -2.3879 -2.2828 -2.1550
 -2.0093 -1.8808 -1.7654 -1.6597 -1.5637 -1.3640 -1.2109 -1.0932 -1.0033 -0.9354
 -0.8849 -0.8472 -0.8171 -0.7912 -0.7684 -0.7488 -0.7321 -0.7205 -0.7165 -0.7210
 -0.7319
 -4.1786 -3.7624 -3.4015 -3.1002 -2.8524 -2.6479 -2.4766 -2.3278 -2.1981 -2.0882
 -1.9893 -1.8834 -1.7746 -1.6697 -1.5737 -1.3723 -1.2161 -1.0953 -1.0041 -0.9365
 -0.8878 -0.8532 -0.8275 -0.8062 -0.7875 -0.7708 -0.7567 -0.7451 -0.7377 -0.7368
 -0.7460
 -4.3209 -3.8843 -3.5017 -3.1705 -2.8944 -2.6669 -2.4781 -2.3175 -2.1765 -2.0505
 -1.9394 -1.8427 -1.7562 -1.6696 -1.5814 -1.3806 -1.2217 -1.0974 -1.0037 -0.9354
 -0.8874 -0.8551 -0.8334 -0.8174 -0.8037 -0.7913 -0.7804 -0.7710 -0.7637 -0.7600
 -0.7627
 -4.4820 -4.0345 -3.6364 -3.2822 -2.9765 -2.7212 -2.5103 -2.3341 -2.1836 -2.0509
 -1.9320 -1.8257 -1.7321 -1.6497 -1.5736 -1.3909 -1.2308 -1.1028 -1.0053 -0.9345
 -0.8856 -0.8540 -0.8352 -0.8239 -0.8158 -0.8087 -0.8024 -0.7965 -0.7915 -0.7883
 -0.7880
 -4.6558 -4.1943 -3.7884 -3.4219 -3.0949 -2.8117 -2.5737 -2.3758 -2.2099 -2.0676
 -1.9427 -1.8313 -1.7315 -1.6429 -1.5637 -1.3936 -1.2405 -1.1100 -1.0083 -0.9338
 -0.8827 -0.8504 -0.8327 -0.8248 -0.8219 -0.8206 -0.8198 -0.8188 -0.8178 -0.8171
 -0.8167
 -4.8452 -4.3625 -3.9479 -3.5758 -3.2380 -2.9358 -2.6720 -2.4481 -2.2605 -2.1023
 -1.9669 -1.8487 -1.7440 -1.6504 -1.5667 -1.3922 -1.2475 -1.1187 -1.0133
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  V   
 -4.6768 -4.2137 -3.8232 -3.5048 -3.2265 -2.9724 -2.7568 -2.5602 -2.3900 -2.2386
 -2.0951 -1.9619 -1.8403 -1.7305 -1.6318 -1.4264 -1.2641 -1.1289 -1.0120
 -4.3937 -4.1879 -3.7951 -3.4544 -3.1658 -2.9112 -2.6937 -2.5013 -2.3311 -2.1791
 -2.0369 -1.9055 -1.7855 -1.6774 -1.5807 -1.3831 -1.2304 -1.1056 -1.0002 -0.9110
 -4.1426 -4.0697 -3.7962 -3.4546 -3.1503 -2.8861 -2.6623 -2.4684 -2.2984 -2.1467
 -2.0064 -1.8766 -1.7578 -1.6504 -1.5544 -1.3591 -1.2109 -1.0920 -0.9935 -0.9113
 -0.8444
 -3.9600 -3.7244 -3.6525 -3.4638 -3.1680 -2.8944 -2.6578 -2.4565 -2.2835 -2.1311
 -1.9925 -1.8643 -1.7465 -1.6394 -1.5433 -1.3478 -1.2008 -1.0850 -0.9907 -0.9135
 -0.8512 -0.8012
 -3.9533 -3.6156 -3.3822 -3.2690 -3.1608 -2.9212 -2.6767 -2.4634 -2.2825 -2.1267
 -1.9887 -1.8620 -1.7452 -1.6385 -1.5421 -1.3448 -1.1969 -1.0821 -0.9904 -0.9166
 -0.8581 -0.8116 -0.7733 -0.7404
 -4.0147 -3.6272 -3.3245 -3.0987 -2.9466 -2.8491 -2.6988 -2.4891 -2.2963 -2.1323
 -1.9913 -1.8657 -1.7499 -1.6437 -1.5471 -1.3476 -1.1973 -1.0819 -0.9913 -0.9199
 -0.8643 -0.8210 -0.7861 -0.7565 -0.7310 -0.7106 -0.6963 -0.6892 -0.6899 -0.6961
 -4.1326 -3.6979 -3.3504 -3.0755 -2.8612 -2.6955 -2.5690 -2.4617 -2.3187 -2.1506
 -2.0008 -1.8732 -1.7583 -1.6526 -1.5561 -1.3545 -1.2011 -1.0835 -0.9927 -0.9227
 -0.8691 -0.8288 -0.7975 -0.7715 -0.7492 -0.7304 -0.7154 -0.7057 -0.7028 -0.7082
 -0.7197
 -4.2936 -3.8217 -3.4292 -3.1135 -2.8619 -2.6604 -2.4960 -2.3572 -2.2406 -2.1346
 -2.0144 -1.8848 -1.7694 -1.6642 -1.5677 -1.3644 -1.2078 -1.0869 -0.9944 -0.9245
 -0.8722 -0.8343 -0.8065 -0.7847 -0.7663 -0.7503 -0.7374 -0.7270 -0.7214 -0.7228
 -0.7329
 -4.4772 -3.9824 -3.5541 -3.1963 -2.9069 -2.6750 -2.4870 -2.3294 -2.1922 -2.0712
 -1.9656 -1.8689 -1.7714 -1.6737 -1.5789 -1.3747 -1.2153 -1.0907 -0.9955 -0.9244
 -0.8727 -0.8365 -0.8118 -0.7944 -0.7806 -0.7688 -0.7590 -0.7506 -0.7450 -0.7439
 -0.7484
 -4.6786 -4.1705 -3.7214 -3.3306 -3.0015 -2.7340 -2.5181 -2.3411 -2.1915 -2.0602
 -1.9428 -1.8384 -1.7459 -1.6630 -1.5823 -1.3880 -1.2264 -1.0982 -0.9990 -0.9252
 -0.8725 -0.8367 -0.8141 -0.8004 -0.7914 -0.7846 -0.7791 -0.7745 -0.7712 -0.7689
 -0.7717
