 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = G_RP 
 -1.2838 -1.2769 -1.4592 -1.4674 -1.3941 -1.2665 -1.1071 -1.0061 -0.9150 -0.8192
 -0.7271 -0.6398 -0.5603 -0.4887 -0.4263 -0.2981 -0.2414 -0.2396 -0.2387
 -1.2880 -1.2170 -1.1590 -1.1298 -1.1308 -1.1071 -1.0359 -0.9470 -0.8600 -0.7756
 -0.6938 -0.6166 -0.5459 -0.4828 -0.4278 -0.3255 -0.2697 -0.2503 -0.2522 -0.2660
 -1.1690 -1.1040 -1.0380 -0.9790 -0.9338 -0.9158 -0.9105 -0.8781 -0.8169 -0.7434
 -0.6709 -0.6011 -0.5367 -0.4790 -0.4289 -0.3357 -0.2846 -0.2681 -0.2719 -0.2860
 -0.3064
 -1.0593 -1.0108 -0.9530 -0.8932 -0.8379 -0.7906 -0.7573 -0.7436 -0.7298 -0.6963
 -0.6446 -0.5860 -0.5287 -0.4763 -0.4305 -0.3446 -0.2970 -0.2825 -0.2881 -0.3031
 -0.3232 -0.3473
 -0.9466 -0.9185 -0.8766 -0.8260 -0.7733 -0.7237 -0.6798 -0.6432 -0.6193 -0.6022
 -0.5828 -0.5522 -0.5126 -0.4695 -0.4287 -0.3500 -0.3053 -0.2926 -0.3001 -0.3170
 -0.3380 -0.3620 -0.3888 -0.4187
 -0.8302 -0.8188 -0.7957 -0.7603 -0.7173 -0.6718 -0.6286 -0.5896 -0.5553 -0.5267
 -0.5052 -0.4877 -0.4676 -0.4432 -0.4161 -0.3502 -0.3085 -0.2971 -0.3065 -0.3268
 -0.3501 -0.3753 -0.4025 -0.4317 -0.4630 -0.4969 -0.5341 -0.5749 -0.6198 -0.6688
 -0.7129 -0.7137 -0.7060 -0.6867 -0.6577 -0.6220 -0.5838 -0.5470 -0.5137 -0.4835
 -0.4567 -0.4342 -0.4161 -0.3998 -0.3832 -0.3408 -0.3060 -0.2940 -0.3060 -0.3306
 -0.3581 -0.3861 -0.4149 -0.4448 -0.4759 -0.5072 -0.5405 -0.5778 -0.6208 -0.6696
 -0.7209
 -0.5976 -0.6067 -0.6093 -0.6029 -0.5882 -0.5658 -0.5374 -0.5062 -0.4759 -0.4481
 -0.4229 -0.4002 -0.3801 -0.3633 -0.3489 -0.3192 -0.2964 -0.2871 -0.2993 -0.3272
 -0.3599 -0.3925 -0.4245 -0.4564 -0.4886 -0.5213 -0.5539 -0.5883 -0.6265 -0.6704
 -0.7209
 -0.4871 -0.5017 -0.5104 -0.5116 -0.5087 -0.4986 -0.4824 -0.4609 -0.4366 -0.4124
 -0.3903 -0.3704 -0.3523 -0.3362 -0.3219 -0.2956 -0.2804 -0.2764 -0.2884 -0.3177
 -0.3548 -0.3930 -0.4298 -0.4654 -0.5002 -0.5345 -0.5690 -0.6039 -0.6411 -0.6807
 -0.7226
 -0.3844 -0.4022 -0.4144 -0.4216 -0.4243 -0.4229 -0.4174 -0.4068 -0.3921 -0.3743
 -0.3562 -0.3397 -0.3249 -0.3114 -0.2993 -0.2758 -0.2634 -0.2629 -0.2756 -0.3040
 -0.3428 -0.3854 -0.4276 -0.4682 -0.5070 -0.5443 -0.5809 -0.6170 -0.6532 -0.6904
 -0.7293
 -0.2910 -0.3085 -0.3221 -0.3321 -0.3390 -0.3430 -0.3444 -0.3431 -0.3381 -0.3294
 -0.3178 -0.3057 -0.2946 -0.2848 -0.2762 -0.2584 -0.2479 -0.2493 -0.2633 -0.2900
 -0.3280 -0.3722 -0.4184 -0.4640 -0.5078 -0.5495 -0.5895 -0.6282 -0.6659 -0.7035
 -0.7419
 -0.2042 -0.2101 -0.2202 -0.2326 -0.2454 -0.2571 -0.2664 -0.2725 -0.2755 -0.2753
 -0.2723 -0.2668 -0.2604 -0.2544 -0.2494 -0.2400 -0.2338 -0.2362 -0.2509
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = G_RP 
 -1.5679 -1.5755 -1.5466 -1.4379 -1.3013 -1.1663 -1.0518 -0.9575 -0.8717 -0.7897
 -0.7113 -0.6367 -0.5666 -0.5014 -0.4422 -0.3209 -0.2499 -0.2240 -0.2226
 -1.3945 -1.3266 -1.3051 -1.3081 -1.2435 -1.1326 -1.0200 -0.9246 -0.8418 -0.7645
 -0.6910 -0.6213 -0.5559 -0.4956 -0.4412 -0.3350 -0.2702 -0.2429 -0.2420 -0.2550
 -1.2884 -1.2079 -1.1362 -1.0879 -1.0813 -1.0638 -0.9906 -0.9001 -0.8187 -0.7458
 -0.6771 -0.6120 -0.5509 -0.4947 -0.4441 -0.3460 -0.2861 -0.2604 -0.2603 -0.2737
 -0.2942
 -1.1971 -1.1274 -1.0523 -0.9795 -0.9218 -0.8908 -0.8836 -0.8564 -0.7950 -0.7279
 -0.6643 -0.6038 -0.5467 -0.4942 -0.4469 -0.3553 -0.2993 -0.2745 -0.2749 -0.2891
 -0.3096 -0.3342
 -1.1046 -1.0529 -0.9889 -0.9205 -0.8554 -0.7973 -0.7532 -0.7281 -0.7170 -0.6901
 -0.6446 -0.5922 -0.5402 -0.4914 -0.4472 -0.3614 -0.3086 -0.2848 -0.2856 -0.3011
 -0.3228 -0.3477 -0.3753 -0.4067
