 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  r   
 -2.6901 -2.6269 -2.8191 -2.7485 -2.5655 -2.3220 -2.0603 -1.8867 -1.7361 -1.5830
 -1.4408 -1.3106 -1.1915 -1.0827 -0.9830 -0.7770 -0.5955 -0.4393 -0.3675
 -2.6956 -2.4867 -2.3161 -2.2015 -2.1387 -2.0459 -1.8943 -1.7307 -1.5827 -1.4456
 -1.3170 -1.1979 -1.0888 -0.9891 -0.8979 -0.7031 -0.5537 -0.4479 -0.3774 -0.3300
 -2.5126 -2.3093 -2.1230 -1.9629 -1.8356 -1.7544 -1.6939 -1.5983 -1.4747 -1.3462
 -1.2284 -1.1200 -1.0205 -0.9295 -0.8466 -0.6718 -0.5406 -0.4487 -0.3869 -0.3444
 -0.3146
 -2.3654 -2.1834 -2.0048 -1.8397 -1.6948 -1.5731 -1.4785 -1.4137 -1.3501 -1.2635
 -1.1620 -1.0627 -0.9718 -0.8886 -0.8123 -0.6514 -0.5324 -0.4512 -0.3966 -0.3586
 -0.3311 -0.3111
 -2.2340 -2.0779 -1.9169 -1.7594 -1.6135 -1.4847 -1.3747 -1.2828 -1.2133 -1.1538
 -1.0896 -1.0131 -0.9329 -0.8567 -0.7868 -0.6373 -0.5263 -0.4525 -0.4045 -0.3716
 -0.3471 -0.3287 -0.3153 -0.3065
 -2.1147 -1.9786 -1.8399 -1.6966 -1.5573 -1.4283 -1.3147 -1.2174 -1.1355 -1.0667
 -1.0075 -0.9511 -0.8902 -0.8260 -0.7631 -0.6254 -0.5202 -0.4509 -0.4081 -0.3812
 -0.3610 -0.3455 -0.3339 -0.3255 -0.3196 -0.3174 -0.3201 -0.3287 -0.3440 -0.3663
 -2.0094 -1.8861 -1.7647 -1.6387 -1.5107 -1.3871 -1.2731 -1.1729 -1.0885 -1.0170
 -0.9542 -0.8971 -0.8435 -0.7905 -0.7367 -0.6119 -0.5128 -0.4446 -0.4060 -0.3850
 -0.3708 -0.3598 -0.3513 -0.3451 -0.3407 -0.3365 -0.3350 -0.3393 -0.3518 -0.3732
 -0.3999
 -1.9196 -1.8034 -1.6914 -1.5792 -1.4653 -1.3511 -1.2411 -1.1400 -1.0525 -0.9791
 -0.9166 -0.8606 -0.8078 -0.7577 -0.7092 -0.5965 -0.5037 -0.4371 -0.3991 -0.3819
 -0.3740 -0.3691 -0.3654 -0.3627 -0.3611 -0.3602 -0.3589 -0.3601 -0.3669 -0.3818
 -0.4065
 -1.8471 -1.7334 -1.6247 -1.5161 -1.4149 -1.3124 -1.2105 -1.1124 -1.0231 -0.9463
 -0.8821 -0.8273 -0.7775 -0.7300 -0.6841 -0.5790 -0.4923 -0.4283 -0.3891 -0.3730
 -0.3697 -0.3712 -0.3737 -0.3763 -0.3789 -0.3813 -0.3840 -0.3874 -0.3938 -0.4034
 -0.4160
 -1.7937 -1.6791 -1.5699 -1.4656 -1.3659 -1.2704 -1.1782 -1.0872 -1.0002 -0.9211
 -0.8531 -0.7965 -0.7480 -0.7030 -0.6603 -0.5633 -0.4810 -0.4194 -0.3796 -0.3618
 -0.3596 -0.3654 -0.3742 -0.3832 -0.3914 -0.3986 -0.4052 -0.4114 -0.4177 -0.4254
 -0.4340
 -1.7556 -1.6362 -1.5243 -1.4193 -1.3207 -1.2279 -1.1405 -1.0574 -0.9763 -0.8992
 -0.8290 -0.7687 -0.7184 -0.6755 -0.6368 -0.5474 -0.4694 -0.4100 -0.3709 -0.3509
 -0.3475 -0.3545 -0.3672 -0.3820 -0.3966 -0.4099 -0.4218 -0.4323 -0.4420 -0.4515
 -0.4619
 -1.7125 -1.5778 -1.4613 -1.3588 -1.2665 -1.1812 -1.1002 -1.0217 -0.9462 -0.8744
 -0.8071 -0.7453 -0.6917 -0.6470 -0.6092 -0.5289 -0.4574 -0.4003 -0.3618
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  r   
 -3.0563 -2.9765 -2.8518 -2.6171 -2.3518 -2.1019 -1.8964 -1.7315 -1.5857 -1.4495
 -1.3215 -1.2028 -1.0938 -0.9941 -0.9030 -0.7138 -0.5596 -0.4347 -0.3580
 -2.7650 -2.5710 -2.4608 -2.3925 -2.2287 -2.0077 -1.7990 -1.6285 -1.4856 -1.3553
 -1.2341 -1.1226 -1.0209 -0.9288 -0.8454 -0.6704 -0.5348 -0.4341 -0.3644 -0.3172
 -2.6087 -2.3916 -2.2064 -2.0660 -1.9903 -1.9001 -1.7361 -1.5625 -1.4163 -1.2911
 -1.1760 -1.0707 -0.9750 -0.8886 -0.8107 -0.6481 -0.5241 -0.4339 -0.3721 -0.3300
 -0.3005
 -2.4997 -2.2909 -2.0959 -1.9186 -1.7718 -1.6683 -1.6002 -1.5043 -1.3705 -1.2459
 -1.1351 -1.0351 -0.9445 -0.8629 -0.7892 -0.6357 -0.5192 -0.4357 -0.3798 -0.3422
 -0.3154 -0.2960
 -2.4117 -2.2194 -2.0312 -1.8550 -1.6955 -1.5543 -1.4393 -1.3538 -1.2881 -1.2037
 -1.1048 -1.0082 -0.9215 -0.8440 -0.7741 -0.6280 -0.5167 -0.4375 -0.3861 -0.3529
 -0.3295 -0.3121 -0.2996 -0.2925
 -2.3409 -2.1600 -1.9842 -1.8135 -1.6539 -1.5086 -1.3786 -1.2663 -1.1759 -1.1091
 -1.0492 -0.9788 -0.9016 -0.8272 -0.7605 -0.6211 -0.5140 -0.4376 -0.3892 -0.3605
 -0.3414 -0.3273 -0.3167 -0.3095 -0.3042 -0.3023 -0.3057 -0.3161 -0.3340 -0.3576
 -2.2743 -2.1060 -1.9436 -1.7823 -1.6273 -1.4829 -1.3513 -1.2337 -1.1314 -1.0462
 -0.9773 -0.9210 -0.8656 -0.8060 -0.7453 -0.6128 -0.5097 -0.4351 -0.3884 -0.3634
 -0.3495 -0.3398 -0.3327 -0.3277 -0.3246 -0.3225 -0.3232 -0.3291 -0.3420 -0.3629
 -0.3914
