 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  i   
 -1.7517 -0.5404  0.7851  1.0170 -0.2081 -2.5989 -1.7848 -0.4293  0.3914  0.4623
  0.5537  0.5441  0.1434 -0.3456 -0.5901 -0.4244
 -1.7510 -1.2088 -0.5439 -0.3420 -0.7419 -1.7945 -1.4409 -0.8381 -0.3928 -0.2279
 -0.1006 -0.0662 -0.2184 -0.4223 -0.5217 -0.3926 -0.3140 -0.2787 -0.3256
 -1.5391 -1.3748 -1.1286 -0.9733 -0.9448 -1.1829 -1.0866 -0.9246 -0.7513 -0.6004
 -0.4920 -0.4412 -0.4477 -0.4743 -0.4777 -0.3793 -0.3320 -0.3020 -0.3119 -0.3277
 -0.3182
 -1.1160 -1.0384 -0.9690 -0.8769 -0.8166 -0.7642 -0.7219 -0.6889 -0.6841 -0.6552
 -0.6206 -0.5811 -0.5445 -0.5014 -0.4581 -0.3845 -0.3359 -0.3158 -0.3137 -0.3240
 -0.3412 -0.3633 -0.3896
 -0.8862 -0.8479 -0.8104 -0.7611 -0.7190 -0.6784 -0.6418 -0.6102 -0.5840 -0.5613
 -0.5384 -0.5127 -0.4869 -0.4594 -0.4300 -0.3743 -0.3454 -0.3345 -0.3354 -0.3448
 -0.3603 -0.3805 -0.4045 -0.4328 -0.4659
 -0.6743 -0.6666 -0.6554 -0.6386 -0.6166 -0.5914 -0.5653 -0.5402 -0.5170 -0.4962
 -0.4776 -0.4601 -0.4416 -0.4244 -0.4047 -0.3637 -0.3472 -0.3448 -0.3505 -0.3615
 -0.3771 -0.3966 -0.4193 -0.4452 -0.4744 -0.5077
 -0.4804 -0.4945 -0.5040 -0.5094 -0.5093 -0.5032 -0.4924 -0.4789 -0.4641 -0.4490
 -0.4343 -0.4203 -0.4072 -0.3954 -0.3822 -0.3527 -0.3413 -0.3467 -0.3590 -0.3741
 -0.3916 -0.4116 -0.4340 -0.4587 -0.4858 -0.5157 -0.5492 -0.5889 -0.6358 -0.6856
 -0.3046 -0.3316 -0.3562 -0.3786 -0.3969 -0.4095 -0.4158 -0.4167 -0.4133 -0.4070
 -0.3988 -0.3895 -0.3799 -0.3707 -0.3619 -0.3407 -0.3317 -0.3400 -0.3583 -0.3796
 -0.4014 -0.4239 -0.4476 -0.4726 -0.4990 -0.5271 -0.5570 -0.5911 -0.6319 -0.6800
 -0.7316
 -0.1544 -0.1869 -0.2198 -0.2531 -0.2843 -0.3117 -0.3338 -0.3495 -0.3590 -0.3634
 -0.3635 -0.3607 -0.3560 -0.3501 -0.3435 -0.3284 -0.3210 -0.3285 -0.3492 -0.3761
 -0.4040 -0.4312 -0.4580 -0.4849 -0.5122 -0.5401 -0.5695 -0.6003 -0.6350 -0.6761
 -0.7254
 -0.0270 -0.0632 -0.1010 -0.1402 -0.1790 -0.2160 -0.2495 -0.2779 -0.3001 -0.3155
 -0.3251 -0.3299 -0.3311 -0.3297 -0.3264 -0.3155 -0.3101 -0.3161 -0.3358 -0.3650
 -0.3982 -0.4316 -0.4636 -0.4943 -0.5241 -0.5535 -0.5831 -0.6136 -0.6458 -0.6820
 -0.7225
  0.0759  0.0388 -0.0001 -0.0406 -0.0826 -0.1245 -0.1649 -0.2021 -0.2348 -0.2611
 -0.2806 -0.2941 -0.3027 -0.3071 -0.3082 -0.3035 -0.2992 -0.3045 -0.3217 -0.3496
 -0.3847 -0.4229 -0.4607 -0.4968 -0.5309 -0.5635 -0.5951 -0.6265 -0.6582 -0.6913
 -0.7265
  0.1520  0.1191  0.0828  0.0434  0.0013 -0.0417 -0.0852 -0.1273 -0.1666 -0.2006
 -0.2289 -0.2515 -0.2687 -0.2805 -0.2874 -0.2912 -0.2893 -0.2938 -0.3091 -0.3348
 -0.3688 -0.4083 -0.4502 -0.4917 -0.5313 -0.5684 -0.6038 -0.6377 -0.6708 -0.7038
 -0.7380
  0.2013  0.1778  0.1477  0.1118  0.0727  0.0324 -0.0134 -0.0572 -0.0996 -0.1382
 -0.1726 -0.2033 -0.2304 -0.2499 -0.2639 -0.2784 -0.2804 -0.2840 -0.2980
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value =  i   
 -1.0702 -0.9518 -0.8840 -0.8685 -0.9141 -1.1620 -1.0411 -0.9144 -0.8155 -0.7400
 -0.6314 -0.5297 -0.5105 -0.5313 -0.5213 -0.3737
 -1.0790 -0.9622 -0.8826 -0.8422 -0.8471 -0.9685 -0.9144 -0.8507 -0.7922 -0.7387
 -0.6702 -0.6024 -0.5640 -0.5407 -0.5059 -0.3779 -0.3044 -0.2725 -0.2654
 -1.0648 -0.9545 -0.8702 -0.8138 -0.7892 -0.8211 -0.8056 -0.7822 -0.7521 -0.7168
 -0.6771 -0.6342 -0.5888 -0.5416 -0.4932 -0.3821 -0.3206 -0.2944 -0.2896 -0.2988
 -0.3169
 -1.0276 -0.9287 -0.8468 -0.7833 -0.7405 -0.7198 -0.7147 -0.7087 -0.6952 -0.6741
 -0.6522 -0.6251 -0.5850 -0.5338 -0.4832 -0.3863 -0.3340 -0.3132 -0.3108 -0.3196
 -0.3360 -0.3583 -0.3851
 -0.9674 -0.8848 -0.8124 -0.7507 -0.7009 -0.6646 -0.6417 -0.6302 -0.6214 -0.6108
 -0.5954 -0.5751 -0.5526 -0.5174 -0.4759 -0.3905 -0.3446 -0.3289 -0.3289 -0.3381
 -0.3536 -0.3740 -0.3987 -0.4277 -0.4616
 -0.8842 -0.8228 -0.7670 -0.7160 -0.6704 -0.6320 -0.6021 -0.5806 -0.5655 -0.5541
 -0.5413 -0.5249 -0.5098 -0.4907 -0.4629 -0.3918 -0.3504 -0.3392 -0.3432 -0.3540
 -0.3696 -0.3893 -0.4125 -0.4390 -0.4690 -0.5030
 -0.7789 -0.7386 -0.7021 -0.6669 -0.6324 -0.5995 -0.5700 -0.5456 -0.5265 -0.5108
 -0.4963 -0.4815 -0.4657 -0.4542 -0.4363 -0.3862 -0.3503 -0.3422 -0.3511 -0.3658
 -0.3833 -0.4036 -0.4265 -0.4519 -0.4798 -0.5106 -0.5449 -0.5853 -0.6327 -0.6825
 -0.6595 -0.6362 -0.6170 -0.5988 -0.5790 -0.5570 -0.5339 -0.5119 -0.4926 -0.4763
 -0.4619 -0.4476 -0.4325 -0.4202 -0.4070 -0.3708 -0.3437 -0.3378 -0.3507 -0.3709
 -0.3927 -0.4154 -0.4396 -0.4653 -0.4925 -0.5215 -0.5531 -0.5877 -0.6285 -0.6770
 -0.7287
 -0.5461 -0.5281 -0.5174 -0.5132 -0.5079 -0.4995 -0.4870 -0.4719 -0.4564 -0.4421
 -0.4292 -0.4172 -0.4048 -0.3923 -0.3814 -0.3519 -0.3319 -0.3276 -0.3420 -0.3675
 -0.3920 -0.4226 -0.4498 -0.4774 -0.5054 -0.5341 -0.5643 -0.5983 -0.6363 -0.6778
 -0.7225
 -0.4051 -0.4132 -0.4169 -0.4166 -0.4224 -0.4262 -0.4261 -0.4214 -0.4133 -0.4036
 -0.3940 -0.3850 -0.3761 -0.3668 -0.3583 -0.3336 -0.3174 -0.3152 -0.3297 -0.3569
 -0.3897 -0.4231 -0.4554 -0.4866 -0.5171 -0.5473 -0.5777 -0.6089 -0.6418 -0.6778
 -0.7196
 -0.2810 -0.2987 -0.3099 -0.3152 -0.3288 -0.3412 -0.3518 -0.3583 -0.3604 -0.3586
