 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F350LP
 -2.2920 -2.2518 -2.2131 -2.1749 -2.1361 -2.0957 -2.0536 -2.0105 -1.9683 -1.9286
 -1.8923 -1.8591 -1.8281 -1.7991 -1.7712 -1.7039 -1.6430 -1.5939 -1.5632 -1.5508
 -1.5507 -1.5558 -1.5624 -1.5691 -1.5756 -1.5815 -1.5874 -1.5933 -1.6002 -1.6093
 -1.6235
 -2.1941 -2.1635 -2.1345 -2.1064 -2.0779 -2.0476 -2.0147 -1.9791 -1.9420 -1.9049
 -1.8694 -1.8366 -1.8063 -1.7778 -1.7505 -1.6855 -1.6293 -1.5848 -1.5550 -1.5420
 -1.5428 -1.5513 -1.5629 -1.5752 -1.5869 -1.5975 -1.6074 -1.6165 -1.6255 -1.6351
 -1.6455
 -2.0982 -2.0742 -2.0515 -2.0308 -2.0103 -1.9887 -1.9644 -1.9372 -1.9073 -1.8756
 -1.8434 -1.8122 -1.7831 -1.7562 -1.7307 -1.6700 -1.6164 -1.5749 -1.5466 -1.5329
 -1.5328 -1.5422 -1.5570 -1.5741 -1.5913 -1.6074 -1.6224 -1.6360 -1.6486 -1.6607
 -1.6732
 -2.0075 -1.9876 -1.9693 -1.9526 -1.9373 -1.9221 -1.9051 -1.8855 -1.8631 -1.8382
 -1.8115 -1.7841 -1.7589 -1.7328 -1.7118 -1.6574 -1.6043 -1.5642 -1.5380
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =F350LP
 -2.9532 -2.8821 -2.8231 -2.7711 -2.7207 -2.6655 -2.6001 -2.5221 -2.4378 -2.3517
 -2.2640 -2.1760 -2.0899 -2.0107 -1.9388 -1.7876 -1.6725 -1.5887 -1.5318
 -2.8581 -2.7735 -2.7028 -2.6422 -2.5874 -2.5346 -2.4791 -2.4170 -2.3511 -2.2830
 -2.2116 -2.1359 -2.0581 -1.9839 -1.9158 -1.7737 -1.6675 -1.5914 -1.5392 -1.5034
 -2.7663 -2.6692 -2.6038 -2.5475 -2.4913 -2.4379 -2.3864 -2.3338 -2.2798 -2.2247
 -2.1671 -2.1045 -2.0360 -1.9666 -1.9017 -1.7662 -1.6660 -1.5949 -1.5467 -1.5143
 -1.4917
 -2.7426 -2.6167 -2.5123 -2.4319 -2.3783 -2.3471 -2.3146 -2.2722 -2.2243 -2.1754
 -2.1260 -2.0747 -2.0173 -1.9546 -1.8931 -1.7628 -1.6668 -1.5991 -1.5540 -1.5246
 -1.5044 -1.4901
 -2.7363 -2.6051 -2.4881 -2.3887 -2.3078 -2.2475 -2.2084 -2.1848 -2.1664 -2.1350
 -2.0922 -2.0457 -1.9971 -1.9432 -1.8864 -1.7612 -1.6682 -1.6030 -1.5604 -1.5338
 -1.5165 -1.5045 -1.4961 -1.4907
 -2.7242 -2.5982 -2.4815 -2.3779 -2.2892 -2.2158 -2.1566 -2.1106 -2.0782 -2.0594
 -2.0418 -2.0133 -1.9743 -1.9286 -1.8784 -1.7593 -1.6688 -1.6055 -1.5648 -1.5410
 -1.5271 -1.5181 -1.5121 -1.5083 -1.5065 -1.5063 -1.5090 -1.5161 -1.5285 -1.5464
 -2.6943 -2.5807 -2.4718 -2.3720 -2.2834 -2.2060 -2.1400 -2.0846 -2.0388 -2.0016
 -1.9733 -1.9526 -1.9310 -1.9017 -1.8636 -1.7559 -1.6678 -1.6057 -1.5663 -1.5448
 -1.5346 -1.5295 -1.5268 -1.5256 -1.5257 -1.5270 -1.5300 -1.5353 -1.5444 -1.5607
 -1.5833
 -2.6421 -2.5447 -2.4487 -2.3582 -2.2753 -2.2003 -2.1334 -2.0740 -2.0222 -1.9775
 -1.9388 -1.9057 -1.8790 -1.8560 -1.8302 -1.7475 -1.6646 -1.6036 -1.5648 -1.5446
 -1.5375 -1.5368 -1.5383 -1.5409 -1.5440 -1.5475 -1.5519 -1.5574 -1.5647 -1.5772
 -1.5978
 -2.5691 -2.4881 -2.4072 -2.3290 -2.2555 -2.1872 -2.1239 -2.0654 -2.0119 -1.9636
 -1.9205 -1.8820 -1.8479 -1.8184 -1.7922 -1.7259 -1.6567 -1.5984 -1.5601 -1.5403
 -1.5353 -1.5386 -1.5451 -1.5524 -1.5596 -1.5666 -1.5736 -1.5809 -1.5891 -1.6003
 -1.6146
 -2.4855 -2.4190 -2.3519 -2.2865 -2.2237 -2.1641 -2.1075 -2.0533 -2.0018 -1.9534
 -1.9086 -1.8678 -1.8308 -1.7974 -1.7674 -1.7023 -1.6429 -1.5913 -1.5539 -1.5336
 -1.5287 -1.5345 -1.5454 -1.5579 -1.5701 -1.5816 -1.5926 -1.6030 -1.6133 -1.6243
 -1.6360
 -2.3986 -2.3422 -2.2861 -2.2316 -2.1793 -2.1290 -2.0802 -2.0323 -1.9855 -1.9400
 -1.8963 -1.8553 -1.8175 -1.7829 -1.7513 -1.6833 -1.6272 -1.5808 -1.5461 -1.5256
 -1.5199 -1.5261 -1.5397 -1.5566 -1.5741 -1.5909 -1.6068 -1.6215 -1.6354 -1.6488
 -1.6626
 -2.3130 -2.2637 -2.2157 -2.1693 -2.1255 -2.0836 -2.0426 -2.0017 -1.9607 -1.9199
 -1.8797 -1.8406 -1.8025 -1.7676 -1.7439 -1.6689 -1.6096 -1.5669 -1.5367
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =F350LP
 -3.2716 -3.1911 -3.1216 -3.0560 -2.9896 -2.9081 -2.7968 -2.6541 -2.5108 -2.3784
 -2.2614 -2.1595 -2.0694 -1.9907 -1.9209 -1.7764 -1.6651 -1.5814 -1.5220
 -3.1380 -3.0479 -2.9729 -2.9060 -2.8406 -2.7680 -2.6734 -2.5579 -2.4400 -2.3276
 -2.2241 -2.1304 -2.0463 -1.9710 -1.9036 -1.7649 -1.6603 -1.5832 -1.5290 -1.4918
 -3.0415 -2.9429 -2.8601 -2.7881 -2.7211 -2.6533 -2.5743 -2.4799 -2.3818 -2.2861
 -2.1954 -2.1107 -2.0318 -1.9594 -1.8941 -1.7595 -1.6592 -1.5863 -1.5353 -1.5008
 -1.4776
 -2.9324 -2.8292 -2.7549 -2.6898 -2.6245 -2.5588 -2.4893 -2.4113 -2.3289 -2.2471
 -2.1684 -2.0933 -2.0212 -1.9526 -1.8893 -1.7579 -1.6603 -1.5901 -1.5415 -1.5092
 -1.4881 -1.4738
 -2.8923 -2.7544 -2.6443 -2.5592 -2.4967 -2.4513 -2.4057 -2.3475 -2.2800 -2.2098
 -2.1406 -2.0742 -2.0099 -1.9468 -1.8863 -1.7579 -1.6623 -1.5938 -1.5471 -1.5167
 -1.4978 -1.4858 -1.4779 -1.4734
 -2.8839 -2.7392 -2.6106 -2.5005 -2.4098 -2.3369 -2.2799 -2.2372 -2.2036 -2.1633
 -2.1113 -2.0536 -1.9958 -1.9391 -1.8829 -1.7582 -1.6641 -1.5968 -1.5514 -1.5227
 -1.5061 -1.4968 -1.4913 -1.4886 -1.4881 -1.4899 -1.4943 -1.5029 -1.5165 -1.5342
 -2.8816 -2.7364 -2.6021 -2.4819 -2.3780 -2.2905 -2.2177 -2.1571 -2.1078 -2.0713
 -2.0445 -2.0148 -1.9749 -1.9270 -1.8766 -1.7577 -1.6650 -1.5985 -1.5539 -1.5266
 -1.5120 -1.5057 -1.5035 -1.5034 -1.5049 -1.5079 -1.5127 -1.5201 -1.5311 -1.5480
 -1.5702
 -2.8687 -2.7316 -2.6001 -2.4782 -2.3692 -2.2749 -2.1944 -2.1260 -2.0676 -2.0183
 -1.9775 -1.9464 -1.9218 -1.8945 -1.8601 -1.7552 -1.6645 -1.5985 -1.5543 -1.5278
 -1.5149 -1.5114 -1.5129 -1.5164 -1.5209 -1.5262 -1.5326 -1.5402 -1.5501 -1.5637
 -1.5846
 -2.8346 -2.7109 -2.5888 -2.4721 -2.3648 -2.2695 -2.1860 -2.1134 -2.0504 -1.9957
 -1.9479 -1.9067 -1.8721 -1.8443 -1.8194 -1.7447 -1.6611 -1.5960 -1.5520 -1.5257
 -1.5139 -1.5130 -1.5183 -1.5261 -1.5346 -1.5432 -1.5523 -1.5616 -1.5721 -1.5852
 -1.6011
 -2.7815 -2.6738 -2.5640 -2.4579 -2.3573 -2.2650 -2.1829 -2.1099 -2.0450 -1.9873
 -1.9358 -1.8901 -1.8496 -1.8142 -1.7840 -1.7204 -1.6540 -1.5924 -1.5483 -1.5216
 -1.5098 -1.5101 -1.5184 -1.5306 -1.5438 -1.5568 -1.5695 -1.5819 -1.5943 -1.6076
 -1.6226
 -2.7151 -2.6208 -2.5240 -2.4294 -2.3383 -2.2533 -2.1756 -2.1052 -2.0415 -1.9835
 -1.9305 -1.8823 -1.8388 -1.7998 -1.7650 -1.6956 -1.6382 -1.5853 -1.5430 -1.5158
 -1.5033 -1.5036 -1.5136 -1.5293 -1.5471 -1.5650 -1.5824 -1.5989 -1.6147 -1.6303
 -1.6462
 -2.6423 -2.5590 -2.4740 -2.3896 -2.3082 -2.2316 -2.1605 -2.0947 -2.0341 -1.9781
 -1.9260 -1.8776 -1.8328 -1.7918 -1.7624 -1.6703 -1.6137 -1.5747 -1.5361
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value =F350LP
 -3.4784 -3.3938 -3.3175 -3.2421 -3.1639 -3.0644 -2.9244 -2.7421 -2.5609 -2.3999
 -2.2650 -2.1542 -2.0617 -1.9821 -1.9123 -1.7701 -1.6608 -1.5776 -1.5162
 -3.3199 -3.2266 -3.1475 -3.0750 -3.0020 -2.9174 -2.8002 -2.6517 -2.4997 -2.3591
 -2.2357 -2.1309 -2.0418 -1.9651 -1.8975 -1.7599 -1.6560 -1.5789 -1.5233 -1.4851
 -3.2058 -3.1019 -3.0154 -2.9398 -2.8690 -2.7944 -2.6989 -2.5782 -2.4506 -2.3279
 -2.2159 -2.1170 -2.0310 -1.9560 -1.8898 -1.7552 -1.6549 -1.5814 -1.5293 -1.4934
 -1.4694
 -3.0957 -2.9981 -2.9104 -2.8318 -2.7592 -2.6878 -2.6084 -2.5104 -2.4037 -2.2978
 -2.1978 -2.1065 -2.0246 -1.9516 -1.8866 -1.7542 -1.6560 -1.5848 -1.5350 -1.5011
 -1.4789 -1.4643
 -3.0183 -2.8935 -2.7770 -2.7082 -2.6518 -2.5925 -2.5244 -2.4448 -2.3561 -2.2652
 -2.1772 -2.0946 -2.0184 -1.9487 -1.8853 -1.7549 -1.6581 -1.5884 -1.5401 -1.5079
 -1.4875 -1.4749 -1.4670 -1.4628
 -2.9770 -2.8218 -2.6976 -2.5959 -2.5147 -2.4513 -2.4025 -2.3554 -2.2972 -2.2273
 -2.1527 -2.0792 -2.0097 -1.9447 -1.8840 -1.7560 -1.6603 -1.5914 -1.5443 -1.5134
 -1.4948 -1.4845 -1.4789 -1.4764 -1.4765 -1.4789 -1.4845 -1.4942 -1.5084 -1.5264
 -2.9626 -2.8095 -2.6723 -2.5521 -2.4503 -2.3652 -2.2938 -2.2331 -2.1834 -2.1434
 -2.1031 -2.0535 -1.9961 -1.9375 -1.8809 -1.7566 -1.6619 -1.5935 -1.5469 -1.5172
 -1.5002 -1.4922 -1.4895 -1.4897 -1.4918 -1.4957 -1.5017 -1.5100 -1.5221 -1.5397
 -1.5616
 -2.9615 -2.8098 -2.6687 -2.5403 -2.4267 -2.3292 -2.2463 -2.1752 -2.1134 -2.0604
 -2.0178 -1.9851 -1.9542 -1.9168 -1.8719 -1.7558 -1.6623 -1.5943 -1.5479 -1.5187
 -1.5030 -1.4971 -1.4976 -1.5012 -1.5063 -1.5125 -1.5199 -1.5288 -1.5399 -1.5547
 -1.5758
 -2.9477 -2.8040 -2.6669 -2.5378 -2.4200 -2.3161 -2.2263 -2.1489 -2.0819 -2.0235
 -1.9724 -1.9289 -1.8938 -1.8654 -1.8376 -1.7504 -1.6604 -1.5929 -1.5464 -1.5175
 -1.5026 -1.4987 -1.5022 -1.5098 -1.5187 -1.5282 -1.5383 -1.5489 -1.5606 -1.5744
 -1.5919
 -2.9158 -2.7865 -2.6580 -2.5348 -2.4190 -2.3140 -2.2217 -2.1407 -2.0702 -2.0083
 -1.9537 -1.9055 -1.8631 -1.8268 -1.7965 -1.7303 -1.6568 -1.5906 -1.5440 -1.5146
