 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  z   
 -1.0513 -1.0580 -1.2424 -1.2650 -1.2102 -1.1100 -0.9782 -0.8999 -0.8293 -0.7548
 -0.6840 -0.6178 -0.5571 -0.5037 -0.4596 -0.3703 -0.3506 -0.3840 -0.4168
 -1.0727 -1.0236 -0.9863 -0.9749 -0.9907 -0.9842 -0.9346 -0.8678 -0.8020 -0.7383
 -0.6769 -0.6195 -0.5675 -0.5221 -0.4836 -0.4183 -0.3962 -0.4069 -0.4345 -0.4700
 -0.9733 -0.9304 -0.8868 -0.8496 -0.8246 -0.8234 -0.8333 -0.8191 -0.7784 -0.7255
 -0.6725 -0.6214 -0.5747 -0.5337 -0.4989 -0.4395 -0.4185 -0.4292 -0.4570 -0.4923
 -0.5313
 -0.8786 -0.8516 -0.8155 -0.7782 -0.7447 -0.7176 -0.7020 -0.7038 -0.7061 -0.6912
 -0.6588 -0.6186 -0.5781 -0.5414 -0.5100 -0.4560 -0.4361 -0.4466 -0.4748 -0.5102
 -0.5490 -0.5902
 -0.7774 -0.7705 -0.7493 -0.7201 -0.6893 -0.6609 -0.6363 -0.6171 -0.6092 -0.6078
 -0.6049 -0.5919 -0.5694 -0.5419 -0.5149 -0.4665 -0.4481 -0.4589 -0.4877 -0.5243
 -0.5637 -0.6050 -0.6480 -0.6927
 -0.6684 -0.6793 -0.6766 -0.6613 -0.6391 -0.6149 -0.5919 -0.5712 -0.5536 -0.5407
 -0.5344 -0.5321 -0.5277 -0.5189 -0.5063 -0.4702 -0.4539 -0.4650 -0.4948 -0.5340
 -0.5751 -0.6175 -0.6612 -0.7061 -0.7522 -0.7998 -0.8495 -0.9014 -0.9559 -1.0130
 -0.5538 -0.5790 -0.5928 -0.5936 -0.5842 -0.5689 -0.5511 -0.5335 -0.5174 -0.5030
 -0.4911 -0.4830 -0.4789 -0.4767 -0.4739 -0.4629 -0.4532 -0.4633 -0.4951 -0.5378
 -0.5825 -0.6271 -0.6721 -0.7179 -0.7645 -0.8111 -0.8589 -0.9094 -0.9638 -1.0222
 -1.0821
 -0.4357 -0.4724 -0.4989 -0.5140 -0.5190 -0.5159 -0.5071 -0.4955 -0.4834 -0.4718
 -0.4614 -0.4524 -0.4455 -0.4417 -0.4400 -0.4408 -0.4444 -0.4573 -0.4891 -0.5346
 -0.5839 -0.6324 -0.6800 -0.7274 -0.7751 -0.8231 -0.8711 -0.9204 -0.9724 -1.0282
 -1.0886
 -0.3160 -0.3620 -0.3982 -0.4242 -0.4425 -0.4520 -0.4546 -0.4520 -0.4465 -0.4395
 -0.4325 -0.4262 -0.4208 -0.4168 -0.4145 -0.4170 -0.4282 -0.4470 -0.4788 -0.5257
 -0.5790 -0.6324 -0.6842 -0.7346 -0.7843 -0.8336 -0.8832 -0.9333 -0.9851 -1.0388
 -1.0941
 -0.1968 -0.2503 -0.2943 -0.3296 -0.3572 -0.3776 -0.3915 -0.3994 -0.4029 -0.4030
 -0.4012 -0.3988 -0.3966 -0.3949 -0.3940 -0.3974 -0.4106 -0.4330 -0.4659 -0.5121
 -0.5670 -0.6245 -0.6809 -0.7355 -0.7883 -0.8400 -0.8910 -0.9418 -0.9929 -1.0450
 -1.0994
 -0.0801 -0.1385 -0.1884 -0.2306 -0.2660 -0.2950 -0.3182 -0.3362 -0.3494 -0.3583
 -0.3638 -0.3672 -0.3694 -0.3713 -0.3734 -0.3811 -0.3950 -0.4190 -0.4532 -0.4979
 -0.5523 -0.6113 -0.6712 -0.7301 -0.7869 -0.8418 -0.8954 -0.9479 -0.9998 -1.0519
 -1.1048
  0.0330 -0.0219 -0.0736 -0.1214 -0.1647 -0.2029 -0.2358 -0.2631 -0.2855 -0.3035
 -0.3177 -0.3286 -0.3370 -0.3438 -0.3497 -0.3646 -0.3816 -0.4059 -0.4407
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  z   
 -1.3211 -1.3415 -1.3276 -1.2414 -1.1319 -1.0257 -0.9378 -0.8666 -0.8020 -0.7407
 -0.6829 -0.6284 -0.5777 -0.5309 -0.4892 -0.4067 -0.3702 -0.3756 -0.4027
 -1.1758 -1.1276 -1.1217 -1.1385 -1.0952 -1.0112 -0.9259 -0.8547 -0.7932 -0.7362
 -0.6828 -0.6326 -0.5859 -0.5433 -0.5054 -0.4356 -0.4021 -0.4028 -0.4268 -0.4612
 -1.0870 -1.0284 -0.9773 -0.9483 -0.9576 -0.9581 -0.9095 -0.8440 -0.7848 -0.7319
 -0.6826 -0.6363 -0.5932 -0.5539 -0.5192 -0.4556 -0.4248 -0.4247 -0.4479 -0.4822
 -0.5211
 -1.0070 -0.9601 -0.9065 -0.8556 -0.8192 -0.8072 -0.8169 -0.8092 -0.7701 -0.7239
 -0.6794 -0.6371 -0.5973 -0.5611 -0.5291 -0.4707 -0.4423 -0.4418 -0.4642 -0.4985
 -0.5375 -0.5790
 -0.9208 -0.8935 -0.8513 -0.8044 -0.7612 -0.7251 -0.7014 -0.6943 -0.6998 -0.6917
 -0.6658 -0.6319 -0.5969 -0.5638 -0.5343 -0.4806 -0.4546 -0.4541 -0.4759 -0.5108
 -0.5507 -0.5927 -0.6364 -0.6823
 -0.8252 -0.8169 -0.7933 -0.7573 -0.7178 -0.6811 -0.6488 -0.6225 -0.6063 -0.6037
 -0.6056 -0.5999 -0.5834 -0.5595 -0.5341 -0.4851 -0.4615 -0.4614 -0.4829 -0.5190
 -0.5606 -0.6039 -0.6484 -0.6943 -0.7410 -0.7891 -0.8394 -0.8927 -0.9490 -1.0069
 -0.7166 -0.7275 -0.7234 -0.7043 -0.6753 -0.6434 -0.6132 -0.5859 -0.5622 -0.5441
 -0.5340 -0.5320 -0.5320 -0.5283 -0.5191 -0.4842 -0.4633 -0.4637 -0.4850 -0.5223
 -0.5666 -0.6122 -0.6583 -0.7051 -0.7528 -0.8010 -0.8505 -0.9023 -0.9570 -1.0151
 -1.0763
 -0.6012 -0.6260 -0.6394 -0.6383 -0.6249 -0.6030 -0.5785 -0.5546 -0.5327 -0.5129
 -0.4965 -0.4848 -0.4789 -0.4776 -0.4777 -0.4719 -0.4599 -0.4615 -0.4824 -0.5203
 -0.5675 -0.6166 -0.6652 -0.7138 -0.7625 -0.8109 -0.8599 -0.9108 -0.9645 -1.0217
 -1.0829
 -0.4824 -0.5173 -0.5433 -0.5579 -0.5605 -0.5531 -0.5385 -0.5208 -0.5030 -0.4863
 -0.4710 -0.4579 -0.4476 -0.4412 -0.4388 -0.4427 -0.4479 -0.4551 -0.4761 -0.5138
 -0.5632 -0.6163 -0.6688 -0.7202 -0.7708 -0.8213 -0.8722 -0.9244 -0.9778 -1.0324
 -1.0880
