 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  w   
 -3.2021 -3.1643 -3.3523 -3.3298 -3.2087 -3.0283 -2.8194 -2.6811 -2.5586 -2.4298
 -2.3074 -2.1925 -2.0847 -1.9868 -1.8983 -1.7117 -1.5765 -1.4693 -1.4066
 -3.1947 -3.0666 -2.9606 -2.8937 -2.8658 -2.8097 -2.6992 -2.5713 -2.4501 -2.3336
 -2.2214 -2.1155 -2.0177 -1.9286 -1.8480 -1.6807 -1.5565 -1.4699 -1.4120 -1.3731
 -3.0414 -2.9189 -2.8014 -2.6975 -2.6140 -2.5652 -2.5321 -2.4666 -2.3704 -2.2634
 -2.1605 -2.0628 -1.9720 -1.8892 -1.8147 -1.6614 -1.5496 -1.4728 -1.4216 -1.3866
 -1.3624
 -2.9088 -2.8042 -2.6948 -2.5884 -2.4915 -2.4076 -2.3423 -2.3008 -2.2587 -2.1932
 -2.1091 -2.0214 -1.9379 -1.8610 -1.7914 -1.6484 -1.5453 -1.4764 -1.4311 -1.4001
 -1.3779 -1.3622
 -2.7812 -2.6985 -2.6057 -2.5082 -2.4130 -2.3251 -2.2471 -2.1797 -2.1287 -2.0850
 -2.0366 -1.9751 -1.9062 -1.8373 -1.7729 -1.6387 -1.5418 -1.4788 -1.4390 -1.4124
 -1.3932 -1.3791 -1.3691 -1.3629
 -2.6572 -2.5914 -2.5186 -2.4361 -2.3499 -2.2652 -2.1868 -2.1162 -2.0535 -1.9988
 -1.9518 -1.9077 -1.8593 -1.8063 -1.7522 -1.6295 -1.5374 -1.4783 -1.4430 -1.4218
 -1.4067 -1.3954 -1.3873 -1.3817 -1.3776 -1.3762 -1.3789 -1.3869 -1.4009 -1.4215
 -2.5398 -2.4850 -2.4280 -2.3614 -2.2885 -2.2126 -2.1380 -2.0685 -2.0061 -1.9497
 -1.8981 -1.8512 -1.8079 -1.7654 -1.7220 -1.6171 -1.5310 -1.4729 -1.4416 -1.4259
 -1.4164 -1.4094 -1.4044 -1.4010 -1.3990 -1.3971 -1.3973 -1.4020 -1.4130 -1.4314
 -1.4562
 -2.4322 -2.3836 -2.3351 -2.2813 -2.2219 -2.1580 -2.0917 -2.0262 -1.9655 -1.9107
 -1.8608 -1.8145 -1.7708 -1.7299 -1.6908 -1.5994 -1.5218 -1.4659 -1.4354 -1.4235
 -1.4199 -1.4187 -1.4183 -1.4185 -1.4193 -1.4204 -1.4209 -1.4233 -1.4303 -1.4442
 -1.4663
 -2.3375 -2.2915 -2.2458 -2.1972 -2.1486 -2.0961 -2.0403 -1.9827 -1.9261 -1.8733
 -1.8255 -1.7820 -1.7412 -1.7021 -1.6647 -1.5798 -1.5093 -1.4571 -1.4260 -1.4155
 -1.4163 -1.4212 -1.4268 -1.4322 -1.4371 -1.4415 -1.4459 -1.4506 -1.4577 -1.4675
 -1.4798
 -2.2587 -2.2128 -2.1668 -2.1210 -2.0752 -2.0295 -1.9834 -1.9350 -1.8856 -1.8368
 -1.7913 -1.7501 -1.7125 -1.6766 -1.6420 -1.5630 -1.4967 -1.4473 -1.4165 -1.4049
 -1.4070 -1.4162 -1.4278 -1.4393 -1.4497 -1.4589 -1.4673 -1.4748 -1.4824 -1.4908
 -1.5003
 -2.1963 -2.1457 -2.0972 -2.0506 -2.0059 -1.9628 -1.9214 -1.8809 -1.8394 -1.7972
 -1.7557 -1.7168 -1.6816 -1.6494 -1.6190 -1.5472 -1.4845 -1.4373 -1.4075 -1.3943
 -1.3956 -1.4061 -1.4216 -1.4387 -1.4553 -1.4704 -1.4839 -1.4959 -1.5069 -1.5175
 -1.5286
 -2.1422 -2.0691 -2.0116 -1.9653 -1.9264 -1.8913 -1.8574 -1.8228 -1.7875 -1.7520
 -1.7165 -1.6817 -1.6490 -1.6192 -1.5920 -1.5297 -1.4725 -1.4272 -1.3981
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  w   
 -3.5156 -3.4866 -3.4172 -3.2540 -3.0601 -2.8722 -2.7130 -2.5810 -2.4611 -2.3467
 -2.2375 -2.1342 -2.0374 -1.9475 -1.8649 -1.6902 -1.5589 -1.4598 -1.3963
 -3.2868 -3.1655 -3.1058 -3.0775 -2.9682 -2.8053 -2.6449 -2.5093 -2.3918 -2.2819
 -2.1776 -2.0792 -1.9874 -1.9030 -1.8261 -1.6661 -1.5462 -1.4605 -1.4022 -1.3630
 -3.1533 -3.0147 -2.8935 -2.8038 -2.7652 -2.7131 -2.5946 -2.4599 -2.3414 -2.2360
 -2.1364 -2.0427 -1.9553 -1.8750 -1.8021 -1.6519 -1.5409 -1.4625 -1.4102 -1.3750
 -1.3507
 -3.0485 -2.9190 -2.7917 -2.6717 -2.5722 -2.5060 -2.4680 -2.4046 -2.3028 -2.2008
 -2.1058 -2.0166 -1.9333 -1.8567 -1.7870 -1.6439 -1.5388 -1.4656 -1.4179 -1.3865
 -1.3646 -1.3491
 -2.9529 -2.8393 -2.7211 -2.6046 -2.4958 -2.3975 -2.3173 -2.2599 -2.2184 -2.1577
 -2.0782 -1.9949 -1.9159 -1.8429 -1.7761 -1.6387 -1.5380 -1.4683 -1.4242 -1.3967
 -1.3779 -1.3644 -1.3551 -1.3502
 -2.8638 -2.7625 -2.6582 -2.5505 -2.4447 -2.3450 -2.2532 -2.1719 -2.1060 -2.0586
 -2.0155 -1.9610 -1.8962 -1.8291 -1.7659 -1.6338 -1.5364 -1.4691 -1.4277 -1.4042
 -1.3895 -1.3791 -1.3718 -1.3671 -1.3640 -1.3637 -1.3676 -1.3769 -1.3922 -1.4134
 -2.7725 -2.6839 -2.5934 -2.4986 -2.4013 -2.3058 -2.2154 -2.1318 -2.0563 -1.9912
 -1.9377 -1.8941 -1.8508 -1.8023 -1.7500 -1.6275 -1.5332 -1.4673 -1.4275 -1.4074
 -1.3975 -1.3914 -1.3874 -1.3851 -1.3842 -1.3838 -1.3856 -1.3918 -1.4038 -1.4227
 -1.4482
 -2.6870 -2.6031 -2.5258 -2.4424 -2.3565 -2.2690 -2.1834 -2.1021 -2.0269 -1.9584
 -1.8978 -1.8451 -1.7998 -1.7591 -1.7185 -1.6159 -1.5274 -1.4629 -1.4236 -1.4055
 -1.4002 -1.3994 -1.4000 -1.4013 -1.4032 -1.4040 -1.4055 -1.4100 -1.4194 -1.4352
 -1.4582
 -2.6142 -2.5286 -2.4551 -2.3813 -2.3051 -2.2275 -2.1495 -2.0729 -2.0003 -1.9329
 -1.8718 -1.8172 -1.7682 -1.7244 -1.6850 -1.5956 -1.5168 -1.4556 -1.4165 -1.3989
 -1.3966 -1.4012 -1.4075 -1.4139 -1.4199 -1.4256 -1.4314 -1.4388 -1.4480 -1.4588
 -1.4711
 -2.5622 -2.4691 -2.3912 -2.3195 -2.2512 -2.1819 -2.1122 -2.0427 -1.9747 -1.9100
 -1.8501 -1.7961 -1.7473 -1.7030 -1.6625 -1.5759 -1.5037 -1.4467 -1.4082 -1.3896
 -1.3880 -1.3961 -1.4080 -1.4203 -1.4317 -1.4420 -1.4517 -1.4607 -1.4697 -1.4797
 -1.4907
 -2.5408 -2.4263 -2.3369 -2.2621 -2.1973 -2.1329 -2.0699 -2.0072 -1.9456 -1.8852
 -1.8279 -1.7751 -1.7274 -1.6843 -1.6448 -1.5594 -1.4901 -1.4363 -1.3993 -1.3797
 -1.3769 -1.3861 -1.4015 -1.4192 -1.4367 -1.4528 -1.4676 -1.4809 -1.4932 -1.5053
 -1.5179
 -2.5475 -2.4002 -2.2922 -2.2102 -2.1437 -2.0835 -2.0253 -1.9678 -1.9115 -1.8566
 -1.8033 -1.7529 -1.7063 -1.6644 -1.6265 -1.5448 -1.4776 -1.4257 -1.3899
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  w   
 -3.7140 -3.6036 -3.3889 -3.1621 -2.9420 -2.7534 -2.6123 -2.4926 -2.3815 -2.2767
 -2.1775 -2.0835 -1.9952 -1.9125 -1.8356 -1.6707 -1.5429 -1.4479 -1.3824
 -3.3864 -3.3504 -3.2958 -3.1199 -2.9177 -2.7265 -2.5690 -2.4438 -2.3325 -2.2301
 -2.1336 -2.0427 -1.9574 -1.8781 -1.8048 -1.6503 -1.5330 -1.4475 -1.3882 -1.3483
 -3.2475 -3.1054 -3.0322 -3.0076 -2.8883 -2.7146 -2.5489 -2.4123 -2.2993 -2.1985
 -2.1048 -2.0168 -1.9344 -1.8578 -1.7874 -1.6397 -1.5290 -1.4492 -1.3944 -1.3582
 -1.3339
 -3.1689 -3.0112 -2.8729 -2.7723 -2.7272 -2.6710 -2.5403 -2.3981 -2.2772 -2.1759
 -2.0846 -1.9993 -1.9195 -1.8455 -1.7773 -1.6346 -1.5283 -1.4522 -1.4007 -1.3675
 -1.3456 -1.3306
 -3.1042 -2.9545 -2.8095 -2.6778 -2.5677 -2.4894 -2.4448 -2.3756 -2.2659 -2.1594
