 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F350LP
 -2.0298 -0.7250  0.6493  0.7957 -0.6426 -3.2418 -2.4190 -1.0028 -0.1627 -0.1239
 -0.0399 -0.0168 -0.4148 -0.8936 -1.1178 -0.8704
 -2.1165 -1.5586 -0.9050 -0.7731 -1.2894 -2.4548 -2.1162 -1.4919 -1.0273 -0.8558
 -0.7147 -0.6560 -0.7975 -0.9858 -1.0591 -0.8368 -0.6724 -0.5639 -0.5372
 -2.0126 -1.8652 -1.6471 -1.5336 -1.5491 -1.8291 -1.7486 -1.5833 -1.3942 -1.2229
 -1.0940 -1.0245 -1.0148 -1.0216 -0.9979 -0.8059 -0.6606 -0.5594 -0.5023 -0.4549
 -0.3839
 -1.7181 -1.6448 -1.5770 -1.4858 -1.4220 -1.3646 -1.3162 -1.2769 -1.2635 -1.2250
 -1.1777 -1.1223 -1.0668 -1.0012 -0.9342 -0.7777 -0.6492 -0.5550 -0.4866 -0.4363
 -0.3974 -0.3661 -0.3390
 -1.5033 -1.4643 -1.4235 -1.3692 -1.3192 -1.2689 -1.2212 -1.1779 -1.1397 -1.1043
 -1.0669 -1.0242 -0.9785 -0.9286 -0.8745 -0.7449 -0.6377 -0.5564 -0.4957 -0.4497
 -0.4138 -0.3845 -0.3595 -0.3384 -0.3208
 -1.3005 -1.2880 -1.2696 -1.2435 -1.2101 -1.1718 -1.1311 -1.0905 -1.0517 -1.0152
 -0.9804 -0.9454 -0.9073 -0.8682 -0.8245 -0.7164 -0.6253 -0.5550 -0.5020 -0.4612
 -0.4290 -0.4025 -0.3800 -0.3603 -0.3430 -0.3285
 -1.1098 -1.1159 -1.1153 -1.1087 -1.0947 -1.0733 -1.0459 -1.0147 -0.9819 -0.9487
 -0.9162 -0.8843 -0.8523 -0.8200 -0.7842 -0.6922 -0.6120 -0.5508 -0.5055 -0.4708
 -0.4430 -0.4201 -0.4004 -0.3830 -0.3672 -0.3533 -0.3418 -0.3347 -0.3343 -0.3421
