 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  i   
 -1.6822 -1.6319 -1.5933 -1.5550 -1.5156 -1.4751 -1.4324 -1.3883 -1.3450 -1.3037
 -1.2653 -1.2303 -1.1995 -1.1738 -1.1534 -1.1157 -1.0857 -1.0644 -1.0608 -1.0769
 -1.1069 -1.1419 -1.1768 -1.2110 -1.2446 -1.2782 -1.3125 -1.3488 -1.3873 -1.4276
 -1.4695
 -1.6178 -1.5601 -1.5162 -1.4772 -1.4438 -1.4105 -1.3772 -1.3424 -1.3063 -1.2703
 -1.2357 -1.2036 -1.1742 -1.1480 -1.1257 -1.0873 -1.0646 -1.0514 -1.0499 -1.0651
 -1.0955 -1.1339 -1.1739 -1.2128 -1.2502 -1.2865 -1.3224 -1.3581 -1.3942 -1.4317
 -1.4712
 -1.5837 -1.5055 -1.4491 -1.4051 -1.3730 -1.3424 -1.3145 -1.2874 -1.2600 -1.2311
 -1.2021 -1.1743 -1.1484 -1.1248 -1.1039 -1.0650 -1.0435 -1.0348 -1.0370 -1.0518
 -1.0811 -1.1205 -1.1641 -1.2080 -1.2503 -1.2908 -1.3298 -1.3677 -1.4048 -1.4421
 -1.4801
 -1.5788 -1.4679 -1.3921 -1.3404 -1.3042 -1.2757 -1.2506 -1.2272 -1.2056 -1.1843
 -1.1622 -1.1400 -1.1186 -1.0988 -1.0809 -1.0461 -1.0254 -1.0181 -1.0228
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  i   
 -2.7796 -2.6992 -2.5261 -2.3432 -2.1666 -2.0163 -1.9048 -1.8101 -1.7213 -1.6371
 -1.5581 -1.4834 -1.4126 -1.3456 -1.2825 -1.1476 -1.0524 -1.0004 -0.9863
 -2.4880 -2.4750 -2.4455 -2.3098 -2.1512 -2.0015 -1.8786 -1.7812 -1.6937 -1.6130
 -1.5379 -1.4671 -1.4001 -1.3368 -1.2774 -1.1524 -1.0666 -1.0202 -1.0067 -1.0142
