 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  w   
 -3.4692 -3.4324 -3.6203 -3.5984 -3.4791 -3.3007 -3.0940 -2.9573 -2.8360 -2.7088
 -2.5876 -2.4738 -2.3679 -2.2706 -2.1836 -2.0030 -1.8679 -1.7695 -1.7112
 -3.4617 -3.3359 -3.2318 -3.1665 -3.1397 -3.0849 -2.9760 -2.8499 -2.7302 -2.6152
 -2.5045 -2.4001 -2.3036 -2.2159 -2.1367 -1.9732 -1.8534 -1.7714 -1.7177 -1.6826
 -3.3097 -3.1895 -3.0742 -2.9721 -2.8903 -2.8428 -2.8109 -2.7470 -2.6525 -2.5472
 -2.4459 -2.3496 -2.2603 -2.1789 -2.1057 -1.9561 -1.8482 -1.7755 -1.7281 -1.6966
 -1.6755
 -3.1778 -3.0755 -2.9684 -2.8641 -2.7690 -2.6868 -2.6230 -2.5828 -2.5421 -2.4783
 -2.3960 -2.3099 -2.2279 -2.1524 -2.0842 -1.9447 -1.8452 -1.7801 -1.7383 -1.7104
 -1.6912 -1.6782
 -3.0506 -2.9703 -2.8798 -2.7844 -2.6911 -2.6050 -2.5286 -2.4627 -2.4131 -2.3709
 -2.3241 -2.2644 -2.1972 -2.1298 -2.0669 -1.9362 -1.8426 -1.7830 -1.7465 -1.7229
 -1.7063 -1.6949 -1.6874 -1.6837
 -2.9268 -2.8634 -2.7927 -2.7125 -2.6283 -2.5455 -2.4688 -2.3997 -2.3385 -2.2852
 -2.2397 -2.1971 -2.1504 -2.0991 -2.0467 -1.9277 -1.8388 -1.7828 -1.7506 -1.7323
 -1.7198 -1.7109 -1.7052 -1.7020 -1.7004 -1.7015 -1.7067 -1.7170 -1.7333 -1.7559
 -2.8095 -2.7571 -2.7021 -2.6377 -2.5668 -2.4929 -2.4201 -2.3522 -2.2913 -2.2363
 -2.1862 -2.1407 -2.0989 -2.0581 -2.0163 -1.9154 -1.8326 -1.7776 -1.7492 -1.7364
