 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = G_RP 
 -0.7153 -0.7073 -0.8898 -0.8960 -0.8215 -0.6925 -0.5311 -0.4284 -0.3371 -0.2395
 -0.1463 -0.0587  0.0225  0.0950  0.1574  0.2871  0.3461  0.3507  0.3505
 -0.7189 -0.6460 -0.5864 -0.5558 -0.5559 -0.5310 -0.4585 -0.3683 -0.2802 -0.1948
 -0.1121 -0.0340  0.0376  0.1014  0.1571  0.2610  0.3185  0.3395  0.3388  0.3261
 -0.5988 -0.5320 -0.4643 -0.4037 -0.3572 -0.3381 -0.3318 -0.2984 -0.2361 -0.1616
 -0.0882 -0.0176  0.0476  0.1059  0.1567  0.2514  0.3040  0.3219  0.3192  0.3062
  0.2867
 -0.4884 -0.4382 -0.3787 -0.3174 -0.2605 -0.2120 -0.1776 -0.1629 -0.1483 -0.1139
 -0.0613 -0.0019  0.0561  0.1091  0.1556  0.2429  0.2919  0.3077  0.3031  0.2891
  0.2699  0.2466
 -0.3751 -0.3454 -0.3021 -0.2499 -0.1957 -0.1447 -0.0996 -0.0619 -0.0372 -0.0194
  0.0008  0.0323  0.0726  0.1163  0.1577  0.2377  0.2838  0.2977  0.2912  0.2752
  0.2551  0.2319  0.2058  0.1765
 -0.2582 -0.2453 -0.2209 -0.1841 -0.1396 -0.0927 -0.0482 -0.0081  0.0271  0.0565
  0.0786  0.0969  0.1176  0.1427  0.1705  0.2377  0.2807  0.2934  0.2849  0.2654
  0.2430  0.2186  0.1921  0.1635  0.1328  0.0995  0.0629  0.0225 -0.0220 -0.0707
 -0.1405 -0.1398 -0.1309 -0.1103 -0.0800 -0.0429 -0.0034  0.0345  0.0689  0.0998
  0.1273  0.1504  0.1692  0.1861  0.2034  0.2472  0.2833  0.2964  0.2854  0.2616
  0.2350  0.2077  0.1796  0.1504  0.1200  0.0893  0.0565  0.0196 -0.0229 -0.0713
 -0.1223
 -0.0250 -0.0327 -0.0340 -0.0265 -0.0105  0.0131  0.0428  0.0753  0.1067  0.1353
  0.1612  0.1846  0.2053  0.2227  0.2377  0.2688  0.2929  0.3034  0.2921  0.2651
  0.2332  0.2013  0.1700  0.1388  0.1071  0.0750  0.0430  0.0092 -0.0286 -0.0720
 -0.1221
  0.0853  0.0723  0.0649  0.0649  0.0690  0.0803  0.0977  0.1204  0.1458  0.1710
  0.1940  0.2145  0.2331  0.2499  0.2647  0.2924  0.3089  0.3140  0.3030  0.2746
  0.2382  0.2008  0.1646  0.1297  0.0955  0.0617  0.0279 -0.0065 -0.0432 -0.0824
 -0.1237
  0.1876  0.1714  0.1607  0.1548  0.1534  0.1560  0.1626  0.1742  0.1901  0.2091
  0.2281  0.2453  0.2607  0.2748  0.2874  0.3122  0.3259  0.3275  0.3158  0.2883
  0.2503  0.2084  0.1668  0.1268  0.0886  0.0519  0.0159 -0.0197 -0.0553 -0.0920
 -0.1304
  0.2803  0.2645  0.2525  0.2439  0.2384  0.2357  0.2355  0.2379  0.2439  0.2537
  0.2663  0.2793  0.2911  0.3015  0.3106  0.3297  0.3414  0.3411  0.3281  0.3023
  0.2650  0.2216  0.1760  0.1309  0.0878  0.0466  0.0071 -0.0310 -0.0682 -0.1053
 -0.1431
  0.3666  0.3629  0.3546  0.3437  0.3322  0.3217  0.3135  0.3084  0.3065  0.3076
  0.3116  0.3180  0.3253  0.3319  0.3375  0.3482  0.3556  0.3542  0.3405
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = G_RP 
 -1.0000 -1.0065 -0.9763 -0.8657 -0.7271 -0.5903 -0.4742 -0.3788 -0.2920 -0.2090
 -0.1297 -0.0542  0.0168  0.0828  0.1428  0.2656  0.3382  0.3659  0.3677
 -0.8250 -0.7554 -0.7327 -0.7346 -0.6685 -0.5557 -0.4415 -0.3448 -0.2610 -0.1828
 -0.1084 -0.0378  0.0284  0.0895  0.1445  0.2523  0.3184  0.3470  0.3491  0.3371
 -0.7181 -0.6359 -0.5625 -0.5128 -0.5050 -0.4863 -0.4117 -0.3197 -0.2372 -0.1634
 -0.0939 -0.0279  0.0340  0.0910  0.1422  0.2417  0.3028  0.3298  0.3309  0.3185
  0.2990
 -0.6263 -0.5549 -0.4782 -0.4038 -0.3445 -0.3123 -0.3041 -0.2757 -0.2131 -0.1450
 -0.0805 -0.0192  0.0386  0.0918  0.1397  0.2326  0.2899  0.3157  0.3164  0.3032
  0.2835  0.2597
 -0.5335 -0.4802 -0.4146 -0.3446 -0.2780 -0.2184 -0.1730 -0.1469 -0.1349 -0.1070
 -0.0606 -0.0074  0.0454  0.0949  0.1397  0.2267  0.2807  0.3056  0.3058  0.2912
  0.2704  0.2463  0.2193  0.1885
 -0.4371 -0.3996 -0.3512 -0.2923 -0.2299 -0.1697 -0.1145 -0.0667 -0.0314 -0.0115
  0.0037  0.0277  0.0626  0.1034  0.1439  0.2251  0.2760  0.2999  0.2996  0.2830
  0.2599  0.2344  0.2069  0.1773  0.1462  0.1126  0.0752  0.0331 -0.0139 -0.0636
 -0.3323 -0.3103 -0.2788 -0.2360 -0.1846 -0.1299 -0.0767 -0.0272  0.0170  0.0537
  0.0808  0.0988  0.1152  0.1356  0.1608  0.2285  0.2759  0.2988  0.2983  0.2798
  0.2534  0.2249  0.1956  0.1653  0.1336  0.1009  0.0662  0.0280 -0.0148 -0.0627
 -0.1154
 -0.2262 -0.2132 -0.1965 -0.1688 -0.1324 -0.0884 -0.0416  0.0047  0.0480  0.0873
  0.1213  0.1493  0.1705  0.1866  0.2015  0.2420  0.2808  0.3021  0.3018  0.2823
  0.2522  0.2196  0.1871  0.1547  0.1219  0.0897  0.0565  0.0207 -0.0192 -0.0643
 -0.1153
 -0.1242 -0.1151 -0.1062 -0.0908 -0.0677 -0.0375 -0.0013  0.0383  0.0777  0.1150
  0.1488  0.1785  0.2040  0.2247  0.2408  0.2702  0.2937  0.3098  0.3091  0.2896
  0.2569  0.2196  0.1825  0.1465  0.1112  0.0762  0.0408  0.0038 -0.0348 -0.0749
 -0.1163
 -0.0316 -0.0229 -0.0164 -0.0062  0.0064  0.0248  0.0486  0.0776  0.1098  0.1427
  0.1739  0.2021  0.2269  0.2486  0.2668  0.2970  0.3137  0.3220  0.3194  0.3008
  0.2677  0.2271  0.1851  0.1443  0.1051  0.0671  0.0298 -0.0072 -0.0443 -0.0824
 -0.1223
  0.0463  0.0620  0.0708  0.0790  0.0853  0.0962  0.1102  0.1281  0.1501  0.1754
  0.2018  0.2269  0.2496  0.2695  0.2869  0.3181  0.3337  0.3377  0.3316  0.3134
  0.2815  0.2399  0.1944  0.1488  0.1047  0.0625  0.0217 -0.0177 -0.0563 -0.0948
 -0.1340
  0.1120  0.1397  0.1554  0.1635  0.1679  0.1724  0.1793  0.1891  0.2015  0.2172
  0.2359  0.2559  0.2751  0.2925  0.3076  0.3356  0.3508  0.3535  0.3450
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = G_RP 
 -1.1846 -1.1242 -0.9735 -0.8094 -0.6475 -0.5096 -0.4101 -0.3275 -0.2505 -0.1773
 -0.1084 -0.0428  0.0195  0.0785  0.1338  0.2501  0.3307  0.3742  0.3841
 -0.9272 -0.9261 -0.9076 -0.7871 -0.6423 -0.5042 -0.3924 -0.3061 -0.2295 -0.1591
 -0.0933 -0.0311  0.0280  0.0836  0.1354  0.2429  0.3157  0.3543  0.3634  0.3535
 -0.8140 -0.7258 -0.6904 -0.6953 -0.6222 -0.5019 -0.3854 -0.2909 -0.2140 -0.1455
 -0.0826 -0.0235  0.0324  0.0850  0.1338  0.2347  0.3021  0.3379  0.3466  0.3367
  0.3171
 -0.7414 -0.6449 -0.5561 -0.4961 -0.4830 -0.4622 -0.3794 -0.2833 -0.2016 -0.1335
 -0.0729 -0.0166  0.0363  0.0861  0.1323  0.2276  0.2910  0.3247  0.3333  0.3233
  0.3035  0.2788
 -0.6705 -0.5882 -0.4983 -0.4131 -0.3443 -0.3026 -0.2900 -0.2584 -0.1912 -0.1219
 -0.0624 -0.0086  0.0417  0.0888  0.1325  0.2229  0.2829  0.3149  0.3231  0.3129
  0.2923  0.2672  0.2391  0.2087
 -0.5929 -0.5288 -0.4525 -0.3706 -0.2915 -0.2227 -0.1699 -0.1381 -0.1230 -0.0947
 -0.0472  0.0022  0.0496  0.0941  0.1355  0.2211  0.2781  0.3086  0.3163  0.3058
  0.2839  0.2572  0.2285  0.1975  0.1649  0.1296  0.0903  0.0459 -0.0030 -0.0522
 -0.5080 -0.4601 -0.4008 -0.3321 -0.2591 -0.1884 -0.1244 -0.0699 -0.0282 -0.0028
  0.0135  0.0351  0.0666  0.1040  0.1418  0.2226  0.2767  0.3057  0.3129  0.3021
  0.2788  0.2499  0.2192  0.1874  0.1541  0.1198  0.0833  0.0429 -0.0024 -0.0526
 -0.1042
 -0.4198 -0.3822 -0.3380 -0.2850 -0.2247 -0.1608 -0.0981 -0.0402  0.0107  0.0533
  0.0854  0.1065  0.1219  0.1389  0.1612  0.2278  0.2788  0.3063  0.3133  0.3023
  0.2778  0.2461  0.2126  0.1785  0.1441  0.1088  0.0730  0.0353 -0.0059 -0.0521
 -0.1040
 -0.3341 -0.2996 -0.2650 -0.2253 -0.1792 -0.1273 -0.0723 -0.0176  0.0336  0.0798
  0.1197  0.1520  0.1764  0.1939  0.2078  0.2449  0.2854  0.3107  0.3171  0.3063
  0.2811  0.2468  0.2095  0.1721  0.1350  0.0981  0.0607  0.0217 -0.0190 -0.0611
 -0.1045
 -0.2570 -0.2213 -0.1885 -0.1572 -0.1225 -0.0834 -0.0398  0.0068  0.0535  0.0982
  0.1390  0.1748  0.2047  0.2287  0.2473  0.2772  0.3002  0.3188  0.3243  0.3141
  0.2894  0.2537  0.2127  0.1710  0.1303  0.0905  0.0512  0.0122 -0.0271 -0.0674
 -0.1099
 -0.1948 -0.1482 -0.1144 -0.0855 -0.0573 -0.0277  0.0047  0.0406  0.0789  0.1182
  0.1564  0.1916  0.2227  0.2490  0.2708  0.3064  0.3238  0.3330  0.3345  0.3244
  0.3007  0.2650  0.2217  0.1760  0.1308  0.0871  0.0445  0.0031 -0.0376 -0.0783
 -0.1194
 -0.1488 -0.0898 -0.0485 -0.0170  0.0099  0.0349  0.0599  0.0863  0.1148  0.1457
  0.1779  0.2094  0.2390  0.2652  0.2876  0.3269  0.3459  0.3516  0.3482
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = G_RP 
 -1.2394 -1.1150 -0.9386 -0.7715 -0.6132 -0.4773 -0.3790 -0.3012 -0.2311 -0.1610
 -0.0960 -0.0345  0.0240  0.0793  0.1314  0.2446  0.3271  0.3758  0.3920
 -1.0050 -1.0205 -0.9207 -0.7644 -0.6134 -0.4743 -0.3668 -0.2840 -0.2127 -0.1451
 -0.0828 -0.0241  0.0316  0.0842  0.1337  0.2393  0.3143  0.3575  0.3713  0.3639
 -0.8494 -0.7839 -0.7947 -0.7422 -0.6123 -0.4805 -0.3629 -0.2722 -0.1990 -0.1328
 -0.0729 -0.0169  0.0360  0.0859  0.1329  0.2327  0.3026  0.3423  0.3552  0.3479
  0.3287
 -0.7829 -0.6765 -0.5969 -0.5757 -0.5664 -0.4777 -0.3664 -0.2665 -0.1883 -0.1221
 -0.0639 -0.0102  0.0401  0.0876  0.1321  0.2269  0.2930  0.3302  0.3423  0.3352
  0.3160  0.2910
 -0.7248 -0.6262 -0.5259 -0.4423 -0.3913 -0.3789 -0.3464 -0.2656 -0.1817 -0.1125
 -0.0544 -0.0026  0.0455  0.0906  0.1328  0.2228  0.2858  0.3210  0.3325  0.3254
  0.3058  0.2804  0.2518  0.2206
 -0.6610 -0.5789 -0.4875 -0.3954 -0.3143 -0.2513 -0.2139 -0.1977 -0.1640 -0.1036
 -0.0442  0.0065  0.0527  0.0957  0.1358  0.2213  0.2812  0.3148  0.3255  0.3184
  0.2983  0.2717  0.2423  0.2107  0.1767  0.1397  0.0991  0.0545  0.0061 -0.0445
 -0.5891 -0.5232 -0.4475 -0.3651 -0.2824 -0.2070 -0.1430 -0.0939 -0.0635 -0.0456
 -0.0189  0.0209  0.0629  0.1034  0.1414  0.2224  0.2794  0.3115  0.3218  0.3144
  0.2937  0.2655  0.2343  0.2017  0.1675  0.1314  0.0930  0.0516  0.0061 -0.0447
 -0.0963
 -0.5130 -0.4578 -0.3972 -0.3294 -0.2565 -0.1834 -0.1149 -0.0548 -0.0048  0.0338
  0.0592  0.0767  0.0959  0.1213  0.1518  0.2267  0.2807  0.3113  0.3210  0.3137
  0.2926  0.2627  0.2290  0.1942  0.1587  0.1223  0.0852  0.0460  0.0035 -0.0437
 -0.0961
