 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = G_RP 
 -1.1875 -1.1815 -1.1763 -1.1697 -1.1604 -1.1474 -1.1308 -1.1117 -1.0921 -1.0736
 -1.0576 -1.0440 -1.0325 -1.0231 -1.0153 -0.9999 -0.9897 -0.9854 -0.9957 -1.0233
 -1.0608 -1.1005 -1.1393 -1.1768 -1.2135 -1.2496 -1.2859 -1.3225 -1.3604 -1.4005
 -1.4455
 -1.0878 -1.0893 -1.0923 -1.0950 -1.0956 -1.0929 -1.0861 -1.0753 -1.0618 -1.0470
 -1.0327 -1.0201 -1.0095 -1.0006 -0.9928 -0.9774 -0.9703 -0.9718 -0.9838 -1.0106
 -1.0493 -1.0930 -1.1369 -1.1793 -1.2198 -1.2590 -1.2974 -1.3352 -1.3731 -1.4119
 -1.4524
 -0.9887 -0.9947 -1.0022 -1.0113 -1.0195 -1.0255 -1.0279 -1.0262 -1.0209 -1.0127
 -1.0028 -0.9929 -0.9842 -0.9770 -0.9710 -0.9587 -0.9528 -0.9570 -0.9711 -0.9971
 -1.0350 -1.0801 -1.1277 -1.1749 -1.2204 -1.2638 -1.3055 -1.3459 -1.3853 -1.4246
 -1.4645
 -0.8939 -0.9017 -0.9116 -0.9234 -0.9363 -0.9486 -0.9585 -0.9651 -0.9682 -0.9680
 -0.9650 -0.9602 -0.9576 -0.9519 -0.9499 -0.9438 -0.9372 -0.9410 -0.9576
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value = G_RP 
 -1.7447 -1.6875 -1.6469 -1.6177 -1.5942 -1.5702 -1.5402 -1.5010 -1.4551 -1.4038
 -1.3466 -1.2853 -1.2233 -1.1665 -1.1155 -1.0137 -0.9485 -0.9186 -0.9196
 -1.6585 -1.5915 -1.5439 -1.5117 -1.4893 -1.4713 -1.4524 -1.4283 -1.3989 -1.3640
 -1.3220 -1.2727 -1.2192 -1.1677 -1.1210 -1.0282 -0.9690 -0.9427 -0.9429 -0.9580
 -1.5831 -1.5083 -1.4680 -1.4405 -1.4168 -1.3986 -1.3837 -1.3678 -1.3488 -1.3259
 -1.2972 -1.2606 -1.2163 -1.1701 -1.1272 -1.0416 -0.9869 -0.9620 -0.9620 -0.9771
 -0.9997
 -1.5739 -1.4786 -1.4067 -1.3590 -1.3365 -1.3346 -1.3327 -1.3229 -1.3080 -1.2903
 -1.2694 -1.2439 -1.2106 -1.1710 -1.1318 -1.0525 -1.0015 -0.9777 -0.9775 -0.9928
 -1.0154 -1.0422
 -1.5761 -1.4805 -1.4016 -1.3394 -1.2931 -1.2639 -1.2523 -1.2541 -1.2612 -1.2575
 -1.2429 -1.2227 -1.1984 -1.1675 -1.1331 -1.0597 -1.0121 -0.9894 -0.9893 -1.0051
 -1.0286 -1.0557 -1.0854 -1.1177
 -1.5679 -1.4797 -1.4037 -1.3397 -1.2873 -1.2462 -1.2159 -1.1957 -1.1865 -1.1893
 -1.1945 -1.1914 -1.1781 -1.1565 -1.1290 -1.0626 -1.0181 -0.9968 -0.9971 -1.0138
 -1.0391 -1.0676 -1.0978 -1.1300 -1.1640 -1.1997 -1.2387 -1.2826 -1.3314 -1.3813
 -1.5392 -1.4640 -1.3965 -1.3373 -1.2859 -1.2417 -1.2049 -1.1756 -1.1535 -1.1380
 -1.1304 -1.1305 -1.1316 -1.1269 -1.1136 -1.0607 -1.0196 -0.9997 -1.0003 -1.0181
 -1.0459 -1.0769 -1.1089 -1.1419 -1.1759 -1.2113 -1.2487 -1.2886 -1.3326 -1.3828
 -1.4351
 -1.4869 -1.4270 -1.3721 -1.3221 -1.2767 -1.2354 -1.1983 -1.1656 -1.1380 -1.1156
 -1.0978 -1.0849 -1.0786 -1.0768 -1.0740 -1.0503 -1.0165 -0.9982 -0.9990 -1.0173
