 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  G   
 -1.8822 -1.8271 -1.7684 -1.7118 -1.6603 -1.6220 -1.6522 -1.6220 -1.5815 -1.5231
 -1.4494 -1.3823 -1.2971 -1.2039 -1.1157 -0.9345 -0.8033 -0.7170 -0.6546
 -1.8337 -1.7187 -1.6416 -1.5986 -1.5820 -1.5640 -1.5358 -1.5013 -1.4633 -1.4209
 -1.3667 -1.2973 -1.2175 -1.1377 -1.0633 -0.9081 -0.7939 -0.7147 -0.6609 -0.6240
 -1.7693 -1.6688 -1.5813 -1.5103 -1.4593 -1.4317 -1.4226 -1.4091 -1.3797 -1.3367
 -1.2900 -1.2368 -1.1707 -1.0994 -1.0315 -0.8903 -0.7884 -0.7183 -0.6707 -0.6376
 -0.6140
 -1.7091 -1.6223 -1.5416 -1.4688 -1.4064 -1.3571 -1.3218 -1.3000 -1.2852 -1.2616
 -1.2234 -1.1802 -1.1287 -1.0681 -1.0069 -0.8770 -0.7844 -0.7225 -0.6807 -0.6514
 -0.6301 -0.6144
 -1.6312 -1.5629 -1.4963 -1.4315 -1.3703 -1.3156 -1.2696 -1.2327 -1.2030 -1.1783
 -1.1523 -1.1194 -1.0821 -1.0358 -0.9846 -0.8662 -0.7802 -0.7249 -0.6894 -0.6644
 -0.6460 -0.6323 -0.6218 -0.6130
 -1.5357 -1.4862 -1.4365 -1.3851 -1.3324 -1.2806 -1.2324 -1.1901 -1.1539 -1.1216
 -1.0911 -1.0607 -1.0306 -0.9957 -0.9558 -0.8551 -0.7748 -0.7238 -0.6942 -0.6747
 -0.6604 -0.6495 -0.6412 -0.6348 -0.6290 -0.6250 -0.6247 -0.6294 -0.6400 -0.6572
 -1.4305 -1.3948 -1.3610 -1.3246 -1.2844 -1.2410 -1.1968 -1.1544 -1.1162 -1.0820
 -1.0498 -1.0183 -0.9875 -0.9568 -0.9237 -0.8397 -0.7675 -0.7192 -0.6934 -0.6797
 -0.6708 -0.6642 -0.6593 -0.6555 -0.6525 -0.6492 -0.6474 -0.6495 -0.6572 -0.6718
 -0.6935
 -1.3176 -1.2950 -1.2735 -1.2500 -1.2231 -1.1914 -1.1554 -1.1177 -1.0811 -1.0469
 -1.0155 -0.9854 -0.9555 -0.9261 -0.8958 -0.8217 -0.7579 -0.7118 -0.6876 -0.6782
 -0.6751 -0.6741 -0.6738 -0.6739 -0.6740 -0.6741 -0.6732 -0.6738 -0.6784 -0.6894
 -0.7081
 -1.2053 -1.1925 -1.1792 -1.1655 -1.1495 -1.1290 -1.1036 -1.0740 -1.0424 -1.0110
 -0.9812 -0.9532 -0.9261 -0.8993 -0.8718 -0.8037 -0.7457 -0.7030 -0.6789 -0.6710
