 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  B   
 -7.7368 -7.5222 -7.6814 -7.6004 -7.3801 -7.0205 -6.5536 -6.2678 -5.9862 -5.6938
 -5.4159 -5.1590 -4.9196 -4.6917 -4.4705 -3.9725 -3.4542 -2.9657 -2.6169
 -7.5634 -7.1997 -6.9136 -6.7188 -6.5977 -6.4410 -6.1973 -5.9103 -5.6224 -5.3396
 -5.0688 -4.8164 -4.5827 -4.3648 -4.1588 -3.6794 -3.2396 -2.8628 -2.5709 -2.3468
 -7.2230 -6.8609 -6.5455 -6.2837 -6.0708 -5.9164 -5.7851 -5.5962 -5.3499 -5.0808
 -4.8178 -4.5696 -4.3412 -4.1314 -3.9376 -3.5051 -3.1223 -2.7901 -2.5280 -2.3260
 -2.1642
 -6.9431 -6.6111 -6.3013 -6.0277 -5.7880 -5.5730 -5.3847 -5.2307 -5.0682 -4.8598
 -4.6236 -4.3880 -4.1656 -3.9613 -3.7751 -3.3743 -3.0348 -2.7423 -2.5030 -2.3185
 -2.1705 -2.0455
 -6.6896 -6.3989 -6.1131 -5.8465 -5.6056 -5.3840 -5.1743 -4.9765 -4.8016 -4.6338
 -4.4530 -4.2507 -4.0443 -3.8473 -3.6660 -3.2842 -2.9739 -2.7093 -2.4911 -2.3202
 -2.1834 -2.0679 -1.9662 -1.8748
 -6.4543 -6.2004 -5.9488 -5.7007 -5.4679 -5.2517 -5.0460 -4.8459 -4.6524 -4.4685
 -4.2980 -4.1308 -3.9551 -3.7752 -3.6011 -3.2286 -2.9357 -2.6905 -2.4879 -2.3273
 -2.1996 -2.0926 -1.9985 -1.9130 -1.8304 -1.7525 -1.6822 -1.6221 -1.5740 -1.5389
 -6.2374 -6.0138 -5.7933 -5.5710 -5.3522 -5.1454 -4.9485 -4.7574 -4.5698 -4.3847
 -4.2066 -4.0391 -3.8796 -3.7217 -3.5639 -3.2017 -2.9156 -2.6834 -2.4903 -2.3365
 -2.2159 -2.1166 -2.0301 -1.9514 -1.8786 -1.8104 -1.7468 -1.6882 -1.6349 -1.5899
 -1.5642
 -6.0394 -5.8404 -5.6441 -5.4469 -5.2484 -5.0524 -4.8645 -4.6843 -4.5079 -4.3323
 -4.1586 -3.9904 -3.8308 -3.6798 -3.5345 -3.1948 -2.9101 -2.6837 -2.4967 -2.3463
 -2.2297 -2.1369 -2.0579 -1.9867 -1.9208 -1.8585 -1.7986 -1.7428 -1.6931 -1.6510
 -1.6174
 -5.8605 -5.6815 -5.5036 -5.3233 -5.1461 -4.9665 -4.7882 -4.6155 -4.4494 -4.2856
 -4.1218 -3.9596 -3.8026 -3.6529 -3.5110 -3.1884 -2.9117 -2.6865 -2.5037 -2.3549
 -2.2397 -2.1509 -2.0787 -2.0155 -1.9572 -1.9021 -1.8498 -1.8003 -1.7550 -1.7139
 -1.6767
 -5.7012 -5.5384 -5.3751 -5.2115 -5.0479 -4.8845 -4.7210 -4.5573 -4.3976 -4.2431
 -4.0909 -3.9389 -3.7882 -3.6425 -3.5033 -3.1866 -2.9179 -2.6951 -2.5138 -2.3662
 -2.2501 -2.1620 -2.0939 -2.0376 -1.9873 -1.9403 -1.8955 -1.8526 -1.8117 -1.7734
 -1.7383
 -5.5581 -5.4052 -5.2527 -5.1007 -4.9494 -4.7989 -4.6492 -4.4999 -4.3497 -4.2015
 -4.0572 -3.9154 -3.7743 -3.6345 -3.4983 -3.1869 -2.9232 -2.7029 -2.5224 -2.3762
 -2.2597 -2.1707 -2.1037 -2.0517 -2.0084 -1.9695 -1.9331 -1.8979 -1.8639 -1.8315
 -1.8012
 -5.4171 -5.2535 -5.1036 -4.9634 -4.8288 -4.6966 -4.5641 -4.4296 -4.2937 -4.1574
 -4.0215 -3.8869 -3.7546 -3.6235 -3.4938 -3.1888 -2.9271 -2.7097 -2.5304
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  B   
 -8.0372 -7.8636 -7.6528 -7.3179 -6.9310 -6.5403 -6.1948 -5.8992 -5.6251 -5.3633
 -5.1134 -4.8804 -4.6652 -4.4646 -4.2748 -3.8402 -3.4121 -3.0017 -2.6660
 -7.5187 -7.1864 -6.9931 -6.8674 -6.6279 -6.2982 -5.9564 -5.6474 -5.3684 -5.1038
 -4.8521 -4.6184 -4.4047 -4.2091 -4.0276 -3.6158 -3.2396 -2.8942 -2.6010 -2.3683
 -7.2206 -6.8500 -6.5515 -6.3305 -6.1969 -6.0408 -5.7738 -5.4706 -5.1857 -4.9211
 -4.6686 -4.4334 -4.2190 -4.0246 -3.8471 -3.4582 -3.1203 -2.8173 -2.5557 -2.3448
 -2.1758
 -7.0066 -6.6458 -6.3276 -6.0518 -5.8242 -5.6506 -5.5122 -5.3203 -5.0607 -4.7999
 -4.5497 -4.3136 -4.0971 -3.9018 -3.7251 -3.3484 -3.0358 -2.7642 -2.5284 -2.3349
 -2.1789 -2.0490
 -6.8304 -6.4961 -6.1835 -5.9056 -5.6611 -5.4384 -5.2392 -5.0674 -4.9088 -4.7062
 -4.4745 -4.2435 -4.0266 -3.8289 -3.6507 -3.2779 -2.9802 -2.7299 -2.5142 -2.3345
 -2.1892 -2.0684 -1.9637 -1.8691
 -6.6837 -6.3704 -6.0758 -5.8005 -5.5533 -5.3292 -5.1167 -4.9130 -4.7256 -4.5600
 -4.3894 -4.1941 -3.9895 -3.7935 -3.6132 -3.2379 -2.9469 -2.7097 -2.5085 -2.3401
 -2.2034 -2.0905 -1.9933 -1.9063 -1.8262 -1.7524 -1.6849 -1.6238 -1.5704 -1.5320
 -6.5411 -6.2560 -5.9845 -5.7202 -5.4741 -5.2510 -5.0439 -4.8436 -4.6471 -4.4593
 -4.2842 -4.1203 -3.9522 -3.7762 -3.6015 -3.2213 -2.9304 -2.6998 -2.5082 -2.3480
 -2.2183 -2.1126 -2.0227 -1.9425 -1.8691 -1.7992 -1.7342 -1.6761 -1.6268 -1.5871
 -1.5566
 -6.4066 -6.1466 -5.9000 -5.6528 -5.4133 -5.1898 -4.9856 -4.7936 -4.6059 -4.4196
 -4.2376 -4.0640 -3.9028 -3.7486 -3.5939 -3.2239 -2.9267 -2.6976 -2.5114 -2.3568
 -2.2320 -2.1321 -2.0490 -1.9761 -1.9094 -1.8458 -1.7861 -1.7316 -1.6834 -1.6424
 -1.6090
 -6.2851 -6.0428 -5.8148 -5.5870 -5.3603 -5.1406 -4.9356 -4.7463 -4.5674 -4.3915
 -4.2161 -4.0426 -3.8763 -3.7209 -3.5747 -3.2310 -2.9323 -2.6994 -2.5152 -2.3641
 -2.2420 -2.1461 -2.0691 -2.0036 -1.9444 -1.8892 -1.8374 -1.7896 -1.7456 -1.7051
 -1.6679
 -6.1814 -5.9464 -5.7304 -5.5233 -5.3135 -5.1048 -4.9018 -4.7110 -4.5343 -4.3666
 -4.2021 -4.0377 -3.8744 -3.7172 -3.5691 -3.2376 -2.9481 -2.7101 -2.5240 -2.3739
 -2.2526 -2.1578 -2.0845 -2.0252 -1.9736 -1.9263 -1.8819 -1.8396 -1.7997 -1.7626
 -1.7287
 -6.0946 -5.8577 -5.6476 -5.4535 -5.2596 -5.0673 -4.8749 -4.6868 -4.5082 -4.3417
 -4.1839 -4.0298 -3.8761 -3.7235 -3.5756 -3.2435 -2.9613 -2.7243 -2.5344 -2.3836
 -2.2624 -2.1671 -2.0948 -2.0394 -1.9944 -1.9549 -1.9186 -1.8839 -1.8508 -1.8194
 -1.7903
 -6.0193 -5.7769 -5.5664 -5.3752 -5.1950 -5.0182 -4.8409 -4.6643 -4.4904 -4.3231
 -4.1657 -4.0165 -3.8717 -3.7283 -3.5861 -3.2545 -2.9728 -2.7379 -2.5458
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  B   
 -8.1816 -7.8875 -7.4505 -6.9943 -6.5501 -6.1632 -5.8595 -5.5891 -5.3340 -5.0964
 -4.8712 -4.6601 -4.4653 -4.2860 -4.1195 -3.7395 -3.3816 -3.0347 -2.7179
 -7.5091 -7.3403 -7.1666 -6.8174 -6.4176 -6.0264 -5.6886 -5.4045 -5.1434 -4.9015
 -4.6724 -4.4584 -4.2619 -4.0829 -3.9189 -3.5559 -3.2296 -2.9249 -2.6459 -2.4065
 -7.2184 -6.8706 -6.6700 -6.5565 -6.2993 -5.9486 -5.5987 -5.2914 -5.0232 -4.7778
 -4.5461 -4.3289 -4.1290 -3.9476 -3.7830 -3.4273 -3.1209 -2.8455 -2.5964 -2.3793
 -2.1997
 -7.0684 -6.6823 -6.3708 -6.1440 -6.0060 -5.8431 -5.5553 -5.2428 -4.9591 -4.7080
 -4.4746 -4.2546 -4.0509 -3.8654 -3.6979 -3.3426 -3.0473 -2.7912 -2.5644 -2.3653
 -2.1984 -2.0600
 -6.9666 -6.5849 -6.2490 -5.9637 -5.7305 -5.5453 -5.4020 -5.2051 -4.9395 -4.6785
 -4.4430 -4.2212 -4.0136 -3.8234 -3.6514 -3.2909 -3.0003 -2.7562 -2.5451 -2.3606
 -2.2045 -2.0747 -1.9646 -1.8687
 -6.8893 -6.5230 -6.1828 -5.8814 -5.6193 -5.3909 -5.1910 -5.0177 -4.8612 -4.6634
 -4.4363 -4.2161 -4.0065 -3.8116 -3.6341 -3.2639 -2.9727 -2.7351 -2.5347 -2.3618
 -2.2150 -2.0930 -1.9900 -1.9000 -1.8195 -1.7463 -1.6784 -1.6143 -1.5573 -1.5219
 -6.8267 -6.4794 -6.1464 -5.8395 -5.5670 -5.3285 -5.1123 -4.9095 -4.7222 -4.5560
 -4.3947 -4.2122 -4.0150 -3.8209 -3.6391 -3.2562 -2.9596 -2.7242 -2.5303 -2.3661
 -2.2272 -2.1120 -2.0158 -1.9324 -1.8575 -1.7891 -1.7263 -1.6686 -1.6155 -1.5701
 -1.5448
 -6.7687 -6.4447 -6.1246 -5.8198 -5.5404 -5.2918 -5.0713 -4.8677 -4.6731 -4.4870
 -4.3145 -4.1553 -3.9968 -3.8286 -3.6558 -3.2644 -2.9585 -2.7210 -2.5302 -2.3717
 -2.2391 -2.1298 -2.0397 -1.9631 -1.8947 -1.8322 -1.7735 -1.7193 -1.6711 -1.6298
 -1.5960
 -6.7165 -6.4085 -6.1060 -5.8098 -5.5289 -5.2727 -5.0444 -4.8393 -4.6482 -4.4634
 -4.2843 -4.1138 -3.9531 -3.8016 -3.6523 -3.2818 -2.9653 -2.7221 -2.5315 -2.3763
 -2.2480 -2.1432 -2.0586 -1.9885 -1.9273 -1.8716 -1.8202 -1.7731 -1.7300 -1.6907
 -1.6547
 -6.6740 -6.3777 -6.0896 -5.8086 -5.5339 -5.2744 -5.0376 -4.8254 -4.6336 -4.4540
 -4.2799 -4.1097 -3.9444 -3.7869 -3.6395 -3.2992 -2.9874 -2.7338 -2.5392 -2.3843
 -2.2579 -2.1555 -2.0742 -2.0094 -1.9550 -1.9067 -1.8624 -1.8210 -1.7824 -1.7468
 -1.7151
 -6.6431 -6.3363 -6.0634 -5.8003 -5.5410 -5.2869 -5.0464 -4.8257 -4.6270 -4.4464
 -4.2772 -4.1134 -3.9522 -3.7941 -3.6425 -3.3061 -3.0106 -2.7538 -2.5513 -2.3936
 -2.2672 -2.1654 -2.0857 -2.0241 -1.9753 -1.9342 -1.8976 -1.8635 -1.8315 -1.8016
