 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  V   
 -4.4667 -4.3897 -4.6060 -4.5295 -4.3106 -4.0250 -3.7189 -3.5059 -3.3148 -3.1218
 -2.9446 -2.7816 -2.6297 -2.4880 -2.3543 -2.0708 -1.8005 -1.5658 -1.4280
 -4.4563 -4.2015 -3.9995 -3.8630 -3.7828 -3.6677 -3.4834 -3.2801 -3.0909 -2.9132
 -2.7468 -2.5926 -2.4508 -2.3203 -2.1996 -1.9338 -1.7149 -1.5457 -1.4227 -1.3318
 -4.2199 -3.9673 -3.7469 -3.5617 -3.4116 -3.3083 -3.2239 -3.0957 -2.9335 -2.7652
 -2.6100 -2.4663 -2.3341 -2.2130 -2.1023 -1.8650 -1.6757 -1.5296 -1.4217 -1.3403
 -1.2763
 -4.0357 -3.8010 -3.5854 -3.3948 -3.2282 -3.0829 -2.9621 -2.8707 -2.7762 -2.6524
 -2.5131 -2.3784 -2.2545 -2.1408 -2.0368 -1.8176 -1.6482 -1.5204 -1.4243 -1.3510
 -1.2920 -1.2430
 -3.8826 -3.6694 -3.4669 -3.2812 -3.1151 -2.9664 -2.8327 -2.7137 -2.6158 -2.5258
 -2.4277 -2.3151 -2.2003 -2.0926 -1.9941 -1.7864 -1.6289 -1.5132 -1.4277 -1.3621
 -1.3084 -1.2629 -1.2234 -1.1894
 -3.7551 -3.5578 -3.3720 -3.1953 -3.0336 -2.8874 -2.7549 -2.6344 -2.5255 -2.4273
 -2.3382 -2.2507 -2.1569 -2.0599 -1.9660 -1.7663 -1.6155 -1.5068 -1.4289 -1.3711
 -1.3234 -1.2823 -1.2462 -1.2139 -1.1838 -1.1576 -1.1372 -1.1242 -1.1197 -1.1244
 -3.6535 -3.4652 -3.2911 -3.1259 -2.9699 -2.8273 -2.6976 -2.5794 -2.4721 -2.3735
 -2.2817 -2.1954 -2.1124 -2.0294 -1.9458 -1.7538 -1.6060 -1.4994 -1.4265 -1.3753
 -1.3345 -1.2991 -1.2675 -1.2387 -1.2122 -1.1860 -1.1629 -1.1459 -1.1378 -1.1398
 -1.1504
 -3.5775 -3.3928 -3.2235 -3.0660 -2.9179 -2.7790 -2.6517 -2.5358 -2.4306 -2.3342
 -2.2449 -2.1605 -2.0793 -2.0012 -1.9250 -1.7466 -1.6004 -1.4937 -1.4213 -1.3737
 -1.3394 -1.3107 -1.2850 -1.2610 -1.2385 -1.2170 -1.1950 -1.1756 -1.1624 -1.1585
 -1.1656
 -3.5273 -3.3415 -3.1717 -3.0125 -2.8711 -2.7375 -2.6127 -2.4979 -2.3941 -2.2993
 -2.2121 -2.1307 -2.0532 -1.9783 -1.9054 -1.7371 -1.5960 -1.4890 -1.4145 -1.3673
 -1.3369 -1.3147 -1.2958 -1.2782 -1.2611 -1.2440 -1.2274 -1.2116 -1.1991 -1.1901
 -1.1845
 -3.5027 -3.3123 -3.1385 -2.9798 -2.8350 -2.7028 -2.5815 -2.4682 -2.3643 -2.2702
 -2.1842 -2.1048 -2.0303 -1.9585 -1.8892 -1.7292 -1.5926 -1.4862 -1.4099 -1.3603
 -1.3302 -1.3117 -1.2990 -1.2884 -1.2779 -1.2668 -1.2553 -1.2434 -1.2318 -1.2217
 -1.2124
 -3.4997 -3.3020 -3.1222 -2.9589 -2.8105 -2.6758 -2.5536 -2.4423 -2.3391 -2.2443
 -2.1584 -2.0800 -2.0073 -1.9391 -1.8739 -1.7211 -1.5883 -1.4830 -1.4060 -1.3539
 -1.3221 -1.3042 -1.2950 -1.2901 -1.2865 -1.2824 -1.2773 -1.2710 -1.2639 -1.2567
 -1.2505
 -3.5019 -3.2943 -3.1084 -2.9413 -2.7908 -2.6545 -2.5307 -2.4178 -2.3148 -2.2207
 -2.1348 -2.0563 -1.9845 -1.9179 -1.8553 -1.7112 -1.5832 -1.4792 -1.4017
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  V   
 -4.8464 -4.7349 -4.5799 -4.3098 -4.0098 -3.7267 -3.4849 -3.2784 -3.0893 -2.9121
 -2.7475 -2.5972 -2.4603 -2.3352 -2.2198 -1.9719 -1.7511 -1.5597 -1.4226
 -4.4778 -4.2402 -4.1045 -4.0174 -3.8265 -3.5731 -3.3302 -3.1219 -2.9377 -2.7668
 -2.6089 -2.4651 -2.3351 -2.2176 -2.1108 -1.8807 -1.6898 -1.5338 -1.4135 -1.3229
 -4.2772 -4.0110 -3.7938 -3.6309 -3.5374 -3.4248 -3.2279 -3.0183 -2.8345 -2.6704
 -2.5188 -2.3805 -2.2554 -2.1426 -2.0409 -1.8258 -1.6536 -1.5162 -1.4104 -1.3295
 -1.2655
 -4.1436 -3.8800 -3.6487 -3.4457 -3.2785 -3.1560 -3.0661 -2.9398 -2.7691 -2.6077
 -2.4609 -2.3277 -2.2068 -2.0974 -1.9986 -1.7920 -1.6307 -1.5058 -1.4108 -1.3379
 -1.2794 -1.2306
 -4.0480 -3.7932 -3.5620 -3.3581 -3.1792 -3.0192 -2.8827 -2.7731 -2.6801 -2.5616
 -2.4259 -2.2953 -2.1775 -2.0711 -1.9745 -1.7723 -1.6169 -1.4994 -1.4124 -1.3466
 -1.2936 -1.2487 -1.2099 -1.1772
 -3.9889 -3.7335 -3.5058 -3.3000 -3.1182 -2.9563 -2.8088 -2.6750 -2.5599 -2.4668
 -2.3764 -2.2718 -2.1611 -2.0560 -1.9610 -1.7614 -1.6085 -1.4948 -1.4129 -1.3534
 -1.3064 -1.2662 -1.2309 -1.1995 -1.1702 -1.1448 -1.1253 -1.1135 -1.1104 -1.1158
 -3.9464 -3.6941 -3.4700 -3.2640 -3.0791 -2.9156 -2.7691 -2.6351 -2.5120 -2.4024
 -2.3069 -2.2224 -2.1367 -2.0455 -1.9540 -1.7557 -1.6032 -1.4906 -1.4113 -1.3564
 -1.3155 -1.2811 -1.2505 -1.2227 -1.1973 -1.1727 -1.1511 -1.1355 -1.1282 -1.1304
 -1.1418
 -3.9256 -3.6725 -3.4507 -3.2449 -3.0573 -2.8895 -2.7416 -2.6088 -2.4876 -2.3760
 -2.2747 -2.1833 -2.1008 -2.0226 -1.9437 -1.7533 -1.6000 -1.4867 -1.4075 -1.3549
 -1.3193 -1.2912 -1.2664 -1.2436 -1.2221 -1.1995 -1.1782 -1.1612 -1.1508 -1.1490
 -1.1569
 -3.9311 -3.6704 -3.4443 -3.2381 -3.0485 -2.8762 -2.7233 -2.5881 -2.4674 -2.3574
 -2.2564 -2.1638 -2.0785 -1.9995 -1.9253 -1.7496 -1.5973 -1.4823 -1.4017 -1.3492
 -1.3165 -1.2944 -1.2762 -1.2596 -1.2435 -1.2276 -1.2124 -1.1995 -1.1892 -1.1812
 -1.1752
 -3.9659 -3.6904 -3.4563 -3.2487 -3.0565 -2.8805 -2.7211 -2.5798 -2.4555 -2.3447
 -2.2444 -2.1525 -2.0675 -1.9883 -1.9139 -1.7452 -1.5980 -1.4811 -1.3977 -1.3428
 -1.3101 -1.2911 -1.2789 -1.2690 -1.2594 -1.2494 -1.2392 -1.2286 -1.2185 -1.2099
 -1.2021
 -4.0230 -3.7329 -3.4885 -3.2746 -3.0783 -2.8982 -2.7337 -2.5848 -2.4531 -2.3376
 -2.2351 -2.1429 -2.0584 -1.9801 -1.9065 -1.7403 -1.5973 -1.4810 -1.3949 -1.3370
 -1.3020 -1.2834 -1.2745 -1.2704 -1.2675 -1.2644 -1.2604 -1.2554 -1.2496 -1.2438
 -1.2390
 -4.0972 -3.7980 -3.5408 -3.3148 -3.1127 -2.9282 -2.7589 -2.6041 -2.4640 -2.3400
 -2.2316 -2.1360 -2.0503 -1.9721 -1.8994 -1.7364 -1.5959 -1.4806 -1.3929
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  V   
 -5.0313 -4.8024 -4.4487 -4.1016 -3.7809 -3.5065 -3.2894 -3.0970 -2.9179 -2.7523
 -2.5980 -2.4568 -2.3293 -2.2145 -2.1106 -1.8886 -1.7025 -1.5423 -1.4108
 -4.5332 -4.4193 -4.2871 -4.0005 -3.6961 -3.4182 -3.1853 -2.9907 -2.8138 -2.6516
 -2.5009 -2.3635 -2.2399 -2.1294 -2.0304 -1.8231 -1.6550 -1.5147 -1.3998 -1.3096
 -4.3342 -4.0761 -3.9276 -3.8456 -3.6385 -3.3734 -3.1297 -2.9254 -2.7496 -2.5907
 -2.4437 -2.3094 -2.1884 -2.0803 -1.9836 -1.7838 -1.6257 -1.4976 -1.3945 -1.3136
 -1.2497
 -4.2445 -3.9536 -3.7176 -3.5432 -3.4414 -3.3216 -3.1096 -2.8951 -2.7125 -2.5551
 -2.4116 -2.2800 -2.1610 -2.0543 -1.9589 -1.7621 -1.6092 -1.4882 -1.3931 -1.3194
 -1.2610 -1.2126
 -4.1997 -3.9011 -3.6439 -3.4264 -3.2471 -3.1089 -3.0109 -2.8779 -2.7002 -2.5360
 -2.3945 -2.2655 -2.1482 -2.0426 -1.9478 -1.7517 -1.6007 -1.4836 -1.3937 -1.3254
 -1.2722 -1.2279 -1.1899 -1.1559
 -4.1890 -3.8830 -3.6149 -3.3831 -3.1820 -3.0092 -2.8633 -2.7448 -2.6470 -2.5257
 -2.3883 -2.2600 -2.1437 -2.0392 -1.9448 -1.7482 -1.5969 -1.4813 -1.3945 -1.3304
 -1.2821 -1.2426 -1.2082 -1.1780 -1.1503 -1.1266 -1.1091 -1.0994 -1.0978 -1.1028
 -4.2096 -3.8940 -3.6146 -3.3715 -3.1615 -2.9800 -2.8195 -2.6754 -2.5501 -2.4470
 -2.3547 -2.2539 -2.1451 -2.0407 -1.9462 -1.7491 -1.5960 -1.4799 -1.3944 -1.3330
 -1.2890 -1.2547 -1.2251 -1.1987 -1.1748 -1.1521 -1.1328 -1.1194 -1.1139 -1.1173
 -1.1284
 -4.2537 -3.9318 -3.6404 -3.3839 -3.1620 -2.9708 -2.8047 -2.6567 -2.5226 -2.4022
 -2.2976 -2.2090 -2.1259 -2.0393 -1.9503 -1.7523 -1.5971 -1.4790 -1.3929 -1.3328
 -1.2920 -1.2627 -1.2386 -1.2172 -1.1973 -1.1789 -1.1607 -1.1452 -1.1357 -1.1345
 -1.1432
 -4.3222 -3.9886 -3.6887 -3.4188 -3.1819 -2.9783 -2.8032 -2.6506 -2.5145 -2.3909
 -2.2791 -2.1800 -2.0931 -2.0151 -1.9402 -1.7551 -1.5980 -1.4772 -1.3896 -1.3291
 -1.2899 -1.2648 -1.2466 -1.2311 -1.2165 -1.2025 -1.1894 -1.1787 -1.1705 -1.1646
 -1.1608
 -4.4169 -4.0717 -3.7614 -3.4822 -3.2308 -3.0107 -2.8218 -2.6596 -2.5184 -2.3926
 -2.2789 -2.1761 -2.0838 -2.0010 -1.9260 -1.7565 -1.6022 -1.4782 -1.3874 -1.3249
 -1.2850 -1.2618 -1.2485 -1.2391 -1.2308 -1.2225 -1.2143 -1.2059 -1.1981 -1.1918
 -1.1887
 -4.5330 -4.1657 -3.8493 -3.5643 -3.3045 -3.0694 -2.8631 -2.6859 -2.5342 -2.4021
 -2.2852 -2.1802 -2.0853 -1.9994 -1.9214 -1.7530 -1.6064 -1.4811 -1.3864 -1.3206
 -1.2786 -1.2551 -1.2443 -1.2400 -1.2380 -1.2362 -1.2340 -1.2309 -1.2272 -1.2237
 -1.2211
 -4.6702 -4.2790 -3.9495 -3.6593 -3.3934 -3.1503 -2.9306 -2.7357 -2.5679 -2.4239
 -2.2992 -2.1897 -2.0918 -2.0036 -1.9234 -1.7514 -1.6078 -1.4850 -1.3873
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  V   
 -5.0507 -4.7320 -4.3437 -4.0018 -3.6935 -3.4257 -3.2103 -3.0236 -2.8525 -2.6911
 -2.5411 -2.4031 -2.2782 -2.1662 -2.0655 -1.8528 -1.6785 -1.5294 -1.4025
 -4.6232 -4.5350 -4.2663 -3.9316 -3.6272 -3.3531 -3.1274 -2.9370 -2.7661 -2.6073
 -2.4600 -2.3250 -2.2031 -2.0943 -1.9971 -1.7962 -1.6360 -1.5025 -1.3913 -1.3014
 -4.3568 -4.1435 -4.0667 -3.8866 -3.5979 -3.3258 -3.0854 -2.8867 -2.7151 -2.5588
 -2.4144 -2.2818 -2.1618 -2.0546 -1.9591 -1.7634 -1.6106 -1.4866 -1.3853 -1.3041
 -1.2398
 -4.2781 -3.9813 -3.7659 -3.6496 -3.5463 -3.3196 -3.0774 -2.8646 -2.6876 -2.5321
 -2.3905 -2.2601 -2.1416 -2.0353 -1.9404 -1.7462 -1.5969 -1.4781 -1.3834 -1.3086
 -1.2496 -1.2012
 -4.2564 -3.9371 -3.6714 -3.4615 -3.3077 -3.2085 -3.0713 -2.8695 -2.6794 -2.5194
 -2.3795 -2.2512 -2.1341 -2.0284 -1.9337 -1.7391 -1.5904 -1.4743 -1.3836 -1.3135
 -1.2593 -1.2150 -1.1773 -1.1439
 -4.2736 -3.9369 -3.6507 -3.4100 -3.2111 -3.0464 -2.9175 -2.8154 -2.6828 -2.5211
 -2.3767 -2.2499 -2.1339 -2.0288 -1.9342 -1.7384 -1.5885 -1.4729 -1.3845 -1.3178
 -1.2677 -1.2279 -1.1939 -1.1642 -1.1383 -1.1166 -1.0999 -1.0899 -1.0880 -1.0943
 -4.3272 -3.9717 -3.6656 -3.4060 -3.1870 -3.0014 -2.8413 -2.7023 -2.5885 -2.4894
 -2.3754 -2.2539 -2.1384 -2.0335 -1.9389 -1.7417 -1.5894 -1.4727 -1.3850 -1.3205
 -1.2737 -1.2384 -1.2090 -1.1832 -1.1601 -1.1398 -1.1228 -1.1103 -1.1043 -1.1083
 -1.1202
 -4.4073 -4.0397 -3.7126 -3.4323 -3.1953 -2.9954 -2.8239 -2.6730 -2.5384 -2.4202
 -2.3202 -2.2308 -2.1378 -2.0403 -1.9462 -1.7475 -1.5925 -1.4732 -1.3848 -1.3210
 -1.2764 -1.2451 -1.2210 -1.2000 -1.1810 -1.1636 -1.1468 -1.1330 -1.1250 -1.1248
 -1.1339
 -4.5110 -4.1294 -3.7877 -3.4860 -3.2281 -3.0110 -2.8272 -2.6687 -2.5283 -2.4019
 -2.2887 -2.1901 -2.1047 -2.0254 -1.9456 -1.7529 -1.5957 -1.4733 -1.3828 -1.3185
 -1.2751 -1.2470 -1.2278 -1.2126 -1.1988 -1.1858 -1.1739 -1.1633 -1.1547 -1.1505
 -1.1510
