 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = G_RP 
 -1.7729 -1.7701 -1.9526 -1.9644 -1.8971 -1.7770 -1.6238 -1.5272 -1.4407 -1.3484
 -1.2607 -1.1781 -1.1008 -1.0324 -0.9730 -0.8515 -0.8016 -0.8080 -0.8129
 -1.7790 -1.7149 -1.6630 -1.6387 -1.6437 -1.6242 -1.5581 -1.4740 -1.3912 -1.3106
 -1.2325 -1.1588 -1.0912 -1.0311 -0.9789 -0.8833 -0.8340 -0.8206 -0.8276 -0.8455
 -1.6640 -1.6056 -1.5461 -1.4930 -1.4530 -1.4391 -1.4373 -1.4090 -1.3519 -1.2823
 -1.2133 -1.1468 -1.0852 -1.0303 -0.9827 -0.8956 -0.8503 -0.8393 -0.8478 -0.8660
 -0.8899
 -1.5572 -1.5148 -1.4632 -1.4095 -1.3598 -1.3175 -1.2883 -1.2780 -1.2675 -1.2375
 -1.1894 -1.1340 -1.0795 -1.0297 -0.9862 -0.9060 -0.8638 -0.8542 -0.8643 -0.8832
 -0.9068 -0.9340
 -1.4469 -1.4243 -1.3882 -1.3434 -1.2964 -1.2520 -1.2127 -1.1799 -1.1593 -1.1452
 -1.1288 -1.1014 -1.0647 -1.0242 -0.9857 -0.9125 -0.8728 -0.8648 -0.8765 -0.8972
 -0.9216 -0.9487 -0.9784 -1.0109
 -1.3323 -1.3261 -1.3083 -1.2783 -1.2407 -1.2005 -1.1622 -1.1274 -1.0966 -1.0709
 -1.0522 -1.0374 -1.0201 -0.9985 -0.9738 -0.9133 -0.8765 -0.8695 -0.8830 -0.9070
 -0.9336 -0.9619 -0.9920 -1.0239 -1.0576 -1.0937 -1.1329 -1.1755 -1.2219 -1.2723
 -1.2162 -1.2221 -1.2194 -1.2051 -1.1812 -1.1507 -1.1175 -1.0852 -1.0556 -1.0285
 -1.0044 -0.9845 -0.9688 -0.9550 -0.9409 -0.9043 -0.8744 -0.8667 -0.8827 -0.9108
 -0.9416 -0.9726 -1.0043 -1.0368 -1.0704 -1.1041 -1.1396 -1.1789 -1.2236 -1.2739
 -1.3265
 -1.1013 -1.1158 -1.1233 -1.1217 -1.1117 -1.0942 -1.0707 -1.0442 -1.0180 -0.9936
 -0.9712 -0.9509 -0.9331 -0.9186 -0.9065 -0.8826 -0.8650 -0.8600 -0.8762 -0.9074
 -0.9433 -0.9789 -1.0136 -1.0482 -1.0830 -1.1181 -1.1530 -1.1895 -1.2297 -1.2753
 -1.3272
 -0.9903 -1.0106 -1.0245 -1.0308 -1.0323 -1.0268 -1.0151 -0.9983 -0.9784 -0.9581
 -0.9390 -0.9216 -0.9058 -0.8919 -0.8798 -0.8590 -0.8490 -0.8495 -0.8654 -0.8981
 -0.9383 -0.9793 -1.0189 -1.0570 -1.0943 -1.1311 -1.1678 -1.2050 -1.2443 -1.2859
 -1.3294
 -0.8860 -0.9100 -0.9279 -0.9403 -0.9479 -0.9509 -0.9496 -0.9434 -0.9331 -0.9194
 -0.9049 -0.8913 -0.8789 -0.8676 -0.8576 -0.8392 -0.8319 -0.8359 -0.8526 -0.8844
 -0.9263 -0.9717 -1.0165 -1.0596 -1.1008 -1.1405 -1.1793 -1.2176 -1.2559 -1.2952
 -1.3361
 -0.7901 -0.8146 -0.8345 -0.8502 -0.8623 -0.8709 -0.8765 -0.8791 -0.8782 -0.8736
 -0.8659 -0.8572 -0.8489 -0.8414 -0.8349 -0.8220 -0.8163 -0.8223 -0.8403 -0.8704
 -0.9116 -0.9585 -1.0073 -1.0553 -1.1014 -1.1453 -1.1875 -1.2283 -1.2682 -1.3079
 -1.3482
 -0.7009 -0.7155 -0.7327 -0.7510 -0.7688 -0.7849 -0.7983 -0.8083 -0.8151 -0.8188
 -0.8195 -0.8177 -0.8145 -0.8113 -0.8085 -0.8039 -0.8024 -0.8092 -0.8278
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = G_RP 
 -2.0543 -2.0661 -2.0421 -1.9403 -1.8112 -1.6833 -1.5744 -1.4845 -1.4025 -1.3241
 -1.2494 -1.1785 -1.1117 -1.0497 -0.9935 -0.8786 -0.8132 -0.7931 -0.7971
 -1.8868 -1.8251 -1.8085 -1.8155 -1.7568 -1.6527 -1.5464 -1.4558 -1.3768 -1.3030
 -1.2331 -1.1668 -1.1046 -1.0473 -0.9957 -0.8953 -0.8358 -0.8137 -0.8177 -0.8348
 -1.7837 -1.7099 -1.6443 -1.6015 -1.5990 -1.5860 -1.5187 -1.4336 -1.3565 -1.2871
 -1.2218 -1.1599 -1.1019 -1.0485 -1.0005 -0.9080 -0.8531 -0.8321 -0.8365 -0.8540
 -0.8779
 -1.6943 -1.6310 -1.5621 -1.4953 -1.4431 -1.4169 -1.4138 -1.3909 -1.3342 -1.2710
 -1.2107 -1.1533 -1.0992 -1.0494 -1.0046 -0.9184 -0.8671 -0.8469 -0.8515 -0.8695
 -0.8935 -0.9212
 -1.6030 -1.5575 -1.4993 -1.4369 -1.3776 -1.3250 -1.2857 -1.2646 -1.2571 -1.2339
 -1.1920 -1.1429 -1.0938 -1.0476 -1.0057 -0.9251 -0.8770 -0.8576 -0.8624 -0.8816
 -0.9067 -0.9347 -0.9652 -0.9991
 -1.5072 -1.4776 -1.4364 -1.3846 -1.3294 -1.2762 -1.2275 -1.1857 -1.1553 -1.1396
 -1.1282 -1.1082 -1.0772 -1.0399 -1.0023 -0.9273 -0.8822 -0.8637 -0.8688 -0.8899
 -0.9171 -0.9465 -0.9776 -1.0105 -1.0446 -1.0810 -1.1209 -1.1652 -1.2140 -1.2654
 -1.4023 -1.3884 -1.3642 -1.3282 -1.2835 -1.2358 -1.1892 -1.1459 -1.1072 -1.0752
 -1.0519 -1.0373 -1.0245 -1.0076 -0.9857 -0.9245 -0.8827 -0.8650 -0.8703 -0.8931
 -0.9236 -0.9558 -0.9886 -1.0223 -1.0571 -1.0927 -1.1301 -1.1709 -1.2158 -1.2656
 -1.3199
 -1.2953 -1.2909 -1.2815 -1.2607 -1.2308 -1.1934 -1.1531 -1.1132 -1.0757 -1.0415
 -1.0116 -0.9872 -0.9692 -0.9562 -0.9444 -0.9112 -0.8781 -0.8620 -0.8670 -0.8908
 -0.9248 -0.9610 -0.9969 -1.0327 -1.0686 -1.1038 -1.1398 -1.1783 -1.2206 -1.2678
 -1.3205
 -1.1908 -1.1914 -1.1904 -1.1821 -1.1655 -1.1417 -1.1117 -1.0784 -1.0450 -1.0132
 -0.9840 -0.9581 -0.9359 -0.9181 -0.9049 -0.8826 -0.8654 -0.8545 -0.8600 -0.8837
 -0.9202 -0.9610 -1.0014 -1.0406 -1.0790 -1.1170 -1.1552 -1.1948 -1.2360 -1.2785
 -1.3222
 -1.0935 -1.0961 -1.0988 -1.0964 -1.0905 -1.0784 -1.0607 -1.0377 -1.0114 -0.9843
 -0.9582 -0.9343 -0.9129 -0.8943 -0.8789 -0.8554 -0.8451 -0.8423 -0.8497 -0.8725
 -0.9094 -0.9534 -0.9986 -1.0425 -1.0847 -1.1256 -1.1658 -1.2054 -1.2452 -1.2859
 -1.3282
 -1.0082 -1.0064 -1.0086 -1.0093 -1.0103 -1.0058 -0.9979 -0.9858 -0.9696 -0.9500
