 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  r   
 -3.5870 -3.5267 -3.7210 -3.6504 -3.4665 -3.2281 -2.9723 -2.8013 -2.6522 -2.5010
 -2.3599 -2.2315 -2.1147 -2.0081 -1.9106 -1.7103 -1.5327 -1.3815 -1.3162
 -3.5955 -3.3890 -3.2208 -3.1084 -3.0476 -2.9568 -2.8081 -2.6474 -2.5020 -2.3671
 -2.2406 -2.1237 -2.0166 -1.9188 -1.8294 -1.6390 -1.4943 -1.3932 -1.3269 -1.2833
 -3.4140 -3.2133 -3.0297 -2.8726 -2.7481 -2.6692 -2.6106 -2.5170 -2.3958 -2.2699
 -2.1546 -2.0484 -1.9510 -1.8621 -1.7809 -1.6102 -1.4831 -1.3953 -1.3373 -1.2982
 -1.2716
 -3.2683 -3.0886 -2.9127 -2.7505 -2.6087 -2.4899 -2.3977 -2.3348 -2.2733 -2.1890
 -2.0899 -1.9929 -1.9043 -1.8232 -1.7487 -1.5918 -1.4764 -1.3988 -1.3476 -1.3128
 -1.2882 -1.2710
 -3.1390 -2.9843 -2.8257 -2.6708 -2.5278 -2.4020 -2.2949 -2.2054 -2.1380 -2.0806
 -2.0185 -1.9443 -1.8664 -1.7924 -1.7244 -1.5790 -1.4713 -1.4007 -1.3559 -1.3259
 -1.3041 -1.2883 -1.2775 -1.2714
 -3.0224 -2.8867 -2.7496 -2.6084 -2.4717 -2.3455 -2.2348 -2.1403 -2.0608 -1.9942
 -1.9371 -1.8827 -1.8239 -1.7619 -1.7010 -1.5677 -1.4659 -1.3997 -1.3598 -1.3356
 -1.3180 -1.3049 -1.2957 -1.2898 -1.2866 -1.2870 -1.2924 -1.3035 -1.3212 -1.3457
 -2.9202 -2.7965 -2.6758 -2.5512 -2.4252 -2.3039 -2.1927 -2.0954 -2.0137 -1.9446
 -1.8841 -1.8289 -1.7772 -1.7261 -1.6743 -1.5541 -1.4586 -1.3934 -1.3577 -1.3394
 -1.3277 -1.3189 -1.3128 -1.3088 -1.3069 -1.3052 -1.3062 -1.3129 -1.3279 -1.3517
 -1.3803
 -2.8340 -2.7166 -2.6044 -2.4928 -2.3801 -2.2678 -2.1601 -2.0616 -1.9769 -1.9061
 -1.8460 -1.7922 -1.7413 -1.6930 -1.6463 -1.5380 -1.4491 -1.3857 -1.3506 -1.3361
 -1.3307 -1.3280 -1.3265 -1.3260 -1.3266 -1.3280 -1.3291 -1.3327 -1.3418 -1.3591
 -1.3860
 -2.7654 -2.6498 -2.5401 -2.4314 -2.3306 -2.2292 -2.1290 -2.0332 -1.9465 -1.8724
 -1.8108 -1.7583 -1.7105 -1.6649 -1.6208 -1.5199 -1.4372 -1.3766 -1.3403 -1.3270
 -1.3262 -1.3299 -1.3346 -1.3393 -1.3439 -1.3485 -1.3534 -1.3590 -1.3676 -1.3795
 -1.3944
 -2.7160 -2.5989 -2.4880 -2.3829 -2.2830 -2.1879 -2.0967 -2.0073 -1.9224 -1.8458
 -1.7805 -1.7264 -1.6801 -1.6371 -1.5963 -1.5036 -1.4252 -1.3671 -1.3304 -1.3154
 -1.3157 -1.3239 -1.3348 -1.3458 -1.3560 -1.3652 -1.3739 -1.3822 -1.3907 -1.4005
 -1.4113
 -2.6818 -2.5595 -2.4456 -2.3392 -2.2398 -2.1468 -2.0597 -1.9774 -1.8977 -1.8225
