 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  o   
 -2.3913 -2.3848 -2.5683 -2.5765 -2.5015 -2.3703 -2.2050 -2.1006 -2.0053 -1.9047
 -1.8082 -1.7173 -1.6322 -1.5550 -1.4863 -1.3441 -1.2537 -1.2055 -1.1758
 -2.3980 -2.3236 -2.2624 -2.2305 -2.2291 -2.2022 -2.1262 -2.0315 -1.9385 -1.8481
 -1.7603 -1.6771 -1.6001 -1.5304 -1.4682 -1.3444 -1.2617 -1.2124 -1.1851 -1.1711
 -2.2780 -2.2081 -2.1374 -2.0741 -2.0249 -2.0030 -1.9934 -1.9550 -1.8867 -1.8059
 -1.7263 -1.6497 -1.5783 -1.5135 -1.4557 -1.3415 -1.2659 -1.2221 -1.1989 -1.1873
 -1.1830
 -2.1682 -2.1136 -2.0499 -1.9848 -1.9244 -1.8720 -1.8333 -1.8141 -1.7939 -1.7525
 -1.6922 -1.6256 -1.5607 -1.5006 -1.4468 -1.3401 -1.2698 -1.2305 -1.2111 -1.2021
 -1.1992 -1.2005
 -2.0566 -2.0216 -1.9727 -1.9156 -1.8571 -1.8018 -1.7521 -1.7094 -1.6794 -1.6555
 -1.6278 -1.5878 -1.5388 -1.4871 -1.4379 -1.3383 -1.2719 -1.2363 -1.2206 -1.2150
 -1.2143 -1.2169 -1.2220 -1.2297
 -1.9421 -1.9235 -1.8928 -1.8497 -1.7997 -1.7481 -1.6989 -1.6537 -1.6130 -1.5777
 -1.5491 -1.5234 -1.4939 -1.4594 -1.4222 -1.3341 -1.2713 -1.2381 -1.2256 -1.2245
 -1.2273 -1.2323 -1.2391 -1.2474 -1.2563 -1.2670 -1.2807 -1.2986 -1.3213 -1.3494
 -1.8272 -1.8209 -1.8054 -1.7779 -1.7408 -1.6979 -1.6532 -1.6101 -1.5704 -1.5336
 -1.4998 -1.4698 -1.4434 -1.4178 -1.3912 -1.3237 -1.2671 -1.2341 -1.2248 -1.2286
 -1.2363 -1.2451 -1.2547 -1.2650 -1.2759 -1.2862 -1.2978 -1.3129 -1.3334 -1.3601
 -1.3920
