 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  i   
 -2.0368 -2.0143 -2.1992 -2.1944 -2.1024 -1.9553 -1.7805 -1.6621 -1.5604 -1.4517
 -1.3478 -1.2476 -1.1541 -1.0703 -0.9976 -0.8480 -0.7872 -0.7887 -0.7716
 -2.0258 -1.9345 -1.8607 -1.8194 -1.8112 -1.7770 -1.6930 -1.5913 -1.4922 -1.3959
 -1.3023 -1.2136 -1.1320 -1.0594 -0.9963 -0.8791 -0.8126 -0.7853 -0.7817 -0.7917
 -1.8868 -1.8028 -1.7218 -1.6501 -1.5939 -1.5668 -1.5535 -1.5120 -1.4405 -1.3561
 -1.2728 -1.1925 -1.1182 -1.0518 -0.9944 -0.8876 -0.8268 -0.8029 -0.8012 -0.8111
 -0.8287
 -1.7624 -1.6957 -1.6238 -1.5524 -1.4866 -1.4296 -1.3874 -1.3662 -1.3449 -1.3029
 -1.2418 -1.1737 -1.1073 -1.0469 -0.9942 -0.8957 -0.8388 -0.8173 -0.8174 -0.8279
 -0.8447 -0.8665
 -1.6388 -1.5924 -1.5367 -1.4753 -1.4132 -1.3547 -1.3023 -1.2574 -1.2257 -1.2012
 -1.1744 -1.1360 -1.0886 -1.0383 -0.9911 -0.9005 -0.8468 -0.8273 -0.8294 -0.8418
 -0.8591 -0.8803 -0.9052 -0.9341
 -1.5153 -1.4843 -1.4469 -1.4005 -1.3488 -1.2956 -1.2449 -1.1982 -1.1561 -1.1196
 -1.0908 -1.0665 -1.0401 -1.0097 -0.9770 -0.9000 -0.8497 -0.8315 -0.8356 -0.8516
 -0.8710 -0.8931 -0.9178 -0.9452 -0.9757 -1.0099 -1.0480 -1.0904 -1.1371 -1.1882
 -1.3956 -1.3742 -1.3511 -1.3190 -1.2810 -1.2382 -1.1936 -1.1503 -1.1101 -1.0725
 -1.0384 -1.0093 -0.9852 -0.9637 -0.9423 -0.8898 -0.8467 -0.8281 -0.8349 -0.8552
 -0.8789 -0.9036 -0.9296 -0.9572 -0.9866 -1.0170 -1.0501 -1.0879 -1.1319 -1.1822
 -1.2350
 -1.2834 -1.2671 -1.2513 -1.2303 -1.2044 -1.1742 -1.1399 -1.1034 -1.0675 -1.0335
