 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  V   
 -3.7563 -3.6762 -3.8931 -3.8157 -3.5963 -3.3095 -3.0007 -2.7861 -2.5937 -2.3988
 -2.2197 -2.0553 -1.9018 -1.7581 -1.6232 -1.3370 -1.0633 -0.8279 -0.6855
 -3.7425 -3.4861 -3.2828 -3.1453 -3.0644 -2.9485 -2.7629 -2.5581 -2.3671 -2.1875
 -2.0192 -1.8632 -1.7198 -1.5879 -1.4659 -1.1971 -0.9754 -0.8036 -0.6786 -0.5861
 -3.5040 -3.2499 -3.0282 -2.8418 -2.6906 -2.5864 -2.5011 -2.3717 -2.2080 -2.0380
 -1.8808 -1.7353 -1.6013 -1.4787 -1.3667 -1.1268 -0.9352 -0.7869 -0.6771 -0.5942
 -0.5290
 -3.3178 -3.0821 -2.8652 -2.6735 -2.5058 -2.3593 -2.2374 -2.1449 -2.0493 -1.9239
 -1.7829 -1.6464 -1.5207 -1.4054 -1.3001 -1.0783 -0.9068 -0.7772 -0.6795 -0.6048
 -0.5447 -0.4946
 -3.1624 -2.9488 -2.7455 -2.5588 -2.3917 -2.2419 -2.1070 -1.9868 -1.8877 -1.7963
 -1.6967 -1.5825 -1.4661 -1.3568 -1.2568 -1.0464 -0.8870 -0.7697 -0.6827 -0.6159
 -0.5611 -0.5145 -0.4742 -0.4393
 -3.0326 -2.8352 -2.6493 -2.4719 -2.3094 -2.1623 -2.0288 -1.9071 -1.7968 -1.6972
 -1.6067 -1.5178 -1.4225 -1.3240 -1.2287 -1.0260 -0.8733 -0.7630 -0.6838 -0.6248
 -0.5761 -0.5341 -0.4971 -0.4640 -0.4332 -0.4062 -0.3850 -0.3712 -0.3660 -0.3700
 -2.9282 -2.7405 -2.5667 -2.4014 -2.2450 -2.1017 -1.9711 -1.8519 -1.7434 -1.6433
 -1.5501 -1.4623 -1.3780 -1.2937 -1.2087 -1.0137 -0.8638 -0.7556 -0.6814 -0.6290
 -0.5873 -0.5510 -0.5186 -0.4890 -0.4618 -0.4349 -0.4109 -0.3932 -0.3844 -0.3858
 -0.3958
 -2.8493 -2.6657 -2.4972 -2.3401 -2.1921 -2.0529 -1.9249 -1.8082 -1.7019 -1.6042
 -1.5135 -1.4276 -1.3450 -1.2656 -1.1882 -1.0068 -0.8584 -0.7500 -0.6763 -0.6275
 -0.5922 -0.5627 -0.5362 -0.5115 -0.4883 -0.4660 -0.4433 -0.4233 -0.4096 -0.4050
 -0.4114
 -2.7960 -2.6118 -2.4433 -2.2848 -2.1439 -2.0105 -1.8854 -1.7701 -1.6654 -1.5696
 -1.4810 -1.3982 -1.3193 -1.2430 -1.1688 -0.9976 -0.8543 -0.7456 -0.6696 -0.6212
 -0.5898 -0.5668 -0.5471 -0.5288 -0.5110 -0.4933 -0.4760 -0.4596 -0.4465 -0.4370
 -0.4307
 -2.7682 -2.5798 -2.4076 -2.2502 -2.1062 -1.9745 -1.8534 -1.7399 -1.6355 -1.5406
 -1.4535 -1.3728 -1.2970 -1.2239 -1.1532 -0.9902 -0.8512 -0.7430 -0.6652 -0.6144
 -0.5833 -0.5639 -0.5504 -0.5391 -0.5279 -0.5163 -0.5042 -0.4917 -0.4796 -0.4689
 -0.4590
 -2.7619 -2.5664 -2.3886 -2.2268 -2.0796 -1.9458 -1.8242 -1.7132 -1.6098 -1.5146
 -1.4280 -1.3485 -1.2745 -1.2050 -1.1384 -0.9826 -0.8473 -0.7401 -0.6616 -0.6082
 -0.5753 -0.5565 -0.5465 -0.5410 -0.5368 -0.5320 -0.5264 -0.5195 -0.5119 -0.5042
 -0.4975
 -2.7610 -2.5555 -2.3715 -2.2062 -2.0572 -1.9222 -1.7994 -1.6873 -1.5847 -1.4906
 -1.4042 -1.3249 -1.2522 -1.1844 -1.1205 -0.9732 -0.8426 -0.7365 -0.6574
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  V   
 -4.1332 -4.0208 -3.8650 -3.5936 -3.2921 -3.0074 -2.7640 -2.5559 -2.3652 -2.1864
 -2.0201 -1.8683 -1.7300 -1.6036 -1.4872 -1.2368 -1.0132 -0.8199 -0.6798
 -3.7621 -3.5232 -3.3865 -3.2987 -3.1068 -2.8521 -2.6076 -2.3976 -2.2119 -2.0393
 -1.8797 -1.7343 -1.6028 -1.4840 -1.3761 -1.1434 -0.9502 -0.7920 -0.6696 -0.5774
 -3.5597 -3.2922 -3.0738 -2.9099 -2.8158 -2.7023 -2.5041 -2.2930 -2.1077 -1.9419
 -1.7885 -1.6486 -1.5219 -1.4077 -1.3047 -1.0872 -0.9129 -0.7737 -0.6661 -0.5837
 -0.5185
 -3.4243 -3.1598 -2.9275 -2.7234 -2.5552 -2.4319 -2.3413 -2.2138 -2.0417 -1.8787
 -1.7303 -1.5953 -1.4727 -1.3618 -1.2617 -1.0525 -0.8894 -0.7627 -0.6662 -0.5920
 -0.5323 -0.4824
 -3.3268 -3.0717 -2.8398 -2.6351 -2.4552 -2.2943 -2.1568 -2.0463 -1.9523 -1.8324
 -1.6953 -1.5630 -1.4435 -1.3355 -1.2374 -1.0324 -0.8751 -0.7560 -0.6675 -0.6005
 -0.5464 -0.5005 -0.4607 -0.4271
 -3.2654 -3.0103 -2.7825 -2.5762 -2.3937 -2.2310 -2.0826 -1.9478 -1.8317 -1.7374
 -1.6458 -1.5398 -1.4275 -1.3208 -1.2242 -1.0214 -0.8664 -0.7512 -0.6680 -0.6073
 -0.5592 -0.5181 -0.4819 -0.4496 -0.4195 -0.3933 -0.3731 -0.3605 -0.3567 -0.3614
 -3.2202 -2.9689 -2.7453 -2.5392 -2.3540 -2.1899 -2.0427 -1.9077 -1.7836 -1.6728
 -1.5761 -1.4904 -1.4033 -1.3107 -1.2178 -1.0160 -0.8612 -0.7470 -0.6663 -0.6103
 -0.5684 -0.5331 -0.5016 -0.4730 -0.4468 -0.4214 -0.3992 -0.3829 -0.3749 -0.3765
 -0.3872
 -3.1965 -2.9448 -2.7241 -2.5189 -2.3314 -2.1634 -2.0149 -1.8814 -1.7592 -1.6466
 -1.5440 -1.4514 -1.3675 -1.2881 -1.2079 -1.0142 -0.8582 -0.7432 -0.6626 -0.6089
 -0.5723 -0.5433 -0.5177 -0.4941 -0.4719 -0.4486 -0.4266 -0.4089 -0.3978 -0.3954
 -0.4027
 -3.1991 -2.9400 -2.7154 -2.5103 -2.3213 -2.1493 -1.9962 -1.8605 -1.7390 -1.6281
 -1.5261 -1.4322 -1.3455 -1.2652 -1.1897 -1.0110 -0.8561 -0.7390 -0.6570 -0.6033
 -0.5696 -0.5465 -0.5276 -0.5103 -0.4934 -0.4769 -0.4610 -0.4475 -0.4365 -0.4279
 -0.4214
 -3.2307 -2.9571 -2.7248 -2.5186 -2.3276 -2.1523 -1.9932 -1.8518 -1.7271 -1.6156
 -1.5144 -1.4213 -1.3350 -1.2545 -1.1788 -1.0071 -0.8573 -0.7381 -0.6532 -0.5971
 -0.5633 -0.5434 -0.5304 -0.5198 -0.5095 -0.4989 -0.4881 -0.4770 -0.4663 -0.4571
 -0.4487
 -3.2843 -2.9966 -2.7542 -2.5419 -2.3471 -2.1681 -2.0044 -1.8559 -1.7242 -1.6083
 -1.5052 -1.4120 -1.3265 -1.2468 -1.1720 -1.0027 -0.8571 -0.7385 -0.6507 -0.5915
 -0.5554 -0.5359 -0.5262 -0.5213 -0.5178 -0.5141 -0.5095 -0.5039 -0.4976 -0.4913
 -0.4859
 -3.3551 -3.0585 -2.8034 -2.5792 -2.3787 -2.1957 -2.0275 -1.8737 -1.7341 -1.6102
 -1.5015 -1.4053 -1.3187 -1.2394 -1.1656 -0.9994 -0.8562 -0.7385 -0.6491
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  V   
