 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  G   
 -2.5309 -2.5141 -2.6988 -2.6962 -2.6049 -2.4551 -2.2723 -2.1546 -2.0477 -1.9349
 -1.8274 -1.7250 -1.6299 -1.5429 -1.4642 -1.2993 -1.1828 -1.1016 -1.0490
 -2.5327 -2.4393 -2.3616 -2.3164 -2.3048 -2.2662 -2.1761 -2.0674 -1.9621 -1.8599
 -1.7608 -1.6669 -1.5799 -1.5007 -1.4292 -1.2822 -1.1755 -1.1029 -1.0551 -1.0236
 -2.4007 -2.3117 -2.2233 -2.1441 -2.0810 -2.0480 -2.0284 -1.9782 -1.8974 -1.8044
 -1.7137 -1.6267 -1.5456 -1.4716 -1.4051 -1.2695 -1.1724 -1.1075 -1.0653 -1.0372
 -1.0183
 -2.2823 -2.2093 -2.1280 -2.0465 -1.9711 -1.9053 -1.8550 -1.8258 -1.7955 -1.7426
 -1.6708 -1.5936 -1.5191 -1.4502 -1.3878 -1.2608 -1.1707 -1.1122 -1.0750 -1.0504
 -1.0336 -1.0222
 -2.1648 -2.1119 -2.0459 -1.9725 -1.8988 -1.8296 -1.7674 -1.7133 -1.6734 -1.6400
 -1.6022 -1.5512 -1.4918 -1.4309 -1.3733 -1.2538 -1.1689 -1.1153 -1.0829 -1.0624
 -1.0484 -1.0387 -1.0325 -1.0295
 -2.0472 -2.0106 -1.9630 -1.9039 -1.8388 -1.7730 -1.7109 -1.6540 -1.6029 -1.5581
 -1.5204 -1.4852 -1.4458 -1.4013 -1.3548 -1.2465 -1.1657 -1.1154 -1.0870 -1.0715
 -1.0614 -1.0545 -1.0503 -1.0482 -1.0470 -1.0479 -1.0523 -1.0615 -1.0762 -1.0970
 -1.9318 -1.9070 -1.8745 -1.8310 -1.7788 -1.7216 -1.6637 -1.6085 -1.5581 -1.5116
 -1.4689 -1.4302 -1.3949 -1.3602 -1.3242 -1.2350 -1.1601 -1.1107 -1.0859 -1.0756
 -1.0707 -1.0680 -1.0669 -1.0670 -1.0682 -1.0692 -1.0718 -1.0782 -1.0904 -1.1093
 -1.1344
 -1.8213 -1.8045 -1.7818 -1.7509 -1.7123 -1.6670 -1.6175 -1.5670 -1.5189 -1.4746
 -1.4336 -1.3950 -1.3586 -1.3249 -1.2927 -1.2169 -1.1513 -1.1041 -1.0802 -1.0734
 -1.0740 -1.0768 -1.0802 -1.0839 -1.0879 -1.0920 -1.0953 -1.1000 -1.1089 -1.1240
 -1.1467
 -1.7182 -1.7063 -1.6893 -1.6654 -1.6381 -1.6044 -1.5656 -1.5231 -1.4799 -1.4384
 -1.3999 -1.3642 -1.3304 -1.2980 -1.2669 -1.1969 -1.1386 -1.0955 -1.0712 -1.0658
 -1.0707 -1.0792 -1.0883 -1.0970 -1.1051 -1.1125 -1.1197 -1.1270 -1.1363 -1.1480
 -1.1618
 -1.6249 -1.6157 -1.6017 -1.5835 -1.5614 -1.5359 -1.5070 -1.4741 -1.4385 -1.4018
 -1.3664 -1.3336 -1.3031 -1.2737 -1.2452 -1.1800 -1.1257 -1.0857 -1.0619 -1.0555
 -1.0617 -1.0743 -1.0890 -1.1036 -1.1170 -1.1291 -1.1402 -1.1504 -1.1604 -1.1712
 -1.1828
 -1.5422 -1.5325 -1.5196 -1.5038 -1.4856 -1.4650 -1.4425 -1.4179 -1.3906 -1.3610
 -1.3305 -1.3011 -1.2735 -1.2478 -1.2232 -1.1646 -1.1134 -1.0756 -1.0530 -1.0452
 -1.0507 -1.0645 -1.0829 -1.1027 -1.1220 -1.1397 -1.1559 -1.1705 -1.1840 -1.1970
 -1.2104
 -1.4647 -1.4446 -1.4289 -1.4156 -1.4030 -1.3897 -1.3744 -1.3564 -1.3360 -1.3137
 -1.2900 -1.2654 -1.2413 -1.2187 -1.1975 -1.1479 -1.1017 -1.0656 -1.0438
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  G   
 -2.8259 -2.8201 -2.7757 -2.6453 -2.4846 -2.3258 -2.1898 -2.0761 -1.9718 -1.8718
 -1.7760 -1.6848 -1.5991 -1.5192 -1.4456 -1.2899 -1.1744 -1.0923 -1.0394
 -2.6315 -2.5422 -2.5048 -2.4944 -2.4098 -2.2745 -2.1381 -2.0212 -1.9188 -1.8224
 -1.7304 -1.6433 -1.5616 -1.4862 -1.4173 -1.2744 -1.1688 -1.0953 -1.0467 -1.0147
 -2.5148 -2.4097 -2.3163 -2.2493 -2.2276 -2.1930 -2.0965 -1.9819 -1.8791 -1.7864
 -1.6986 -1.6153 -1.5373 -1.4654 -1.3999 -1.2653 -1.1669 -1.0991 -1.0554 -1.0269
 -1.0078
 -2.4186 -2.3228 -2.2239 -2.1289 -2.0510 -2.0023 -1.9787 -1.9312 -1.8461 -1.7576
 -1.6740 -1.5948 -1.5204 -1.4516 -1.3889 -1.2604 -1.1670 -1.1034 -1.0634 -1.0382
 -1.0215 -1.0102
 -2.3259 -2.2469 -2.1574 -2.0658 -1.9793 -1.9007 -1.8372 -1.7939 -1.7648 -1.7168
 -1.6494 -1.5766 -1.5063 -1.4407 -1.3806 -1.2571 -1.1675 -1.1068 -1.0698 -1.0482
 -1.0344 -1.0252 -1.0195 -1.0175
 -2.2342 -2.1694 -2.0954 -2.0130 -1.9294 -1.8497 -1.7756 -1.7096 -1.6567 -1.6202
 -1.5872 -1.5430 -1.4879 -1.4289 -1.3722 -1.2535 -1.1669 -1.1081 -1.0735 -1.0556
 -1.0455 -1.0394 -1.0358 -1.0345 -1.0343 -1.0363 -1.0419 -1.0522 -1.0679 -1.0892
 -2.1368 -2.0868 -2.0284 -1.9602 -1.8855 -1.8101 -1.7377 -1.6699 -1.6080 -1.5544
 -1.5107 -1.4760 -1.4414 -1.4014 -1.3568 -1.2482 -1.1643 -1.1069 -1.0737 -1.0588
 -1.0533 -1.0512 -1.0510 -1.0520 -1.0542 -1.0565 -1.0606 -1.0684 -1.0816 -1.1011
 -1.1267
 -2.0403 -1.9992 -1.9551 -1.9005 -1.8386 -1.7716 -1.7043 -1.6392 -1.5782 -1.5218
 -1.4714 -1.4274 -1.3900 -1.3569 -1.3237 -1.2369 -1.1592 -1.1031 -1.0702 -1.0571
 -1.0559 -1.0589 -1.0630 -1.0677 -1.0726 -1.0763 -1.0804 -1.0872 -1.0984 -1.1153
 -1.1388
 -1.9495 -1.9126 -1.8761 -1.8332 -1.7831 -1.7275 -1.6683 -1.6084 -1.5504 -1.4958
 -1.4455 -1.3998 -1.3586 -1.3220 -1.2894 -1.2155 -1.1489 -1.0962 -1.0637 -1.0510
 -1.0526 -1.0607 -1.0702 -1.0797 -1.0887 -1.0973 -1.1058 -1.1156 -1.1269 -1.1395
 -1.1534
 -1.8699 -1.8333 -1.7991 -1.7622 -1.7221 -1.6768 -1.6274 -1.5753 -1.5226 -1.4713
