 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F850LP
 -1.4207 -1.4455 -1.5105 -1.5627 -1.5855 -1.6068 -1.6525 -1.7072 -1.7404 -1.7406
 -1.7229 -1.6910 -1.6548 -1.6215 -1.5910 -1.5427 -1.5371 -1.5608 -1.5918
 -1.4697 -1.4663 -1.4864 -1.5143 -1.5477 -1.5860 -1.6258 -1.6617 -1.6889 -1.7049
 -1.7079 -1.6967 -1.6731 -1.6440 -1.6169 -1.5736 -1.5677 -1.5907 -1.6257 -1.6680
 -1.5032 -1.4886 -1.4857 -1.4966 -1.5251 -1.5619 -1.5956 -1.6247 -1.6509 -1.6740
 -1.6883 -1.6916 -1.6810 -1.6594 -1.6367 -1.5988 -1.5932 -1.6154 -1.6524 -1.6953
 -1.7403
 -1.5212 -1.5124 -1.5084 -1.5096 -1.5177 -1.5345 -1.5619 -1.5962 -1.6264 -1.6479
 -1.6641 -1.6757 -1.6785 -1.6677 -1.6504 -1.6183 -1.6136 -1.6349 -1.6720 -1.7150
 -1.7600 -1.8058
 -1.5127 -1.5147 -1.5172 -1.5197 -1.5237 -1.5311 -1.5433 -1.5608 -1.5842 -1.6105
 -1.6324 -1.6485 -1.6616 -1.6648 -1.6559 -1.6311 -1.6279 -1.6488 -1.6866 -1.7305
 -1.7764 -1.8229 -1.8693 -1.9154
 -1.4769 -1.4923 -1.5052 -1.5147 -1.5214 -1.5273 -1.5346 -1.5444 -1.5572 -1.5726
 -1.5902 -1.6079 -1.6244 -1.6394 -1.6453 -1.6362 -1.6355 -1.6564 -1.6954 -1.7416
 -1.7892 -1.8372 -1.8850 -1.9326 -1.9793 -2.0255 -2.0716 -2.1203 -2.1732 -2.2276
 -1.4165 -1.4458 -1.4710 -1.4905 -1.5045 -1.5144 -1.5223 -1.5301 -1.5392 -1.5497
 -1.5611 -1.5732 -1.5858 -1.6012 -1.6142 -1.6288 -1.6361 -1.6575 -1.6973 -1.7467
 -1.7978 -1.8482 -1.8981 -1.9474 -1.9960 -2.0437 -2.0911 -2.1384 -2.1887 -2.2438
 -2.3012
 -1.3372 -1.3783 -1.4154 -1.4464 -1.4702 -1.4878 -1.5006 -1.5107 -1.5199 -1.5294
 -1.5392 -1.5491 -1.5591 -1.5699 -1.5828 -1.6070 -1.6275 -1.6525 -1.6927 -1.7447
 -1.8001 -1.8545 -1.9075 -1.9593 -2.0100 -2.0598 -2.1088 -2.1576 -2.2068 -2.2586
 -2.3161
 -1.2469 -1.2967 -1.3431 -1.3842 -1.4184 -1.4454 -1.4660 -1.4818 -1.4947 -1.5061
 -1.5170 -1.5276 -1.5377 -1.5475 -1.5589 -1.5842 -1.6114 -1.6424 -1.6837 -1.7371
 -1.7962 -1.8554 -1.9127 -1.9680 -2.0217 -2.0740 -2.1253 -2.1758 -2.2261 -2.2772
 -2.3312
 -1.1525 -1.2071 -1.2595 -1.3079 -1.3509 -1.3872 -1.4170 -1.4407 -1.4598 -1.4759
 -1.4901 -1.5032 -1.5154 -1.5269 -1.5385 -1.5653 -1.5942 -1.6290 -1.6715 -1.7246
 -1.7853 -1.8482 -1.9101 -1.9698 -2.0273 -2.0827 -2.1368 -2.1895 -2.2415 -2.2933
 -2.3460
 -1.0553 -1.1138 -1.1702 -1.2231 -1.2718 -1.3159 -1.3542 -1.3865 -1.4136 -1.4364
 -1.4559 -1.4734 -1.4892 -1.5039 -1.5176 -1.5491 -1.5791 -1.6154 -1.6592 -1.7114
 -1.7714 -1.8358 -1.9010 -1.9650 -2.0267 -2.0860 -2.1434 -2.1990 -2.2533 -2.3068
 -2.3603
 -0.9554 -1.0168 -1.0787 -1.1338 -1.1865 -1.2356 -1.2805 -1.3207 -1.3557 -1.3862
 -1.4127 -1.4361 -1.4571 -1.4761 -1.4962 -1.5356 -1.5661 -1.6016 -1.6468
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =F850LP
 -1.5260 -1.5343 -1.5571 -1.5895 -1.6271 -1.6648 -1.6982 -1.7238 -1.7393 -1.7429
 -1.7329 -1.7104 -1.6793 -1.6464 -1.6160 -1.5630 -1.5448 -1.5605 -1.5952
 -1.4716 -1.4695 -1.4871 -1.5189 -1.5589 -1.6016 -1.6426 -1.6778 -1.7046 -1.7210
 -1.7249 -1.7151 -1.6933 -1.6659 -1.6398 -1.5932 -1.5770 -1.5904 -1.6237 -1.6654
 -1.4706 -1.4495 -1.4534 -1.4767 -1.5095 -1.5493 -1.5915 -1.6311 -1.6650 -1.6909
 -1.7067 -1.7103 -1.7001 -1.6796 -1.6575 -1.6172 -1.6033 -1.6153 -1.6473 -1.6887
 -1.7329
 -1.4959 -1.4643 -1.4550 -1.4650 -1.4889 -1.5214 -1.5582 -1.5953 -1.6287 -1.6578
 -1.6802 -1.6944 -1.6973 -1.6864 -1.6691 -1.6350 -1.6237 -1.6352 -1.6660 -1.7073
 -1.7521 -1.7980
 -1.5174 -1.4947 -1.4817 -1.4810 -1.4909 -1.5093 -1.5339 -1.5631 -1.5955 -1.6279
 -1.6528 -1.6712 -1.6829 -1.6843 -1.6740 -1.6466 -1.6380 -1.6498 -1.6800 -1.7217
 -1.7674 -1.8143 -1.8611 -1.9077
 -1.5173 -1.5037 -1.4967 -1.4944 -1.4962 -1.5028 -1.5147 -1.5318 -1.5540 -1.5820
 -1.6117 -1.6370 -1.6572 -1.6695 -1.6703 -1.6520 -1.6465 -1.6590 -1.6892 -1.7319
 -1.7793 -1.8278 -1.8762 -1.9242 -1.9717 -2.0187 -2.0657 -2.1153 -2.1686 -2.2228
 -1.4927 -1.4911 -1.4931 -1.4972 -1.5017 -1.5069 -1.5137 -1.5234 -1.5361 -1.5513
 -1.5690 -1.5898 -1.6118 -1.6330 -1.6480 -1.6510 -1.6491 -1.6628 -1.6932 -1.7371
 -1.7871 -1.8380 -1.8885 -1.9385 -1.9877 -2.0363 -2.0846 -2.1329 -2.1839 -2.2392
 -2.2966
 -1.4436 -1.4557 -1.4689 -1.4817 -1.4929 -1.5018 -1.5091 -1.5161 -1.5245 -1.5346
 -1.5457 -1.5580 -1.5719 -1.5890 -1.6076 -1.6360 -1.6459 -1.6615 -1.6920 -1.7367
 -1.7895 -1.8439 -1.8974 -1.9498 -2.0012 -2.0517 -2.1017 -2.1514 -2.2015 -2.2540
 -2.3117
 -1.3715 -1.3969 -1.4226 -1.4464 -1.4664 -1.4823 -1.4943 -1.5035 -1.5115 -1.5197
 -1.5286 -1.5380 -1.5478 -1.5587 -1.5728 -1.6064 -1.6330 -1.6554 -1.6869 -1.7317
 -1.7866 -1.8448 -1.9023 -1.9581 -2.0124 -2.0654 -2.1176 -2.1691 -2.2203 -2.2723
 -2.3269
 -1.2834 -1.3201 -1.3568 -1.3909 -1.4209 -1.4457 -1.4651 -1.4799 -1.4913 -1.5011
 -1.5103 -1.5196 -1.5289 -1.5383 -1.5490 -1.5791 -1.6111 -1.6428 -1.6775 -1.7222
 -1.7774 -1.8382 -1.8997 -1.9597 -2.0176 -2.0738 -2.1286 -2.1823 -2.2352 -2.2880
 -2.3416
 -1.1862 -1.2306 -1.2759 -1.3186 -1.3574 -1.3914 -1.4196 -1.4421 -1.4599 -1.4743
 -1.4866 -1.4980 -1.5089 -1.5195 -1.5301 -1.5584 -1.5901 -1.6262 -1.6654 -1.7106
 -1.7652 -1.8268 -1.8911 -1.9550 -2.0170 -2.0768 -2.1349 -2.1913 -2.2465 -2.3010
 -2.3553
 -1.0814 -1.1339 -1.1848 -1.2338 -1.2798 -1.3215 -1.3580 -1.3891 -1.4148 -1.4361
 -1.4539 -1.4695 -1.4839 -1.4974 -1.5161 -1.5443 -1.5700 -1.6056 -1.6506
