 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F150W2
 -1.3808 -1.3771 -1.3690 -1.3638 -1.3552 -1.3439 -1.3021 -1.3036 -1.3144 -1.3351
 -1.3648 -1.3858 -1.4291 -1.4758 -1.5234 -1.6458 -1.7766 -1.9080 -2.0351
 -1.3791 -1.3967 -1.3972 -1.3824 -1.3584 -1.3426 -1.3381 -1.3417 -1.3517 -1.3683
 -1.3938 -1.4282 -1.4686 -1.5120 -1.5569 -1.6742 -1.7972 -1.9236 -2.0493 -2.1727
 -1.4090 -1.4193 -1.4292 -1.4350 -1.4331 -1.4197 -1.3987 -1.3865 -1.3890 -1.4039
 -1.4262 -1.4562 -1.4944 -1.5371 -1.5817 -1.6967 -1.8159 -1.9392 -2.0627 -2.1838
 -2.3020
 -1.4334 -1.4406 -1.4503 -1.4604 -1.4686 -1.4722 -1.4699 -1.4609 -1.4505 -1.4506
 -1.4644 -1.4881 -1.5209 -1.5612 -1.6049 -1.7183 -1.8341 -1.9535 -2.0745 -2.1938
 -2.3101 -2.4233
 -1.4659 -1.4680 -1.4739 -1.4827 -1.4929 -1.5025 -1.5096 -1.5135 -1.5152 -1.5156
 -1.5198 -1.5336 -1.5565 -1.5887 -1.6280 -1.7384 -1.8518 -1.9672 -2.0851 -2.2027
 -2.3176 -2.4293 -2.5380 -2.6439
 -1.5077 -1.5041 -1.5047 -1.5092 -1.5173 -1.5277 -1.5384 -1.5479 -1.5563 -1.5646
 -1.5740 -1.5862 -1.6030 -1.6272 -1.6585 -1.7581 -1.8686 -1.9807 -2.0950 -2.2104
 -2.3243 -2.4352 -2.5428 -2.6475 -2.7500 -2.8506 -2.9495 -3.0467 -3.1425 -3.2369
 -1.5581 -1.5497 -1.5444 -1.5435 -1.5472 -1.5549 -1.5654 -1.5769 -1.5883 -1.5997
 -1.6122 -1.6275 -1.6457 -1.6674 -1.6940 -1.7806 -1.8847 -1.9936 -2.1045 -2.2172
 -2.3299 -2.4404 -2.5476 -2.6516 -2.7525 -2.8505 -2.9465 -3.0415 -3.1363 -3.2309
 -3.3232
 -1.6169 -1.6038 -1.5937 -1.5871 -1.5853 -1.5885 -1.5957 -1.6061 -1.6183 -1.6309
 -1.6443 -1.6597 -1.6782 -1.7002 -1.7259 -1.8049 -1.9011 -2.0059 -2.1136 -2.2234
 -2.3343 -2.4443 -2.5516 -2.6555 -2.7560 -2.8537 -2.9485 -3.0414 -3.1333 -3.2250
 -3.3171
 -1.6832 -1.6659 -1.6518 -1.6406 -1.6331 -1.6306 -1.6330 -1.6398 -1.6500 -1.6623
 -1.6757 -1.6905 -1.7075 -1.7278 -1.7522 -1.8279 -1.9183 -2.0187 -2.1237 -2.2309
 -2.3395 -2.4485 -2.5560 -2.6605 -2.7615 -2.8591 -2.9539 -3.0467 -3.1376 -3.2268
 -3.3143
 -1.7571 -1.7360 -1.7177 -1.7025 -1.6906 -1.6826 -1.6793 -1.6809 -1.6869 -1.6966
 -1.7086 -1.7223 -1.7376 -1.7554 -1.7765 -1.8471 -1.9332 -2.0293 -2.1314 -2.2363
 -2.3425 -2.4496 -2.5563 -2.6612 -2.7630 -2.8612 -2.9562 -3.0483 -3.1406 -3.2284
 -3.3129
 -1.8384 -1.8141 -1.7914 -1.7718 -1.7570 -1.7447 -1.7361 -1.7318 -1.7323 -1.7371
 -1.7456 -1.7570 -1.7703 -1.7857 -1.8036 -1.8650 -1.9473 -2.0391 -2.1383 -2.2411
 -2.3455 -2.4506 -2.5558 -2.6602 -2.7625 -2.8617 -2.9576 -3.0502 -3.1398 -3.2271
 -3.3124
 -1.9274 -1.9002 -1.8729 -1.8485 -1.8309 -1.8155 -1.8028 -1.7935 -1.7881 -1.7869
 -1.7900 -1.7970 -1.8071 -1.8196 -1.8335 -1.8816 -1.9606 -2.0481 -2.1444
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =F150W2
 -1.3405 -1.3347 -1.3264 -1.3192 -1.3122 -1.3067 -1.2942 -1.3001 -1.3136 -1.3355
 -1.3659 -1.3978 -1.4397 -1.4845 -1.5306 -1.6497 -1.7750 -1.9031 -2.0315
 -1.3738 -1.3712 -1.3561 -1.3452 -1.3395 -1.3359 -1.3349 -1.3380 -1.3476 -1.3650
 -1.3913 -1.4264 -1.4674 -1.5115 -1.5569 -1.6742 -1.7958 -1.9208 -2.0461 -2.1693
 -1.3884 -1.4036 -1.4134 -1.4128 -1.3965 -1.3773 -1.3694 -1.3719 -1.3809 -1.3957
 -1.4177 -1.4484 -1.4876 -1.5313 -1.5769 -1.6939 -1.8135 -1.9358 -2.0590 -2.1801
 -2.2983
 -1.3971 -1.4136 -1.4303 -1.4439 -1.4514 -1.4504 -1.4373 -1.4195 -1.4141 -1.4243
 -1.4444 -1.4715 -1.5066 -1.5487 -1.5938 -1.7110 -1.8292 -1.9490 -2.0701 -2.1895
 -2.3059 -2.4193
 -1.4108 -1.4242 -1.4401 -1.4564 -1.4711 -1.4823 -1.4886 -1.4891 -1.4819 -1.4742
 -1.4794 -1.4983 -1.5276 -1.5657 -1.6094 -1.7257 -1.8431 -1.9608 -2.0796 -2.1977
 -2.3129 -2.4249 -2.5339 -2.6403
 -1.4332 -1.4415 -1.4534 -1.4678 -1.4834 -1.4987 -1.5122 -1.5230 -1.5314 -1.5369
 -1.5391 -1.5454 -1.5619 -1.5894 -1.6263 -1.7387 -1.8553 -1.9714 -2.0880 -2.2046
 -2.3191 -2.4303 -2.5382 -2.6433 -2.7457 -2.8460 -2.9447 -3.0424 -3.1399 -3.2345
 -1.4650 -1.4678 -1.4745 -1.4846 -1.4976 -1.5125 -1.5283 -1.5436 -1.5579 -1.5715
 -1.5850 -1.5976 -1.6107 -1.6290 -1.6559 -1.7521 -1.8662 -1.9810 -2.0956 -2.2103
 -2.3240 -2.4350 -2.5426 -2.6469 -2.7483 -2.8471 -2.9439 -3.0391 -3.1336 -3.2283
 -3.3207
 -1.5049 -1.5031 -1.5046 -1.5096 -1.5181 -1.5301 -1.5449 -1.5610 -1.5778 -1.5946
 -1.6117 -1.6302 -1.6493 -1.6697 -1.6928 -1.7730 -1.8774 -1.9897 -2.1025 -2.2152
 -2.3277 -2.4385 -2.5461 -2.6504 -2.7514 -2.8494 -2.9450 -3.0386 -3.1306 -3.2223
 -3.3147
 -1.5514 -1.5458 -1.5429 -1.5431 -1.5469 -1.5547 -1.5662 -1.5808 -1.5975 -1.6154
 -1.6339 -1.6536 -1.6752 -1.6986 -1.7238 -1.7984 -1.8931 -1.9999 -2.1104 -2.2212
 -2.3321 -2.4422 -2.5502 -2.6551 -2.7565 -2.8545 -2.9497 -3.0424 -3.1331 -3.2225
 -3.3117
 -1.6035 -1.5952 -1.5889 -1.5849 -1.5841 -1.5871 -1.5944 -1.6056 -1.6202 -1.6372
 -1.6557 -1.6754 -1.6965 -1.7198 -1.7455 -1.8204 -1.9089 -2.0096 -2.1165 -2.2252
 -2.3340 -2.4427 -2.5502 -2.6555 -2.7576 -2.8563 -2.9517 -3.0442 -3.1342 -3.2222
 -3.3101
 -1.6595 -1.6495 -1.6409 -1.6340 -1.6294 -1.6281 -1.6308 -1.6377 -1.6486 -1.6630
 -1.6801 -1.6990 -1.7192 -1.7411 -1.7652 -1.8379 -1.9240 -2.0197 -2.1227 -2.2290
 -2.3360 -2.4429 -2.5492 -2.6542 -2.7570 -2.8565 -2.9528 -3.0458 -3.1359 -3.2236
 -3.3093
 -1.7183 -1.7077 -1.6980 -1.6893 -1.6821 -1.6773 -1.6759 -1.6783 -1.6849 -1.6954
 -1.7093 -1.7260 -1.7444 -1.7660 -1.7829 -1.8509 -1.9384 -2.0302 -2.1290
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =F150W2
 -1.2910 -1.2837 -1.2754 -1.2680 -1.2634 -1.2636 -1.2702 -1.2842 -1.3055 -1.3338
 -1.3686 -1.4082 -1.4503 -1.4942 -1.5393 -1.6554 -1.7758 -1.9000 -2.0271
 -1.3177 -1.3146 -1.3104 -1.3055 -1.3019 -1.3015 -1.3061 -1.3166 -1.3337 -1.3577
 -1.3890 -1.4271 -1.4695 -1.5140 -1.5597 -1.6764 -1.7955 -1.9175 -2.0413 -2.1644
 -1.3577 -1.3597 -1.3496 -1.3405 -1.3371 -1.3372 -1.3409 -1.3493 -1.3630 -1.3826
 -1.4091 -1.4434 -1.4844 -1.5290 -1.5752 -1.6929 -1.8117 -1.9318 -2.0535 -2.1743
 -2.2927
 -1.3675 -1.3852 -1.3983 -1.4036 -1.3975 -1.3823 -1.3746 -1.3783 -1.3901 -1.4075
 -1.4305 -1.4602 -1.4976 -1.5411 -1.5872 -1.7056 -1.8245 -1.9436 -2.0636 -2.1829
 -2.2995 -2.4133
 -1.3699 -1.3902 -1.4110 -1.4293 -1.4434 -1.4496 -1.4456 -1.4354 -1.4266 -1.4327
 -1.4516 -1.4783 -1.5115 -1.5519 -1.5970 -1.7155 -1.8347 -1.9532 -2.0719 -2.1900
 -2.3057 -2.4181 -2.5275 -2.6344
 -1.3751 -1.3936 -1.4148 -1.4366 -1.4570 -1.4741 -1.4873 -1.4960 -1.4983 -1.4929
 -1.4911 -1.5033 -1.5288 -1.5641 -1.6062 -1.7235 -1.8428 -1.9610 -2.0786 -2.1957
 -2.3109 -2.4227 -2.5312 -2.6368 -2.7398 -2.8405 -2.9397 -3.0383 -3.1360 -3.2303
 -1.3881 -1.4023 -1.4205 -1.4412 -1.4627 -1.4837 -1.5031 -1.5200 -1.5347 -1.5469
 -1.5545 -1.5582 -1.5674 -1.5880 -1.6201 -1.7305 -1.8494 -1.9672 -2.0841 -2.2002
 -2.3148 -2.4266 -2.5348 -2.6397 -2.7417 -2.8411 -2.9386 -3.0345 -3.1294 -3.2243
 -3.3166
 -1.4109 -1.4196 -1.4331 -1.4501 -1.4694 -1.4901 -1.5112 -1.5319 -1.5518 -1.5709
 -1.5893 -1.6060 -1.6199 -1.6335 -1.6534 -1.7399 -1.8552 -1.9725 -2.0885 -2.2035
 -2.3174 -2.4293 -2.5377 -2.6426 -2.7441 -2.8428 -2.9391 -3.0334 -3.1260 -3.2181
 -3.3107
 -1.4416 -1.4455 -1.4542 -1.4666 -1.4821 -1.5000 -1.5199 -1.5409 -1.5628 -1.5850
 -1.6073 -1.6301 -1.6527 -1.6741 -1.6946 -1.7631 -1.8638 -1.9787 -2.0938 -2.2078
 -2.3207 -2.4322 -2.5411 -2.6467 -2.7486 -2.8473 -2.9432 -3.0366 -3.1280 -3.2183
 -3.3076
 -1.4788 -1.4792 -1.4835 -1.4912 -1.5022 -1.5162 -1.5331 -1.5522 -1.5735 -1.5961
 -1.6198 -1.6445 -1.6702 -1.6964 -1.7227 -1.7908 -1.8784 -1.9844 -2.0971 -2.2097
 -2.3212 -2.4317 -2.5404 -2.6466 -2.7493 -2.8485 -2.9446 -3.0378 -3.1285 -3.2172
 -3.3057
 -1.5206 -1.5184 -1.5194 -1.5232 -1.5300 -1.5398 -1.5529 -1.5689 -1.5879 -1.6092
 -1.6324 -1.6572 -1.6833 -1.7108 -1.7393 -1.8138 -1.8963 -1.9936 -2.1011 -2.2116
 -2.3216 -2.4308 -2.5386 -2.6447 -2.7481 -2.8483 -2.9453 -3.0389 -3.1297 -3.2181
 -3.3044
 -1.5650 -1.5614 -1.5603 -1.5614 -1.5647 -1.5707 -1.5798 -1.5922 -1.6080 -1.6268
 -1.6481 -1.6717 -1.6984 -1.7263 -1.7444 -1.8321 -1.9175 -2.0063 -2.1058
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =F150W2
 -1.2323 -1.2240 -1.2162 -1.2103 -1.2089 -1.2148 -1.2301 -1.2559 -1.2901 -1.3300
 -1.3729 -1.4170 -1.4609 -1.5050 -1.5496 -1.6630 -1.7790 -1.8985 -2.0219
 -1.2605 -1.2549 -1.2488 -1.2435 -1.2416 -1.2457 -1.2582 -1.2802 -1.3100 -1.3461
 -1.3869 -1.4305 -1.4753 -1.5206 -1.5663 -1.6815 -1.7976 -1.9154 -2.0358 -2.1574
 -1.2863 -1.2838 -1.2803 -1.2769 -1.2754 -1.2783 -1.2879 -1.3056 -1.3308 -1.3623
 -1.3992 -1.4408 -1.4852 -1.5310 -1.5774 -1.6946 -1.8116 -1.9287 -2.0472 -2.1665
 -2.2846
 -1.3260 -1.3266 -1.3184 -1.3109 -1.3085 -1.3106 -1.3184 -1.3326 -1.3534 -1.3803
 -1.4127 -1.4506 -1.4930 -1.5383 -1.5850 -1.7036 -1.8217 -1.9389 -2.0563 -2.1739
 -2.2904 -2.4045
 -1.3385 -1.3592 -1.3704 -1.3732 -1.3683 -1.3586 -1.3540 -1.3609 -1.3770 -1.3999
 -1.4283 -1.4620 -1.5008 -1.5443 -1.5904 -1.7096 -1.8287 -1.9464 -2.0633 -2.1799
 -2.2954 -2.4083 -2.5183 -2.6259
 -1.3395 -1.3603 -1.3812 -1.3998 -1.4141 -1.4235 -1.4275 -1.4260 -1.4219 -1.4277
 -1.4468 -1.4756 -1.5105 -1.5506 -1.5950 -1.7137 -1.8336 -1.9517 -2.0685 -2.1845
 -2.2993 -2.4116 -2.5208 -2.6271 -2.7310 -2.8327 -2.9328 -3.0320 -3.1301 -3.2242
 -1.3395 -1.3601 -1.3833 -1.4073 -1.4302 -1.4504 -1.4675 -1.4819 -1.4927 -1.4972
 -1.4977 -1.5056 -1.5270 -1.5602 -1.6006 -1.7167 -1.8368 -1.9554 -2.0722 -2.1878
 -2.3021 -2.4142 -2.5232 -2.6289 -2.7317 -2.8322 -2.9306 -3.0274 -3.1232 -3.2182
 -3.3102
 -1.3444 -1.3619 -1.3838 -1.4085 -1.4342 -1.4595 -1.4832 -1.5048 -1.5246 -1.5428
 -1.5580 -1.5680 -1.5757 -1.5900 -1.6159 -1.7196 -1.8390 -1.9578 -2.0746 -2.1898
 -2.3037 -2.4157 -2.5248 -2.6306 -2.7331 -2.8328 -2.9302 -3.0254 -3.1190 -3.2119
 -3.3044
 -1.3582 -1.3707 -1.3888 -1.4112 -1.4363 -1.4626 -1.4888 -1.5143 -1.5389 -1.5627
 -1.5857 -1.6075 -1.6266 -1.6420 -1.6577 -1.7299 -1.8422 -1.9607 -2.0775 -2.1924
 -2.3058 -2.4177 -2.5273 -2.6337 -2.7366 -2.8363 -2.9332 -3.0277 -3.1202 -3.2113
 -3.3013
