 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F250M
 -0.6035 -0.7433 -0.8795 -1.0107 -1.1363 -1.2565 -1.3722 -1.4839 -1.5921 -1.6973
 -1.8019
  0.0363  0.0801  0.1185  0.1518  0.1807  0.2053  0.2228  0.2321  0.2325  0.2256
  0.2132  0.1977  0.1808  0.1627  0.1427  0.0685 -0.0465 -0.1802 -0.3219 -0.4640
 -0.6038 -0.7411 -0.8759 -1.0072 -1.1337 -1.2548 -1.3710 -1.4826 -1.5902 -1.6945
 -1.7957
 -0.1045 -0.0588 -0.0171  0.0210  0.0560  0.0887  0.1187  0.1428  0.1580  0.1639
  0.1615  0.1525  0.1393  0.1233  0.1120  0.0437 -0.0671 -0.1949 -0.3294
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = F250M
  0.4385  0.4452  0.4595  0.4815  0.5127  0.5431  0.5615  0.5623  0.5536  0.5406
  0.5208  0.4874  0.4380  0.3788  0.3163  0.1605  0.0156 -0.1146 -0.2550
  0.4139  0.4133  0.4204  0.4353  0.4564  0.4807  0.5009  0.5027  0.4987  0.4929
  0.4838  0.4640  0.4246  0.3690  0.3068  0.1491  0.0023 -0.1299 -0.2698 -0.4232
  0.4120  0.3974  0.3927  0.3967  0.4080  0.4253  0.4425  0.4470  0.4457  0.4441
  0.4425  0.4358  0.4121  0.3650  0.3049  0.1454 -0.0053 -0.1414 -0.2813 -0.4321
 -0.5815
  0.4634  0.4357  0.4009  0.3810  0.3735  0.3767  0.3871  0.3931  0.3933  0.3933
  0.3954  0.3977  0.3910  0.3597  0.3059  0.1467 -0.0081 -0.1495 -0.2904 -0.4392
 -0.5870 -0.7303
  0.5238  0.4927  0.4555  0.4179  0.3856  0.3630  0.3529  0.3516  0.3496  0.3473
  0.3477  0.3517  0.3561  0.3452  0.3050  0.1509 -0.0072 -0.1541 -0.2970 -0.4446
 -0.5912 -0.7333 -0.8705 -1.0036
  0.5445  0.5231  0.4941  0.4588  0.4209  0.3858  0.3578  0.3394  0.3283  0.3214
  0.3166  0.3140  0.3148  0.3154  0.2958  0.1561 -0.0040 -0.1558 -0.3014 -0.4484
 -0.5943 -0.7357 -0.8718 -1.0034 -1.1310 -1.2552 -1.3763 -1.4941 -1.6083 -1.7181
  0.5382  0.5260  0.5062  0.4781  0.4437  0.4066  0.3717  0.3431  0.3223  0.3079
  0.2989  0.2932  0.2884  0.2834  0.2731  0.1597  0.0002 -0.1552 -0.3039 -0.4509
 -0.5963 -0.7373 -0.8728 -1.0034 -1.1297 -1.2522 -1.3714 -1.4876 -1.6007 -1.7106
 -1.8168
  0.5089  0.5070  0.4967  0.4776  0.4505  0.4177  0.3828  0.3497  0.3217  0.3007
  0.2854  0.2736  0.2645  0.2570  0.2465  0.1578  0.0039 -0.1535 -0.3046 -0.4519
 -0.5968 -0.7380 -0.8735 -1.0036 -1.1289 -1.2501 -1.3678 -1.4823 -1.5937 -1.7023
 -1.8082
  0.4527  0.4651  0.4670  0.4579  0.4400  0.4150  0.3852  0.3537  0.3231  0.2964
  0.2751  0.2580  0.2427  0.2286  0.2152  0.1406  0.0031 -0.1539 -0.3067 -0.4543
 -0.5987 -0.7397 -0.8757 -1.0062 -1.1313 -1.2518 -1.3685 -1.4817 -1.5917 -1.6988
 -1.8033
  0.3714  0.3973  0.4122  0.4161  0.4096  0.3948  0.3737  0.3485  0.3208  0.2931
  0.2675  0.2451  0.2251  0.2058  0.1862  0.1142 -0.0055 -0.1536 -0.3060 -0.4535
 -0.5970 -0.7371 -0.8732 -1.0043 -1.1300 -1.2505 -1.3666 -1.4788 -1.5875 -1.6932
 -1.7982
  0.2686  0.3056  0.3322  0.3488  0.3546  0.3520  0.3422  0.3266  0.3063  0.2829
  0.2581  0.2334  0.2097  0.1867  0.1631  0.0878 -0.0239 -0.1593 -0.3066 -0.4531
 -0.5954 -0.7341 -0.8694 -1.0008 -1.1273 -1.2486 -1.3650 -1.4770 -1.5851 -1.6899
 -1.7916
