 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  r   
 -1.9797 -1.7082 -1.4899 -1.3117 -1.1619 -1.0313 -0.9146 -0.8094 -0.7155 -0.6336
 -0.5637 -0.5034 -0.4495 -0.4005 -0.3546 -0.2488 -0.1605 -0.0941 -0.0527 -0.0345
 -0.0310 -0.0332 -0.0367 -0.0404 -0.0441 -0.0477 -0.0516 -0.0563 -0.0626 -0.0722
 -0.0886
 -1.8765 -1.6336 -1.4332 -1.2678 -1.1280 -1.0056 -0.8951 -0.7939 -0.7012 -0.6175
 -0.5438 -0.4804 -0.4257 -0.3772 -0.3325 -0.2313 -0.1477 -0.0848 -0.0433 -0.0237
 -0.0210 -0.0273 -0.0370 -0.0470 -0.0562 -0.0646 -0.0723 -0.0797 -0.0873 -0.0962
 -0.1061
 -1.7852 -1.5662 -1.3806 -1.2249 -1.0922 -0.9760 -0.8709 -0.7739 -0.6839 -0.6009
 -0.5257 -0.4591 -0.4020 -0.3533 -0.3102 -0.2149 -0.1349 -0.0746 -0.0340 -0.0129
 -0.0089 -0.0163 -0.0298 -0.0455 -0.0611 -0.0754 -0.0884 -0.1002 -0.1110 -0.1218
 -0.1333
 -1.7047 -1.5082 -1.3367 -1.1879 -1.0594 -0.9467 -0.8451 -0.7514 -0.6642 -0.5829
 -0.5079 -0.4400 -0.3786 -0.3278 -0.2877 -0.1996 -0.1221 -0.0635 -0.0248
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =  r   
 -4.9269 -4.2579 -3.6725 -3.1683 -2.7400 -2.3681 -2.0327 -1.7252 -1.4639 -1.2505
 -1.0739 -0.9235 -0.7911 -0.6755 -0.5733 -0.3638 -0.2065 -0.0919 -0.0137
 -4.4541 -3.8129 -3.2463 -2.7635 -2.3616 -2.0283 -1.7454 -1.4972 -1.2873 -1.1133
 -0.9665 -0.8376 -0.7206 -0.6153 -0.5213 -0.3301 -0.1901 -0.0899 -0.0213  0.0245
 -3.8061 -3.2452 -2.8071 -2.4312 -2.0964 -1.8068 -1.5593 -1.3470 -1.1677 -1.0180
 -0.8917 -0.7803 -0.6765 -0.5797 -0.4920 -0.3129 -0.1833 -0.0919 -0.0301  0.0111
  0.0393
 -3.4139 -2.8183 -2.3605 -2.0166 -1.7643 -1.5763 -1.4054 -1.2384 -1.0834 -0.9487
 -0.8343 -0.7358 -0.6450 -0.5571 -0.4750 -0.3051 -0.1820 -0.0960 -0.0389 -0.0015
  0.0241  0.0422
 -3.2232 -2.6224 -2.1581 -1.8060 -1.5385 -1.3392 -1.1944 -1.0869 -0.9962 -0.8965
 -0.7937 -0.7000 -0.6170 -0.5389 -0.4630 -0.3012 -0.1827 -0.1002 -0.0464 -0.0126
  0.0099  0.0260  0.0373  0.0443
 -3.1227 -2.5324 -2.0719 -1.7207 -1.4529 -1.2465 -1.0868 -0.9630 -0.8697 -0.8021
 -0.7401 -0.6689 -0.5932 -0.5202 -0.4506 -0.2974 -0.1827 -0.1027 -0.0513 -0.0208
 -0.0021  0.0109  0.0203  0.0263  0.0294  0.0302  0.0261  0.0142 -0.0058 -0.0293
 -3.0449 -2.4799 -2.0328 -1.6883 -1.4228 -1.2153 -1.0509 -0.9194 -0.8142 -0.7296
 -0.6627 -0.6084 -0.5549 -0.4968 -0.4350 -0.2914 -0.1805 -0.1023 -0.0525 -0.0247
 -0.0103 -0.0015  0.0045  0.0084  0.0102  0.0100  0.0070  0.0003 -0.0126 -0.0358
 -0.0636
 -2.9587 -2.4299 -2.0058 -1.6735 -1.4146 -1.2093 -1.0439 -0.9077 -0.7952 -0.7022
 -0.6245 -0.5591 -0.5043 -0.4560 -0.4071 -0.2808 -0.1753 -0.0989 -0.0497 -0.0234
 -0.0128 -0.0093 -0.0079 -0.0077 -0.0085 -0.0103 -0.0138 -0.0193 -0.0277 -0.0434
 -0.0700
 -2.8519 -2.3670 -1.9723 -1.6577 -1.4083 -1.2085 -1.0449 -0.9076 -0.7908 -0.6913
 -0.6069 -0.5350 -0.4729 -0.4194 -0.3723 -0.2619 -0.1650 -0.0915 -0.0430 -0.0172
 -0.0091 -0.0106 -0.0149 -0.0199 -0.0248 -0.0298 -0.0353 -0.0417 -0.0497 -0.0619
 -0.0786
 -2.7332 -2.3026 -1.9411 -1.6457 -1.4064 -1.2119 -1.0506 -0.9137 -0.7952 -0.6918
 -0.6018 -0.5242 -0.4574 -0.3995 -0.3488 -0.2418 -0.1519 -0.0824 -0.0347 -0.0082
 -0.0003 -0.0048 -0.0147 -0.0256 -0.0360 -0.0457 -0.0550 -0.0640 -0.0732 -0.0839
 -0.0953
 -2.6051 -2.2282 -1.9043 -1.6317 -1.4052 -1.2164 -1.0569 -0.9200 -0.8007 -0.6954
 -0.6020 -0.5196 -0.4481 -0.3866 -0.3332 -0.2242 -0.1378 -0.0712 -0.0250  0.0021
  0.0111  0.0059 -0.0073 -0.0238 -0.0403 -0.0558 -0.0702 -0.0834 -0.0959 -0.1083
 -0.1214
 -2.4842 -2.1510 -1.8625 -1.6146 -1.4037 -1.2226 -1.0657 -0.9284 -0.8073 -0.6999
 -0.6040 -0.5185 -0.4385 -0.3733 -0.3255 -0.2091 -0.1227 -0.0579 -0.0139
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =  r   
 -5.8615 -5.3090 -4.7886 -4.2977 -3.8250 -3.3326 -2.7828 -2.1913 -1.7070 -1.3431
 -1.0812 -0.8912 -0.7448 -0.6265 -0.5262 -0.3272 -0.1800 -0.0713  0.0060
 -5.5271 -4.9220 -4.3544 -3.8323 -3.3534 -2.8965 -2.4165 -1.9445 -1.5486 -1.2383
 -1.0046 -0.8299 -0.6948 -0.5843 -0.4899 -0.3029 -0.1672 -0.0696 -0.0008  0.0456
 -5.2052 -4.6096 -4.0384 -3.5077 -3.0273 -2.5951 -2.1833 -1.7885 -1.4497 -1.1753
 -0.9609 -0.7962 -0.6673 -0.5617 -0.4714 -0.2923 -0.1634 -0.0719 -0.0084  0.0342
  0.0622
 -4.6156 -4.0815 -3.6190 -3.1852 -2.7660 -2.3714 -2.0081 -1.6721 -1.3769 -1.1304
 -0.9319 -0.7754 -0.6514 -0.5495 -0.4622 -0.2891 -0.1644 -0.0764 -0.0161  0.0236
  0.0492  0.0663
 -4.1910 -3.5936 -3.0930 -2.6799 -2.3459 -2.0736 -1.8155 -1.5541 -1.3072 -1.0905
 -0.9081 -0.7593 -0.6397 -0.5414 -0.4569 -0.2887 -0.1670 -0.0812 -0.0232  0.0144
  0.0376  0.0526  0.0624  0.0677
 -4.0033 -3.3333 -2.7838 -2.3494 -2.0052 -1.7306 -1.5098 -1.3295 -1.1750 -1.0254
 -0.8785 -0.7439 -0.6288 -0.5334 -0.4519 -0.2883 -0.1691 -0.0848 -0.0284  0.0072
  0.0280  0.0401  0.0478  0.0521  0.0531  0.0507  0.0443  0.0306  0.0090 -0.0147
 -3.9468 -3.2473 -2.6646 -2.2032 -1.8458 -1.5660 -1.3418 -1.1582 -1.0077 -0.8889
 -0.7943 -0.7053 -0.6136 -0.5246 -0.4452 -0.2863 -0.1695 -0.0865 -0.0310  0.0030
  0.0215  0.0303  0.0347  0.0366  0.0363  0.0337  0.0282  0.0188  0.0034 -0.0209
 -0.0487
 -3.9239 -3.2269 -2.6316 -2.1528 -1.7803 -1.4927 -1.2665 -1.0841 -0.9338 -0.8098
 -0.7083 -0.6280 -0.5622 -0.4987 -0.4334 -0.2816 -0.1674 -0.0856 -0.0307  0.0025
  0.0190  0.0245  0.0247  0.0229  0.0198  0.0156  0.0095  0.0014 -0.0102 -0.0277
 -0.0551
 -3.8730 -3.2035 -2.6192 -2.1400 -1.7614 -1.4675 -1.2376 -1.0535 -0.9029 -0.7774
 -0.6721 -0.5838 -0.5107 -0.4510 -0.3988 -0.2711 -0.1612 -0.0808 -0.0265  0.0061
  0.0213  0.0237  0.0194  0.0128  0.0056 -0.0018 -0.0099 -0.0189 -0.0297 -0.0445
 -0.0633
 -3.7931 -3.1711 -2.6135 -2.1491 -1.7730 -1.4742 -1.2404 -1.0534 -0.9003 -0.7721
 -0.6630 -0.5701 -0.4908 -0.4237 -0.3672 -0.2525 -0.1519 -0.0742 -0.0203  0.0126
  0.0276  0.0284  0.0202  0.0083 -0.0040 -0.0160 -0.0277 -0.0392 -0.0512 -0.0645
 -0.0805
 -3.6738 -3.1079 -2.5946 -2.1557 -1.7905 -1.4956 -1.2594 -1.0688 -0.9125 -0.7811
 -0.6683 -0.5706 -0.4862 -0.4138 -0.3518 -0.2322 -0.1388 -0.0642 -0.0117  0.0214
  0.0370  0.0375  0.0269  0.0105 -0.0074 -0.0248 -0.0414 -0.0570 -0.0720 -0.0870
 -0.1027
 -3.5259 -3.0186 -2.5577 -2.1545 -1.8118 -1.5259 -1.2901 -1.0958 -0.9348 -0.7991
 -0.6824 -0.5807 -0.4914 -0.4136 -0.3526 -0.2102 -0.1219 -0.0508 -0.0007
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value =  r   
 -6.0837 -5.5947 -5.1387 -4.7133 -4.3156 -3.8619 -3.2636 -2.5267 -1.8977 -1.4318
 -1.1105 -0.8907 -0.7320 -0.6084 -0.5057 -0.3090 -0.1650 -0.0592  0.0182
 -5.7804 -5.2428 -4.7406 -4.2780 -3.8481 -3.4077 -2.8648 -2.2698 -1.7495 -1.3447
 -1.0497 -0.8413 -0.6900 -0.5729 -0.4761 -0.2888 -0.1542 -0.0574  0.0112  0.0584
 -5.5573 -4.9967 -4.4640 -3.9666 -3.5103 -3.0773 -2.6072 -2.1096 -1.6642 -1.3014
 -1.0239 -0.8201 -0.6706 -0.5559 -0.4619 -0.2808 -0.1517 -0.0601  0.0040  0.0477
  0.0762
 -5.1755 -4.6813 -4.1916 -3.7141 -3.2571 -2.8275 -2.4122 -1.9890 -1.6013 -1.2743
 -1.0131 -0.8133 -0.6636 -0.5490 -0.4563 -0.2793 -0.1535 -0.0647 -0.0035  0.0378
  0.0642  0.0812
 -4.7660 -4.1788 -3.6687 -3.2944 -2.9464 -2.5941 -2.2325 -1.8756 -1.5412 -1.2487
 -1.0057 -0.8120 -0.6623 -0.5469 -0.4545 -0.2804 -0.1568 -0.0697 -0.0103  0.0290
  0.0536  0.0687  0.0780  0.0827
 -4.4394 -3.7398 -3.2259 -2.8109 -2.4702 -2.1811 -1.9275 -1.6840 -1.4390 -1.2023
 -0.9897 -0.8094 -0.6626 -0.5466 -0.4539 -0.2816 -0.1599 -0.0738 -0.0156  0.0222
  0.0449  0.0577  0.0649  0.0684  0.0684  0.0653  0.0571  0.0416  0.0192 -0.0050
 -4.2711 -3.5955 -3.0201 -2.5532 -2.1819 -1.8809 -1.6279 -1.4084 -1.2208 -1.0642
 -0.9236 -0.7869 -0.6581 -0.5458 -0.4528 -0.2816 -0.1614 -0.0761 -0.0186  0.0180
  0.0390  0.0492  0.0534  0.0544  0.0530  0.0492  0.0422  0.0314  0.0143 -0.0108
 -0.0386
 -4.2749 -3.5753 -2.9589 -2.4504 -2.0464 -1.7288 -1.4734 -1.2609 -1.0795 -0.9261
 -0.8017 -0.7032 -0.6172 -0.5324 -0.4491 -0.2796 -0.1607 -0.0762 -0.0190  0.0169
  0.0365  0.0442  0.0448  0.0422  0.0381  0.0325  0.0250  0.0152  0.0021 -0.0170
 -0.0450
 -4.2731 -3.5805 -2.9546 -2.4236 -1.9960 -1.6609 -1.3976 -1.1859 -1.0105 -0.8626
 -0.7375 -0.6338 -0.5503 -0.4826 -0.4212 -0.2735 -0.1562 -0.0727 -0.0158  0.0196
  0.0380  0.0434  0.0404  0.0334  0.0252  0.0165  0.0069 -0.0037 -0.0161 -0.0316
 -0.0526
 -4.2372 -3.5833 -2.9700 -2.4382 -2.0000 -1.6512 -1.3786 -1.1612 -0.9855 -0.8391
 -0.7150 -0.6094 -0.5202 -0.4459 -0.3846 -0.2593 -0.1500 -0.0676 -0.0108  0.0248
  0.0430  0.0471  0.0412  0.0297  0.0166  0.0035 -0.0096 -0.0226 -0.0362 -0.0512
 -0.0687
 -4.1568 -3.5446 -2.9710 -2.4571 -2.0241 -1.6715 -1.3908 -1.1668 -0.9867 -0.8382
 -0.7126 -0.6049 -0.5122 -0.4329 -0.3656 -0.2386 -0.1389 -0.0595 -0.0034  0.0325
  0.0510  0.0548  0.0470  0.0319  0.0139 -0.0044 -0.0222 -0.0391 -0.0556 -0.0722
 -0.0897
 -4.0436 -3.4774 -2.9463 -2.4665 -2.0530 -1.7066 -1.4233 -1.1936 -1.0072 -0.8538
 -0.7245 -0.6134 -0.5169 -0.4331 -0.3642 -0.2114 -0.1229 -0.0484  0.0064
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value =  r   
 -6.1989 -5.7533 -5.3447 -4.9772 -4.6740 -4.3032 -3.7174 -2.8927 -2.1269 -1.5507
 -1.1639 -0.9060 -0.7279 -0.5956 -0.4901 -0.2913 -0.1493 -0.0454  0.0308
 -5.9104 -5.4225 -4.9760 -4.5779 -4.2229 -3.8523 -3.3162 -2.6371 -1.9932 -1.4820
 -1.1169 -0.8672 -0.6935 -0.5657 -0.4644 -0.2745 -0.1399 -0.0439  0.0246  0.0725
 -5.7293 -5.2124 -4.7295 -4.2908 -3.8978 -3.5194 -3.0480 -2.4763 -1.9240 -1.4605
 -1.1096 -0.8591 -0.6828 -0.5543 -0.4541 -0.2685 -0.1384 -0.0465  0.0178  0.0625
  0.0919
 -5.5222 -5.0186 -4.5333 -4.0761 -3.6519 -3.2556 -2.8389 -2.3525 -1.8733 -1.4543
 -1.1190 -0.8678 -0.6858 -0.5535 -0.4521 -0.2686 -0.1409 -0.0511  0.0108  0.0533
  0.0809  0.0981
 -5.0380 -4.6025 -4.2076 -3.8222 -3.4339 -3.0430 -2.6531 -2.2380 -1.8222 -1.4460
 -1.1312 -0.8832 -0.6967 -0.5588 -0.4546 -0.2711 -0.1450 -0.0562  0.0043  0.0451
  0.0713  0.0870  0.0960  0.1000
 -4.6404 -4.1105 -3.6758 -3.3203 -3.0147 -2.7278 -2.4252 -2.0910 -1.7468 -1.4213
 -1.1351 -0.8979 -0.7104 -0.5677 -0.4593 -0.2740 -0.1489 -0.0607 -0.0009  0.0386
  0.0634  0.0773  0.0845  0.0873  0.0863  0.0815  0.0716  0.0549  0.0313  0.0065
 -4.4885 -3.8780 -3.3586 -2.9346 -2.5902 -2.2980 -2.0346 -1.7855 -1.5475 -1.3195
 -1.0995 -0.8960 -0.7208 -0.5776 -0.4654 -0.2761 -0.1515 -0.0638 -0.0042  0.0344
  0.0578  0.0699  0.0746  0.0750  0.0726  0.0674  0.0591  0.0463  0.0274  0.0013
 -0.0269
 -4.4885 -3.8291 -3.2442 -2.7541 -2.3585 -2.0378 -1.7678 -1.5280 -1.3098 -1.1190
 -0.9604 -0.8251 -0.6992 -0.5788 -0.4709 -0.2770 -0.1522 -0.0648 -0.0052  0.0330
  0.0551  0.0654  0.0672  0.0645  0.0594  0.0524  0.0434  0.0319  0.0169 -0.0040
 -0.0329
 -4.5300 -3.8554 -3.2362 -2.6994 -2.2580 -1.9044 -1.6200 -1.3835 -1.1791 -0.9999
 -0.8459 -0.7195 -0.6187 -0.5340 -0.4544 -0.2751 -0.1495 -0.0625 -0.0031  0.0348
  0.0560  0.0644  0.0634  0.0569  0.0480  0.0381  0.0270  0.0147  0.0005 -0.0170
 -0.0398
 -4.5451 -3.8984 -3.2736 -2.7166 -2.2447 -1.8626 -1.5590 -1.3153 -1.1149 -0.9449
 -0.7985 -0.6733 -0.5688 -0.4836 -0.4138 -0.2681 -0.1460 -0.0589  0.0007  0.0389
  0.0598  0.0671  0.0639  0.0538  0.0406  0.0265  0.0121 -0.0026 -0.0179 -0.0348
 -0.0543
 -4.5125 -3.8978 -3.3051 -2.7498 -2.2698 -1.8718 -1.5511 -1.2960 -1.0911 -0.9222
 -0.7795 -0.6569 -0.5518 -0.4626 -0.3878 -0.2484 -0.1386 -0.0527  0.0069  0.0455
  0.0666  0.0733  0.0687  0.0558  0.0384  0.0196  0.0008 -0.0176 -0.0357 -0.0541
 -0.0735
 -4.4428 -3.8607 -3.2992 -2.7760 -2.3062 -1.9072 -1.5782 -1.3129 -1.0990 -0.9252
 -0.7806 -0.6576 -0.5514 -0.4596 -0.3764 -0.2160 -0.1273 -0.0439  0.0155
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value =  r   
 -6.2508 -5.8397 -5.4714 -5.1542 -4.9285 -4.6354 -4.0944 -3.2528 -2.3977 -1.7182
 -1.2541 -0.9482 -0.7422 -0.5954 -0.4824 -0.2782 -0.1355 -0.0322  0.0430
 -5.9687 -5.5184 -5.1172 -4.7751 -4.4883 -4.1963 -3.7152 -3.0135 -2.2781 -1.6623
 -1.2199 -0.9193 -0.7150 -0.5706 -0.4609 -0.2642 -0.1278 -0.0311  0.0373  0.0860
 -5.8051 -5.3234 -4.8841 -4.4997 -4.1750 -3.8724 -3.4496 -2.8580 -2.2238 -1.6607
 -1.2298 -0.9245 -0.7135 -0.5650 -0.4544 -0.2601 -0.1272 -0.0340  0.0308  0.0763
  0.1069
 -5.6732 -5.1832 -4.7228 -4.3042 -3.9346 -3.6050 -3.2349 -2.7323 -2.1854 -1.6752
 -1.2594 -0.9490 -0.7279 -0.5714 -0.4567 -0.2617 -0.1305 -0.0387  0.0241  0.0674
  0.0965  0.1146
 -5.3848 -4.9557 -4.5354 -4.1319 -3.7499 -3.3908 -3.0393 -2.6141 -2.1412 -1.6849
 -1.2921 -0.9824 -0.7520 -0.5856 -0.4645 -0.2658 -0.1353 -0.0441  0.0177  0.0596
  0.0874  0.1043  0.1137  0.1181
 -4.8899 -4.4541 -4.0978 -3.7903 -3.4946 -3.1850 -2.8491 -2.4837 -2.0797 -1.6777
 -1.3157 -1.0152 -0.7805 -0.6052 -0.4761 -0.2706 -0.1402 -0.0493  0.0124  0.0533
  0.0798  0.0954  0.1033  0.1061  0.1048  0.0992  0.0884  0.0701  0.0458  0.0203
 -4.6369 -4.1040 -3.6634 -3.3118 -3.0250 -2.7728 -2.5261 -2.2527 -1.9458 -1.6238
 -1.3133 -1.0374 -0.8079 -0.6275 -0.4906 -0.2750 -0.1441 -0.0533  0.0086  0.0489
  0.0742  0.0885  0.0945  0.0953  0.0925  0.0867  0.0775  0.0634  0.0428  0.0158
 -0.0128
 -4.5919 -3.9919 -3.4689 -3.0361 -2.6871 -2.3985 -2.1428 -1.8961 -1.6506 -1.4192
 -1.2048 -1.0028 -0.8134 -0.6457 -0.5069 -0.2793 -0.1462 -0.0554  0.0067  0.0469
  0.0711  0.0839  0.0879  0.0860  0.0809  0.0734  0.0633  0.0508  0.0341  0.0115
 -0.0183
 -4.6432 -4.0132 -3.4346 -2.9337 -2.5194 -2.1822 -1.9022 -1.6555 -1.4262 -1.2126
 -1.0241 -0.8670 -0.7353 -0.6179 -0.5066 -0.2821 -0.1452 -0.0543  0.0078  0.0480
  0.0714  0.0824  0.0842  0.0794  0.0710  0.0607  0.0487  0.0351  0.0194  0.0004
 -0.0242
 -4.7117 -4.0852 -3.4860 -2.9435 -2.4772 -2.0936 -1.7819 -1.5243 -1.3032 -1.1063
 -0.9307 -0.7785 -0.6525 -0.5503 -0.4652 -0.2834 -0.1442 -0.0520  0.0105  0.0510
  0.0742  0.0841  0.0840  0.0765  0.0646  0.0506  0.0355  0.0197  0.0028 -0.0157
 -0.0370
 -4.7305 -4.1330 -3.5462 -2.9913 -2.4993 -2.0820 -1.7408 -1.4651 -1.2388 -1.0484
 -0.8836 -0.7401 -0.6164 -0.5125 -0.4267 -0.2667 -0.1411 -0.0476  0.0155  0.0565
  0.0799  0.0893  0.0877  0.0780  0.0627  0.0447  0.0256  0.0063 -0.0132 -0.0332
 -0.0543
 -4.7053 -4.1356 -3.5753 -3.0393 -2.5442 -2.1136 -1.7531 -1.4590 -1.2211 -1.0267
 -0.8642 -0.7253 -0.6050 -0.5013 -0.3911 -0.2320 -0.1359 -0.0411  0.0228
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value =  r   
 -6.2524 -5.8733 -5.5443 -5.2759 -5.0573 -4.8212 -4.3406 -3.5104 -2.6436 -1.8877
 -1.3534 -0.9988 -0.7620 -0.5955 -0.4729 -0.2602 -0.1166 -0.0138  0.0608
 -5.9759 -5.5589 -5.2001 -4.9111 -4.6825 -4.4486 -4.0072 -3.3086 -2.5381 -1.8443
 -1.3307 -0.9790 -0.7411 -0.5757 -0.4544 -0.2480 -0.1097 -0.0123  0.0563  0.1051
 -5.8210 -5.3686 -4.9685 -4.6349 -4.3712 -4.1329 -3.7582 -3.1733 -2.5013 -1.8617
 -1.3575 -0.9976 -0.7491 -0.5765 -0.4518 -0.2452 -0.1092 -0.0146  0.0508  0.0965
  0.1279
 -5.7238 -5.2522 -4.8193 -4.4399 -4.1253 -3.8624 -3.5467 -3.0590 -2.4792 -1.8979
 -1.4073 -1.0386 -0.7757 -0.5912 -0.4593 -0.2481 -0.1127 -0.0189  0.0450  0.0889
  0.1187  0.1375
 -5.5063 -5.1224 -4.6932 -4.2978 -3.9448 -3.6390 -3.3469 -2.9433 -2.4465 -1.9278
 -1.4617 -1.0902 -0.8142 -0.6160 -0.4739 -0.2539 -0.1180 -0.0242  0.0394  0.0821
  0.1107  0.1286  0.1379  0.1410
 -5.1512 -4.7796 -4.4361 -4.1038 -3.7799 -3.4638 -3.1566 -2.8146 -2.3924 -1.9370
