 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F1280W
 -1.1060 -0.9891 -1.0294 -1.3972 -2.1262 -2.7266 -3.0722 -2.9540 -2.4956 -1.8157
 -1.8521 -2.4180 -2.6830 -2.6368 -2.6243 -2.8667
 -1.3846 -1.3667 -1.3930 -1.5645 -1.8988 -2.1886 -2.4000 -2.4358 -2.3407 -2.1614
 -2.2264 -2.4813 -2.6296 -2.6379 -2.6506 -2.8812 -3.0763 -3.2453 -3.4220
 -1.5184 -1.5780 -1.6278 -1.7064 -1.8292 -1.9501 -2.0771 -2.1830 -2.2720 -2.3490
 -2.4303 -2.5231 -2.6009 -2.6461 -2.6914 -2.9009 -3.1042 -3.2800 -3.4521 -3.6135
 -3.7642
 -1.5074 -1.6230 -1.7338 -1.8229 -1.9174 -2.0110 -2.1035 -2.1955 -2.2893 -2.3783
 -2.4637 -2.5434 -2.5970 -2.6613 -2.7467 -2.9258 -3.1220 -3.3049 -3.4764 -3.6388
 -3.7923 -3.9385 -4.0777
 -1.5465 -1.6432 -1.7403 -1.8316 -1.9247 -2.0167 -2.1073 -2.1966 -2.2845 -2.3709
 -2.4558 -2.5393 -2.6107 -2.6777 -2.7542 -2.9486 -3.1395 -3.3208 -3.4922 -3.6545
 -3.8084 -3.9548 -4.0941 -4.2273 -4.3556
 -1.6007 -1.6811 -1.7651 -1.8519 -1.9400 -2.0281 -2.1155 -2.2017 -2.2866 -2.3698
 -2.4513 -2.5320 -2.6115 -2.6770 -2.7558 -2.9580 -3.1508 -3.3324 -3.5040 -3.6664
 -3.8205 -3.9671 -4.1066 -4.2399 -4.3675 -4.4907
 -1.6699 -1.7367 -1.8082 -1.8838 -1.9632 -2.0452 -2.1281 -2.2108 -2.2927 -2.3735
 -2.4527 -2.5304 -2.6069 -2.6750 -2.7515 -2.9540 -3.1559 -3.3397 -3.5118 -3.6745
 -3.8286 -3.9754 -4.1152 -4.2485 -4.3760 -4.4985 -4.6172 -4.7325 -4.8450 -4.9556
 -1.7541 -1.8100 -1.8696 -1.9324 -1.9997 -2.0718 -2.1474 -2.2247 -2.3027 -2.3804
 -2.4572 -2.5332 -2.6076 -2.6774 -2.7488 -2.9456 -3.1494 -3.3424 -3.5162 -3.6795
 -3.8340 -3.9810 -4.1210 -4.2547 -4.3823 -4.5045 -4.6224 -4.7366 -4.8478 -4.9564
 -5.0632
 -1.8426 -1.8946 -1.9466 -1.9985 -2.0531 -2.1125 -2.1773 -2.2463 -2.3181 -2.3914
 -2.4648 -2.5383 -2.6112 -2.6828 -2.7512 -2.9381 -3.1378 -3.3360 -3.5171 -3.6819
 -3.8371 -3.9846 -4.1250 -4.2590 -4.3870 -4.5094 -4.6270 -4.7405 -4.8506 -4.9578
 -5.0626
 -1.9235 -1.9816 -2.0338 -2.0806 -2.1254 -2.1721 -2.2239 -2.2813 -2.3439 -2.4100
 -2.4784 -2.5480 -2.6183 -2.6888 -2.7583 -2.9359 -3.1295 -3.3262 -3.5142 -3.6842
 -3.8408 -3.9891 -4.1302 -4.2648 -4.3934 -4.5163 -4.6340 -4.7473 -4.8568 -4.9632
 -5.0669
 -1.9999 -2.0632 -2.1180 -2.1651 -2.2052 -2.2438 -2.2839 -2.3286 -2.3796 -2.4361
 -2.4970 -2.5612 -2.6275 -2.6949 -2.7628 -2.9366 -3.1201 -3.3130 -3.5020 -3.6785
 -3.8388 -3.9883 -4.1302 -4.2655 -4.3948 -4.5184 -4.6367 -4.7502 -4.8596 -4.9653
 -5.0703
 -2.0719 -2.1394 -2.1974 -2.2468 -2.2877 -2.3236 -2.3567 -2.3912 -2.4299 -2.4753
 -2.5267 -2.5828 -2.6426 -2.7051 -2.7695 -2.9380 -3.1159 -3.3014 -3.4888 -3.6680
 -3.8336 -3.9858 -4.1287 -4.2649 -4.3950 -4.5195 -4.6386 -4.7528 -4.8625 -4.9682
 -5.0708
 -2.1396 -2.2103 -2.2720 -2.3257 -2.3729 -2.4115 -2.4352 -2.4640 -2.4942 -2.5293
 -2.5698 -2.6152 -2.6651 -2.7194 -2.7784 -2.9400 -3.1169 -3.2914 -3.4746
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value =F1280W
 -1.5931 -1.7034 -1.8199 -1.9465 -2.0821 -2.1685 -2.2097 -2.1893 -2.1538 -2.1461
 -2.2457 -2.4211 -2.5512 -2.5955 -2.6353 -2.8319
 -1.5769 -1.6898 -1.8041 -1.9228 -2.0460 -2.1448 -2.2199 -2.2599 -2.2854 -2.3162
 -2.3854 -2.4845 -2.5707 -2.6267 -2.6835 -2.8757 -3.0657 -3.2449 -3.4139
 -1.5668 -1.6806 -1.7925 -1.9046 -2.0177 -2.1226 -2.2183 -2.2979 -2.3657 -2.4259
 -2.4822 -2.5377 -2.5949 -2.6560 -2.7229 -2.9114 -3.0985 -3.2777 -3.4478 -3.6090
 -3.7619
 -1.5628 -1.6758 -1.7851 -1.8919 -1.9972 -2.1019 -2.2049 -2.3031 -2.3945 -2.4752
 -2.5361 -2.5807 -2.6238 -2.6833 -2.7535 -2.9390 -3.1238 -3.3027 -3.4734 -3.6353
 -3.7888 -3.9349 -4.0761
 -1.5649 -1.6754 -1.7819 -1.8847 -1.9845 -2.0827 -2.1797 -2.2757 -2.3719 -2.4641
 -2.5470 -2.6135 -2.6574 -2.7086 -2.7753 -2.9585 -3.1416 -3.3199 -3.4906 -3.6528
 -3.8066 -3.9529 -4.0923 -4.2257 -4.3542
 -1.5731 -1.6794 -1.7829 -1.8830 -1.9796 -2.0736 -2.1658 -2.2566 -2.3463 -2.4340
 -2.5221 -2.6071 -2.6691 -2.7205 -2.7894 -2.9720 -3.1539 -3.3315 -3.5022 -3.6644
 -3.8184 -3.9649 -4.1045 -4.2378 -4.3658 -4.4894
 -1.5920 -1.6908 -1.7891 -1.8856 -1.9796 -2.0709 -2.1600 -2.2473 -2.3334 -2.4182
 -2.5018 -2.5847 -2.6640 -2.7152 -2.7859 -2.9786 -3.1619 -3.3390 -3.5097 -3.6722
 -3.8263 -3.9730 -4.1127 -4.2462 -4.3739 -4.4967 -4.6157 -4.7313 -4.8440 -4.9545
 -1.6258 -1.7145 -1.8044 -1.8946 -1.9843 -2.0727 -2.1592 -2.2440 -2.3275 -2.4101
 -2.4910 -2.5711 -2.6501 -2.7113 -2.7764 -2.9728 -3.1634 -3.3429 -3.5140 -3.6770
 -3.8315 -3.9784 -4.1184 -4.2521 -4.3799 -4.5025 -4.6207 -4.7353 -4.8467 -4.9554
 -5.0623
 -1.6481 -1.7448 -1.8333 -1.9143 -1.9969 -2.0802 -2.1632 -2.2453 -2.3264 -2.4065
 -2.4856 -2.5640 -2.6412 -2.7122 -2.7710 -2.9622 -3.1557 -3.3411 -3.5156 -3.6791
 -3.8336 -3.9819 -4.1223 -4.2564 -4.3846 -4.5072 -4.6251 -4.7392 -4.8498 -4.9572
 -5.0616
 -1.7259 -1.7944 -1.8694 -1.9503 -2.0234 -2.0987 -2.1759 -2.2537 -2.3316 -2.4091
 -2.4860 -2.5624 -2.6382 -2.7111 -2.7725 -2.9560 -3.1470 -3.3348 -3.5146 -3.6815
 -3.8380 -3.9864 -4.1275 -4.2621 -4.3909 -4.5140 -4.6320 -4.7455 -4.8553 -4.9619
 -5.0658
 -1.7970 -1.8544 -1.9223 -1.9996 -2.0630 -2.1292 -2.1980 -2.2691 -2.3419 -2.4155
 -2.4892 -2.5630 -2.6365 -2.7090 -2.7758 -2.9514 -3.1365 -3.3228 -3.5049 -3.6769
 -3.8360 -3.9855 -4.1275 -4.2629 -4.3923 -4.5160 -4.6345 -4.7483 -4.8578 -4.9638
 -5.0690
 -1.8649 -1.9248 -1.9851 -2.0457 -2.1046 -2.1641 -2.2257 -2.2973 -2.3625 -2.4302
