 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = G_RP 
 -1.7091 -1.7043 -1.8867 -1.8963 -1.8262 -1.7026 -1.5464 -1.4475 -1.3586 -1.2649
 -1.1752 -1.0899 -1.0119 -0.9413 -0.8809 -0.7553 -0.7032 -0.7055 -0.7087
 -1.7141 -1.6466 -1.5917 -1.5650 -1.5681 -1.5465 -1.4780 -1.3915 -1.3066 -1.2242
 -1.1443 -1.0688 -0.9997 -0.9381 -0.8845 -0.7856 -0.7330 -0.7166 -0.7211 -0.7370
 -1.5970 -1.5355 -1.4728 -1.4168 -1.3744 -1.3584 -1.3549 -1.3246 -1.2655 -1.1940
 -1.1232 -1.0551 -0.9921 -0.9358 -0.8870 -0.7968 -0.7487 -0.7349 -0.7411 -0.7572
 -0.7794
 -1.4888 -1.4435 -1.3888 -1.3322 -1.2798 -1.2350 -1.2038 -1.1918 -1.1797 -1.1480
 -1.0981 -1.0412 -0.9853 -0.9342 -0.8895 -0.8065 -0.7616 -0.7496 -0.7575 -0.7744
 -0.7963 -0.8219
 -1.3774 -1.3521 -1.3132 -1.2656 -1.2158 -1.1688 -1.1273 -1.0926 -1.0703 -1.0548
 -1.0370 -1.0079 -0.9698 -0.9281 -0.8884 -0.8125 -0.7702 -0.7599 -0.7696 -0.7884
 -0.8110 -0.8366 -0.8649 -0.8960
 -1.2619 -1.2532 -1.2328 -1.2001 -1.1599 -1.1171 -1.0765 -1.0396 -1.0070 -0.9799
 -0.9599 -0.9437 -0.9250 -0.9020 -0.8761 -0.8130 -0.7737 -0.7645 -0.7760 -0.7981
 -0.8231 -0.8499 -0.8785 -0.9090 -0.9415 -0.9765 -1.0147 -1.0565 -1.1022 -1.1519
 -1.1451 -1.1486 -1.1434 -1.1267 -1.1003 -1.0673 -1.0317 -0.9972 -0.9658 -0.9371
 -0.9117 -0.8905 -0.8736 -0.8586 -0.8433 -0.8038 -0.7714 -0.7616 -0.7756 -0.8020
 -0.8311 -0.8606 -0.8908 -0.9221 -0.9544 -0.9869 -1.0213 -1.0596 -1.1035 -1.1531
 -1.2050
 -1.0300 -1.0420 -1.0470 -1.0431 -1.0308 -1.0109 -0.9850 -0.9562 -0.9281 -0.9020
 -0.8782 -0.8567 -0.8377 -0.8221 -0.8089 -0.7821 -0.7619 -0.7548 -0.7690 -0.7985
