 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F335M
  2.8242  2.7869  2.7550  2.7276  2.7028  2.6786  2.6521  2.6223  2.5887  2.5516
  2.5110  2.4675  2.4232  2.3762  2.3281  2.2044  2.0737  1.9359  1.7933
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value = F335M
  3.0699  3.0234  2.9881  2.9639  2.9500  2.9416  2.9340  2.9236  2.9085  2.8833
  2.8411  2.7814  2.7119  2.6393  2.5661  2.3846  2.2057  2.0324  1.8651
  3.0665  3.0018  2.9487  2.9081  2.8801  2.8627  2.8514  2.8429  2.8348  2.8218
  2.7953  2.7477  2.6832  2.6119  2.5392  2.3589  2.1825  2.0110  1.8461  1.6881
  3.1172  3.0382  2.9610  2.8948  2.8440  2.8090  2.7875  2.7746  2.7666  2.7595
  2.7460  2.7148  2.6605  2.5924  2.5205  2.3404  2.1650  1.9953  1.8316  1.6746
  1.5241
  3.1563  3.0839  3.0096  2.9365  2.8677  2.8072  2.7624  2.7332  2.7152  2.7036
  2.6932  2.6754  2.6371  2.5768  2.5070  2.3276  2.1524  1.9836  1.8208  1.6644
  1.5147  1.3710
  3.1777  3.1099  3.0402  2.9701  2.9027  2.8404  2.7853  2.7385  2.7013  2.6743
  2.6537  2.6338  2.6070  2.5602  2.4961  2.3189  2.1439  1.9754  1.8131  1.6569
  1.5074  1.3644  1.2271  1.0947
  3.1876  3.1235  3.0578  2.9912  2.9250  2.8616  2.8043  2.7552  2.7126  2.6730
  2.6378  2.6072  2.5767  2.5380  2.4837  2.3129  2.1386  1.9703  1.8082  1.6519
  1.5022  1.3592  1.2224  1.0908  0.9639  0.8409  0.7213  0.6051  0.4921  0.3825
  3.1879  3.1276  3.0659  3.0031  2.9398  2.8772  2.8173  2.7627  2.7150  2.6731
  2.6326  2.5921  2.5541  2.5141  2.4660  2.3079  2.1354  1.9677  1.8059  1.6494
  1.4990  1.3554  1.2185  1.0873  0.9612  0.8394  0.7213  0.6067  0.4952  0.3867
  0.2807
  3.1757  3.1207  3.0640  3.0058  2.9465  2.8866  2.8270  2.7695  2.7160  2.6677
  2.6236  2.5803  2.5366  2.4925  2.4443  2.3003  2.1331  1.9666  1.8056  1.6494
  1.4983  1.3535  1.2159  1.0845  0.9586  0.8374  0.7203  0.6069  0.4969  0.3898
  0.2852
  3.1467  3.0988  3.0483  2.9960  2.9420  2.8864  2.8296  2.7727  2.7168  2.6634
  2.6136  2.5664  2.5202  2.4735  2.4238  2.2840  2.1276  1.9639  1.8041  1.6489
  1.4977  1.3516  1.2124  1.0800  0.9536  0.8324  0.7156  0.6028  0.4937  0.3877
  0.2846
  3.1018  3.0599  3.0166  2.9714  2.9240  2.8744  2.8226  2.7691  2.7143  2.6597
  2.6063  2.5549  2.5054  2.4566  2.4068  2.2692  2.1195  1.9628  1.8055  1.6521
  1.5021  1.3558  1.2149  1.0808  0.9533  0.8315  0.7146  0.6020  0.4934  0.3882
  0.2843
  3.0446  3.0059  2.9681  2.9296  2.8893  2.8465  2.8012  2.7531  2.7024  2.6499
  2.5966  2.5435  2.4913  2.4404  2.3894  2.2550  2.1097  1.9587  1.8057  1.6548
  1.5069  1.3618  1.2205  1.0846  0.9552  0.8320  0.7142  0.6012  0.4925  0.3875
  0.2860
  2.9800  2.9421  2.9065  2.8726  2.8381  2.8018  2.7632  2.7216  2.6769  2.6293
  2.5793  2.5276  2.4739  2.4220  2.3716  2.2414  2.0982  1.9516  1.8047
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value = F335M
  3.1037  3.0687  3.0461  3.0353  3.0318  3.0280  3.0169  2.9942  2.9605  2.9141
  2.8548  2.7858  2.7134  2.6404  2.5680  2.3893  2.2129  2.0397  1.8721
  3.0711  3.0244  2.9894  2.9671  2.9552  2.9481  2.9376  2.9210  2.8975  2.8643
  2.8178  2.7569  2.6870  2.6142  2.5414  2.3625  2.1878  2.0174  1.8525  1.6941
  3.0697  3.0069  2.9565  2.9196  2.8956  2.8808  2.8683  2.8535  2.8356  2.8121
  2.7787  2.7301  2.6669  2.5961  2.5234  2.3440  2.1697  2.0009  1.8378  1.6809
  1.5303
  3.1207  3.0420  2.9674  2.9050  2.8594  2.8296  2.8098  2.7927  2.7758  2.7575
  2.7340  2.6990  2.6475  2.5821  2.5110  2.3315  2.1571  1.9889  1.8270  1.6711
  1.5214  1.3775
  3.1616  3.0834  3.0105  2.9425  2.8791  2.8221  2.7796  2.7504  2.7276  2.7072
  2.6865  2.6609  2.6232  2.5681  2.5012  2.3231  2.1486  1.9806  1.8192  1.6640
  1.5147  1.3715  1.2339  1.1011
  3.1819  3.1157  3.0472  2.9779  2.9119  2.8511  2.7967  2.7495  2.7101  2.6784
  2.6512  2.6239  2.5922  2.5494  2.4911  2.3175  2.1432  1.9752  1.8140  1.6590
  1.5100  1.3670  1.2299  1.0980  0.9706  0.8470  0.7267  0.6097  0.4963  0.3869
  3.1905  3.1281  3.0637  2.9976  2.9312  2.8672  2.8087  2.7581  2.7146  2.6748
  2.6369  2.6014  2.5658  2.5260  2.4768  2.3135  2.1400  1.9721  1.8109  1.6561
  1.5071  1.3639  1.2268  1.0953  0.9686  0.8462  0.7274  0.6120  0.4998  0.3911
  0.2855
  3.1932  3.1332  3.0720  3.0091  2.9452  2.8815  2.8202  2.7637  2.7139  2.6703
  2.6300  2.5895  2.5478  2.5050  2.4580  2.3094  2.1383  1.9709  1.8099  1.6551
  1.5060  1.3624  1.2248  1.0931  0.9667  0.8450  0.7271  0.6130  0.5021  0.3945
  0.2899
  3.1900  3.1326  3.0741  3.0142  2.9531  2.8914  2.8302  2.7711  2.7157  2.6654
  2.6200  2.5768  2.5331  2.4870  2.4381  2.2991  2.1353  1.9687  1.8080  1.6534
  1.5043  1.3602  1.2217  1.0892  0.9624  0.8407  0.7232  0.6097  0.4997  0.3930
  0.2895
  3.1775  3.1239  3.0695  3.0131  2.9554  2.8969  2.8377  2.7789  2.7213  2.6662
  2.6147  2.5665  2.5198  2.4725  2.4227  2.2853  2.1329  1.9699  1.8101  1.6562
  1.5076  1.3634  1.2241  1.0904  0.9626  0.8404  0.7228  0.6096  0.5002  0.3942
  0.2915
  3.1511  3.1028  3.0533  3.0016  2.9485  2.8940  2.8383  2.7819  2.7250  2.6685
  2.6135  2.5604  2.5094  2.4595  2.4090  2.2727  2.1250  1.9701  1.8125  1.6596
  1.5119  1.3683  1.2287  1.0939  0.9647  0.8413  0.7230  0.6094  0.5000  0.3942
  0.2920
  3.1107  3.0674  3.0228  2.9764  2.9284  2.8790  2.8281  2.7757  2.7218  2.6669
  2.6115  2.5563  2.5021  2.4490  2.3970  2.2613  2.1116  1.9693  1.8152
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value = F335M
  3.1277  3.0988  3.0825  3.0774  3.0784  3.0765  3.0636  3.0343  2.9892  2.9308
  2.8627  2.7896  2.7154  2.6420  2.5697  2.3923  2.2174  2.0448  1.8771
  3.0870  3.0466  3.0186  3.0035  2.9980  2.9957  2.9869  2.9668  2.9342  2.8886
  2.8308  2.7631  2.6905  2.6168  2.5437  2.3654  2.1915  2.0216  1.8569  1.6982
  3.0690  3.0161  2.9756  2.9478  2.9326  2.9254  2.9171  2.9016  2.8778  2.8438
  2.7980  2.7398  2.6719  2.5995  2.5263  2.3470  2.1732  2.0047  1.8419  1.6851
  1.5342
  3.0935  3.0194  2.9584  2.9127  2.8827  2.8653  2.8536  2.8391  2.8200  2.7945
  2.7601  2.7138  2.6546  2.5863  2.5142  2.3346  2.1606  1.9926  1.8309  1.6753
  1.5255  1.3815
  3.1321  3.0625  2.9969  2.9268  2.8686  2.8278  2.8032  2.7841  2.7646  2.7428
  2.7163  2.6814  2.6340  2.5736  2.5049  2.3263  2.1521  1.9843  1.8230  1.6681
  1.5191  1.3759  1.2382  1.1052
  3.1677  3.1089  3.0385  2.9683  2.9025  2.8447  2.7960  2.7573  2.7267  2.7003
  2.6738  2.6438  2.6066  2.5574  2.4956  2.3207  2.1466  1.9788  1.8177  1.6632
  1.5146  1.3717  1.2346  1.1025  0.9748  0.8508  0.7302  0.6129  0.4991  0.3896
  3.1897  3.1262  3.0607  2.9936  2.9272  2.8648  2.8099  2.7633  2.7221  2.6834
  2.6477  2.6137  2.5775  2.5351  2.4829  2.3166  2.1432  1.9755  1.8145  1.6601
  1.5117  1.3690  1.2319  1.1002  0.9734  0.8506  0.7314  0.6155  0.5030  0.3939
  0.2885
  3.1936  3.1332  3.0715  3.0079  2.9433  2.8795  2.8194  2.7656  2.7190  2.6777
  2.6381  2.5975  2.5562  2.5130  2.4653  2.3129  2.1413  1.9739  1.8131  1.6588
  1.5105  1.3676  1.2303  1.0985  0.9719  0.8499  0.7317  0.6170  0.5057  0.3976
  0.2929
  3.1941  3.1353  3.0759  3.0152  2.9531  2.8904  2.8287  2.7703  2.7169  2.6693
  2.6261  2.5841  2.5405  2.4941  2.4451  2.3050  2.1384  1.9715  1.8108  1.6566
  1.5083  1.3652  1.2274  1.0950  0.9681  0.8460  0.7282  0.6142  0.5038  0.3966
  0.2927
  3.1919  3.1343  3.0774  3.0190  2.9595  2.8989  2.8381  2.7784  2.7210  2.6674
  2.6180  2.5719  2.5265  2.4795  2.4295  2.2923  2.1378  1.9728  1.8127  1.6588
  1.5108  1.3678  1.2295  1.0963  0.9686  0.8461  0.7282  0.6146  0.5048  0.3983
  0.2951
  3.1813  3.1270  3.0724  3.0173  2.9605  2.9027  2.8440  2.7853  2.7271  2.6703
  2.6160  2.5645  2.5152  2.4663  2.4161  2.2796  2.1314  1.9742  1.8152  1.6620
  1.5145  1.3719  1.2336  1.0996  0.9707  0.8473  0.7288  0.6149  0.5050  0.3988
  0.2961
  3.1572  3.1077  3.0575  3.0061  2.9531  2.8988  2.8434  2.7872  2.7303  2.6734
  2.6171  2.5620  2.5085  2.4562  2.4049  2.2669  2.1192  1.9757  1.8183
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value = F335M
  3.1557  3.1337  3.1242  3.1244  3.1289  3.1277  3.1111  3.0731  3.0158  2.9465
  2.8714  2.7947  2.7189  2.6447  2.5722  2.3958  2.2223  2.0507  1.8830
  3.1075  3.0738  3.0531  3.0450  3.0450  3.0464  3.0382  3.0129  2.9699  2.9119
  2.8440  2.7706  2.6955  2.6207  2.5472  2.3691  2.1960  2.0267  1.8621  1.7033
  3.0793  3.0339  3.0009  2.9815  2.9741  2.9733  2.9687  2.9519  2.9208  2.8752
  2.8174  2.7504  2.6782  2.6042  2.5304  2.3510  2.1777  2.0094  1.8467  1.6899
  1.5389
  3.0768  3.0162  2.9682  2.9346  2.9152  2.9071  2.9022  2.8900  2.8674  2.8332
  2.7868  2.7294  2.6631  2.5918  2.5187  2.3387  2.1651  1.9973  1.8355  1.6800
  1.5304  1.3863
  3.1265  3.0471  2.9745  2.9162  2.8760  2.8530  2.8413  2.8294  2.8114  2.7854
  2.7498  2.7034  2.6463  2.5804  2.5097  2.3304  2.1566  1.9889  1.8276  1.6729
  1.5242  1.3810  1.2431  1.1099
  3.1697  3.0977  3.0243  2.9537  2.8906  2.8392  2.8037  2.7808  2.7598  2.7361
  2.7071  2.6704  2.6240  2.5669  2.5012  2.3247  2.1509  1.9833  1.8223  1.6680
  1.5198  1.3772  1.2400  1.1077  0.9798  0.8555  0.7345  0.6167  0.5025  0.3928
  3.1886  3.1231  3.0555  2.9873  2.9216  2.8627  2.8131  2.7719  2.7352  2.7016
  2.6695  2.6354  2.5956  2.5479  2.4904  2.3206  2.1472  1.9799  1.8190  1.6648
  1.5169  1.3747  1.2378  1.1060  0.9789  0.8558  0.7362  0.6199  0.5068  0.3972
  0.2918
  3.1943  3.1331  3.0703  3.0059  2.9410  2.8784  2.8215  2.7726  2.7303  2.6908
  2.6512  2.6108  2.5695  2.5250  2.4746  2.3170  2.1451  1.9780  1.8173  1.6633
  1.5155  1.3734  1.2365  1.1048  0.9780  0.8556  0.7370  0.6219  0.5100  0.4014
  0.2963
  3.1945  3.1356  3.0759  3.0148  2.9523  2.8896  2.8290  2.7730  2.7231  2.6788
  2.6372  2.5951  2.5507  2.5038  2.4542  2.3103  2.1420  1.9752  1.8146  1.6606
  1.5129  1.3707  1.2337  1.1016  0.9746  0.8523  0.7341  0.6197  0.5088  0.4010
  0.2965
  3.1957  3.1366  3.0789  3.0201  2.9601  2.8990  2.8379  2.7787  2.7228  2.6717
  2.6249  2.5804  2.5354  2.4880  2.4375  2.2995  2.1418  1.9762  1.8161  1.6624
  1.5148  1.3726  1.2354  1.1029  0.9754  0.8528  0.7346  0.6206  0.5103  0.4033
  0.2996
  3.1951  3.1369  3.0795  3.0228  2.9647  2.9056  2.8457  2.7861  2.7277  2.6718
  2.6192  2.5697  2.5220  2.4738  2.4235  2.2866  2.1376  1.9778  1.8183  1.6650
  1.5178  1.3759  1.2388  1.1059  0.9776  0.8543  0.7356  0.6214  0.5111  0.4045
  0.3011
  3.1867  3.1314  3.0764  3.0211  2.9654  2.9083  2.8504  2.7920  2.7336  2.6759
  2.6198  2.5657  2.5136  2.4626  2.4122  2.2716  2.1294  1.9800  1.8212
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value = F335M
  3.1865  3.1714  3.1682  3.1730  3.1799  3.1773  3.1546  3.1056  3.0368  2.9592
  2.8793  2.7999  2.7226  2.6475  2.5746  2.3987  2.2267  2.0561  1.8888
  3.1312  3.1047  3.0913  3.0897  3.0943  3.0974  3.0871  3.0542  2.9996  2.9308
