 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = G_RP 
 -0.7215  0.3593  1.6040  1.8460  0.7275 -1.4427 -0.6971  0.5909  1.3665  1.4358
  1.5079  1.4817  1.0857  0.5869  0.3334  0.4618
 -0.6410 -0.1701  0.4346  0.6116  0.2320 -0.7305 -0.4139  0.1537  0.5721  0.7281
  0.8415  0.8641  0.7092  0.4972  0.3913  0.4930  0.5581  0.5914  0.5384
 -0.4211 -0.2929 -0.0864  0.0338  0.0421 -0.1839 -0.1053  0.0409  0.2007  0.3408
  0.4392  0.4813  0.4684  0.4349  0.4258  0.5051  0.5423  0.5666  0.5521  0.5329
  0.5395
 -0.0618 -0.0091  0.0410  0.1126  0.1578  0.1972  0.2287  0.2525  0.2525  0.2738
  0.3010  0.3332  0.3633  0.3998  0.4369  0.4981  0.5382  0.5519  0.5493  0.5359
  0.5162  0.4923  0.4658
  0.1367  0.1566  0.1790  0.2133  0.2427  0.2720  0.2988  0.3220  0.3410  0.3572
  0.3740  0.3939  0.4143  0.4366  0.4612  0.5066  0.5281  0.5333  0.5278  0.5149
  0.4965  0.4742  0.4491  0.4208  0.3885
  0.3209  0.3154  0.3151  0.3212  0.3333  0.3492  0.3669  0.3846  0.4011  0.4159
  0.4291  0.4417  0.4554  0.4683  0.4838  0.5159  0.5257  0.5229  0.5128  0.4981
  0.4794  0.4575  0.4330  0.4062  0.3769  0.3442
  0.4909  0.4673  0.4493  0.4363  0.4295  0.4288  0.4330  0.4403  0.4493  0.4591
  0.4689  0.4783  0.4872  0.4951  0.5047  0.5260  0.5310  0.5207  0.5043  0.4855
  0.4649  0.4422  0.4175  0.3912  0.3631  0.3328  0.2998  0.2612  0.2157  0.1674
  0.6465  0.6123  0.5816  0.5541  0.5311  0.5140  0.5032  0.4976  0.4963  0.4981
  0.5020  0.5071  0.5127  0.5184  0.5237  0.5373  0.5400  0.5269  0.5047  0.4799
  0.4550  0.4297  0.4036  0.3765  0.3485  0.3192  0.2888  0.2547  0.2145  0.1673
  0.1168
  0.7800  0.7420  0.7046  0.6678  0.6337  0.6036  0.5787  0.5599  0.5470  0.5389
  0.5351  0.5343  0.5354  0.5378  0.5412  0.5490  0.5503  0.5379  0.5133  0.4831
  0.4523  0.4222  0.3929  0.3637  0.3344  0.3048  0.2741  0.2424  0.2074  0.1664
  0.1177
  0.8940  0.8536  0.8125  0.7708  0.7302  0.6916  0.6565  0.6263  0.6020  0.5840
  0.5714  0.5635  0.5591  0.5573  0.5575  0.5613  0.5607  0.5498  0.5262  0.4937
  0.4576  0.4216  0.3871  0.3541  0.3220  0.2906  0.2592  0.2271  0.1937  0.1567
  0.1159
  0.9870  0.9465  0.9049  0.8624  0.8191  0.7763  0.7351  0.6970  0.6631  0.6351
