 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = BX   
 -3.6530 -3.5717 -3.4990 -3.4320 -3.3686 -3.3081 -3.2507 -3.1984 -3.1513 -3.1090
 -3.0710
 -6.8633 -6.7181 -6.5600 -6.3906 -6.2353 -6.0797 -5.9210 -5.7597 -5.5977 -5.4383
 -5.2849 -5.1405 -5.0058 -4.8802 -4.7606 -4.4885 -4.2512 -4.0522 -3.8886 -3.7600
 -3.6621 -3.5848 -3.5194 -3.4605 -3.4051 -3.3517 -3.3004 -3.2513 -3.2053 -3.1633
 -3.1282
 -6.6774 -6.5465 -6.4040 -6.2513 -6.1132 -5.9750 -5.8361 -5.6937 -5.5481 -5.4009
 -5.2551 -5.1141 -4.9807 -4.8560 -4.7389 -4.4760 -4.2502 -4.0569 -3.8975 -3.7692
 -3.6700 -3.5939 -3.5334 -3.4817 -3.4345 -3.3894 -3.3457 -3.3032 -3.2624 -3.2241
 -3.1883
 -6.5170 -6.3879 -6.2597 -6.1327 -6.0102 -5.8899 -5.7676 -5.6146 -5.4866 -5.3552
 -5.2218 -5.0890 -4.9598 -4.8371 -4.7217 -4.4646 -4.2472 -4.0605 -3.9041 -3.7773
 -3.6774 -3.6006 -3.5415 -3.4945 -3.4545 -3.4177 -3.3824 -3.3479 -3.3140 -3.2813
 -3.2507
 -6.3822 -6.2422 -6.1272 -6.0348 -5.9264 -5.8245 -5.6630 -5.5518 -5.4370 -5.2940
 -5.1758 -5.0557 -4.9356 -4.8181 -4.7090 -4.4543 -4.2422 -4.0630 -3.9084
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = BX   
 -8.9014 -8.7819 -8.7502 -8.5621 -8.1876 -7.8629 -7.7777 -7.7981 -7.7077 -7.4578
 -7.1639 -6.8612 -6.5843 -6.3329 -6.0766 -5.4502
 -8.4698 -8.2215 -8.0611 -7.8651 -7.6166 -7.4029 -7.2897 -7.2187 -7.1023 -6.9157
