 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  i   
 -1.3075 -1.2834 -1.4679 -1.4617 -1.3679 -1.2176 -1.0407 -0.9212 -0.8182 -0.7086
 -0.6033 -0.5025 -0.4085 -0.3234 -0.2506 -0.0980 -0.0372 -0.0326 -0.0147
 -1.2964 -1.2026 -1.1264 -1.0830 -1.0732 -1.0374 -0.9516 -0.8483 -0.7482 -0.6509
 -0.5565 -0.4669 -0.3848 -0.3116 -0.2481 -0.1293 -0.0608 -0.0316 -0.0263 -0.0348
 -1.1562 -1.0700 -0.9865 -0.9123 -0.8541 -0.8255 -0.8109 -0.7680 -0.6952 -0.6099
 -0.5258 -0.4448 -0.3699 -0.3031 -0.2452 -0.1370 -0.0745 -0.0489 -0.0456 -0.0542
 -0.0705
 -1.0308 -0.9623 -0.8883 -0.8145 -0.7464 -0.6874 -0.6438 -0.6214 -0.5991 -0.5561
 -0.4940 -0.4252 -0.3583 -0.2975 -0.2444 -0.1445 -0.0861 -0.0630 -0.0617 -0.0710
 -0.0866 -0.1073
 -0.9059 -0.8585 -0.8011 -0.7376 -0.6732 -0.6126 -0.5584 -0.5121 -0.4795 -0.4542
 -0.4265 -0.3874 -0.3393 -0.2885 -0.2410 -0.1490 -0.0938 -0.0729 -0.0737 -0.0849
 -0.1010 -0.1211 -0.1450 -0.1729
 -0.7809 -0.7495 -0.7110 -0.6630 -0.6093 -0.5539 -0.5012 -0.4530 -0.4097 -0.3725
 -0.3430 -0.3181 -0.2910 -0.2600 -0.2266 -0.1483 -0.0965 -0.0769 -0.0798 -0.0946
 -0.1130 -0.1340 -0.1578 -0.1842 -0.2137 -0.2469 -0.2840 -0.3254 -0.3713 -0.4216
 -0.6595 -0.6382 -0.6145 -0.5814 -0.5418 -0.4971 -0.4506 -0.4054 -0.3638 -0.3254
 -0.2907 -0.2610 -0.2363 -0.2142 -0.1921 -0.1379 -0.0934 -0.0734 -0.0791 -0.0983
 -0.1210 -0.1447 -0.1697 -0.1963 -0.2248 -0.2543 -0.2864 -0.3233 -0.3664 -0.4159
 -0.4680
 -0.5455 -0.5297 -0.5137 -0.4922 -0.4653 -0.4337 -0.3976 -0.3592 -0.3216 -0.2865
 -0.2541 -0.2245 -0.1981 -0.1757 -0.1562 -0.1153 -0.0831 -0.0660 -0.0719 -0.0944
 -0.1225 -0.1509 -0.1790 -0.2074 -0.2366 -0.2667 -0.2973 -0.3302 -0.3676 -0.4111
 -0.4618
 -0.4427 -0.4288 -0.4150 -0.3989 -0.3812 -0.3601 -0.3357 -0.3075 -0.2771 -0.2466
 -0.2182 -0.1921 -0.1683 -0.1469 -0.1277 -0.0906 -0.0663 -0.0546 -0.0602 -0.0843
 -0.1170 -0.1511 -0.1841 -0.2162 -0.2477 -0.2790 -0.3108 -0.3434 -0.3788 -0.4172
 -0.4582
 -0.3548 -0.3405 -0.3260 -0.3113 -0.2963 -0.2813 -0.2656 -0.2474 -0.2268 -0.2036
 -0.1802 -0.1584 -0.1386 -0.1204 -0.1037 -0.0699 -0.0485 -0.0404 -0.0468 -0.0699
 -0.1044 -0.1430 -0.1817 -0.2188 -0.2542 -0.2884 -0.3220 -0.3553 -0.3890 -0.4240
 -0.4612
 -0.2835 -0.2639 -0.2463 -0.2303 -0.2158 -0.2028 -0.1911 -0.1801 -0.1679 -0.1537
 -0.1374 -0.1209 -0.1054 -0.0914 -0.0788 -0.0514 -0.0322 -0.0261 -0.0338 -0.0552
 -0.0889 -0.1292 -0.1720 -0.2144 -0.2549 -0.2935 -0.3304 -0.3660 -0.4009 -0.4358
 -0.4717
 -0.2236 -0.1792 -0.1509 -0.1343 -0.1251 -0.1199 -0.1157 -0.1106 -0.1042 -0.0967
 -0.0880 -0.0783 -0.0680 -0.0584 -0.0497 -0.0317 -0.0173 -0.0124 -0.0208
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  i   
 -1.6052 -1.5968 -1.5512 -1.4210 -1.2629 -1.1082 -0.9762 -0.8668 -0.7675 -0.6728
 -0.5823 -0.4961 -0.4146 -0.3384 -0.2689 -0.1246 -0.0415 -0.0083  0.0029
 -1.4016 -1.3130 -1.2777 -1.2698 -1.1901 -1.0614 -0.9322 -0.8223 -0.7269 -0.6379
 -0.5533 -0.4727 -0.3966 -0.3261 -0.2623 -0.1374 -0.0600 -0.0234 -0.0154 -0.0233
 -1.2783 -1.1766 -1.0884 -1.0267 -1.0099 -0.9817 -0.8946 -0.7901 -0.6967 -0.6129
 -0.5338 -0.4585 -0.3873 -0.3215 -0.2621 -0.1467 -0.0750 -0.0403 -0.0333 -0.0413
 -0.0577
 -1.1759 -1.0845 -0.9927 -0.9054 -0.8351 -0.7936 -0.7775 -0.7405 -0.6679 -0.5904
 -0.5169 -0.4468 -0.3803 -0.3186 -0.2630 -0.1551 -0.0877 -0.0543 -0.0478 -0.0564
 -0.0725 -0.0937
 -1.0774 -1.0019 -0.9206 -0.8384 -0.7610 -0.6915 -0.6370 -0.6028 -0.5838 -0.5486
 -0.4940 -0.4324 -0.3715 -0.3140 -0.2619 -0.1605 -0.0967 -0.0645 -0.0584 -0.0683
 -0.0852 -0.1063 -0.1311 -0.1607
 -0.9802 -0.9176 -0.8507 -0.7790 -0.7062 -0.6367 -0.5727 -0.5165 -0.4735 -0.4468
 -0.4250 -0.3941 -0.3520 -0.3039 -0.2565 -0.1616 -0.1012 -0.0701 -0.0646 -0.0764
 -0.0955 -0.1178 -0.1425 -0.1702 -0.2003 -0.2336 -0.2714 -0.3146 -0.3632 -0.4145
 -0.8780 -0.8279 -0.7746 -0.7168 -0.6545 -0.5911 -0.5298 -0.4726 -0.4208 -0.3768
 -0.3426 -0.3180 -0.2955 -0.2691 -0.2379 -0.1575 -0.1010 -0.0709 -0.0657 -0.0795
 -0.1020 -0.1270 -0.1532 -0.1811 -0.2108 -0.2422 -0.2766 -0.3149 -0.3583 -0.4071
 -0.4611
 -0.7797 -0.7334 -0.6927 -0.6462 -0.5968 -0.5436 -0.4891 -0.4359 -0.3858 -0.3396
 -0.2986 -0.2639 -0.2364 -0.2146 -0.1945 -0.1429 -0.0955 -0.0672 -0.0619 -0.0767
 -0.1029 -0.1321 -0.1614 -0.1911 -0.2215 -0.2518 -0.2836 -0.3185 -0.3580 -0.4033
 -0.4549
 -0.6929 -0.6440 -0.6064 -0.5685 -0.5287 -0.4871 -0.4428 -0.3967 -0.3513 -0.3080
 -0.2680 -0.2319 -0.2003 -0.1739 -0.1528 -0.1133 -0.0817 -0.0589 -0.0540 -0.0689
 -0.0978 -0.1317 -0.1657 -0.1989 -0.2316 -0.2642 -0.2975 -0.3328 -0.3703 -0.4097
 -0.4507
 -0.6265 -0.5697 -0.5267 -0.4887 -0.4557 -0.4221 -0.3878 -0.3515 -0.3136 -0.2755
 -0.2391 -0.2056 -0.1751 -0.1482 -0.1252 -0.0852 -0.0607 -0.0459 -0.0431 -0.0570
 -0.0864 -0.1238 -0.1628 -0.2008 -0.2374 -0.2728 -0.3077 -0.3425 -0.3777 -0.4143
 -0.4528
 -0.5919 -0.5125 -0.4565 -0.4138 -0.3828 -0.3527 -0.3245 -0.2966 -0.2679 -0.2373
 -0.2065 -0.1770 -0.1497 -0.1252 -0.1035 -0.0630 -0.0397 -0.0294 -0.0301 -0.0438
 -0.0719 -0.1104 -0.1530 -0.1960 -0.2375 -0.2772 -0.3154 -0.3524 -0.3887 -0.4251
 -0.4623
 -0.5873 -0.4725 -0.3958 -0.3452 -0.3108 -0.2835 -0.2590 -0.2356 -0.2134 -0.1910
 -0.1674 -0.1436 -0.1206 -0.0996 -0.0807 -0.0441 -0.0217 -0.0127 -0.0160
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  i   
 -1.8035 -1.7213 -1.5453 -1.3592 -1.1790 -1.0253 -0.9115 -0.8155 -0.7260 -0.6411
 -0.5613 -0.4857 -0.4140 -0.3461 -0.2821 -0.1456 -0.0494  0.0038  0.0197
 -1.5100 -1.4956 -1.4645 -1.3259 -1.1638 -1.0106 -0.8848 -0.7858 -0.6974 -0.6160
 -0.5402 -0.4685 -0.4006 -0.3364 -0.2763 -0.1498 -0.0631 -0.0155 -0.0005 -0.0063
 -1.3810 -1.2735 -1.2259 -1.2220 -1.1361 -1.0014 -0.8714 -0.7645 -0.6764 -0.5976
