 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  r   
 -2.6306 -2.5792 -2.7784 -2.7116 -2.5271 -2.2931 -2.0429 -1.8714 -1.7190 -1.5635
 -1.4183 -1.2855 -1.1649 -1.0558 -0.9567 -0.7519 -0.5713 -0.4149 -0.3489
 -2.6371 -2.4348 -2.2719 -2.1641 -2.1064 -2.0178 -1.8700 -1.7086 -1.5610 -1.4232
 -1.2936 -1.1736 -1.0639 -0.9639 -0.8726 -0.6785 -0.5309 -0.4275 -0.3596 -0.3148
 -2.4483 -2.2511 -2.0730 -1.9218 -1.8018 -1.7251 -1.6670 -1.5727 -1.4499 -1.3218
 -1.2041 -1.0955 -0.9958 -0.9049 -0.8222 -0.6484 -0.5189 -0.4292 -0.3698 -0.3296
 -0.3021
 -2.2976 -2.1196 -1.9479 -1.7918 -1.6559 -1.5409 -1.4501 -1.3869 -1.3241 -1.2380
 -1.1369 -1.0379 -0.9474 -0.8646 -0.7887 -0.6291 -0.5117 -0.4325 -0.3800 -0.3441
 -0.3186 -0.3007
 -2.1667 -2.0110 -1.8545 -1.7042 -1.5674 -1.4471 -1.3431 -1.2545 -1.1867 -1.1279
 -1.0641 -0.9881 -0.9085 -0.8330 -0.7637 -0.6158 -0.5063 -0.4343 -0.3883 -0.3572
 -0.3346 -0.3181 -0.3067 -0.3001
 -2.0516 -1.9126 -1.7748 -1.6358 -1.5038 -1.3836 -1.2779 -1.1861 -1.1073 -1.0401
 -0.9818 -0.9259 -0.8656 -0.8020 -0.7399 -0.6042 -0.5006 -0.4330 -0.3920 -0.3669
 -0.3485 -0.3348 -0.3250 -0.3186 -0.3149 -0.3150 -0.3199 -0.3308 -0.3481 -0.3723
 -1.9534 -1.8244 -1.7006 -1.5755 -1.4517 -1.3351 -1.2294 -1.1368 -1.0575 -0.9889
 -0.9278 -0.8716 -0.8187 -0.7662 -0.7132 -0.5905 -0.4932 -0.4268 -0.3900 -0.3707
 -0.3583 -0.3489 -0.3421 -0.3377 -0.3353 -0.3332 -0.3338 -0.3403 -0.3550 -0.3785
 -0.4070
 -1.8729 -1.7488 -1.6317 -1.5173 -1.4041 -1.2938 -1.1904 -1.0973 -1.0169 -0.9482
 -0.8885 -0.8342 -0.7824 -0.7331 -0.6853 -0.5746 -0.4838 -0.4191 -0.3829 -0.3675
 -0.3614 -0.3580 -0.3559 -0.3550 -0.3552 -0.3562 -0.3569 -0.3602 -0.3690 -0.3861
 -0.4129
 -1.8111 -1.6876 -1.5718 -1.4590 -1.3554 -1.2533 -1.1548 -1.0630 -0.9813 -0.9111
 -0.8514 -0.7994 -0.7512 -0.7048 -0.6597 -0.5566 -0.4720 -0.4100 -0.3726 -0.3584
 -0.3568 -0.3600 -0.3641 -0.3684 -0.3726 -0.3768 -0.3814 -0.3867 -0.3951 -0.4068
 -0.4215
 -1.7688 -1.6430 -1.5252 -1.4147 -1.3110 -1.2135 -1.1213 -1.0331 -0.9516 -0.8795
 -0.8178 -0.7656 -0.7199 -0.6767 -0.6353 -0.5403 -0.4602 -0.4006 -0.3628 -0.3468
 -0.3465 -0.3541 -0.3644 -0.3750 -0.3848 -0.3937 -0.4021 -0.4101 -0.4184 -0.4280
 -0.4386
 -1.7417 -1.6106 -1.4892 -1.3769 -1.2728 -1.1762 -1.0865 -1.0028 -0.9237 -0.8512
 -0.7874 -0.7332 -0.6873 -0.6472 -0.6103 -0.5237 -0.4481 -0.3908 -0.3537 -0.3357
 -0.3341 -0.3429 -0.3573 -0.3737 -0.3898 -0.4047 -0.4182 -0.4305 -0.4420 -0.4534
 -0.4657
 -1.7095 -1.5663 -1.4411 -1.3304 -1.2306 -1.1390 -1.0531 -0.9715 -0.8948 -0.8240
 -0.7600 -0.7036 -0.6558 -0.6156 -0.5807 -0.5043 -0.4354 -0.3806 -0.3442
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  r   
 -2.9916 -2.9144 -2.7927 -2.5632 -2.3074 -2.0703 -1.8744 -1.7125 -1.5666 -1.4299
 -1.3009 -1.1808 -1.0704 -0.9694 -0.8777 -0.6883 -0.5352 -0.4118 -0.3389
 -2.6982 -2.5092 -2.4033 -2.3387 -2.1801 -1.9677 -1.7687 -1.6043 -1.4633 -1.3337
 -1.2123 -1.1000 -0.9974 -0.9046 -0.8209 -0.6461 -0.5118 -0.4133 -0.3460 -0.3014
 -2.5395 -2.3276 -2.1488 -2.0145 -1.9435 -1.8577 -1.6997 -1.5325 -1.3907 -1.2674
