 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = UX   
 -9.0922 -8.9767 -8.9302 -8.8277 -8.6378 -8.4439 -8.3383 -8.2917 -8.1995 -8.0025
 -7.7372 -7.4185 -7.0689 -6.7158 -6.3578 -5.4494 -4.5776 -3.8774 -3.3195
 -8.8054 -8.5439 -8.3479 -8.1791 -8.0289 -7.8961 -7.7757 -7.6542 -7.5127 -7.3355
 -7.1105 -6.8307 -6.5032 -6.1599 -5.8224 -5.0074 -4.2466 -3.6247 -3.1586 -2.8307
 -8.6353 -8.2759 -7.9748 -7.7344 -7.5566 -7.4122 -7.2655 -7.1069 -6.9386 -6.7596
 -6.5511 -6.3020 -6.0061 -5.6837 -5.3682 -4.6354 -3.9709 -3.4173 -3.0153 -2.7339
 -2.5336
 -8.5819 -8.1727 -7.8109 -7.4936 -7.2209 -6.9922 -6.8077 -6.6498 -6.4772 -6.2748
 -6.0590 -5.8324 -5.5776 -5.2872 -4.9952 -4.3334 -3.7505 -3.2552 -2.8897 -2.6371
 -2.4598 -2.3317
 -8.6000 -8.1545 -7.7539 -7.3931 -7.0694 -6.7815 -6.5275 -6.3042 -6.1078 -5.9206
 -5.7099 -5.4766 -5.2401 -4.9856 -4.7175 -4.1106 -3.5895 -3.1397 -2.7966 -2.5615
 -2.3999 -2.2850 -2.2012 -2.1382
 -8.6795 -8.2053 -7.7727 -7.3783 -7.0200 -6.6946 -6.3999 -6.1336 -5.8921 -5.6710
 -5.4631 -5.2516 -5.0272 -4.7926 -4.5405 -3.9651 -3.4858 -3.0697 -2.7369 -2.5053
 -2.3508 -2.2440 -2.1676 -2.1121 -2.0705 -2.0374 -2.0089 -1.9820 -1.9553 -1.9298
 -8.8081 -8.3146 -7.8572 -7.4342 -7.0456 -6.6908 -6.3670 -6.0704 -5.7994 -5.5504
 -5.3195 -5.1016 -4.8892 -4.6791 -4.4521 -3.8916 -3.4312 -3.0385 -2.7104 -2.4709
 -2.3120 -2.2068 -2.1345 -2.0835 -2.0472 -2.0205 -1.9999 -1.9817 -1.9651 -1.9498
 -1.9348
 -8.9784 -8.4691 -7.9943 -7.5501 -7.1359 -6.7542 -6.4038 -6.0826 -5.7875 -5.5164
 -5.2657 -5.0325 -4.8137 -4.6058 -4.3996 -3.8752 -3.4153 -3.0351 -2.7111 -2.4598
 -2.2869 -2.1744 -2.1011 -2.0521 -2.0189 -1.9965 -1.9812 -1.9701 -1.9607 -1.9526
 -1.9476
 -9.1787 -8.6557 -8.1657 -7.7067 -7.2736 -6.8686 -6.4938 -6.1490 -5.8324 -5.5410
 -5.2719 -5.0227 -4.7912 -4.5749 -4.3695 -3.8735 -3.4241 -3.0449 -2.7259 -2.4661
 -2.2765 -2.1493 -2.0681 -2.0171 -1.9850 -1.9653 -1.9540 -1.9480 -1.9449 -1.9430
 -1.9426
 -9.4139 -8.8872 -8.3789 -7.9041 -7.4562 -7.0335 -6.6382 -6.2709 -5.9321 -5.6204
 -5.3329 -5.0669 -4.8204 -4.5919 -4.3781 -3.8860 -3.4499 -3.0701 -2.7519 -2.4888
 -2.2853 -2.1402 -2.0440 -1.9840 -1.9483 -1.9281 -1.9184 -1.9155 -1.9169 -1.9207
 -1.9248
 -9.6860 -9.1390 -8.6202 -8.1281 -7.6640 -7.2285 -6.8178 -6.4320 -6.0727 -5.7401
 -5.4330 -5.1494 -4.8869 -4.6434 -4.4168 -3.9099 -3.4792 -3.1014 -2.7810 -2.5154
 -2.3039 -2.1449 -2.0322 -1.9579 -1.9129 -1.8880 -1.8769 -1.8746 -1.8783 -1.8859
 -1.8956
 -9.9951 -9.4111 -8.8689 -8.3671 -7.8901 -7.4412 -7.0185 -6.6194 -6.2435 -5.8923
 -5.5656 -5.2630 -4.9829 -4.7234 -4.4856 -3.9452 -3.5120 -3.1388 -2.8132
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = UX   
 -8.4071 -8.3324 -8.2891 -8.2615 -8.2367 -8.2025 -8.1487 -8.0662 -7.9447 -7.7722
 -7.5404 -7.2492 -6.9168 -6.5785 -6.2572 -5.4537 -4.6735 -3.9821 -3.4518
