 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  v   
 -9.8729 -9.5601 -9.5960 -9.2392 -9.1793 -8.8442 -8.0907 -7.6344 -7.2526 -6.8609
 -6.4741 -6.0974 -5.7362 -5.3858 -5.0435 -4.2077 -3.2715 -2.3460 -1.8160
 -9.4745 -8.8867 -8.4767 -8.2201 -8.0644 -7.8829 -7.6092 -7.2452 -6.8426 -6.4431
 -6.0402 -5.6476 -5.2734 -4.9170 -4.5728 -3.7311 -2.9087 -2.2333 -1.7553 -1.4074
 -9.0067 -8.3940 -7.9273 -7.5850 -7.3272 -7.1429 -6.9910 -6.7870 -6.4963 -6.1366
 -5.7338 -5.3193 -4.9249 -4.5567 -4.2125 -3.4214 -2.6897 -2.0803 -1.6486 -1.3393
 -1.1041
 -8.6921 -8.0805 -7.5824 -7.1976 -6.8925 -6.6255 -6.3876 -6.1940 -6.0064 -5.7677
 -5.4512 -5.0703 -4.6680 -4.2876 -3.9409 -3.1879 -2.5300 -1.9862 -1.5771 -1.2964
 -1.0854 -0.9178
 -8.4866 -7.8796 -7.3650 -6.9460 -6.6109 -6.3223 -6.0451 -5.7723 -5.5292 -5.3068
 -5.0800 -4.8052 -4.4754 -4.1154 -3.7664 -3.0338 -2.4272 -1.9210 -1.5354 -1.2728
 -1.0795 -0.9276 -0.8023 -0.6957
 -8.3686 -7.7678 -7.2424 -6.7954 -6.4274 -6.1199 -5.8391 -5.5560 -5.2679 -4.9889
 -4.7357 -4.4978 -4.2457 -3.9650 -3.6638 -2.9520 -2.3753 -1.8937 -1.5200 -1.2641
 -1.0817 -0.9417 -0.8278 -0.7314 -0.6462 -0.5704 -0.5034 -0.4444 -0.3931 -0.3488
 -8.3251 -7.7327 -7.2005 -6.7322 -6.3292 -5.9929 -5.7001 -5.4240 -5.1410 -4.8477
 -4.5593 -4.2908 -4.0432 -3.8028 -3.5549 -2.9210 -2.3634 -1.8972 -1.5281 -1.2680
 -1.0882 -0.9562 -0.8519 -0.7647 -0.6899 -0.6239 -0.5655 -0.5140 -0.4690 -0.4304
 -0.3997
 -8.3427 -7.7609 -7.2286 -6.7487 -6.3171 -5.9414 -5.6200 -5.3369 -5.0653 -4.7856
 -4.4962 -4.2105 -3.9419 -3.6953 -3.4632 -2.8993 -2.3726 -1.9237 -1.5549 -1.2843
 -1.0982 -0.9680 -0.8706 -0.7919 -0.7259 -0.6687 -0.6173 -0.5720 -0.5334 -0.5021
 -0.4784
 -8.4085 -7.8390 -7.3124 -6.8292 -6.3786 -5.9724 -5.6129 -5.2988 -5.0185 -4.7501
 -4.4762 -4.1950 -3.9182 -3.6576 -3.4169 -2.8775 -2.3825 -1.9488 -1.5888 -1.3086
 -1.1111 -0.9758 -0.8807 -0.8092 -0.7515 -0.7030 -0.6614 -0.6250 -0.5935 -0.5665
 -0.5436
 -8.5091 -7.9535 -7.4364 -6.9544 -6.5047 -6.0846 -5.6949 -5.3447 -5.0316 -4.7505
