 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  J   
  1.7731  1.7519  1.7258  1.6953  1.6613  1.6247  1.5867  1.5486  1.5108  1.4735
  1.4367  1.4001  1.3565  1.3237  1.2945  1.2140  1.1399  1.0652  0.9859
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =  J   
  1.7610  1.7112  1.6580  1.6034  1.5495  1.4986  1.4529  1.4142  1.3839  1.3625
  1.3501  1.3442  1.3412  1.3365  1.3286  1.2933  1.2362  1.1619  1.0735
  1.7526  1.7113  1.6639  1.6124  1.5593  1.5072  1.4585  1.4151  1.3787  1.3502
  1.3304  1.3185  1.3114  1.3044  1.2951  1.2585  1.2034  1.1315  1.0481  0.9601
  1.7264  1.6952  1.6516  1.6063  1.5616  1.5151  1.4682  1.4239  1.3841  1.3503
  1.3235  1.3046  1.2925  1.2828  1.2718  1.2330  1.1781  1.1086  1.0279  0.9420
  0.8550
  1.6877  1.6615  1.6328  1.5989  1.5569  1.5081  1.4642  1.4259  1.3897  1.3560
  1.3261  1.3011  1.2827  1.2694  1.2564  1.2150  1.1594  1.0910  1.0121  0.9275
  0.8419  0.7563
  1.6676  1.6370  1.6076  1.5781  1.5471  1.5119  1.4713  1.4283  1.3879  1.3561
  1.3290  1.3039  1.2814  1.2631  1.2475  1.2031  1.1464  1.0782  1.0002  0.9162
  0.8309  0.7463  0.6622  0.5783
  1.6661  1.6297  1.5960  1.5648  1.5348  1.5042  1.4725  1.4393  1.4040  1.3667
  1.3336  1.3069  1.2840  1.2633  1.2445  1.1963  1.1381  1.0696  0.9919  0.9080
  0.8222  0.7374  0.6538  0.5711  0.4889  0.4069  0.3240  0.2392  0.1526  0.0675
  1.6809  1.6379  1.5987  1.5635  1.5314  1.5014  1.4718  1.4418  1.4114  1.3809
  1.3500  1.3191  1.2915  1.2678  1.2465  1.1937  1.1338  1.0647  0.9872  0.9030
  0.8162  0.7302  0.6462  0.5637  0.4824  0.4018  0.3211  0.2401  0.1576  0.0726
 -0.0116
  1.7083  1.6595  1.6146  1.5743  1.5384  1.5060  1.4758  1.4466  1.4175  1.3885
  1.3602  1.3325  1.3044  1.2775  1.2532  1.1953  1.1327  1.0629  0.9854  0.9013
  0.8134  0.7257  0.6403  0.5570  0.4756  0.3956  0.3164  0.2375  0.1583  0.0774
 -0.0064
  1.7430  1.6908  1.6414  1.5961  1.5555  1.5193  1.4864  1.4559  1.4263  1.3971
  1.3686  1.3408  1.3138  1.2870  1.2611  1.1997  1.1340  1.0627  0.9851  0.9012
  0.8128  0.7233  0.6357  0.5506  0.4680  0.3876  0.3085  0.2306  0.1532  0.0750
 -0.0040
  1.7777  1.7262  1.6756  1.6274  1.5827  1.5423  1.5056  1.4721  1.4405  1.4100
  1.3802  1.3510  1.3227  1.2953  1.2687  1.2045  1.1381  1.0655  0.9876  0.9044
  0.8164  0.7260  0.6363  0.5489  0.4644  0.3825  0.3028  0.2249  0.1483  0.0723
 -0.0045
  1.8051  1.7591  1.7109  1.6627  1.6165  1.5729  1.5326  1.4955  1.4608  1.4279
  1.3960  1.3648  1.3344  1.3050  1.2767  1.2092  1.1418  1.0693  0.9911  0.9084
  0.8213  0.7311  0.6403  0.5508  0.4639  0.3798  0.2984  0.2194  0.1425  0.0669
